round_shots,48,23,32,24,14,17,16,13,19,16,16,16,15,15,10
round_queries,48,69,288,600,826,2057,4144,6747,19779,37264,74544,150864,293535,589725,789930
round_k,0,1,4,12,29,60,129,259,520,1164,2329,4714,9784,19657,39496
round_shots,231,52,36,17,17,19,16,11,16,15,15,16,15,13,14
round_queries,231,156,324,425,867,2033,3728,5159,15472,30195,60915,130224,251055,438425,947282
round_k,0,1,4,12,25,53,116,234,483,1006,2030,4069,8368,16862,33831
round_shots,197,23,27,20,19,21,16,14,16,16,16,16,15,15,2
round_queries,197,161,459,820,1577,3591,6160,10850,25520,52048,106992,221168,428205,864705,232226
round_k,0,3,8,20,41,85,192,387,797,1626,3343,6911,14273,28823,58056
round_shots,171,23,32,18,16,18,19,16,16,16,16,15,14,15,10
round_queries,171,69,288,414,752,1746,3857,7216,14864,30224,62128,119445,223454,494535,665270
round_k,0,1,4,11,23,48,101,225,464,944,1941,3981,7980,16484,33263
round_shots,78,54,32,27,23,17,17,16,15,16,15,16,15,16,9
round_queries,78,162,352,675,1311,2295,4947,9392,18165,38960,74445,160464,305805,660304,759537
round_k,0,1,5,12,28,67,145,293,605,1217,2481,5014,10193,20634,42196
round_shots,305,18,23,24,18,20,16,19,15,15,15,15,15,15,9
round_queries,305,126,345,744,1170,2740,4400,10735,18795,37725,75735,151605,304905,611775,736749
round_k,0,3,7,15,32,68,137,282,626,1257,2524,5053,10163,20392,40930
round_shots,294,33,19,14,23,17,17,17,17,16,15,16,16,15,4
round_queries,294,231,323,490,1679,2975,5967,12325,25109,49776,95985,206128,428400,830775,445148
round_k,0,3,8,17,36,87,175,362,738,1555,3199,6441,13387,27692,55643
round_shots,188,39,30,22,25,16,18,18,16,16,16,16,15,15,10
round_queries,188,117,270,550,1425,1968,4554,9378,18096,36432,74416,152624,293985,599505,804710
round_k,0,1,4,12,28,61,126,260,565,1138,2325,4769,9799,19983,40235
round_shots,215,24,34,20,22,17,16,16,11,15,16,15,15,15,2
round_queries,215,168,578,820,2046,3247,6384,13104,18117,52335,112336,215985,432615,865455,232782
round_k,0,3,8,20,46,95,199,409,823,1744,3510,7199,14420,28848,58195
round_shots,340,26,24,19,19,16,18,11,11,10,10,10,15,10,1
round_queries,340,182,408,779,1691,3088,7002,9053,18865,36530,73750,149730,459225,626930,128171
round_k,0,3,8,20,44,96,194,411,857,1826,3687,7486,15307,31346,64085
round_shots,288,23,20,22,16,20,16,19,11,16,16,15,15,14,7
round_queries,288,161,300,726,1136,2900,4656,11343,14575,43632,88400,169035,340575,640178,662571
round_k,0,3,7,16,35,72,145,298,662,1363,2762,5634,11352,22863,47326
round_shots,253,23,32,21,16,16,18,16,10,10,16,10,10,15,4
round_queries,253,161,544,819,1296,2640,5958,10928,14070,28330,90960,115590,235970,721425,387028
round_k,0,3,8,19,40,82,165,341,703,1416,2842,5779,11798,24047,48378
round_shots,185,25,31,18,19,18,17,11,11,11,14,15,15,15,4
round_queries,185,175,527,738,1615,3114,6341,8261,16753,35013,93366,205485,411885,825135,442532
round_k,0,3,8,20,42,86,186,375,761,1591,3334,6849,13729,27504,55316
round_shots,203,23,32,23,19,22,19,17,16,16,15,15,10,15,5
round_queries,203,161,480,805,1425,3454,6061,12053,24016,49104,94755,191415,255650,783165,525005
round_k,0,3,7,17,37,78,159,354,750,1534,3158,6380,12782,26105,52500
round_shots,212,23,20,23,21,20,21,16,16,16,17,10,10,15,7
round_queries,212,161,300,759,1533,3060,6447,10032,20688,41936,92531,115350,234910,711045,665889
round_k,0,3,7,16,36,76,153,313,646,1310,2721,5767,11745,23701,47563
round_shots,215,23,27,24,19,20,18,16,15,16,15,14,15,12
round_queries,215,161,459,984,1881,4060,8370,15792,30195,65648,126375,238714,531165,857532
round_k,0,3,8,20,49,101,232,493,1006,2051,4212,8525,17705,35730
round_shots,197,23,25,13,19,19,18,17,16,16,14,16,16,15
round_queries,197,161,425,507,1577,3249,6894,14229,28080,57840,103950,244816,507184,978525
round_k,0,3,8,19,41,85,191,418,877,1807,3712,7650,15849,32617
round_shots,185,22,24,25,22,19,16,16,16,16,16,11,15,15,4
round_queries,185,154,360,825,1474,2869,5680,11664,23472,47056,94256,130339,369075,744225,401484
round_k,0,3,7,16,33,75,177,364,733,1470,2945,5924,12302,24807,50185
round_shots,202,32,41,26,18,22,16,15,16,16,16,15,15,15,9
round_queries,202,96,369,650,1026,2574,4368,8295,18416,36912,76208,146745,294225,605385,729621
round_k,0,1,4,12,28,58,136,276,575,1153,2381,4891,9807,20179,40534
round_shots,221,23,42,32,27,19,25,16,19,17,16,16,15,15,7
round_queries,221,69,378,800,1539,2261,6425,9008,21413,42517,83344,168496,326505,653385,618415
round_k,0,1,4,12,28,59,128,281,563,1250,2604,5265,10883,21779,44172
round_shots,250,23,24,19,17,20,16,16,16,16,16,15,15,10,3
round_queries,250,161,408,779,1513,3620,6448,13168,27248,54992,113264,216855,436305,587430,358983
round_k,0,3,8,20,44,90,201,411,851,1718,3539,7228,14543,29371,59830
round_shots,121,47,25,18,22,20,18,16,11,16,10,15,15,12
round_queries,121,235,425,738,1870,4140,8190,15504,21703,66128,84670,257805,527505,863580
round_k,0,2,8,20,42,103,227,484,986,2066,4233,8593,17583,35982
round_shots,238,18,20,26,19,23,24,17,18,16,16,16,15,15,7
round_queries,238,126,300,858,1349,3473,7320,11169,24138,42992,86000,177776,340335,681285,639009
round_k,0,3,7,16,35,75,152,328,670,1343,2687,5555,11344,22709,45643
round_shots,212,18,18,19,23,22,17,16,16,16,16,15,14,15,6
round_queries,212,126,270,589,1495,3278,5185,10096,20336,41488,84720,164565,309330,684165,550938
round_k,0,3,7,15,32,74,152,315,635,1296,2647,5485,11047,22805,45911
round_shots,194,30,17,14,16,17,17,17,16,16,16,16,15,15,7
round_queries,194,210,289,490,1168,2533,5185,10965,21392,43568,89776,180880,348795,708165,662907
round_k,0,3,8,17,36,74,152,322,668,1361,2805,5652,11626,23605,47350
round_shots,224,23,30,30,18,17,16,17,16,10,16,15,15,15,12
round_queries,224,69,270,750,1026,1955,3888,8313,16624,21730,70384,136095,273315,548085,882348
round_k,0,1,4,12,28,57,121,244,519,1086,2199,4536,9110,18269,36764
round_shots,97,32,39,19,16,18,19,16,17,15,16,15,15,15,13
round_queries,97,96,351,437,752,1746,3971,7344,15623,29025,62352,120195,246375,494655,874341
round_k,0,1,4,11,23,48,104,229,459,967,1948,4006,8212,16488,33628
round_shots,160,32,34,24,21,19,19,17,16,15,10,15,15,15,10
round_queries,160,96,306,600,1239,2375,4807,9299,18320,35265,47250,145125,292125,588285,792670
round_k,0,1,4,12,29,62,126,273,572,1175,2362,4837,9737,19609,39633
round_shots,247,29,15,20,16,20,21,16,19,17,16,15,14,8
round_queries,247,203,285,820,1424,3660,8043,14160,34713,69139,136912,261735,496762,585560
round_k,0,3,9,20,44,91,191,442,913,2033,4278,8724,17741,36597
round_shots,299,23,23,19,18,16,16,16,16,16,16,16,15,15,4
round_queries,299,161,391,741,1458,2704,5424,11024,22288,45872,94096,192368,371955,746205,398852
round_k,0,3,8,19,40,84,169,344,696,1433,2940,6011,12398,24873,49856
round_shots,315,43,28,19,19,17,16,16,15,16,16,15,15,12
round_queries,315,387,700,1083,2337,4267,8464,17008,32535,69584,141360,272505,547725,879012
round_k,0,4,12,28,61,125,264,531,1084,2174,4417,9083,18257,36625
round_shots,188,18,21,22,21,16,21,17,16,16,16,15,15,15,6
round_queries,188,126,315,726,1491,2320,6363,10455,21776,44944,92944,177945,357795,719625,577314
round_k,0,3,7,16,35,72,151,307,680,1404,2904,5931,11926,23987,48109
round_shots,185,32,24,20,21,19,18,17,16,16,10,14,15,15,1
round_queries,185,224,408,820,1869,3401,7182,14841,28976,59760,76890,218890,480975,969435,129863
round_k,0,3,8,20,44,89,199,436,905,1867,3844,7817,16032,32314,64931
round_shots,200,20,22,26,17,16,16,17,17,16,16,10,15,15,5
round_queries,200,140,330,858,1241,2480,5296,11611,24157,47440,96880,124450,379575,764805,513455
round_k,0,3,7,16,36,77,165,341,710,1482,3027,6222,12652,25493,51345
round_shots,229,39,34,28,14,18,21,16,21,18,18,17,17,16,14
round_queries,229,117,306,700,714,1890,4725,7536,19803,34398,73782,139723,283441,535312,959630
round_k,0,1,4,12,25,52,112,235,471,955,2049,4109,8336,16728,34272
round_shots,119,46,27,22,17,16,18,20,16,16,16,15,15,15,10,2
round_queries,119,138,243,506,799,1520,3438,7940,14448,29872,59920,114615,229335,458775,618250,253262
round_k,0,1,4,11,23,47,95,198,451,933,1872,3820,7644,15292,30912,63315
round_shots,262,19,20,24,16,17,18,16,17,16,15,16,16,15,5
round_queries,262,133,300,792,1168,2533,5526,10320,22253,42544,80265,171472,354576,687705,461335
round_k,0,3,7,16,36,74,153,322,654,1329,2675,5358,11080,22923,46133
round_shots,322,29,15,24,22,12,16,15,16,15,15,16,15,15,5
