round_shots,62,69,180,110,88,70,61,55,45,40,19
round_queries,62,207,1620,4070,11000,27930,73505,198935,490995,1314840,5697891
round_k,1,4,18,62,199,602,1808,5455,16435,49840,149944
round_shots,62,58,54,50,47,43,39,35,31,27,24,3
round_queries,62,174,486,1350,3807,10535,28821,78085,208537,546723,1459224,1701747
round_k,1,4,13,40,122,369,1115,3363,10124,30400,92826,283624
round_shots,62,58,54,50,47,43,39,35,31,27,24,3
round_queries,62,174,486,1350,3807,10535,28821,78085,208537,546723,1459224,1701747
round_k,1,4,13,40,122,369,1115,3363,10124,30400,92826,283624
round_shots,62,58,54,50,47,43,39,35,31,27,24,3
round_queries,62,174,486,1350,3807,10535,28821,78085,208537,546723,1459224,1701747
round_k,1,4,13,40,122,369,1115,3363,10124,30400,92826,283624
round_shots,73,95,201,112,77,73,61,55,46,40,18
round_queries,73,285,1809,4368,10241,29273,74847,203005,514418,1343240,5547546
round_k,1,4,19,66,200,613,1845,5591,16790,51019,154098
round_shots,62,58,54,50,47,43,39,35,31,27,24,3
round_queries,62,174,486,1350,3807,10535,28821,78085,208537,546723,1459224,1701747
round_k,1,4,13,40,122,369,1115,3363,10124,30400,92826,283624
round_shots,62,58,54,50,47,43,39,35,31,27,24,3
round_queries,62,174,486,1350,3807,10535,28821,78085,208537,546723,1459224,1701747
round_k,1,4,13,40,122,369,1115,3363,10124,30400,92826,283624
round_shots,73,58,210,117,92,70,65,54,48,40,20
round_queries,73,174,1890,4329,11500,27090,75465,192186,514704,1294600,5970420
round_k,1,4,18,62,193,580,1779,5361,16182,49023,149260
round_shots,62,69,341,98,86,74,61,55,46,38,12
round_queries,62,207,3069,4998,13158,35890,89853,244255,622058,1549526,4434060
round_k,1,4,25,76,242,736,2220,6761,20388,61345,184752
round_shots,62,79,144,95,80,73,68,58,48,41,34,3
round_queries,62,237,1296,2945,7760,21389,60044,159094,402576,1032667,2583422,2065551
round_k,1,4,15,48,146,441,1371,4193,12593,37991,114164,344258
round_shots,62,58,54,50,47,43,39,35,31,27,24,3
round_queries,62,174,486,1350,3807,10535,28821,78085,208537,546723,1459224,1701747
round_k,1,4,13,40,122,369,1115,3363,10124,30400,92826,283624
round_shots,62,79,367,99,79,70,63,52,46,38,11
round_queries,62,237,3303,5049,13035,35350,96327,241956,643218,1612302,4281893
round_k,1,4,25,82,252,764,2326,6991,21214,64174,194631
round_shots,62,58,54,50,47,43,39,35,31,27,24,3
round_queries,62,174,486,1350,3807,10535,28821,78085,208537,546723,1459224,1701747
round_k,1,4,13,40,122,369,1115,3363,10124,30400,92826,283624
round_shots,62,58,153,102,86,80,66,56,49,42,35,2
round_queries,62,174,1377,2754,7482,21680,56166,145320,383033,990654,2492595,1298786
round_k,1,4,13,43,135,425,1297,3908,11793,35608,108064,324696
round_shots,62,58,54,50,47,43,39,35,31,27,24,3
round_queries,62,174,486,1350,3807,10535,28821,78085,208537,546723,1459224,1701747
round_k,1,4,13,40,122,369,1115,3363,10124,30400,92826,283624
round_shots,62,58,54,50,47,43,39,35,31,27,24,3
round_queries,62,174,486,1350,3807,10535,28821,78085,208537,546723,1459224,1701747
round_k,1,4,13,40,122,369,1115,3363,10124,30400,92826,283624
round_shots,62,58,54,50,47,43,39,35,31,27,24,3
round_queries,62,174,486,1350,3807,10535,28821,78085,208537,546723,1459224,1701747
round_k,1,4,13,40,122,369,1115,3363,10124,30400,92826,283624
round_shots,62,58,54,50,47,43,39,35,31,27,24,3
round_queries,62,174,486,1350,3807,10535,28821,78085,208537,546723,1459224,1701747
round_k,1,4,13,40,122,369,1115,3363,10124,30400,92826,283624
round_shots,73,58,190,108,95,72,65,56,48,41,34,1
round_queries,73,174,1710,3996,10545,23976,65715,171752,442512,1135249,2853178,768343
round_k,1,4,18,55,166,505,1533,4609,13844,41958,127977,384171
round_shots,62,58,54,50,47,43,39,35,31,27,24,3
round_queries,62,174,486,1350,3807,10535,28821,78085,208537,546723,1459224,1701747
round_k,1,4,13,40,122,369,1115,3363,10124,30400,92826,283624
round_shots,62,79,224,125,97,73,66,56,48,35,34,1
round_queries,62,237,2016,3375,9409,23871,65274,170520,441072,976605,2872966,775039
round_k,1,4,13,48,163,494,1522,4594,13951,42249,128691,387519
round_shots,62,118,159,102,91,74,64,55,47,41,26
round_queries,62,354,1431,3366,9737,24790,65984,171325,441847,1156979,6812338
round_k,1,4,16,53,167,515,1557,4700,14109,42861,131006
round_shots,62,58,54,50,47,43,39,35,31,27,24,3
round_queries,62,174,486,1350,3807,10535,28821,78085,208537,546723,1459224,1701747
round_k,1,4,13,40,122,369,1115,3363,10124,30400,92826,283624
round_shots,62,58,54,50,47,43,39,35,31,27,24,3
round_queries,62,174,486,1350,3807,10535,28821,78085,208537,546723,1459224,1701747
round_k,1,4,13,40,122,369,1115,3363,10124,30400,92826,283624
round_shots,62,58,54,70,92,78,64,57,50,42,31,3
round_queries,62,174,486,1890,7452,20202,51904,139251,368050,937398,2080565,1830867
round_k,1,4,13,40,129,405,1221,3680,11159,33557,100946,305144
round_shots,62,79,207,78,85,78,65,60,50,42,35,3
round_queries,62,237,1863,2106,6885,18954,49075,136260,347750,884562,2213715,1717305
round_k,1,4,13,40,121,377,1135,3477,10530,31624,95047,286217
round_shots,62,69,94,105,90,77,64,58,49,42,35,2
round_queries,62,207,846,2835,8010,21175,54848,149466,382053,985614,2478735,1293858
round_k,1,4,13,44,137,428,1288,3898,11733,35410,107538,323464
round_shots,62,69,127,124,82,73,64,57,49,42,35,2
round_queries,62,207,1143,3348,7626,20659,55360,149511,388717,1004094,2520805,1316894
round_k,1,4,13,46,141,432,1311,3966,11953,36011,109437,329223
round_shots,62,58,54,101,86,99,65,58,49,42,35,3
round_queries,62,174,486,2727,6966,24057,55055,148538,379995,981078,2478805,1971321
round_k,1,4,13,40,121,423,1280,3877,11679,35411,107624,328553
round_shots,62,58,83,201,107,75,61,54,46,39,15
round_queries,62,174,747,5427,13161,32625,83997,224046,573298,1461369,5097945
round_k,1,4,13,61,217,688,2074,6231,18735,56629,169931
