round_shots,89,100,61,18,19,21,17,12,17,17,17,16,16,15,16,15,6
round_queries,89,300,427,450,969,2163,3927,5820,16745,33983,71859,137360,282160,535305,1142288,2204145,1763598
round_k,0,1,3,12,25,51,115,242,492,999,2113,4292,8817,17843,35696,73471,146966
round_shots,84,68,24,21,18,18,16,16,14,16,16,16,16,16,16,16,9
round_queries,84,204,168,441,846,1710,3088,6320,11158,26096,53040,108304,221776,453040,935216,1920208,2225997
round_k,0,1,3,10,23,47,96,197,398,815,1657,3384,6930,14157,29225,60006,123666
round_shots,39,46,62,27,17,20,19,15,17,17,16,16,16,16,15,15,5
round_queries,39,138,434,729,935,2260,4731,7845,18037,37383,71344,145712,294928,604656,1164195,2332005,1556025
round_k,0,1,3,13,27,56,124,261,530,1099,2229,4553,9216,18895,38806,77733,155602
round_shots,83,175,61,17,17,17,18,18,18,17,18,15,17,16,16,16,5
round_queries,83,525,427,425,867,1785,3798,7866,16902,34017,72594,130245,295511,573264,1171888,2415248,1543845
round_k,0,1,3,12,25,52,105,218,469,1000,2016,4341,8691,17914,36621,75476,154384
round_shots,65,184,61,17,24,19,11,16,17,16,16,15,16,16,15,16,5
round_queries,65,552,427,425,1224,2337,2915,8656,18581,35024,70320,134295,291984,598768,1155045,2482096,1595055
round_k,0,1,3,12,25,61,132,270,546,1094,2197,4476,9124,18711,38501,77565,159505
round_shots,104,148,31,26,18,17,17,17,11,17,17,11,14,16,16,3
round_queries,104,444,527,1222,2034,3927,7871,15759,21351,69309,144449,195789,522046,1212208,2479568,957237
round_k,0,1,8,23,56,115,231,463,970,2038,4248,8899,18644,37881,77486,159539
round_shots,140,121,78,27,21,18,17,17,16,11,16,16,15,16,16,10
round_queries,140,363,546,837,1701,3330,6647,13379,26160,36509,109808,225136,432705,929712,1912592,2460990
round_k,0,1,3,15,40,92,195,393,817,1659,3431,7035,14423,29053,59768,123049
round_shots,41,39,77,26,19,20,17,18,17,16,14,15,16,15,10,12
round_queries,41,117,539,754,1387,3140,5729,12618,25041,47600,86030,189585,411248,790455,1074770,2627388
round_k,0,1,3,14,36,78,168,350,736,1487,3072,6319,12851,26348,53738,109474
round_shots,86,61,39,19,15,17,19,17,17,16,17,16,16,17,15,16,6
round_queries,86,183,273,399,645,1717,3857,7259,14841,29232,62509,119632,244464,528411,977085,2220656,1700178
round_k,0,1,3,10,21,50,101,213,436,913,1838,3738,7639,15541,32569,69395,141681
round_shots,41,31,48,18,18,18,17,14,17,17,16,16,15,15,15,15,9
round_queries,41,93,336,414,846,1782,3553,5866,14467,29019,56592,115952,222825,445785,902235,1808475,2208141
round_k,0,1,3,11,23,49,104,209,425,853,1768,3623,7427,14859,30074,60282,122674
round_shots,74,34,51,22,20,21,19,18,16,16,16,16,15,16,16,15,6
round_queries,74,102,357,550,1020,2163,4351,8694,15920,32336,65520,132592,253215,549424,1126288,2169705,1738638
