round_shots,737,146,126,85,79,73,62,53,46,38,11
round_queries,737,730,2142,4505,12561,35697,93806,244489,638250,1608426,4282091
round_k,2,8,26,79,244,756,2306,6937,21163,64061,194640
round_shots,615,302,160,158,95,105,63,52,44,36,4
round_queries,615,1510,3040,9322,17195,57855,130221,338260,875820,2194668,2257388
round_k,2,9,29,90,275,1033,3252,9952,30481,92439,282173
round_shots,694,154,158,97,90,70,59,51,44,36,4
round_queries,694,1078,3634,7081,19710,45990,119711,311151,806476,1991268,1999924
round_k,3,11,36,109,328,1014,3050,9164,27656,83059,249990
round_shots,852,217,107,147,79,68,78,55,43,35,3
round_queries,852,1519,2461,10731,17459,45220,157482,386705,962039,2386125,1875381
round_k,3,11,36,110,332,1009,3515,11186,34087,103304,312563
round_shots,750,164,129,89,86,67,57,50,43,35,3
round_queries,750,1148,3225,7031,21242,49647,129447,345550,896937,2217005,1744335
round_k,3,12,39,123,370,1135,3455,10429,31671,95165,290722
round_shots,717,251,163,106,86,43,60,53,46,38,7
round_queries,717,1255,2771,5618,14018,21887,93900,249365,650302,1626514,2734053
round_k,2,8,26,81,254,782,2352,7068,21401,64613,195289
round_shots,680,273,106,85,77,75,62,53,45,38,10
round_queries,680,1365,1802,4675,12705,37425,96658,251697,644625,1637990,3958770
round_k,2,8,27,82,249,779,2374,7162,21552,65069,197938
round_shots,759,117,139,101,72,75,62,52,43,36,5
round_queries,759,819,3197,7171,15480,48375,128774,337220,846971,2137356,2739385
round_k,3,11,35,107,322,1038,3242,9848,29685,90071,273938
round_shots,546,239,98,125,89,70,58,52,44,36,6
round_queries,546,1195,1666,6625,17177,44310,113274,304668,784300,1934172,2916210
round_k,2,8,26,96,316,976,2929,8912,26863,80714,243017
round_shots,308,236,175,109,109,121,100,65,47,38,6
round_queries,308,1180,2975,5777,17549,59653,149300,293605,708901,1775246,2545398
round_k,2,8,26,80,246,746,2258,7541,23358,70696,212116
round_shots,871,169,173,92,138,90,60,66,49,37,8
round_queries,871,845,2941,5060,23046,45270,91020,301554,752689,1802455,3549192
round_k,2,8,27,83,251,758,2284,7680,24357,73580,221824
round_shots,864,279,120,184,79,68,57,50,43,35,5
round_queries,864,1395,2040,10120,19197,49572,127965,337450,872255,2145605,2765535
round_k,2,8,27,121,364,1122,3374,10142,30651,92021,276553
round_shots,316,222,134,128,93,69,63,55,45,38,10
round_queries,316,1110,2278,6784,15531,34569,95193,257675,647955,1649390,4012890
round_k,2,8,26,83,250,755,2342,7199,21702,65808,200644
round_shots,642,173,162,115,99,78,58,52,44,37,7
round_queries,642,865,3078,7015,18513,43758,105966,286052,730532,1845153,3208891
round_k,2,9,30,93,280,913,2750,8301,24934,75667,229206
round_shots,662,194,167,83,103,74,60,52,44,36,6
round_queries,662,1358,3841,6059,22557,48914,119100,315484,808852,2008980,3055110
