round_shots,675,501,160,106,160,131,84,71,63,45
round_queries,675,1503,1760,3922,17760,44671,86436,224431,599067,3913155
round_k,1,5,18,55,170,514,1580,4754,14471,43479
round_shots,666,491,540,189,121,93,82,71,64,45
round_queries,666,1473,4860,6993,14157,36177,98646,261351,708160,4555485
round_k,1,4,18,58,194,601,1840,5532,16799,50616
round_shots,682,509,216,148,112,100,95,80,67,38
round_queries,682,1527,2376,5772,14000,37900,108395,275440,695125,3555014
round_k,1,5,19,62,189,570,1721,5187,15583,46776
round_shots,604,483,238,132,105,93,106,96,177,23
round_queries,604,1449,2618,5148,13545,36921,130274,353952,1963815,2352279
round_k,1,5,19,64,198,614,1843,5547,17045,51136
round_shots,387,426,159,134,269,204,77,184,75,39
round_queries,387,1278,1749,4958,30935,70788,82313,590088,721575,3476031
round_k,1,5,18,57,173,534,1603,4810,14761,44564
round_shots,142,568,175,141,112,98,85,196,74,50
round_queries,142,1704,1925,5217,12432,34006,90865,628572,711954,4344150
round_k,1,5,18,55,173,534,1603,4810,14480,43441
round_shots,722,439,174,121,157,325,115,65,85,11
round_queries,722,1317,1914,4235,16799,104325,172615,336635,1320645,1547095
round_k,1,5,17,53,160,750,2589,7768,23305,70322
round_shots,495,485,135,139,167,92,93,76,66,51
round_queries,495,1455,1755,5421,21209,35788,109833,270940,726198,5164413
round_k,1,6,19,63,194,590,1782,5501,16668,50631
round_shots,565,553,194,145,120,149,131,129,201,39
round_queries,565,1659,2134,5365,14280,53789,142659,445437,2132409,3734835
round_k,1,5,18,59,180,544,1726,5304,15913,47882
round_shots,373,496,223,143,103,97,81,68,61,38
round_queries,373,1488,2453,5577,13081,38315,96309,246772,664107,3760518
round_k,1,5,19,63,197,594,1814,5443,16478,49480
round_shots,590,472,219,116,145,101,81,93,63,42
round_queries,590,1416,2409,4292,16385,34845,84159,292113,602595,3674706
round_k,1,5,18,56,172,519,1570,4782,14544,43746
round_shots,387,446,189,179,129,97,80,74,60,73
round_queries,387,1338,2079,6623,15351,35211,89200,250934,612300,6728045
round_k,1,5,18,59,181,557,1695,5102,15307,46082
round_shots,642,422,162,128,101,106,86,73,63,60,3
round_queries,642,1266,1782,4736,11211,35510,88150,227395,589365,1704780,769035
round_k,1,5,18,55,167,512,1557,4677,14206,42697,128172
round_shots,339,446,162,104,106,98,80,81,61,42
round_queries,339,1338,1782,3848,11766,32634,83760,257499,582977,3702594
round_k,1,5,18,55,166,523,1589,4778,14365,44078
round_shots,467,471,166,169,120,105,80,87,61,38
round_queries,467,1413,1826,5915,13320,35805,87440,285447,604449,3513366
round_k,1,5,17,55,170,546,1640,4954,14991,46228
round_shots,388,522,200,164,99,94,98,108,166,30
round_queries,388,1566,2200,6396,13761,39198,127890,426492,2006774,3294570
round_k,1,5,19,69,208,652,1974,6044,18133,54909
round_shots,457,543,130,268,204,423,88,102,126,5
round_queries,457,1629,1430,8844,21828,135783,166936,580482,2227554,811795
round_k,1,5,16,53,160,948,2845,8839,26646,81179
round_shots,327,423,226,132,152,100,119,75,72,35
round_queries,327,1269,2486,4884,17480,36300,138635,267375,773496,3409245
round_k,1,5,18,57,181,582,1782,5371,16234,48703
round_shots,488,448,195,141,130,92,81,69,60,35
