round_shots,151,163,193,148,319,291,94,80,79,18
round_queries,151,489,1737,3996,25839,70713,92214,257520,794977,1684638
round_k,1,4,13,40,121,490,1609,5031,15370,46795
round_shots,163,144,164,376,419,87,225,92,78,6
round_queries,163,432,1476,10152,33939,38889,313425,387780,1004874,698994
round_k,1,4,13,40,223,696,2107,6441,19416,58249
round_shots,138,188,228,293,453,99,104,77,56,5
round_queries,138,564,2052,7911,36693,47025,160680,375683,831544,681705
round_k,1,4,13,40,237,772,2439,7424,22472,68170
round_shots,157,132,233,193,96,291,275,68,66,7
round_queries,157,396,2097,5211,7776,71295,202125,223380,665742,710983
round_k,1,4,13,40,122,367,1642,5043,16571,50784
round_shots,176,161,134,153,363,118,87,63,82,7
round_queries,176,483,1206,4131,29403,45902,114927,271719,1062966,822171
round_k,1,4,13,40,194,660,2156,6481,19575,58726
round_shots,154,241,176,107,809,198,88,97,64,30
round_queries,154,723,1584,2889,65529,48114,64152,225137,470336,2015910
round_k,1,4,13,40,121,364,1160,3674,11127,33598
round_shots,135,133,119,118,247,295,98,79,83,15
round_queries,135,399,1071,3186,20007,71685,99862,267415,912917,1545225
round_k,1,4,13,40,121,509,1692,5499,16821,51507
round_shots,233,124,123,165,781,209,103,72,59,31
round_queries,233,372,1107,4455,63261,50787,75087,157608,394297,1890039
round_k,1,4,13,40,121,364,1094,3341,10045,30484
round_shots,133,136,156,110,181,151,209,579,120,23
round_queries,133,408,1404,2970,14661,36693,152361,1273221,791880,1637807
round_k,1,4,13,40,121,364,1099,3299,9898,35604
round_shots,168,154,115,173,102,99,514,129,80,44
round_queries,168,462,1035,4671,8262,24057,380874,287283,534480,3014132
round_k,1,4,13,40,121,370,1113,3340,11153,34251
round_shots,133,152,142,128,131,142,167,136,246,5
round_queries,133,456,1278,3456,10611,35074,124081,304232,1660254,650545
round_k,1,4,13,40,123,371,1118,3374,17798,65054
round_shots,160,160,139,129,132,358,256,79,59,20
round_queries,160,480,1251,3483,10692,87710,188160,221753,498137,1589620
round_k,1,4,13,40,122,367,1403,4221,12852,39740
round_shots,163,136,219,148,485,191,104,64,43
round_queries,163,408,1971,3996,39285,95309,195832,379584,2368741
round_k,1,4,13,40,249,941,2965,9162,27543
round_shots,152,160,240,521,328,192,82,65,75,13
round_queries,152,480,2160,14067,26568,53184,84870,207415,719325,1145885
round_k,1,4,13,40,138,517,1595,4795,14657,44072
round_shots,184,120,125,118,127,168,567,250,140,20
round_queries,184,360,1125,3186,10287,40824,415611,551250,926100,1571540
round_k,1,4,13,40,121,366,1102,3307,12458,39288
round_shots,179,133,141,104,99,287,284,192,70,13
round_queries,179,399,1269,2808,8019,70315,209308,444480,630350,1150019
round_k,1,4,13,40,122,368,1157,4502,14610,44231
round_shots,170,136,175,110,104,150,437,81,54,6
round_queries,170,408,1575,2970,8424,36750,323817,399897,884250,888378
round_k,1,4,13,40,122,370,2468,8187,24604,74031
round_shots,160,169,202,543,101,101,82,71,52,3
round_queries,160,507,1818,14661,17069,51207,134562,357627,788580,448167
round_k,1,4,13,84,253,820,2518,7582,22754,74694
round_shots,141,154,134,173,556,120,92,65,38
round_queries,141,462,1206,4671,45036,65880,173788,392535,2102122
round_k,1,4,13,40,274,944,3019,9137,27659
round_shots,149,188,159,229,353,139,78,68,103,16
round_queries,149,564,1431,6183,28593,35445,69342,181492,828635,1181840
round_k,1,4,13,40,127,444,1334,4022,12170,36932
round_shots,168,144,114,137,146,116,94,252,234,4
round_queries,168,432,1026,3699,11826,28420,69654,571284,1607814,465236
round_k,1,4,13,40,122,370,1133,3435,17331,58154
round_shots,151,128,239,165,558,105,72,62,94,3
round_queries,151,384,2151,4455,45198,57855,132264,346394,1582866,458253
round_k,1,4,13,40,275,918,2793,8419,25260,76375
round_shots,148,141,282,477,318,91,80,73,104,14
round_queries,148,423,2538,12879,25758,28483,78000,218197,957944,1184106
round_k,1,4,13,40,156,487,1494,4605,14096,42289
round_shots,167,152,198,129,101,252,269,120,78,20
round_queries,167,456,1782,3483,8181,62244,200943,295560,686010,1698180
round_k,1,4,13,40,123,373,1231,4397,13994,42454
round_shots,167,125,144,230,397,145,87,61,132,4
round_queries,167,375,1296,6210,32157,61915,132675,302133,1962708,567468
round_k,1,4,13,40,213,762,2476,7434,23083,70933
round_shots,174,166,112,129,556,126,69,60,36
round_queries,174,498,1008,3483,45036,69174,144417,377340,2044692
round_k,1,4,13,40,274,1046,3144,9444,28398
round_shots,151,158,145,200,807,116,230,69,8
round_queries,151,474,1305,5400,65367,80388,487370,586569,674056
round_k,1,4,13,40,346,1059,4250,13716,42128
round_shots,165,133,112,297,453,210,173,66,112
round_queries,165,399,1008,8019,36693,99750,315379,367686,5716592
round_k,1,4,13,40,237,911,2785,8432,25520
round_shots,194,130,134,844,249,232,124,105,60,23
round_queries,194,390,1206,22788,20169,56376,115940,306915,536820,1880273
round_k,1,4,13,40,121,467,1461,4473,13542,40875
round_shots,168,185,112,191,263,287,133,90,84,6
round_queries,168,555,1008,5157,21303,69741,116641,281070,865620,568038
round_k,1,4,13,40,121,438,1561,5152,15457,47336
round_shots,133,172,170,107,223,493,110,71,35
round_queries,133,516,1530,2889,18063,119799,178750,426071,2028215
round_k,1,4,13,40,121,812,3000,9542,28974
round_shots,173,271,123,186,512,125,85,62,53
round_queries,173,813,1107,5022,41472,64875,161415,364126,2905301
round_k,1,4,13,40,259,949,2936,8853,27408
round_shots,163,132,261,112,94,689,68,68,39
round_queries,163,396,2349,3024,7614,167427,136612,409972,2169999
round_k,1,4,13,40,121,1004,3014,9048,27820
round_shots,198,174,145,208,199,102,143,110,113,6
round_queries,198,522,1305,5616,16119,24786,105391,244970,756987,678462
round_k,1,4,13,40,121,368,1113,3349,10252,56538
round_shots,182,166,156,196,110,275,369,99,52,3
round_queries,182,498,1404,5292,8910,66825,269001,425205,854412,454671
round_k,1,4,13,40,121,364,2147,8215,24658,75778
round_shots,135,139,167,148,541,122,104,65,67
round_queries,135,417,1503,3996,43821,65758,193752,381355,3571703
round_k,1,4,13,40,269,931,2933,8884,26654
round_shots,177,161,133,115,260,727,81,61,82
round_queries,177,483,1197,3105,21060,176661,168075,380457,4745750
round_k,1,4,13,40,121,1037,3118,9453,28937
round_shots,157,120,134,131,502,288,79,76,58,8
round_queries,157,360,1206,3537,40662,69984,75603,225492,533658,683880
round_k,1,4,13,40,121,478,1483,4600,13880,42742
round_shots,138,200,117,115,96,162,277,112,102,12
round_queries,138,600,1053,3105,7776,39690,204703,373744,1204314,1336956
round_k,1,4,13,40,122,369,1668,5903,18334,55706
round_shots,149,161,142,151,396,137,86,67,52,9
round_queries,149,483,1278,4077,32076,57951,128054,325285,777972,1216935
round_k,1,4,13,40,211,744,2427,7480,22441,67607
round_shots,137,124,133,160,701,161,86,84,25
round_queries,137,372,1197,4320,56781,102557,200982,631092,1739925
round_k,1,4,13,40,318,1168,3756,11471,34798
round_shots,199,124,112,107,472,106,83,94,53,3
round_queries,199,372,1008,2889,38232,52046,135373,460130,790813,404589
round_k,1,4,13,40,245,815,2447,7460,22420,67431
round_shots,263,122,134,148,94,653,233,91,70,23
round_queries,263,366,1206,3996,7614,158679,169857,199017,510650,1667155
round_k,1,4,13,40,121,364,1093,3647,11956,36242
round_shots,160,182,112,197,622,78,388,206,21
round_queries,160,546,1008,5319,50382,45942,685596,1094066,1328103
round_k,1,4,13,40,294,883,2655,9188,31621
round_shots,130,171,161,104,523,288,233,83,59,13
round_queries,130,513,1449,2808,42363,69984,222981,313657,714903,1465945
round_k,1,4,13,40,121,478,1889,6058,18654,56382
round_shots,151,220,134,236,505,97,99,71,62,6
round_queries,151,660,1206,6372,40905,49761,164241,372821,1000618,924930
round_k,1,4,13,40,256,829,2625,8069,24603,77077
round_shots,130,186,196,625,306,102,120,109,24
round_queries,130,558,1764,16875,56610,75786,284760,793847,1680504
round_k,1,4,13,92,371,1186,3641,11323,35010
round_shots,160,172,133,126,214,373,115,137,73,5
round_queries,160,516,1197,3402,17334,90639,152145,630337,1031125,660425
round_k,1,4,13,40,121,661,2300,7062,21541,66042
round_shots,149,171,252,531,183,92,92,77,62,28
round_queries,149,513,2268,14337,14823,22356,69276,191807,473990,1944684
round_k,1,4,13,40,121,376,1245,3822,11498,34726
round_shots,228,161,112,197,358,405,107,98,9
round_queries,228,483,1008,5319,28998,155925,248133,872102,725697
round_k,1,4,13,40,192,1159,4449,13348,40316
round_shots,135,161,120,203,502,98,72,76,59,6
round_queries,135,483,1080,5481,40662,50078,119304,381748,902995,829938
round_k,1,4,13,40,255,828,2511,7652,23053,69161
round_shots,168,127,128,140,101,97,667,66,32
round_queries,168,381,1152,3780,8181,23959,496915,425766,2000416
round_k,1,4,13,40,123,372,3225,10139,31256
round_shots,165,188,128,136,151,686,109,58,41
round_queries,165,564,1152,3672,12231,169442,222469,452110,2894805
round_k,1,4,13,40,123,1020,3897,11767,35302
round_shots,224,157,164,154,573,274,96,188,40
round_queries,224,471,1476,4158,46413,153166,215136,1334612,2555640
round_k,1,4,13,40,279,1120,3549,10648,31945
round_shots,143,194,153,333,317,124,77,180,90,17
round_queries,143,582,1377,8991,25677,38316,81389,579060,873270,1535049
round_k,1,4,13,40,154,528,1608,4851,14664,45148
round_shots,152,188,131,352,339,119,91,119,131,4
round_queries,152,564,1179,9504,27459,42721,111293,469455,1587327,437172
round_k,1,4,13,40,179,611,1972,6058,18210,54646
round_shots,160,124,218,322,376,131,231,125,90,5
round_queries,160,372,1962,8694,30456,53055,325479,534875,1183950,620395
round_k,1,4,13,40,202,704,2139,6577,20467,62039
round_shots,160,161,167,154,144,477,256,67,73,20
round_queries,160,483,1503,4158,11664,115911,187136,186997,615463,1623460
round_k,1,4,13,40,121,365,1395,4215,13528,40586
round_shots,157,136,123,303,320,281,207,141,63,3
round_queries,157,408,1107,8181,25920,90201,234945,622233,834057,368691
round_k,1,4,13,40,160,567,2206,6619,20400,61448
round_shots,138,158,115,123,703,155,120,74,66,26
round_queries,138,474,1035,3321,56943,37665,87480,201650,551958,2005094
round_k,1,4,13,40,121,364,1362,4181,12787,38559
round_shots,163,125,144,104,113,127,94,93,51
round_queries,163,375,1296,2808,9153,30861,69278,209715,2755275
round_k,1,4,13,40,121,368,1127,3391,27012
round_shots,181,136,134,123,618,135,84,81,59,36
round_queries,181,408,1206,3321,50058,32805,61236,177147,426983,2388636
round_k,1,4,13,40,121,364,1093,3618,10877,33175
round_shots,138,172,175,276,402,131,180,104,80,3
round_queries,138,516,1575,7452,32562,56461,273060,507000,1182000,412053
round_k,1,4,13,40,215,758,2437,7387,22480,68675
round_shots,184,120,309,279,411,127,83,65,52,4
round_queries,184,360,2781,7533,33291,56007,136203,329225,808652,568788
round_k,1,4,13,40,220,820,2532,7775,23335,71098
round_shots,171,160,261,725,129,93,118,78,22
round_queries,171,480,2349,19575,26187,64449,270810,549198,1469446
round_k,1,4,13,101,346,1147,3520,10619,33396
round_shots,130,192,112,182,515,291,84,77,81,12
round_queries,130,576,1008,4914,41715,70713,82404,239085,781083,1095084
round_k,1,4,13,40,121,490,1552,4821,14719,45628
round_shots,151,175,183,142,94,192,600,204,30
round_queries,151,525,1647,3834,7614,46656,438600,1212372,1875990
round_k,1,4,13,40,121,365,2971,10408,31266
round_shots,141,165,120,126,105,108,216,259,100,4
round_queries,141,495,1080,3402,8505,26244,157896,567987,1056500,470572
round_k,1,4,13,40,121,365,1096,5282,18918,58821
round_shots,140,120,120,650,90,95,80,60,70
round_queries,140,360,1080,17550,17190,54815,152080,346020,3650710
round_k,1,4,13,95,288,950,2883,8657,26076
round_shots,177,144,145,241,701,122,70,59,41
round_queries,177,432,1305,6507,56781,77714,161350,412351,2608461
round_k,1,4,13,40,318,1152,3494,10510,31810
round_shots,130,154,184,115,110,319,257,163,66,4
round_queries,130,462,1656,3105,8910,77517,187867,462757,711282,429612
round_k,1,4,13,40,121,365,1419,5388,17643,53701
round_shots,135,124,159,360,478,98,102,78,93,3
round_queries,135,372,1431,9720,38718,48314,151266,365742,1327575,395997
round_k,1,4,13,40,246,741,2344,7137,21487,65999
round_shots,149,157,127,120,110,94,108,133,399,55
round_queries,149,471,1143,3240,8910,22842,79380,298053,2699235,3357585
round_k,1,4,13,40,121,367,1120,3382,10174,30523
round_shots,141,128,112,142,208,148,84,69,59,63
round_queries,141,384,1008,3834,16848,35964,61236,157665,408103,3970827
