round_shots,474,359,294,175,93,83,89,98,86
round_queries,474,1077,3234,9275,14973,40753,133411,446782,3659558
round_k,1,5,26,80,245,749,2279,6901,21276
round_shots,346,298,129,108,104,88,226,66,70,5
round_queries,346,894,1419,3564,10296,27368,211762,191862,615930,405665
round_k,1,5,16,49,155,468,1453,4399,13198,40566
round_shots,441,509,180,102,101,105,91,177,56,4
round_queries,441,1527,1980,4182,12423,40635,107835,638793,606312,393132
round_k,1,5,20,61,193,592,1804,5413,16380,49141
round_shots,287,351,195,135,95,88,76,88,53,3
round_queries,287,1053,2145,5535,13775,38984,101916,360184,652059,342051
round_k,1,5,20,72,221,670,2046,6151,18614,57008
round_shots,683,568,337,196,300,118,79,61,33
round_queries,683,1704,3707,10388,53700,66434,135643,331413,1645743
round_k,1,5,26,89,281,858,2716,8235,24935
round_shots,585,244,166,111,110,310,108,77,173,4
round_queries,585,732,1826,4107,12210,105090,109836,238469,1635715,352084
round_k,1,5,18,55,169,508,1548,4727,14182,44010
round_shots,632,269,115,126,224,160,151,104,60,5
round_queries,632,807,1265,4158,23968,52640,150547,319176,552780,419435
round_k,1,5,16,53,164,498,1534,4606,13977,41943
round_shots,616,292,124,252,158,128,94,81,114,10
round_queries,616,876,1364,8316,17854,46464,102930,268677,1134642,897850
round_k,1,5,16,56,181,547,1658,4976,14929,44892
round_shots,626,509,312,357,146,98,74,73,125,14
round_queries,626,1527,3432,12495,15914,32634,77774,230753,1186625,1211490
round_k,1,5,17,54,166,525,1580,4746,14422,43267
round_shots,414,297,116,122,108,93,77,114,76,11
round_queries,414,891,1276,4026,10692,28365,71533,319314,649420,857549
round_k,1,5,16,49,152,464,1400,4272,12895,38979
round_shots,357,503,171,130,101,82,76,66,74,8
round_queries,357,1509,1881,5330,14241,36162,100852,263670,889850,875544
round_k,1,5,20,70,220,663,1997,6012,18037,54721
round_shots,402,249,115,128,106,115,97,86,59,15
round_queries,402,747,1265,4224,11342,38525,99813,267546,552063,1269045
round_k,1,5,16,53,167,514,1555,4678,14100,42301
round_shots,678,299,148,125,102,129,79,81,58,12
round_queries,678,897,1628,4625,11322,43989,80975,254745,559410,1054020
round_k,1,5,18,55,170,512,1572,4822,14627,43917
round_shots,543,439,154,159,171,112,77,75,55,4
round_queries,543,1317,1694,5883,19323,40208,87087,262575,578985,384716
round_k,1,5,18,56,179,565,1750,5263,15831,48089
round_shots,606,391,145,121,98,116,75,96,59,14
round_queries,606,1173,1595,4477,10878,39556,76875,295968,561975,1214514
round_k,1,5,18,55,170,512,1541,4762,14405,43375
round_shots,386,424,124,122,94,101,77,89,56,14
round_queries,386,1272,1364,4026,9306,29997,69839,246085,472024,1068690
round_k,1,5,16,49,148,453,1382,4214,12722,38167
round_shots,495,330,120,100,115,101,73,223,197,8
round_queries,495,990,1320,3300,11385,31411,70445,645585,1744435,641544
round_k,1,5,16,49,155,482,1447,4427,13365,40096
round_shots,425,304,135,137,271,114,76,68,58,6
round_queries,425,912,1485,4521,26829,34314,70148,189788,493406,464706
round_k,1,5,16,49,150,461,1395,4253,12896,38725
round_shots,559,423,110,166,105,97,72,79,56,4
round_queries,559,1269,1210,5478,12495,35987,80856,266151,577080,382188
round_k,1,5,16,59,185,561,1684,5152,15592,47773
round_shots,457,745,110,184,114,178,89,119,55,17
round_queries,457,2235,1210,6072,11970,57138,86953,349503,493515,1372869
round_k,1,5,16,52,160,488,1468,4486,13459,40378
round_shots,724,281,124,125,99,89,87,101,100,8
round_queries,724,843,1364,4125,10593,29281,86565,302091,897900,650952
round_k,1,5,16,53,164,497,1495,4489,13561,40684
round_shots,369,385,135,112,142,95,79,68,56,16
round_queries,369,1155,1485,3696,14626,31255,78921,204476,514360,1326768
round_k,1,5,16,51,164,499,1503,4592,13801,41461
round_shots,479,248,165,179,94,82,84,70,56,11
round_queries,479,744,1815,6623,10622,27798,85428,215950,527016,977427
round_k,1,5,18,56,169,508,1542,4705,14280,44428
round_shots,468,425,136,141,99,86,76,65,59,13
round_queries,468,1275,1496,5217,11187,29842,79420,206115,562801,1131611
round_k,1,5,18,56,173,522,1585,4769,14366,43523
round_shots,334,719,136,124,117,147,101,80,90,12
round_queries,334,2157,1496,4588,13923,52773,109787,261040,883530,1086540
round_k,1,5,18,59,179,543,1631,4908,14986,45272
round_shots,683,464,325,124,120,78,73,64,42
round_queries,683,1392,3575,6572,20280,41730,117165,311744,1860390
round_k,1,5,26,84,267,802,2435,7329,22147
round_shots,452,357,180,130,102,108,76,67,170,3
round_queries,452,1071,1980,5330,14382,47628,106020,288569,2207110,371733
round_k,1,5,20,70,220,697,2153,6491,20622,61955
round_shots,419,250,148,116,102,85,73,68,58,4
round_queries,419,750,1628,4292,12138,31875,82417,231812,594442,370028
round_k,1,5,18,59,187,564,1704,5124,15405,46253
round_shots,506,538,337,129,100,92,75,61,49
round_queries,506,1614,3707,6837,18100,52348,129525,321043,2332155
round_k,1,5,26,90,284,863,2631,7898,23797
round_shots,575,311,128,198,108,136,168,138,102,3
round_queries,575,933,1408,6534,13284,52632,198408,494454,1110882,301263
round_k,1,5,16,61,193,590,1791,5445,16603,50210
round_shots,527,695,312,271,141,87,91,66,66,5
round_queries,527,2085,3432,9485,17061,34713,108927,238854,725802,497845
round_k,1,5,17,60,199,598,1809,5498,16568,49784
round_shots,447,306,165,111,145,84,86,132,63,4
round_queries,447,918,1815,4107,16675,30996,95546,448404,645813,376156
round_k,1,5,18,57,184,555,1698,5125,15584,47019
round_shots,468,531,116,144,105,92,114,70,57,11
round_queries,468,1593,1276,4752,11655,31556,121182,223650,546915,962335
round_k,1,5,16,55,171,531,1597,4797,14447,43742
round_shots,287,385,162,118,116,196,111,70,64,12
round_queries,287,1155,1782,4366,12876,66444,114441,217910,600128,1065300
round_k,1,5,18,55,169,515,1556,4688,14230,44387
round_shots,532,318,115,127,132,179,189,66,58,8
round_queries,532,954,1265,4191,14388,58891,192213,201366,532962,669240
round_k,1,5,16,54,164,508,1525,4594,13799,41827
round_shots,490,496,148,119,110,93,80,70,93,10
round_queries,490,1488,1628,4403,12650,33573,87760,231070,929721,934950
round_k,1,5,18,57,180,548,1650,4998,15399,46747
round_shots,380,423,132,118,126,171,91,178,55,11
round_queries,380,1269,1452,3894,12474,54207,87633,537382,522225,941611
round_k,1,5,16,49,158,481,1509,4747,14266,42800
round_shots,522,411,131,157,126,154,94,70,66,4
round_queries,522,1233,1441,5181,13986,51590,95410,218470,618750,363012
round_k,1,5,16,55,167,507,1560,4687,14255,45376
round_shots,441,319,115,131,184,100,84,83,163,16
round_queries,441,957,1265,4323,18584,30900,78372,234641,1382729,1222416
round_k,1,5,16,50,154,466,1413,4241,12724,38200
round_shots,293,326,121,146,113,103,161,151,105,13
round_queries,293,978,1331,4818,12543,35741,172109,496941,1059975,1193751
round_k,1,5,16,55,173,534,1645,5047,15254,45913
round_shots,611,620,174,128,121,86,207,108,97,6
round_queries,611,1860,1914,5248,16577,37066,270549,436644,1211239,702066
round_k,1,5,20,68,215,653,2021,6243,19335,58505
round_shots,601,352,138,149,94,86,82,172,67,7
round_queries,601,1056,1518,4917,10810,30014,87658,557796,651843,617869
round_k,1,5,16,57,174,534,1621,4864,14698,44133
round_shots,548,250,136,129,90,114,76,79,55,12
round_queries,548,750,1496,4773,10170,38646,78812,250351,534655,1058172
round_k,1,5,18,56,169,518,1584,4860,14665,44090
round_shots,430,534,239,134,339,124,111,65,64,3
round_queries,430,1602,2629,6030,49155,57164,156177,274755,814656,351837
round_k,1,5,22,72,230,703,2113,6364,19139,58639
round_shots,468,552,160,128,93,88,74,66,76,11
round_queries,468,1656,1760,4736,11439,32472,82510,222486,771932,1036387
round_k,1,5,18,61,184,557,1685,5078,15538,47108
round_shots,357,531,136,149,130,93,75,151,55,5
round_queries,357,1593,1496,5513,16510,35619,90975,554623,631675,519465
round_k,1,5,18,63,191,606,1836,5742,17315,51946
round_shots,548,405,113,180,90,119,108,78,57,10
round_queries,548,1215,1243,5940,10710,42483,118260,258102,571653,908430
round_k,1,5,16,59,178,547,1654,5014,15091,45421
round_shots,517,293,108,147,108,148,75,113,54,6
round_queries,517,879,1188,4851,12636,54020,84225,388155,559494,562362
round_k,1,5,16,58,182,561,1717,5180,15605,46863
round_shots,501,591,151,141,95,86,76,67,66,10
round_queries,501,1773,1661,5217,11685,31734,85804,228135,674982,939810
round_k,1,5,18,61,184,564,1702,5113,15460,46990
round_shots,647,410,202,139,92,85,72,65,200,3
round_queries,647,1230,2222,5699,12788,35445,90648,245765,2297800,332547
round_k,1,5,20,69,208,629,1890,5744,18383,55424
round_shots,657,424,160,104,96,88,78,68,57,15
round_queries,657,1272,1760,3432,9504,26488,70746,189516,478857,1145775
round_k,1,5,16,49,150,453,1393,4200,12660,38192
round_shots,662,275,126,141,116,102,85,70,60,4
round_queries,662,825,1386,4653,13108,35190,90865,224910,582420,355764
round_k,1,5,16,56,172,534,1606,4853,14823,44470
round_shots,357,325,112,166,203,82,75,102,172,12
round_queries,357,975,1232,5478,24157,30258,83325,342210,1738404,1095660
round_k,1,5,16,59,184,555,1677,5053,15160,45652
round_shots,484,270,209,132,117,88,107,92,58,4
round_queries,484,810,2299,4356,12285,30184,113955,294124,556278,351252
round_k,1,5,16,52,171,532,1598,4795,14456,43906
round_shots,527,338,188,154,92,184,91,72,61,3
