round_shots,54,25,20,27,77,106,23,27,16,15,16,15,16,15,10
round_queries,54,75,140,405,2387,6678,2921,10287,12240,23415,50192,94215,202672,391035,521530
round_k,0,1,3,7,15,31,63,190,382,780,1568,3140,6333,13034,26076
round_shots,63,29,18,47,27,19,20,19,39,30,101,46,16,19,2
round_queries,63,87,126,705,837,1197,2660,5149,22269,35310,250177,229954,276304,680751,160462
round_k,0,1,3,7,15,31,66,135,285,588,1238,2499,8634,17914,40115
round_shots,36,39,35,34,35,24,20,50,25,22,17,11,10,10
round_queries,36,117,245,510,1085,1512,2540,12950,23225,52250,97087,132693,250530,510330
round_k,0,1,3,7,15,31,63,129,464,1187,2855,6031,12526,25516
round_shots,54,22,18,19,23,26,19,36,67,28,16,18,15,7
round_queries,54,66,126,285,713,1638,2527,10116,37989,66444,102864,254286,457035,431011
round_k,0,1,3,7,15,31,66,140,283,1186,3214,7063,15234,30786
round_shots,34,22,18,50,37,27,20,26,57,22,21,16,15,11
round_queries,34,66,126,750,1147,1755,2660,7046,32661,48510,111321,196912,372405,551397
round_k,0,1,3,7,15,32,66,135,286,1102,2650,6153,12413,25063
round_shots,47,28,28,32,35,49,114,37,19,19,15,15,15,15,6
round_queries,47,84,196,480,1085,3087,14478,9509,15409,31141,55635,116445,233325,473505,378978
round_k,0,1,3,7,15,31,63,128,405,819,1854,3881,7777,15783,31581
round_shots,65,35,22,22,19,27,23,31,45,46,30,15,19,17,3
round_queries,65,105,154,330,589,1755,3059,8525,25425,52210,117630,118815,303829,605217,223515
round_k,0,1,3,7,15,32,66,137,282,567,1960,3960,7995,17800,37252
round_shots,53,56,18,36,35,16,31,22,19,16,17,15,16,10,2
round_queries,53,168,126,540,1085,1008,4061,8690,18031,34000,74987,139755,301264,386870,158646
round_k,0,1,3,7,15,31,65,197,474,1062,2205,4658,9414,19343,39661
round_shots,34,25,28,34,46,46,17,18,18,10,16,15,10,10,3
round_queries,34,75,196,510,1426,2990,3791,8478,18918,22830,74800,142995,192210,389750,239235
round_k,0,1,3,7,15,32,111,235,525,1141,2337,4766,9610,19487,39872
round_shots,39,36,18,33,16,34,37,16,16,16,14,16,15,15,8
round_queries,39,108,126,495,496,2142,4847,6608,13296,27120,49266,115984,222495,449625,479736
round_k,0,1,3,7,15,31,65,206,415,847,1759,3624,7416,14987,29983
round_shots,54,35,22,42,46,18,50,19,16,17,15,15,15,15,2
round_queries,54,105,154,630,1426,1170,7150,9747,18416,39933,74985,150285,301515,604635,162482
round_k,0,1,3,7,15,32,71,256,575,1174,2499,5009,10050,20154,40620
round_shots,39,28,20,23,42,98,89,14,20,16,15,16,10,8
round_queries,39,84,140,345,1302,6370,11837,9002,29980,54928,105225,226000,291490,476536
round_k,0,1,3,7,15,32,66,321,749,1716,3507,7062,14574,29783
round_shots,36,36,18,22,35,19,95,28,16,18,15,14,15,4
round_queries,36,108,126,330,1085,1197,12635,18564,28720,64782,115845,219982,484845,258860
