round_shots,600,300,200,100
round_queries,600,1500,3400,34900
round_k,2,8,33,174
round_shots,900,300,200,100
round_queries,900,2100,6200,57700
round_k,3,15,68,288
round_shots,400,200,200,100
round_queries,400,1000,3400,21900
round_k,2,8,32,109
round_shots,600,300,300,100
round_queries,600,1500,6900,33300
round_k,2,11,46,166
round_shots,500,300,200,100
round_queries,500,1500,3800,29300
round_k,2,9,38,146
round_shots,500,300,200,100
round_queries,500,1500,3800,18700
round_k,2,9,29,93
round_shots,600,200,200,100
round_queries,600,1000,3800,22300
round_k,2,9,32,111
round_shots,600,300,300,100
round_queries,600,1500,5700,35100
round_k,2,9,41,175
round_shots,700,200,200,100
round_queries,700,1000,3400,30700
round_k,2,8,38,153
round_shots,800,200,200,100
round_queries,800,1400,4600,32300
round_k,3,11,53,161
round_shots,700,300,200,100
round_queries,700,1500,3800,21500
round_k,2,9,29,107
round_shots,800,200,300,100
round_queries,800,1000,5100,25700
round_k,2,8,33,128
round_shots,700,300,300,100
round_queries,700,1500,5700,24100
round_k,2,9,38,120
round_shots,700,300,200,100
round_queries,700,1500,3400,19300
round_k,2,8,26,96
round_shots,800,200,200,100
round_queries,800,1000,3800,29700
round_k,2,9,41,148
round_shots,400,300,200,100
round_queries,400,1500,3800,22100
round_k,2,9,29,110
round_shots,400,300,100,100
round_queries,400,1500,1900,30100
round_k,2,9,30,150
round_shots,800,200,300,100
round_queries,800,1400,6900,32900
round_k,3,11,43,164
round_shots,600,200,200,100
round_queries,600,1400,4600,35300
round_k,3,11,50,176
round_shots,600,300,200,100
round_queries,600,1500,3400,32700
round_k,2,8,30,163
round_shots,700,200,200,100
round_queries,700,1400,4600,23300
round_k,3,11,36,116
round_shots,800,300,200,100
round_queries,800,1500,3800,31700
round_k,2,9,42,158
round_shots,500,200,200,100
round_queries,500,1000,3400,32700
round_k,2,8,43,163
round_shots,700,300,300,100
round_queries,700,1500,5700,22300
round_k,2,9,32,111
round_shots,700,300,200,100
round_queries,700,1500,3400,21300
round_k,2,8,30,106
round_shots,400,300,200,100
round_queries,400,1500,3800,25900
round_k,2,9,32,129
round_shots,600,200,200,100
round_queries,600,1400,4600,32500
round_k,3,11,45,162
round_shots,700,200,100,100
round_queries,700,1400,2500,28100
round_k,3,12,42,140
round_shots,500,200,200,100
round_queries,500,1000,3800,26900
round_k,2,9,35,134
round_shots,500,200,100,100
round_queries,500,1000,1700,20500
round_k,2,8,26,102
round_shots,700,200,200,100,100
round_queries,700,1000,3800,5900,61100
round_k,2,9,29,92,305
round_shots,600,200,100,100
round_queries,600,1400,2300,26900
round_k,3,11,35,134
round_shots,600,300,200,100,100
round_queries,600,1500,3400,5900,74900
round_k,2,8,29,89,374
round_shots,800,300,200,100
round_queries,800,1500,4600,48900
round_k,2,11,61,244
round_shots,500,200,200,100
round_queries,500,1000,3400,17500
round_k,2,8,27,87
round_shots,900,200,200,100
round_queries,900,1400,5000,31100
round_k,3,12,44,155
round_shots,800,300,200,100
round_queries,800,1500,3800,29500
round_k,2,9,39,147
round_shots,600,300,200,100
round_queries,600,1500,3800,36100
round_k,2,9,39,180
round_shots,400,200,200,100
round_queries,400,1000,3400,23900
round_k,2,8,27,119
round_shots,400,200,200,100,100
round_queries,400,1000,3400,5500,56100
round_k,2,8,27,93,280
round_shots,500,300,300,100
round_queries,500,1500,5700,32500
round_k,2,9,41,162
round_shots,400,200,100,100,100
round_queries,400,1000,1700,5300,56700
round_k,2,8,26,79,283
round_shots,800,300,200,100
round_queries,800,2100,4600,38300
round_k,3,11,48,191
round_shots,900,200,200,100
round_queries,900,1000,3400,20900
round_k,2,8,29,104
round_shots,500,300,200,100
round_queries,500,1500,3400,23300
round_k,2,8,27,116
round_shots,700,300,200,100
round_queries,700,1500,3800,38300
round_k,2,9,45,191
round_shots,500,300,200,100
round_queries,500,1500,3800,34300
round_k,2,9,32,171
round_shots,900,200,200,100
round_queries,900,1000,3800,20300
round_k,2,9,33,101
round_shots,400,300,100,100
round_queries,400,1500,1900,19900
round_k,2,9,30,99
round_shots,600,300,200,100
round_queries,600,1500,3400,22900
round_k,2,8,29,114
round_shots,800,300,300,100
round_queries,800,2100,6900,30500
round_k,3,11,39,152
round_shots,600,200,200,100
round_queries,600,1400,4600,41900
round_k,3,11,53,209
round_shots,900,200,200,100
round_queries,900,1000,3800,32300
round_k,2,9,45,161
round_shots,700,300,200,100
round_queries,700,1500,3400,25100
round_k,2,8,27,125
round_shots,700,200,200,100
round_queries,700,1400,4600,36500
round_k,3,11,42,182
round_shots,700,200,200,100
round_queries,700,1000,3400,30700
round_k,2,8,30,153
round_shots,500,300,200,100
round_queries,500,1500,3800,21500
round_k,2,9,30,107
round_shots,400,300,200,100
round_queries,400,1500,3400,21500
round_k,2,8,30,107
round_shots,400,200,100,100
round_queries,400,1000,2300,26500
round_k,2,11,35,132
round_shots,400,200,200,100
round_queries,400,1000,4600,27100
round_k,2,11,38,135
round_shots,500,300,100,100
round_queries,500,1500,1700,27900
round_k,2,8,26,139
round_shots,400,300,200,200
round_queries,400,1500,3800,52200
round_k,2,9,35,130
round_shots,900,300,200,100
round_queries,900,1500,3800,39900
round_k,2,9,35,199
round_shots,800,300,200,100
round_queries,800,1500,3800,36100
round_k,2,9,33,180
round_shots,700,300,200,100
round_queries,700,1500,3800,20700
round_k,2,9,32,103
round_shots,500,300,200,100
round_queries,500,1500,3800,19900
round_k,2,9,30,99
round_shots,700,300,200,100
round_queries,700,1500,3400,22100
round_k,2,8,32,110
round_shots,500,200,200,100
round_queries,500,1000,3800,26300
round_k,2,9,36,131
round_shots,400,300,200,100
round_queries,400,1500,3800,25700
round_k,2,9,39,128
round_shots,800,300,200,100
round_queries,800,1500,3800,48900
round_k,2,9,49,244
round_shots,800,300,200,100
