round_queries,300,1000,2300,7500,141500
round_k,2,11,37,159,707
round_shots,400,200,100,100,100,100
round_queries,400,1000,2300,8900,32700,757300
round_k,2,11,44,163,694,3786
round_shots,400,300,100,100,100
round_queries,400,1500,2700,9700,177900
round_k,2,13,48,190,889
round_shots,300,200,100,100,100,100
round_queries,300,1000,1900,6100,22100,544700
round_k,2,9,30,110,509,2723
round_shots,400,200,100,100,100,100
round_queries,400,1000,1900,5700,20700,493100
round_k,2,9,28,103,470,2465
round_shots,400,200,100,100,100,100
round_queries,400,1000,1900,6500,23900,560500
round_k,2,9,32,119,542,2802
round_shots,500,300,100,100,100
round_queries,500,1500,2700,8100,163700
round_k,2,13,40,172,818
round_shots,300,300,100,100,100
round_queries,300,1500,2700,9500,182300
round_k,2,13,47,198,911
round_shots,500,200,100,100,100,100
round_queries,500,1000,1900,6100,22500,505300
round_k,2,9,30,112,482,2526
round_shots,400,100,100,100,100,100
round_queries,400,500,1500,4700,16700,320900
round_k,2,7,23,83,354,1604
round_shots,400,200,100,100,100,100
round_queries,400,1000,2300,7900,29300,708100
round_k,2,11,39,146,649,3540
round_shots,300,100,100,100,100,100
round_queries,300,500,1500,4700,18500,405300
round_k,2,7,23,92,393,2026
round_shots,300,300,100,100,100
round_queries,300,1500,2700,9700,190500
round_k,2,13,48,200,952
round_shots,300,200,100,100,100,100
round_queries,300,1000,1900,6900,27900,633900
round_k,2,9,34,139,600,3169
round_shots,500,200,100,100,100,100
round_queries,500,600,900,3300,11100,221300
round_k,1,4,16,55,231,1106
round_shots,400,200,100,100,100
round_queries,400,1000,2300,8300,159700
round_k,2,11,41,169,798
round_shots,400,200,100,100,100,100
round_queries,400,1000,2300,7500,29100,712100
round_k,2,11,37,145,649,3560
round_shots,400,200,100,100,100,100
round_queries,400,1000,1900,6100,24900,580300
round_k,2,9,30,124,548,2901
round_shots,500,200,100,100,100,100
round_queries,500,1000,1900,6100,22100,524300
round_k,2,9,30,110,506,2621
round_shots,300,200,100,100,100,100
round_queries,300,1000,2300,7900,30700,748500
round_k,2,11,39,153,683,3742
round_shots,400,200,100,100,100,100
round_queries,400,1000,1900,6100,22100,509900
round_k,2,9,30,110,483,2549
round_shots,400,300,100,100,100
round_queries,400,1500,2700,9700,190900
round_k,2,13,48,201,954
round_shots,300,200,100,100,100,100
round_queries,300,1000,1900,6100,23500,525500
round_k,2,9,30,117,506,2627
round_shots,300,200,100,100,100
round_queries,300,1000,2300,8100,155300
round_k,2,11,40,168,776
round_shots,300,100,200,100,100,100
round_queries,300,500,3000,6700,25700,633500
round_k,2,7,33,128,594,3167
round_shots,400,200,200,100,100,100
round_queries,400,600,1800,3700,12900,253100
round_k,1,4,18,64,262,1265
round_shots,300,100,100,100,100,100
round_queries,300,500,1500,5100,20500,473700
round_k,2,7,25,102,453,2368
round_shots,300,200,100,100,100
round_queries,300,1000,2300,7900,143700
round_k,2,11,39,154,718
round_shots,300,300,100,100,100
round_queries,300,1500,2700,8700,171900
round_k,2,13,43,182,859
round_shots,300,100,100,100,100,100
round_queries,300,500,1500,4700,18300,402700
round_k,2,7,23,91,394,2013
round_shots,300,200,100,100,100,100
round_queries,300,1000,1900,6100,24500,578700
round_k,2,9,30,122,550,2893
round_shots,500,100,100,100,100,100
round_queries,500,500,1500,4700,17300,347300
round_k,2,7,23,86,339,1736
round_shots,300,200,100,100,100,100
round_queries,300,1000,1900,6500,23500,559100
round_k,2,9,32,117,533,2795
round_shots,500,100,100,100,100,100
round_queries,500,300,900,2700,9100,164900
round_k,1,4,13,45,187,824
round_shots,400,300,100,100,100
round_queries,400,1500,2700,9300,168100
round_k,2,13,46,176,840
round_shots,400,100,200,100,100,100
round_queries,400,300,1800,3700,12900,282700
round_k,1,4,18,64,287,1413
round_shots,400,200,100,100,100,100
round_queries,400,1000,2300,7500,27700,662300
round_k,2,11,37,138,611,3311
round_shots,400,200,100,100,100,100
round_queries,400,1000,1900,6100,23900,532900
round_k,2,9,30,119,511,2664
round_shots,400,200,100,100,100,100
round_queries,400,1000,1900,6900,25100,592100
round_k,2,9,34,125,549,2960
round_shots,300,100,100,100,100,100
round_queries,300,500,1500,4700,17900,387900
round_k,2,7,23,89,380,1939
round_shots,300,200,100,100,100,100
round_queries,300,1000,1900,6500,24500,582700
round_k,2,9,32,122,548,2913
round_shots,300,300,100,100,100
round_queries,300,1500,2700,10500,215100
round_k,2,13,52,222,1075
round_shots,500,300,100,100,100,100
round_queries,500,1500,2300,7900,30100,748500
round_k,2,11,39,150,683,3742
round_shots,300,300,100,100,100
round_queries,300,1500,2700,10500,202500
round_k,2,13,52,219,1012
round_shots,300,100,100,100,100,100
round_queries,300,500,1500,4700,17700,383300
round_k,2,7,23,88,380,1916
round_shots,300,300,100,100,100,100
round_queries,300,1500,2300,7300,28900,717100
round_k,2,11,36,144,666,3585
round_shots,400,200,100,100,100,100
round_queries,400,1000,1900,6900,25900,648300
round_k,2,9,34,129,601,3241
round_shots,400,300,100,100,100
round_queries,400,1500,2700,9700,171900
round_k,2,13,48,181,859
round_shots,300,200,100,100,100,100
round_queries,300,1000,1900,6100,24500,587100
round_k,2,9,30,122,552,2935
round_shots,400,100,100,100,100,100
round_queries,400,500,1500,4700,16300,321900
round_k,2,7,23,81,334,1609
round_shots,400,200,100,100,100,100
round_queries,400,1000,2300,7500,27300,685100
round_k,2,11,37,136,635,3425
round_shots,400,300,100,100,100
round_queries,400,1500,2300,7700,142700
round_k,2,11,38,157,713
round_shots,300,200,100,100,100,100
round_queries,300,1000,1900,6500,27100,592900
round_k,2,9,32,135,568,2964
round_shots,300,300,100,100,100
round_queries,300,1500,2700,10100,195500
round_k,2,13,50,200,977
round_shots,500,200,100,100,100,100
round_queries,500,1000,1900,5700,21500,491100
round_k,2,9,28,107,470,2455
round_shots,300,200,100,100,100
round_queries,300,1000,2300,9100,158900
round_k,2,11,45,172,794
round_shots,300,300,100,100,100
round_queries,300,1500,2700,10700,211900
round_k,2,13,53,222,1059
round_shots,400,200,100,100,100
round_queries,400,1000,2300,7900,152700
round_k,2,11,39,165,763
round_shots,300,200,100,100,100,100
round_queries,300,1000,1900,6100,24900,588500
round_k,2,9,30,124,550,2942
round_shots,300,200,100,100,100,100
round_queries,300,1000,2300,7900,29300,719900
round_k,2,11,39,146,653,3599
round_shots,400,200,100,100,100
round_queries,400,1000,2300,8900,154500
round_k,2,11,44,179,772
round_shots,300,200,100,100,100,100
round_queries,300,1000,1900,6100,23300,534500
round_k,2,9,30,116,512,2672
round_shots,400,200,100,100,100,100
round_queries,400,1000,1900,6700,25900,633700
round_k,2,9,33,129,593,3168
round_shots,500,200,100,100,100
round_queries,500,1000,2300,7900,142500
round_k,2,11,39,151,712
round_shots,400,100,100,100,100,100
round_queries,400,500,1500,4700,16500,352900
round_k,2,7,23,82,347,1764
round_shots,300,200,100,100,100,100
round_queries,300,1000,1900,7100,28700,715500
round_k,2,9,35,143,656,3577
round_shots,300,300,100,100,100
round_queries,300,1500,2700,9700,180100
round_k,2,13,48,191,900
round_shots,400,200,100,100,100,100
round_queries,400,1000,2300,7500,27700,677500
round_k,2,11,37,138,624,3387
round_shots,400,200,100,100,100,100
round_queries,400,1000,1900,6900,29100,702300
round_k,2,9,34,145,658,3511
round_shots,500,200,100,100,100,100
round_queries,500,1000,1900,6100,23900,504100
round_k,2,9,30,119,495,2520
round_shots,400,200,100,100,100,100
round_queries,400,1000,1900,6500,23500,552500
round_k,2,9,32,117,524,2762
round_shots,300,200,100,100,100
round_queries,300,1000,2300,7900,152100
round_k,2,11,39,164,760
round_shots,300,200,100,100,100,100
round_queries,300,1000,1900,6100,23300,536300
round_k,2,9,30,116,505,2681
round_shots,400,200,100,100,100
round_queries,400,1000,2300,8300,160900
round_k,2,11,41,170,804
round_shots,300,300,100,100,100
round_queries,300,1500,2700,9700,180500
round_k,2,13,48,190,902
round_shots,300,200,100,100,100,100
round_queries,300,1000,2300,6900,27900,666500
round_k,2,11,34,139,633,3332
round_shots,300,200,100,100,100,100
round_queries,300,1000,1900,6100,25300,590100
round_k,2,9,30,126,559,2950
round_shots,400,200,100,100,100,100
round_queries,400,1000,1900,6100,24100,568500
round_k,2,9,30,120,541,2842
round_shots,500,100,200,100,100,100
round_queries,500,300,1800,3300,12100,251500
round_k,1,4,16,60,266,1257
round_shots,400,200,100,100,100,100
round_queries,400,1000,1900,6100,25100,560300
round_k,2,9,30,125,538,2801
round_shots,400,200,100,100,100,100
round_queries,400,1000,2300,7900,28500,631900
round_k,2,11,39,142,595,3159
round_shots,300,200,100,100,100,100
round_queries,300,1000,1900,6100,23900,542300
round_k,2,9,30,119,515,2711
round_shots,300,200,100,100,100
round_queries,300,1000,2300,8300,148100
round_k,2,11,41,161,740
round_shots,500,300,100,100,100
round_queries,500,1500,2300,7500,141500
round_k,2,11,37,152,707
round_shots,500,100,200,100,100,100
round_queries,500,500,3000,6500,24300,559300
round_k,2,7,32,121,523,2796
round_shots,400,200,100,100,100,100
round_queries,400,1000,2300,7300,28900,715300
round_k,2,11,36,144,662,3576
round_shots,300,100,100,100,100,100
round_queries,300,500,1500,4700,18100,401900
round_k,2,7,23,90,395,2009
round_shots,300,200,100,100,100,100
round_queries,300,1000,1900,6500,25500,627900
round_k,2,9,32,127,592,3139
round_shots,400,200,100,100,100,100
round_queries,400,1000,1900,6100,25100,595700
round_k,2,9,30,125,561,2978
round_shots,300,200,100,100,100
round_queries,300,1000,2300,7300,143700
round_k,2,11,36,152,718
round_shots,300,200,100,100,100,100
round_queries,300,1000,1900,7100,28700,720500
round_k,2,9,35,143,662,3602
round_shots,300,300,100,100,100
round_queries,300,1500,2700,9300,191500
round_k,2,13,46,199,957
round_shots,400,200,100,100,100,100
round_queries,400,1000,2300,6900,26900,620900
round_k,2,11,34,134,580,3104
round_shots,400,200,100,100,100,100
round_queries,400,1000,1900,7100,29500,649300
round_k,2,9,35,147,603,3246
round_shots,400,200,100,100,100
round_queries,400,1000,2300,7900,159100
round_k,2,11,39,168,795
round_shots,300,200,100,100,100
round_queries,300,1000,2300,8900,152700
round_k,2,11,44,179,763
round_shots,400,200,100,100,100
round_queries,400,1000,2300,8100,157900
round_k,2,11,40,170,789
round_shots,300,100,100,100,100,100
round_queries,300,300,900,2700,9300,176900
round_k,1,4,13,46,185,884
round_shots,400,200,100,100,100,100
round_queries,400,1000,2300,7900,31300,717700
round_k,2,11,39,156,663,3588
round_shots,500,200,100,100,100,100
round_queries,500,1000,2300,7500,28100,684700
round_k,2,11,37,140,635,3423
round_shots,500,200,200,100,100,100
round_queries,500,600,2600,5500,21900,484700
round_k,1,6,27,109,467,2423
round_shots,300,200,100,100,100,100
round_queries,300,1000,1900,6700,25100,588700
round_k,2,9,33,125,548,2943
round_shots,300,200,100,100,100
round_queries,300,1000,2300,7900,149900
round_k,2,11,39,159,749
round_shots,400,300,100,100,100
round_queries,400,1500,2700,10500,219500
round_k,2,13,52,227,1097
round_shots,300,300,100,100,100
round_queries,300,1500,2700,10100,186500
round_k,2,13,50,199,932
round_shots,300,200,100,100,100
round_queries,300,1000,2300,8700,172700
round_k,2,11,43,181,863
round_shots,300,200,100,100,100
round_queries,300,1000,2300,8300,145900
round_k,2,11,41,158,729
round_shots,500,200,100,100,100,100
round_queries,500,1000,2300,7300,27100,674500
round_k,2,11,36,135,621,3372
round_shots,300,200,100,100,100
round_queries,300,1000,2300,7900,151900
round_k,2,11,39,165,759
round_shots,500,200,100,100,100,100
round_queries,500,1000,1900,6100,22100,543500
round_k,2,9,30,110,509,2717
round_shots,300,200,100,100,100,100
round_queries,300,1000,2300,8300,31700,742100
round_k,2,11,41,158,684,3710
round_shots,300,200,100,100,100
round_queries,300,1000,2300,8300,155300
round_k,2,11,41,165,776
round_shots,300,100,100,100,100,100
round_queries,300,500,1500,4700,17100,367100
round_k,2,7,23,85,372,1835
round_shots,400,200,100,100,100,100
round_queries,400,1000,1900,6900,28500,703700
round_k,2,9,34,142,653,3518
round_shots,300,300,100,100,100
round_queries,300,1500,2700,9700,177100
round_k,2,13,48,189,885
round_shots,300,200,200,100,100
round_queries,300,1000,3800,8300,150700
round_k,2,9,41,161,753
round_shots,300,200,100,100,100
round_queries,300,1000,2300,8100,141300
round_k,2,11,40,153,706
round_shots,400,300,100,100,100
round_queries,400,1500,2300,8300,151500
round_k,2,11,41,166,757
round_shots,500,200,100,100,100
round_queries,500,1000,2300,8900,151100
round_k,2,11,44,165,755
round_shots,300,200,100,100,100,100
round_queries,300,1000,1900,6100,21100,436300
round_k,2,9,30,105,418,2181
round_shots,500,200,100,100,100
round_queries,500,1000,2300,7900,145700
round_k,2,11,39,159,728
round_shots,400,100,200,100,100,100
round_queries,400,300,1800,3300,12500,230700
round_k,1,4,16,62,249,1153
round_shots,400,200,100,100,100,100
round_queries,400,1000,1700,5500,21500,486500
round_k,2,8,27,107,473,2432
round_shots,400,100,100,100,100,100
round_queries,400,300,900,2700,10300,202300
round_k,1,4,13,51,210,1011
round_shots,400,300,100,100,100
round_queries,400,1500,2700,8700,151900
round_k,2,13,43,167,759
round_shots,300,200,100,100,100,100
round_queries,300,1000,2300,7900,28900,653300
round_k,2,11,39,144,620,3266
round_shots,300,200,100,100,100,100
round_queries,300,1000,2300,7900,28900,718900
round_k,2,11,39,144,683,3594
round_shots,400,200,100,100,100,100
round_queries,400,1000,1900,6500,23900,576300
round_k,2,9,32,119,542,2881
round_shots,300,200,100,100,100,100
