round_k,0,2,11,50,238,1188,5914,29996,151903
round_shots,100,200,100,100,100,100,100,100,100,100
round_queries,100,600,700,2700,13100,63700,319500,1595700,8022700,40694900
round_k,0,1,3,13,65,318,1597,7978,40113,203474
round_shots,200,100,100,100,100,100,100,100,100,100
round_queries,200,300,700,2900,12700,60900,302500,1505700,7637300,38417100
round_k,0,1,3,14,63,304,1512,7528,38186,192085
round_shots,100,100,100,100,100,100,100,100,100,100
round_queries,100,300,700,2900,12500,57700,285900,1357700,6614100,33224900
round_k,0,1,3,14,62,288,1429,6788,33070,166124
round_shots,100,200,100,100,100,100,100,100,100
round_queries,100,600,1900,8500,42300,206900,1045300,5297900,26673700
round_k,0,1,9,42,211,1034,5226,26489,133368
round_shots,200,300,100,100,100,100,100,100,100
round_queries,200,900,2300,9300,44900,223700,1118500,5648100,28492100
round_k,0,1,11,46,224,1118,5592,28240,142460
round_shots,100,200,100,100,100,100,100,100,100
round_queries,100,1000,2700,13300,64300,316100,1598100,7962100,40311100
round_k,0,2,13,66,321,1580,7990,39810,201555
round_shots,100,200,100,100,100,100,100,100,100,100
round_queries,100,600,700,2500,10300,48100,233900,1168500,5916500,30022100
round_k,0,1,3,12,51,240,1169,5842,29582,150110
round_shots,100,100,100,100,100,100,100,100,100,100
round_queries,100,300,700,2500,10900,52100,258500,1301700,6569900,33306500
round_k,0,1,3,12,54,260,1292,6508,32849,166532
round_shots,100,200,100,100,100,100,100,100,100,100
round_queries,100,600,700,2900,12300,60100,292500,1464900,7400100,37338700
round_k,0,1,3,14,61,300,1462,7324,37000,186693
round_shots,100,100,200,100,100,100,100,100,100,100
round_queries,100,300,1400,3700,16300,78300,383900,1915500,9565100,48484500
round_k,0,1,3,18,81,391,1919,9577,47825,242422
round_shots,100,200,100,100,100,100,100,100,100,100
round_queries,100,600,700,2700,11300,52700,264500,1324900,6699300,33916900
round_k,0,1,3,13,56,263,1322,6624,33496,169584
round_shots,100,200,100,100,100,100,100,100,100,100
round_queries,100,600,700,2300,9900,47700,235900,1170700,5874700,29779500
round_k,0,1,3,11,49,238,1179,5853,29373,148897
round_shots,100,200,100,100,100,100,100,100,100,100
