round_shots,1900,1100,400,300,300,300,300,300,200,200,200,200,100
round_queries,1900,3300,4400,8100,18900,52500,128700,293700,475400,1018200,2323000,5264600,5458500
round_k,0,1,5,13,31,87,214,489,1188,2545,5807,13161,27292
round_shots,1100,1300,300,300,200,200,200,200,200,200,200,300,300,100
round_queries,1100,3900,3300,7500,12200,24600,51800,113400,249000,561800,1188200,3890700,8252700,6228300
round_k,0,1,5,12,30,61,129,283,622,1404,2970,6484,13754,31141
round_shots,1300,1300,300,300,300,200,300,200,200,200,200,400,200
round_queries,1300,3900,3300,7500,18900,32200,107700,179000,387400,810200,1831400,8156400,9695800
round_k,0,1,5,12,31,80,179,447,968,2025,4578,10195,24239
round_shots,1200,1100,300,300,300,300,200,200,200,300,200,300,200
round_queries,1200,3300,3300,6900,14700,36300,58600,129000,265800,866100,1521000,4872900,8050600
round_k,0,1,5,11,24,60,146,322,664,1443,3802,8121,20126
round_shots,1400,1100,400,400,300,200,300,200,200,200,200,200,200
round_queries,1400,3300,4400,10800,18900,29800,93300,165000,359800,799800,1764200,4053400,9206200
round_k,0,1,5,13,31,74,155,412,899,1999,4410,10133,23015
round_shots,1200,1400,200,300,200,300,400,200,200,200,200,200,200
round_queries,1200,4200,2600,8100,13000,39900,114800,157800,352600,805000,1752600,3817800,8580600
round_k,0,1,6,13,32,66,143,394,881,2012,4381,9544,21451
round_shots,900,1400,400,200,300,400,300,200,200,300,200,200,100
round_queries,900,4200,5200,7400,22500,81200,161700,266600,588200,1976100,3554200,7408200,7475700
round_k,0,1,6,18,37,101,269,666,1470,3293,8885,18520,37378
round_shots,1200,1200,400,300,300,400,300,400,200,200,400,300,100
round_queries,1200,3600,4400,7500,19500,60400,96300,306000,404200,828200,3773200,7368300,5325700
round_k,0,1,5,12,32,75,160,382,1010,2070,4716,12280,26628
round_shots,1000,1500,300,300,300,200,300,200,200,200,200,300,300
round_queries,1000,4500,3300,6900,18300,31000,93900,143800,323800,721800,1472600,4727100,12420900
round_k,0,1,5,11,30,77,156,359,809,1804,3681,7878,20701
round_shots,1300,1200,300,200,300,200,200,200,200,300,300,200,200
round_queries,1300,3600,3300,5000,15300,25000,50200,112600,250200,837300,2221500,3861000,8883000
round_k,0,1,5,12,25,62,125,281,625,1395,3702,9652,22207
round_shots,1600,1500,1000,400,200,300,300,200,200,200,200,200,100
round_queries,1600,4500,9000,10000,14600,44100,108900,201400,444200,951000,2166600,4881800,5614500
round_k,0,1,4,12,36,73,181,503,1110,2377,5416,12204,28072
round_shots,900,1200,400,300,300,300,300,300,300,200,300,200,200,100
round_queries,900,3600,4400,7500,15300,33300,68100,168900,380700,614600,1912500,3359800,6938600,7579500
round_k,0,1,5,12,25,55,113,281,634,1536,3187,8399,17346,37897
round_shots,1600,1300,300,300,300,300,200,200,200,200,200,200,200,100
round_queries,1600,3900,3300,7500,15300,33300,52600,112200,225000,467000,987000,2151000,4879000,5312700
round_k,0,1,5,12,25,55,131,280,562,1167,2467,5377,12197,26563
round_shots,1600,1200,300,300,300,200,200,300,200,200,200,200,200
round_queries,1600,3600,3300,7500,18900,32200,69400,230100,396600,862200,1925400,4336200,10005400
round_k,0,1,5,12,31,80,173,383,991,2155,4813,10840,25013
round_shots,1600,1200,300,300,300,300,200,200,200,200,300,200,200
round_queries,1600,3600,3300,7500,17700,37500,59000,118600,259000,575000,1809300,3084200,6962600
round_k,0,1,5,12,29,62,147,296,647,1437,3015,7710,17406
round_shots,1100,1100,400,300,300,200,200,200,200,200,200,300,200
round_queries,1100,3300,4400,8100,18900,30600,61400,135400,301000,607800,1358200,4561500,7991000
round_k,0,1,5,13,31,76,153,338,752,1519,3395,7602,19977
round_shots,1000,1200,300,300,300,300,200,200,200,200,200,200,100
round_queries,1000,3600,3300,7500,18300,51300,90600,195800,445400,1003400,2204600,4965000,5683100
round_k,0,1,5,12,30,85,226,489,1113,2508,5511,12412,28415
round_shots,1400,1100,300,300,200,300,300,400,500,300,200,200,200,100
round_queries,1400,3300,3300,6900,11800,36300,78300,230000,613500,927900,1298200,2675800,6182200,7156100
round_k,0,1,5,11,29,60,130,287,613,1546,3245,6689,15455,35780
round_shots,1700,1200,300,300,200,300,200,200,200,200,300,200,200,100
round_queries,1700,3600,3300,6900,9800,29700,49000,105800,231000,513800,1674900,2810200,6301800,7195700
round_k,0,1,5,11,24,49,122,264,577,1284,2791,7025,15754,35978
round_shots,1800,1400,400,300,300,200,200,200,200,300,200,300,200
round_queries,1800,4200,4400,8100,18900,30600,61400,135400,304200,1011900,1746200,6028500,9578200
round_k,0,1,5,13,31,76,153,338,760,1686,4365,10047,23945
round_shots,1100,1200,400,400,300,200,200,200,200,200,200,200,200
round_queries,1100,3600,4400,10800,18300,27400,62200,129800,276600,628200,1354200,3079800,7094600
round_k,0,1,5,13,30,68,155,324,691,1570,3385,7699,17736
round_shots,1200,1300,300,300,400,300,300,300,200,200,300,200,200
round_queries,1200,3900,3300,7500,25200,43500,88500,186300,285800,637400,2168700,3610600,7627800
round_k,0,1,5,12,31,72,147,310,714,1593,3614,9026,19069
round_shots,1400,1200,400,300,300,200,200,200,200,300,200,200,200
round_queries,1400,3600,4400,7500,17700,31400,67400,149400,303400,932100,1648200,3317400,7596200
round_k,0,1,5,12,29,78,168,373,758,1553,4120,8293,18990
round_shots,1900,1400,300,300,300,300,300,300,200,300,200,200,200
round_queries,1900,4200,3300,7500,18300,42900,104700,245100,442200,1376700,2307400,4683800,10389400
round_k,0,1,5,12,30,71,174,408,1105,2294,5768,11709,25973
round_shots,1500,1400,400,300,200,200,200,200,200,200,200,300,200,100
round_queries,1500,4200,4400,8100,13000,26200,57400,115400,235400,523000,1049400,3528300,6141800,6842900
round_k,0,1,5,13,32,65,143,288,588,1307,2623,5880,15354,34214
round_shots,900,1400,300,200,300,200,200,200,200,200,200,200,200
round_queries,900,4200,3300,5000,15300,25000,55000,119800,269400,616200,1394600,3098200,7161800
round_k,0,1,5,12,25,62,137,299,673,1540,3486,7745,17904
round_shots,1400,1200,300,300,200,300,200,200,200,200,200,200,300,100
round_queries,1400,3600,3300,7500,11800,35700,55400,115400,245400,525000,1201800,2509000,8472900,7611300
round_k,0,1,5,12,29,59,138,288,613,1312,3004,6272,14121,38056
round_shots,800,1300,300,300,300,200,200,200,200,300,200,300,200
round_queries,800,3900,3900,8100,19500,33800,70200,150600,340200,1103100,2003000,6602100,11145400
round_k,0,1,6,13,32,84,175,376,850,1838,5007,11003,27863
round_shots,1600,1500,300,300,200,200,200,200,200,200,200,200,200,100
round_queries,1600,4500,3300,7500,12200,26600,55800,119000,262600,566200,1278200,2906600,6473800,6975900
round_k,0,1,5,12,30,66,139,297,656,1415,3195,7266,16184,34879
round_shots,1300,1300,400,300,200,300,200,200,200,200,300,400,100
round_queries,1300,3900,4400,8100,12600,38100,71000,159800,355000,799000,2594100,9120400,5892300
round_k,0,1,5,13,31,63,177,399,887,1997,4323,11400,29461
round_shots,1000,1300,500,400,200,300,300,300,300,200,200,200,100
round_queries,1000,3900,5500,10800,15400,47100,120300,292500,716100,1114200,2344600,5286600,5479700
round_k,0,1,5,13,38,78,200,487,1193,2785,5861,13216,27398
round_shots,1900,1200,300,300,200,200,200,300,200,200,200,300,200
round_queries,1900,3600,3300,7500,12200,26600,53400,163500,293800,635800,1349800,4620900,7845000
round_k,0,1,5,12,30,66,133,272,734,1589,3374,7701,19612
round_shots,1000,1200,400,300,300,300,200,200,200,200,200,200,200
round_queries,1000,3600,4400,8100,18900,42900,72200,162200,368200,829000,1838600,4132600,9192600
round_k,0,1,5,13,31,71,180,405,920,2072,4596,10331,22981
round_shots,1300,1200,300,300,200,300,200,200,200,200,200,200,200
round_queries,1300,3600,3300,7500,12200,36900,68600,151800,333000,747000,1665800,3696200,8455400
round_k,0,1,5,12,30,61,171,379,832,1867,4164,9240,21138
round_shots,800,1300,500,300,300,300,300,300,200,200,200,200,200
round_queries,800,3900,5500,8100,18900,39300,84900,194700,334200,769400,1756200,3958200,8892600
round_k,0,1,5,13,31,65,141,324,835,1923,4390,9895,22231
round_shots,1300,1200,300,200,200,300,200,200,200,200,200,200,200
round_queries,1300,3600,3300,5000,10200,34500,61000,134600,302200,663000,1524200,3286600,7178200
round_k,0,1,5,12,25,57,152,336,755,1657,3810,8216,17945
round_shots,1600,1400,400,300,300,200,200,300,200,200,200,200,200
round_queries,1600,4200,4400,7500,18300,29400,61400,194700,326600,726600,1676600,3844200,8834600
round_k,0,1,5,12,30,73,153,324,816,1816,4191,9610,22086
round_shots,1200,1400,500,300,300,200,200,200,200,200,200,200,200,100
round_queries,1200,4200,5500,8100,18900,28600,62200,129400,285000,590200,1287000,2923800,6699400,7549900
round_k,0,1,5,13,31,71,155,323,712,1475,3217,7309,16748,37749
round_shots,1100,1100,400,400,300,400,300,300,200,200,200,200,200
round_queries,1100,3300,4400,10800,22500,62000,102300,206700,323000,667000,1525000,3416200,7805000
round_k,0,1,5,13,37,77,170,344,807,1667,3812,8540,19512
round_shots,1000,1100,300,300,200,300,200,200,200,200,300,300,200
round_queries,1000,3300,3300,7500,12200,37500,59000,118600,266600,590200,1892100,4870500,8317800
round_k,0,1,5,12,30,62,147,296,666,1475,3153,8117,20794
round_shots,1600,1400,300,300,300,300,300,300,300,200,200,200,300
round_queries,1600,4200,3300,7500,18900,39900,81300,183300,437700,764200,1563400,3187400,10944300
round_k,0,1,5,12,31,66,135,305,729,1910,3908,7968,18240
round_shots,1300,1200,400,300,200,200,200,200,200,200,200,200,200,100
round_queries,1300,3600,4400,8100,12600,25400,55800,122200,277400,595000,1203400,2650600,6148200,7093100
round_k,0,1,5,13,31,63,139,305,693,1487,3008,6626,15370,35465
round_shots,1300,1300,400,200,300,200,200,200,200,200,200,200,200
round_queries,1300,3900,4400,5000,15300,27800,58200,131400,295400,664200,1470200,3369800,7677000
round_k,0,1,5,12,25,69,145,328,738,1660,3675,8424,19192
round_shots,1400,1300,300,300,200,300,300,300,300,300,300,200,300
round_queries,1400,3900,3300,7500,12200,39900,98700,236100,488700,1022700,2196300,3614600,11915100
round_k,0,1,5,12,30,66,164,393,814,1704,3660,9036,19858
round_shots,1400,1300,300,300,300,400,300,300,200,200,200,300,100
round_queries,1400,3900,3900,8100,18900,52400,108300,283500,465000,1051400,2420600,7735500,5164100
round_k,0,1,6,13,31,65,180,472,1162,2628,6051,12892,25820
round_shots,1400,1400,400,300,200,300,300,200,200,200,200,200,300
round_queries,1400,4200,4400,7500,12200,37500,84900,136200,299400,670600,1457000,3060600,9860100
round_k,0,1,5,12,30,62,141,340,748,1676,3642,7651,16433
round_shots,1300,1300,300,300,200,200,200,200,200,200,200,200,300
round_queries,1300,3900,3300,7500,12200,24600,54200,118200,261000,591000,1349400,3058600,9972900
round_k,0,1,5,12,30,61,135,295,652,1477,3373,7646,16621
round_shots,1000,1300,400,300,400,300,200,200,200,200,200,200,200
