round_shots,1200,1200,300,300,300,200,200,200,200,200,200,200,200,200,200,200,100
round_queries,1200,3600,3300,7500,18300,29800,64200,138600,286600,573800,1271000,2794600,6293800,13253400,29984200,63957000,72318700
round_k,0,1,5,12,30,74,160,346,716,1434,3177,6986,15734,33133,74960,159892,361593
round_shots,1700,1200,400,500,300,200,200,200,300,200,300,200,100,200,300,100
round_queries,1700,3600,4400,13500,21900,32600,67400,147400,487500,871800,2724900,4829400,5372300,22953400,77709300,57552700
round_k,0,1,5,13,36,81,168,368,812,2179,4541,12073,26861,57383,129515,287763
round_shots,1800,1200,300,300,300,200,300,300,300,200,200,200,200,200,300,400
round_queries,1800,3600,3300,7500,15300,22200,67500,167700,366900,593000,1253800,2699000,6083400,13438200,40754700,123490000
round_k,0,1,5,12,25,55,112,279,611,1482,3134,6747,15208,33595,67924,154362
round_shots,1600,1300,400,300,200,300,200,200,200,200,200,200,300,200,300,200
round_queries,1600,3900,4400,8100,12600,38100,68200,141800,303800,686200,1415000,2876200,8820300,15272200,46419300,84379400
round_k,0,1,5,13,31,63,170,354,759,1715,3537,7190,14700,38180,77365,210948
round_shots,1500,1500,300,300,300,200,200,200,200,300,200,200,200,200,200,200,100
round_queries,1500,4500,3300,7500,17700,29000,60200,132200,279000,855900,1467800,2957800,6695400,15207800,31433000,68430600,75490700
round_k,0,1,5,12,29,72,150,330,697,1426,3669,7394,16738,38019,78582,171076,377453
round_shots,1000,1400,400,300,200,200,200,200,200,200,200,200,200,300,300,200
round_queries,1000,4200,4400,8100,13000,28600,59800,132600,288600,647400,1427000,3043400,6700600,22577700,57696300,96201800
round_k,0,1,5,13,32,71,149,331,721,1618,3567,7608,16751,37629,96160,240504
round_shots,1300,1300,400,300,300,200,200,200,200,200,200,300,300,200,200,200
round_queries,1300,3900,4400,7500,15300,25400,51400,110200,238600,484200,1083800,3356100,8756100,15532200,32998600,75145800
round_k,0,1,5,12,25,63,128,275,596,1210,2709,5593,14593,38830,82496,187864
round_shots,1200,1200,300,400,300,200,300,300,300,300,300,300,300,200,200,100
round_queries,1200,3600,3900,10800,18900,30600,95100,225900,557700,1399500,3210300,6579300,13409100,22912600,50733000,54271700
round_k,0,1,6,13,31,76,158,376,929,2332,5350,10965,22348,57281,126832,271358
round_shots,2000,1400,400,300,300,200,200,200,300,300,300,200,200,300,300,200
round_queries,2000,4200,4400,7500,18900,29400,59400,131000,423300,852300,1751100,2754200,5519000,18622500,47405100,80143800
round_k,0,1,5,12,31,73,148,327,705,1420,2918,6885,13797,31037,79008,200359
round_shots,1800,1100,400,300,300,200,200,200,200,200,200,200,200,200,100,200,100
round_queries,1800,3300,4400,7500,18300,29400,61000,127000,266600,582200,1205400,2615000,5945400,12272600,14365100,60537800,68591300
round_k,0,1,5,12,30,73,152,317,666,1455,3013,6537,14863,30681,71825,151344,342956
round_shots,1800,1300,400,500,300,200,300,200,200,200,200,200,300,300,200,100
round_queries,1800,3900,4400,13500,18300,29400,92100,159000,347400,780600,1745000,3886200,13229700,34275900,59038200,60641500
