round_queries,1500,3300,3300,5000,15900,25400,53800,60500
round_k,0,1,5,12,26,63,134,302
round_shots,1400,1100,300,300,300,200,300
round_queries,1400,3300,3300,7500,18300,31000,101100
round_k,0,1,5,12,30,77,168
round_shots,1100,1100,300,300,300,300,200,100
round_queries,1100,3300,3300,7500,18300,45300,71800,73700
round_k,0,1,5,12,30,75,179,368
round_shots,1200,1200,500,400,400,300,100
round_queries,1200,3600,5500,11600,25200,54900,50700
round_k,0,1,5,14,31,91,253
round_shots,1300,1100,300,400,200,300,300
round_queries,1300,3300,3300,10000,14200,45300,105900
round_k,0,1,5,12,35,75,176
round_shots,1300,1100,300,300,300,200,200
round_queries,1300,3300,3300,7500,21900,39400,86600
round_k,0,1,5,12,36,98,216
round_shots,1000,1200,300,200,400,300,200,100
round_queries,1000,3600,3300,5000,20400,32700,51800,52700
round_k,0,1,5,12,25,54,129,263
round_shots,900,1300,1900,300,200,200,200,100
round_queries,900,3900,17100,8100,12600,25400,56200,66300
round_k,0,1,4,13,31,63,140,331
round_shots,1000,1200,300,300,200,200,300,100
round_queries,1000,3600,3300,7500,12600,27000,85500,68900
round_k,0,1,5,12,31,67,142,344
round_shots,2000,1400,200,300,400,400,300
round_queries,2000,4200,2200,6900,22800,57200,101700
round_k,0,1,5,11,28,71,169
round_shots,1000,1200,300,200,300,200,200,100
round_queries,1000,3600,3300,5000,15300,27400,62600,71300
round_k,0,1,5,12,25,68,156,356
round_shots,1500,1300,200,300,200,200,200,100
round_queries,1500,3900,2600,8100,13000,28600,65000,71300
round_k,0,1,6,13,32,71,162,356
round_shots,900,1200,300,300,300,200,300
round_queries,900,3600,3300,7500,17700,26600,83100
round_k,0,1,5,12,29,66,138
round_shots,1100,1100,300,300,300,200,300
round_queries,1100,3300,3300,7500,18300,34200,114300
round_k,0,1,5,12,30,85,190
round_shots,1700,1300,300,300,200,200,200,100
round_queries,1700,3900,3300,7500,14600,29800,64200,71700
round_k,0,1,5,12,36,74,160,358
round_shots,1300,1200,400,300,300,400,300,100
round_queries,1300,3600,4400,7500,18300,55600,107700,73700
round_k,0,1,5,12,30,69,179,368
round_shots,1600,1400,200,200,200,200,200,200
round_queries,1600,4200,2200,4600,9400,19000,39800,82600
round_k,0,1,5,11,23,47,99,206
round_shots,900,1000,300,300,200,200,300
round_queries,900,3000,3300,7500,12200,26600,87900
round_k,0,1,5,12,30,66,146
round_shots,1300,1100,300,200,300,200,200,100
round_queries,1300,3300,3300,5000,15300,27800,63400,64300
round_k,0,1,5,12,25,69,158,321
round_shots,1500,1000,300,300,300,200,200
round_queries,1500,3000,3300,7500,18900,34600,79000
round_k,0,1,5,12,31,86,197
round_shots,1100,1100,400,300,300,300,200
round_queries,1100,3300,4400,7500,18900,48300,80200
round_k,0,1,5,12,31,80,200
round_shots,900,1300,300,300,400,200,200
round_queries,900,3900,3300,7500,28400,36600,77800
round_k,0,1,5,12,35,91,194
round_shots,1600,1000,300,300,200,200,200,100
round_queries,1600,3000,3300,7500,12600,27400,62200,72300
round_k,0,1,5,12,31,68,155,361
round_shots,1300,1100,300,300,300,200,200,100
round_queries,1300,3300,3300,7500,15900,28200,64200,73300
round_k,0,1,5,12,26,70,160,366
round_shots,1300,1300,200,300,200,300,200
round_queries,1300,3900,2600,8100,12600,38700,69000
round_k,0,1,6,13,31,64,172
round_shots,1000,1200,400,300,200,200,200
round_queries,1000,3600,4400,8100,15400,33400,74600
round_k,0,1,5,13,38,83,186
round_shots,1100,1100,400,300,200,300,300
round_queries,1100,3300,4400,8100,12600,42300,94500
round_k,0,1,5,13,31,70,157
round_shots,1200,1300,400,300,200,200,200,100
round_queries,1200,3900,4400,8100,12600,27800,58600,59500
round_k,0,1,5,13,31,69,146,297
round_shots,1000,1200,300,300,300,200,200
round_queries,1000,3600,3300,7500,18300,34200,77800
round_k,0,1,5,12,30,85,194
round_shots,1200,1300,300,300,200,200,200,100
round_queries,1200,3900,3300,7500,11800,24200,53000,54100
round_k,0,1,5,12,29,60,132,270
round_shots,1300,1100,300,300,300,200,200
round_queries,1300,3300,3300,7500,22500,34200,75800
round_k,0,1,5,12,37,85,189
round_shots,1200,1100,300,400,300,300,200,100
round_queries,1200,3300,3300,10800,17700,37500,59000,68900
