round_shots,200,100,100,100,100,100,100
round_queries,200,500,1300,5700,29100,147100,771500
round_k,0,2,6,28,145,735,3857
round_shots,200,100,100,100,100,100
round_queries,200,500,1700,8300,42100,204300
round_k,0,2,8,41,210,1021
round_shots,100,100,100,100,100,100
round_queries,100,500,1900,8300,39300,199300
round_k,0,2,9,41,196,996
round_shots,200,100,100,100,100,100
round_queries,200,500,2300,10700,50100,258100
round_k,0,2,11,53,250,1290
round_shots,100,100,100,100,100,100,100
round_queries,100,300,900,3700,18100,90300,471500
round_k,0,1,4,18,90,451,2357
round_shots,200,100,100,100,100,100
round_queries,200,500,1300,6100,30900,156700
round_k,0,2,6,30,154,783
round_shots,200,100,100,100,100,100
round_queries,200,500,2300,10100,48500,249700
round_k,0,2,11,50,242,1248
round_shots,100,100,100,100,100,100
round_queries,100,500,1900,8900,40100,182500
round_k,0,2,9,44,200,912
round_shots,200,100,100,100,100,100
round_queries,200,500,1700,7500,34900,183900
round_k,0,2,8,37,174,919
round_shots,200,100,100,100,100,100,100
round_queries,200,300,900,3700,18500,89500,463100
round_k,0,1,4,18,92,447,2315
round_shots,200,100,100,100,100,100,100
round_queries,200,500,1300,5500,24300,122900,635900
round_k,0,2,6,27,121,614,3179
round_shots,200,100,100,100,100,100,100
round_queries,200,500,1300,5300,25100,132300,677300
round_k,0,2,6,26,125,661,3386
round_shots,200,100,100,100,100,100,100
round_queries,200,300,900,3700,17700,87700,438900
round_k,0,1,4,18,88,438,2194
round_shots,200,100,100,100,100,100
round_queries,200,500,1900,8300,36100,180700
round_k,0,2,9,41,180,903
round_shots,200,100,100,100,100,100
round_queries,200,500,2300,10900,56100,294300
round_k,0,2,11,54,280,1471
round_shots,200,100,100,100,100,100
round_queries,200,500,1900,8900,42700,204900
round_k,0,2,9,44,213,1024
round_shots,200,100,100,100,100,100,100
round_queries,200,500,1300,5700,26700,130300,639900
round_k,0,2,6,28,133,651,3199
round_shots,200,100,100,100,100,100
round_queries,200,500,1900,8300,42700,219700
round_k,0,2,9,41,213,1098
round_shots,100,100,100,100,100,100,100
round_queries,100,500,1300,5100,25700,127700,667500
round_k,0,2,6,25,128,638,3337
round_shots,100,100,100,100,100,100
round_queries,100,500,1900,9100,45100,227500
round_k,0,2,9,45,225,1137
round_shots,200,100,100,100,100,100
round_queries,200,500,2300,10100,50700,256900
round_k,0,2,11,50,253,1284
round_shots,100,100,100,100,100,100
round_queries,100,500,1900,8300,41900,208900
round_k,0,2,9,41,209,1044
round_shots,200,100,100,100,100,100,100
round_queries,200,500,1300,5500,27700,141300,727900
round_k,0,2,6,27,138,706,3639
round_shots,100,100,100,100,100,100
round_queries,100,500,1500,7100,35100,180500
round_k,0,2,7,35,175,902
round_shots,200,100,100,100,100,100
round_queries,200,500,2300,10900,52700,274500
round_k,0,2,11,54,263,1372
round_shots,200,100,100,100,100,100
round_queries,200,500,2300,10700,53300,273300
round_k,0,2,11,53,266,1366
round_shots,200,100,100,100,100,100,100
round_queries,200,500,1300,5700,26100,123500,636300
round_k,0,2,6,28,130,617,3181
round_shots,200,100,100,100,100,100,100
round_queries,200,300,900,4100,19900,101100,527300
round_k,0,1,4,20,99,505,2636
round_shots,300,100,100,100,100,100
round_queries,300,500,2300,9900,50900,264900
round_k,0,2,11,49,254,1324
round_shots,200,100,100,100,100,100
round_queries,200,500,1900,8300,43100,219100
round_k,0,2,9,41,215,1095
round_shots,200,100,100,100,100,100
round_queries,200,500,1900,7900,38100,198500
round_k,0,2,9,39,190,992
round_shots,200,100,100,100,100,100
round_queries,200,500,2500,10700,52700,269900
round_k,0,2,12,53,263,1349
round_shots,200,100,100,100,100,100
round_queries,200,500,1900,8300,41100,213900
round_k,0,2,9,41,205,1069
round_shots,200,100,100,100,100,100
round_queries,200,300,1300,5900,30500,154500
round_k,0,1,6,29,152,772
round_shots,200,100,100,100,100,100
round_queries,200,500,2300,10300,48100,234900
round_k,0,2,11,51,240,1174
round_shots,100,100,100,100,100,100
round_queries,100,500,2300,10900,52700,270700
round_k,0,2,11,54,263,1353
round_shots,200,100,100,100,100,100,100
round_queries,200,300,900,4300,20900,105500,544700
round_k,0,1,4,21,104,527,2723
round_shots,200,100,100,100,100,100,100
round_queries,200,500,1300,4900,23100,115700,600700
round_k,0,2,6,24,115,578,3003
round_shots,200,100,100,100,100,100
round_queries,200,500,2300,10100,51500,258100
round_k,0,2,11,50,257,1290
round_shots,100,100,100,100,100,100
round_queries,100,500,1700,7900,38700,202300
round_k,0,2,8,39,193,1011
round_shots,200,100,100,100,100,100
round_queries,200,500,1700,7900,35900,176100
round_k,0,2,8,39,179,880
round_shots,100,100,100,100,100,100
round_queries,100,500,2300,11300,57100,294900
round_k,0,2,11,56,285,1474
round_shots,200,100,100,100,100,100
round_queries,200,500,1900,8500,41700,214300
round_k,0,2,9,42,208,1071
round_shots,200,100,100,100,100,100
round_queries,200,500,1300,6500,30500,155900
round_k,0,2,6,32,152,779
round_shots,200,100,100,100,100,100,100
round_queries,200,300,1300,5900,26700,136300,707300
round_k,0,1,6,29,133,681,3536
round_shots,100,100,100,100,100,100
round_queries,100,500,2300,11700,53300,243300
round_k,0,2,11,58,266,1216
round_shots,100,100,100,100,100,100,100
round_queries,100,300,1300,5100,24700,116900,592900
round_k,0,1,6,25,123,584,2964
round_shots,200,100,100,100,100,100,100
round_queries,200,500,1500,5700,26100,131500,683900
round_k,0,2,7,28,130,657,3419
round_shots,100,100,100,100,100,100
round_queries,100,500,1700,7900,37500,197500
round_k,0,2,8,39,187,987
round_shots,200,100,100,100,100,100
round_queries,200,500,1900,8900,41300,205300
round_k,0,2,9,44,206,1026
round_shots,200,100,100,100,100,100,100
round_queries,200,300,900,3300,14900,69700,355700
round_k,0,1,4,16,74,348,1778
round_shots,200,100,100,100,100,100
round_queries,200,500,2300,10500,53300,270900
round_k,0,2,11,52,266,1354
round_shots,200,100,100,100,100,100,100
round_queries,200,300,900,3900,19100,96500,499300
round_k,0,1,4,19,95,482,2496
round_shots,200,100,100,100,100,100
round_queries,200,500,1900,8500,43100,218900
round_k,0,2,9,42,215,1094
round_shots,200,100,100,100,100,100
round_queries,200,500,1700,6900,32300,163500
round_k,0,2,8,34,161,817
round_shots,200,100,100,100,100,100
round_queries,200,500,1900,8900,41100,207100
round_k,0,2,9,44,205,1035
round_shots,200,100,100,100,100,100
round_queries,200,500,1900,7900,37500,189500
round_k,0,2,9,39,187,947
round_shots,200,100,100,100,100,100,100
round_queries,200,300,900,3700,18700,94500,492700
round_k,0,1,4,18,93,472,2463
round_shots,200,100,100,100,100,100
round_queries,200,500,1900,9100,45100,229500
round_k,0,2,9,45,225,1147
round_shots,200,100,100,100,100,100,100
round_queries,200,500,1300,5100,26100,132300,667700
round_k,0,2,6,25,130,661,3338
round_shots,200,100,100,100,100,100
round_queries,200,500,1900,8700,42500,210700
round_k,0,2,9,43,212,1053
round_shots,200,100,100,100,100,100,100
round_queries,200,500,1300,5900,27900,140500,737700
round_k,0,2,6,29,139,702,3688
round_shots,200,100,100,100,100,100
round_queries,200,500,2300,11100,53500,280900
round_k,0,2,11,55,267,1404
round_shots,200,100,100,100,100,100
round_queries,200,500,2300,10500,53700,273700
round_k,0,2,11,52,268,1368
round_shots,200,100,100,100,100,100
round_queries,200,500,1900,8100,39900,205100
round_k,0,2,9,40,199,1025
round_shots,200,100,100,100,100,100
round_queries,200,500,2300,11700,57300,296500
round_k,0,2,11,58,286,1482
round_shots,200,100,100,100,100,100,100
round_queries,200,300,900,4100,19500,96300,490300
round_k,0,1,4,20,97,481,2451
round_shots,200,100,100,100,100,100
round_queries,200,500,1900,9300,43700,226700
round_k,0,2,9,46,218,1133
round_shots,200,100,100,100,100,100
round_queries,200,500,2300,11100,53500,271700
round_k,0,2,11,55,267,1358
round_shots,200,100,100,100,100,100
round_queries,200,500,1900,8300,40100,208900
round_k,0,2,9,41,200,1044
round_shots,200,100,100,100,100,100
round_queries,200,500,2300,10300,48500,238100
round_k,0,2,11,51,242,1190
round_shots,200,100,100,100,100,100,100
round_queries,200,300,900,3700,17100,86700,453300
round_k,0,1,4,18,85,433,2266
round_shots,200,100,100,100,100,100
round_queries,200,500,1900,8700,44100,229300
round_k,0,2,9,43,220,1146
round_shots,200,100,100,100,100,100
round_queries,200,500,1900,8700,52900,269100
round_k,0,2,9,43,264,1345
round_shots,100,100,100,100,100,100
round_queries,100,500,1900,7900,39700,205700
round_k,0,2,9,39,198,1028
round_shots,200,100,100,100,100,100
round_queries,200,500,1900,8700,43700,227100
round_k,0,2,9,43,218,1135
round_shots,100,100,100,100,100,100,100
round_queries,100,300,900,3700,17300,86900,392300
round_k,0,1,4,18,86,434,1961
round_shots,200,100,100,100,100,100
round_queries,200,500,2300,10100,51100,264300
round_k,0,2,11,50,255,1321
round_shots,200,100,100,100,100,100
round_queries,200,500,1900,9700,50300,256700
round_k,0,2,9,48,251,1283
round_shots,200,100,100,100,100,100,100
round_queries,200,300,900,3300,15100,79700,412700
round_k,0,1,4,16,75,398,2063
round_shots,100,100,100,100,100,100,100
round_queries,100,300,900,3900,19100,92500,476900
round_k,0,1,4,19,95,462,2384
round_shots,200,100,100,100,100,100
round_queries,200,500,2300,10900,55300,286300
round_k,0,2,11,54,276,1431
round_shots,200,100,100,100,100,100
round_queries,200,300,1500,7500,39500,200700
round_k,0,1,7,37,197,1003
round_shots,200,100,100,100,100,100,100
round_queries,200,300,1300,5700,27500,142300,726500
round_k,0,1,6,28,137,711,3632
round_shots,100,100,100,100,100,100
round_queries,100,500,1900,8900,43300,222900
round_k,0,2,9,44,216,1114
round_shots,200,100,100,100,100,100
round_queries,200,500,2300,11700,59500,306300
round_k,0,2,11,58,297,1531
round_shots,200,100,100,100,100,100
round_queries,200,300,1300,5900,30100,150900
round_k,0,1,6,29,150,754
round_shots,200,100,100,100,100,100
round_queries,200,500,2300,10700,52100,261700
round_k,0,2,11,53,260,1308
round_shots,200,100,100,100,100,100
round_queries,200,500,2300,10500,51900,271100
round_k,0,2,11,52,259,1355
round_shots,200,100,100,100,100,100
round_queries,200,500,1900,8300,41700,211900
round_k,0,2,9,41,208,1059
round_shots,200,100,100,100,100,100
round_queries,200,500,1900,8100,41700,218500
round_k,0,2,9,40,208,1092
round_shots,100,100,100,100,100,100
round_queries,100,500,2300,11100,54700,280100
round_k,0,2,11,55,273,1400
round_shots,200,100,100,100,100,100
round_queries,200,500,1700,7100,33500,169100
round_k,0,2,8,35,167,845
round_shots,200,100,100,100,100,100,100
round_queries,200,300,900,3700,17700,80300,389300
round_k,0,1,4,18,88,401,1946
round_shots,200,100,100,100,100,100
round_queries,200,500,1900,8500,38500,200500
round_k,0,2,9,42,192,1002
round_shots,200,100,100,100,100,100
round_queries,200,500,1900,8300,38500,193300
round_k,0,2,9,41,192,966
round_shots,200,100,100,100,100,100
round_queries,200,500,2300,10700,52700,272700
round_k,0,2,11,53,263,1363
round_shots,200,100,100,100,100,100
round_queries,200,500,1700,8300,40900,208300
round_k,0,2,8,41,204,1041
round_shots,100,100,100,100,100,100,100
round_queries,100,300,900,3100,15500,77900,471300
round_k,0,1,4,15,77,389,2356
round_shots,200,100,100,100,100,100
round_queries,200,500,1900,8300,40900,213100
round_k,0,2,9,41,204,1065
round_shots,200,100,100,100,100,100
round_queries,200,500,1900,8500,40300,208700
round_k,0,2,9,42,201,1043
round_shots,200,100,100,100,100,100
round_queries,200,500,2300,10700,50100,247500
round_k,0,2,11,53,250,1237
round_shots,200,100,100,100,100,100,100
round_queries,200,500,1300,4700,21500,112500,535900
round_k,0,2,6,23,107,562,2679
round_shots,200,100,100,100,100,100,100
round_queries,200,300,900,4100,19300,95500,497300
round_k,0,1,4,20,96,477,2486
round_shots,200,100,100,100,100,100
round_queries,200,500,2300,10900,53900,278100
round_k,0,2,11,54,269,1390
round_shots,200,100,100,100,100,100
round_queries,200,500,2300,9900,49300,255700
round_k,0,2,11,49,246,1278
round_shots,200,100,100,100,100,100
round_queries,200,500,2300,10500,54700,276900
round_k,0,2,11,52,273,1384
round_shots,200,100,100,100,100,100
round_queries,200,500,1900,8900,44300,221900
round_k,0,2,9,44,221,1109
round_shots,200,100,100,100,100,100
round_queries,200,500,1900,8100,40900,205900
round_k,0,2,9,40,204,1029
round_shots,200,100,100,100,100,100
round_queries,200,500,1900,7900,39100,201900
round_k,0,2,9,39,195,1009
round_shots,200,100,100,100,100,100
round_queries,200,500,1900,8300,42900,205900
round_k,0,2,9,41,214,1029
round_shots,200,100,100,100,100,100
round_queries,200,500,1900,8300,41100,203700
round_k,0,2,9,41,205,1018
round_shots,200,100,100,100,100,100,100
round_queries,200,300,900,4100,19300,95500,491300
