round_k,2,9,32,97,302,915,2746
round_shots,435,182,103,103,69,58,4
round_queries,435,910,1957,5871,13317,33814,21372
round_k,2,9,28,96,291,890,2671
round_shots,579,152,163,96,70,59,23
round_queries,579,760,2445,4512,10570,26963,96301
round_k,2,7,23,75,228,697,2093
round_shots,567,253,187,81,70,57,3
round_queries,567,1265,4301,6561,17990,44403,21321
round_k,2,11,40,128,389,1184,3553
round_shots,744,185,119,92,75,77,9
round_queries,744,925,2261,5980,15225,47355,51471
round_k,2,9,32,101,307,937,2859
round_shots,694,303,126,129,64,66,3
round_queries,694,1515,2898,9933,15552,48114,20241
round_k,2,11,38,121,364,1099,3373
round_shots,493,202,150,119,74,56,3
round_queries,493,1010,2850,8211,16206,38024,18897
round_k,2,9,34,109,339,1046,3149
round_shots,851,96,146,230,135,72,54,3
round_queries,851,288,1314,6210,12015,19368,44658,22977
round_k,1,4,13,44,134,413,1247,3829
round_shots,996,205,140,140,117,58,5
round_queries,996,1025,2660,9100,25155,37410,29865
round_k,2,9,32,107,322,995,2986
round_shots,979,343,301,199,207,175,16
round_queries,979,1715,5117,10149,33741,85575,72944
round_k,2,8,25,81,244,758,2279
round_shots,533,151,130,103,74,65,9
round_queries,533,755,2470,6695,14874,39455,55755
round_k,2,9,32,100,303,910,3097
round_shots,421,161,103,113,69,184,4
round_queries,421,805,1957,6441,12351,100648,21788
round_k,2,9,28,89,273,852,2723
round_shots,699,189,117,101,205,84,3
round_queries,699,945,2223,6161,41615,54348,17889
round_k,2,9,30,101,323,983,2981
round_shots,801,155,130,86,72,154,12
round_queries,801,775,2470,5590,14472,94094,67356
round_k,2,9,32,100,305,935,2806
round_shots,588,154,139,126,74,69,40
round_queries,588,462,1251,3654,7326,21459,117800
round_k,1,4,14,49,155,490,1472
round_shots,823,146,145,107,94,57,6
round_queries,823,730,2755,7383,19646,36651,34758
round_k,2,9,34,104,321,964,2896
round_shots,429,232,104,80,73,90,5
round_queries,429,1160,2392,6000,16425,61290,31645
round_k,2,11,37,112,340,1043,3164
round_shots,519,148,135,102,80,65,6
round_queries,519,740,2565,6630,16080,39585,34182
round_k,2,9,32,100,304,923,2848
round_shots,822,225,131,109,89,61,5
round_queries,822,1125,3013,7739,19135,40321,30615
round_k,2,11,35,107,330,1020,3061
round_shots,566,146,95,94,70,57,5
round_queries,566,730,1805,5358,12530,31407,25265
round_k,2,9,28,89,275,840,2526
round_shots,520,156,95,89,84,98,7
round_queries,520,780,1805,5073,15540,55566,37191
round_k,2,9,28,92,283,861,2656
round_shots,668,221,98,158,76,63,7
round_queries,668,1105,1862,9006,13148,35091,35175
round_k,2,9,28,86,278,837,2512
round_shots,795,328,155,119,64,41
round_queries,795,1640,4185,11067,18880,109757
round_k,2,13,46,147,444,1338
round_shots,526,211,136,157,174,68,6
round_queries,526,1055,2584,9263,35322,44268,35550
round_k,2,9,29,101,325,977,2962
round_shots,931,229,105,77,72,63,3
round_queries,931,1145,2415,5467,15624,42147,18747
round_k,2,11,35,108,334,1025,3124
round_shots,1055,225,98,80,75,55,3
round_queries,1055,1125,2254,5520,16275,37895,19155
round_k,2,11,34,108,344,1047,3192
round_shots,558,229,102,82,67,56,3
round_queries,558,1145,2346,6150,15343,39032,19299
round_k,2,11,37,114,348,1064,3216
round_shots,558,157,138,187,126,67,11
round_queries,558,785,2622,12903,26586,42813,63789
round_k,2,9,34,105,319,966,2899
round_shots,620,326,152,78,157,47
round_queries,620,1630,4104,7254,44431,122999
round_k,2,13,46,141,424,1308
round_shots,1004,198,112,187,128,62,67
round_queries,1004,594,1008,5049,11904,18290,178689
round_k,1,4,13,46,147,444,1333
round_shots,898,146,113,118,133,60,3
round_queries,898,730,2147,7670,27531,39300,18237
round_k,2,9,32,103,327,999,3039
round_shots,423,278,114,103,68,61,3
round_queries,423,1390,2622,7725,15436,42151,19395
round_k,2,11,37,113,345,1059,3232
round_shots,795,247,107,94,71,75,3
round_queries,795,1235,2461,7426,16969,55425,21453
round_k,2,11,39,119,369,1184,3575
round_shots,560,223,111,93,98,87,6
round_queries,560,1115,2553,7347,24206,65859,42894
round_k,2,11,39,123,378,1162,3574
round_shots,488,215,84,123,117,99,4
round_queries,488,1075,1596,7011,21411,56529,21060
round_k,2,9,28,91,285,867,2632
round_shots,952,133,169,137,84,79,89
round_queries,952,399,1521,4521,8484,24411,254273
round_k,1,4,16,50,154,469,1428
round_shots,754,156,113,101,205,189,4
round_queries,754,780,2147,6161,41615,115101,22716
round_k,2,9,30,101,304,913,2839
round_shots,680,209,108,85,142,70,5
round_queries,680,1045,2052,5185,25986,38850,25835
round_k,2,9,30,91,277,847,2583
round_shots,629,186,179,89,75,68,42
round_queries,629,558,1611,2937,7425,20468,118734
round_k,1,4,16,49,150,468,1413
round_shots,783,146,115,98,82,71,9
round_queries,783,730,2185,6370,16482,43949,53091
round_k,2,9,32,100,309,974,2949
round_shots,976,119,149,128,82,69,58,6
round_queries,976,357,1341,3712,7298,18837,48662,46134
round_k,1,4,14,44,136,419,1281,3844
round_shots,1049,186,127,98,76,76,14
round_queries,1049,930,2413,5782,13604,42940,73178
round_k,2,9,29,89,282,855,2613
round_shots,1005,148,104,80,71,59,5
round_queries,1005,740,1976,4880,12993,32981,25705
round_k,2,9,30,91,279,847,2570
round_shots,915,223,102,72,68,82,3
round_queries,915,1115,2346,5256,14892,54694,18429
round_k,2,11,36,109,333,1001,3071
round_shots,710,235,111,82,70,59,3
round_queries,710,1175,2553,6478,17570,44781,20565
round_k,2,11,39,125,379,1142,3427
round_shots,763,250,120,98,69,65,6
round_queries,763,1250,2760,7742,16905,50505,43062
round_k,2,11,39,122,388,1171,3588
round_shots,546,268,105,112,70,86,3
round_queries,546,1340,2415,7952,15050,56158,18099
round_k,2,11,35,107,326,1005,3016
round_shots,909,224,131,108,94,62,3
round_queries,909,1120,2489,7020,18518,39990,18711
round_k,2,9,32,98,322,1005,3118
round_shots,1033,126,101,116,78,65,52,3
round_queries,1033,378,909,3132,6786,17875,42900,22935
