round_shots,153,22,32,23,18,16,17,15,15,16,11
round_queries,153,66,288,575,1026,1936,4233,7695,15885,34704,49511
round_k,0,1,4,12,28,60,124,256,529,1084,2250
round_shots,91,38,22,29,17,13,15,16,15,15,15,2
round_queries,91,114,198,551,867,1417,3315,7088,13905,28335,56685,15262
round_k,0,1,4,9,25,54,110,221,463,944,1889,3815
round_shots,178,24,19,20,20,15,16,19,20,19,4
round_queries,178,168,285,620,1260,2025,4336,10431,25380,48697,22716
round_k,0,3,7,15,31,67,135,274,634,1281,2839
round_shots,156,31,39,26,18,16,17,17,15,15,10
round_queries,156,93,351,650,990,1968,4301,9163,16995,34455,46790
round_k,0,1,4,12,27,61,126,269,566,1148,2339
round_shots,178,23,30,18,20,19,17,11,15,15,1
round_queries,178,161,510,738,1780,3705,6783,9581,27525,56445,7737
round_k,0,3,8,20,44,97,199,435,917,1881,3868
round_shots,186,57,43,20,17,18,16,16,16,15,15,3
round_queries,186,171,387,380,731,1638,2928,5968,12080,23265,47355,19035
round_k,0,1,4,9,21,45,91,186,377,775,1578,3172
round_shots,228,30,21,19,19,19,20,15,14,15,5
round_queries,228,210,315,589,1235,2641,6300,11025,20846,46305,31145
round_k,0,3,7,15,32,69,157,367,744,1543,3114
round_shots,275,22,37,22,23,22,16,18,16,15,9
round_queries,275,66,333,550,1311,2618,4144,9342,17904,35235,43335
round_k,0,1,4,12,28,59,129,259,559,1174,2407
round_shots,183,22,31,23,22,16,18,11,16,13,14
round_queries,183,66,279,575,1122,1712,3870,5093,15536,25649,55762
round_k,0,1,4,12,25,53,107,231,485,986,1991
round_shots,34,22,28,24,15,17,17,15,15,15,15,5
round_queries,34,66,252,456,615,1411,2941,5625,11475,23175,46395,31085
round_k,0,1,4,9,20,41,86,187,382,772,1546,3108
round_shots,176,22,30,26,20,22,15,19,16,16,11
round_queries,176,66,270,650,1140,2706,3735,9633,16720,34992,48213
round_k,0,1,4,12,28,61,124,253,522,1093,2191
round_shots,133,45,23,17,22,19,18,15,16,15,4
round_queries,133,225,345,595,1650,2907,5670,10485,22512,43935,23756
round_k,0,2,7,17,37,76,157,349,703,1464,2969
round_shots,199,26,19,19,23,20,16,15,15,15,4
round_queries,199,182,285,627,1679,2940,5200,9975,20115,40995,22516
round_k,0,3,7,16,36,73,162,332,670,1366,2814
round_shots,216,19,17,16,16,20,18,15,15,15,7
round_queries,216,133,255,496,1040,2620,5454,9825,19995,41295,39249
round_k,0,3,7,15,32,65,151,327,666,1376,2803
round_shots,244,22,35,22,20,17,16,11,15,15,11
round_queries,244,66,315,550,1140,2159,4144,5775,16305,32625,48499
round_k,0,1,4,12,28,63,129,262,543,1087,2204
round_shots,260,24,19,15,24,15,16,17,15,15,5
round_queries,260,168,285,495,1608,2085,4464,9775,18345,37035,25215
round_k,0,3,7,16,33,69,139,287,611,1234,2521
round_shots,202,32,20,18,13,18,15,16,10,15,3
round_queries,202,224,380,738,1105,3114,5685,12144,15890,49095,19911
round_k,0,3,9,20,42,86,189,379,794,1636,3318
round_shots,186,38,34,26,18,18,20,17,16,15,8
round_queries,186,114,306,650,990,2214,4980,9299,18704,37005,40744
round_k,0,1,4,12,27,61,124,273,584,1233,2546
round_shots,185,25,19,21,22,22,15,19,15,15,7
round_queries,185,175,323,735,1650,3366,4695,12217,19875,40245,38871
round_k,0,3,8,17,37,76,156,321,662,1341,2776
round_shots,176,45,22,24,15,19,20,16,16,15,15,4
round_queries,176,135,198,456,615,1615,3500,6384,12784,23985,48945,26372
round_k,0,1,4,9,20,42,87,199,399,799,1631,3296
round_shots,199,18,24,20,21,23,16,16,14,15,5
round_queries,199,126,360,660,1533,3381,4944,10288,18466,39885,26995
round_k,0,3,7,16,36,73,154,321,659,1329,2699
round_shots,104,45,42,26,22,17,17,16,15,11,9
round_queries,104,135,378,650,1254,2261,4573,9008,17385,25971,44649
round_k,0,1,4,12,28,66,134,281,579,1180,2480
round_shots,243,18,16,16,23,16,15,16,15,15,10
round_queries,243,126,240,496,1495,2096,4035,8624,17055,34935,47470
round_k,0,3,7,15,32,65,134,269,568,1164,2373
round_shots,154,45,29,22,16,18,16,16,15,14
round_queries,154,225,493,902,1584,3690,7056,14736,29415,56630
round_k,0,2,8,20,49,102,220,460,980,2022
round_shots,265,22,39,22,15,17,16,15,16,15,15,2
round_queries,265,66,351,506,735,1717,3312,6315,13808,26925,54915,14982
round_k,0,1,4,11,24,50,103,210,431,897,1830,3745
round_shots,277,18,20,16,18,17,16,14,15,15,5
round_queries,277,126,300,496,1170,2397,4784,8498,18645,38175,26105
round_k,0,3,7,15,32,70,149,303,621,1272,2610
round_shots,266,32,24,25,18,17,16,15,16,15,3
round_queries,266,224,456,1075,1638,3247,6384,12555,26832,52455,21261
round_k,0,3,9,21,45,95,199,418,838,1748,3543
round_shots,76,31,39,24,16,25,16,16,20,23,11
round_queries,76,93,351,600,880,2825,3856,7952,20940,48921,49643
round_k,0,1,4,12,27,56,120,248,523,1063,2256
round_shots,67,31,30,25,20,16,16,16,15,15,12
round_queries,67,93,270,625,1180,2000,4016,8144,15495,31515,51780
round_k,0,1,4,12,29,62,125,254,516,1050,2157
round_shots,101,39,17,24,17,17,15,15,17,16,9
round_queries,101,195,255,744,1071,2159,3825,7875,18207,36272,42579
round_k,0,2,7,15,31,63,127,262,535,1133,2365
round_shots,213,32,19,17,13,20,15,16,15,15,3
round_queries,213,224,361,731,1183,3700,6315,13648,26415,54135,22269
round_k,0,3,9,21,45,92,210,426,880,1804,3711
round_shots,358,25,16,16,24,17,16,20,15,17,7
round_queries,358,175,240,496,1512,2295,4464,11500,18915,43027,38171
round_k,0,3,7,15,31,67,139,287,630,1265,2726
round_shots,332,21,20,23,17,21,17,16,15,10,8
round_queries,332,147,300,759,1139,2919,4811,9456,18345,24650,41032
round_k,0,3,7,16,33,69,141,295,611,1232,2564
round_shots,178,27,19,28,18,23,16,13,17,15,5
round_queries,178,189,285,924,1314,3703,5424,9113,24293,43335,29175
round_k,0,3,7,16,36,80,169,350,714,1444,2917
round_shots,318,25,24,20,19,19,16,16,16,15,4
round_queries,318,225,456,820,1577,3439,5904,12464,25200,49095,26844
round_k,0,4,9,20,41,90,184,389,787,1636,3355
round_shots,78,51,35,21,15,19,17,15,14,15,10
round_queries,78,153,315,525,855,2185,4335,8025,15330,34275,46750
round_k,0,1,4,12,28,57,127,267,547,1142,2337
round_shots,162,53,15,22,21,16,18,16,10,15,10
round_queries,162,159,165,550,1197,1936,4410,8624,10930,33345,45350
round_k,0,1,5,12,28,60,122,269,546,1111,2267
round_shots,184,25,21,18,20,22,20,16,15,14
round_queries,184,175,357,702,1620,3718,8220,14800,29235,55062
round_k,0,3,8,19,40,84,205,462,974,1966
round_shots,204,23,24,18,23,15,16,15,15,15,4
round_queries,204,161,408,738,1909,2985,6416,12105,24255,49785,26884
round_k,0,3,8,20,41,99,200,403,808,1659,3360
round_shots,245,19,16,26,19,19,16,16,15,15,5
round_queries,245,133,240,806,1235,2641,4976,10032,19845,39855,27075
round_k,0,3,7,15,32,69,155,313,661,1328,2707
round_shots,178,20,19,15,17,16,16,17,14,15,8
round_queries,178,140,285,495,1139,2224,4560,9911,17234,37965,40808
round_k,0,3,7,16,33,69,142,291,615,1265,2550
round_shots,130,31,17,24,24,15,17,16,16,15,15,6
round_queries,130,93,153,456,984,1245,2873,5552,11376,22065,44895,36066
round_k,0,1,4,9,20,41,84,173,355,735,1496,3005
round_shots,211,22,35,28,15,17,13,17,15,15,12
round_queries,211,66,315,700,855,1955,3107,8177,15675,32325,52116
round_k,0,1,4,12,28,57,119,240,522,1077,2171
round_shots,182,51,31,24,24,19,15,16,14,15,5
round_queries,182,153,279,600,1368,2679,4575,10096,18242,39645,27125
round_k,0,1,4,12,28,70,152,315,651,1321,2712
round_shots,150,45,36,16,18,16,17,17,16,15,9
round_queries,150,135,324,368,846,1712,3723,7735,15344,29745,36153
round_k,0,1,4,11,23,53,109,227,479,991,2008
round_shots,280,28,14,18,22,15,15,16,15,15
round_queries,280,196,266,738,1958,3195,6405,14640,28545,57225
round_k,0,3,9,20,44,106,213,457,951,1907
round_shots,216,22,19,17,18,18,20,15,15,16,6
round_queries,216,154,285,561,1206,2466,5580,9195,18405,39280,29550
round_k,0,3,7,16,33,68,139,306,613,1227,2462
round_shots,46,31,36,19,23,21,16,16,16,16,14
round_queries,46,93,324,437,1127,2205,3472,7120,14608,30608,55622
round_k,0,1,4,11,24,52,108,222,456,956,1986
round_shots,170,22,39,20,13,20,15,16,15,15,14
round_queries,170,66,351,500,663,2100,3585,7664,14475,29535,55482
round_k,0,1,4,12,25,52,119,239,482,984,1981
round_shots,39,31,23,24,20,20,16,11,10,14,14,1
round_queries,39,93,207,456,820,1780,3280,4697,9150,26474,53914,7723
round_k,0,1,4,9,20,44,102,213,457,945,1925,3861
round_shots,57,22,34,21,23,16,18,11,15,15,14
round_queries,57,66,306,483,1127,1584,3690,5071,14745,29505,55230
round_k,0,1,4,11,24,49,102,230,491,983,1972
round_shots,172,31,28,23,17,20,17,15,17,15,15,3
round_queries,172,93,252,529,799,1900,3247,5805,13277,25245,51945,21297
round_k,0,1,4,11,23,47,95,193,390,841,1731,3549
round_shots,238,22,30,20,21,17,16,18,18,16,15
