round_shots,559,1570,800,185,174,190,180,154
round_queries,559,4710,5600,3885,7830,17290,33660,60522
round_k,0,1,3,10,22,45,93,196
round_shots,416,1198,1017,283,247,269,201,80
round_queries,416,3594,7119,5943,12597,32011,49647,40880
round_k,0,1,3,10,25,59,123,255
round_shots,633,1133,648,282,278,176,170,113
round_queries,633,3399,4536,5922,14178,20592,40630,56161
round_k,0,1,3,10,25,58,119,248
round_shots,648,1021,1040,256,251,263,286,68
round_queries,648,3063,7280,5888,13805,33401,76934,37604
round_k,0,1,3,11,27,63,134,276
round_shots,375,1113,1050,307,293,213,178,77
round_queries,375,3339,7350,7061,16701,27477,47170,42427
round_k,0,1,3,11,28,64,132,275
round_shots,409,988,840,393,216,162,167,100
round_queries,409,2964,5880,8253,11448,20898,43587,54500
round_k,0,1,3,10,26,64,130,272
round_shots,671,1155,1061,153,161,160,167,151
round_queries,671,3465,7427,3825,8211,16480,34569,66289
round_k,0,1,3,12,25,51,103,219
round_shots,420,1293,924,344,247,190,157,99
round_queries,420,3879,6468,7224,13091,23370,39407,52173
round_k,0,1,3,10,26,61,125,263
round_shots,463,1788,690,204,158,182,170,156
round_queries,463,5364,4830,4284,7426,17290,35870,66612
round_k,0,1,3,10,23,47,105,213
round_shots,413,1338,885,213,150,208,178,140
round_queries,413,4014,6195,4473,7050,19760,37202,59220
round_k,0,1,3,10,23,47,104,211
round_shots,528,748,929,312,249,334,197,112
round_queries,528,2244,6503,6552,12699,39746,49053,57680
round_k,0,1,3,10,25,59,124,257
round_shots,440,918,1081,309,254,233,180,89
round_queries,440,2754,7567,7107,14478,30523,48780,50107
round_k,0,1,3,11,28,65,135,281
round_shots,334,811,1074,267,247,169,195,97
round_queries,334,2433,7518,6141,13585,21801,51285,53059
round_k,0,1,3,11,27,64,131,273
round_shots,301,1422,924,282,216,179,191,104
round_queries,301,4266,6468,5922,11016,21659,47177,53352
round_k,0,1,3,10,25,60,123,256
round_shots,503,1522,979,339,262,390,189,91
round_queries,503,4566,6853,7119,13886,47190,48195,47411
round_k,0,1,3,10,26,60,127,260
round_shots,546,1303,1179,672,386,173,161,94
round_queries,546,3909,8253,14112,22774,22663,42987,52734
round_k,0,1,3,10,29,65,133,280
round_shots,454,1538,660,189,169,179,189,130
round_queries,454,4614,4620,3969,7605,16647,39123,54730
round_k,0,1,3,10,22,46,103,210
round_shots,497,1199,794,338,271,147,168,112
round_queries,497,3597,5558,7098,14363,17787,40824,54768
round_k,0,1,3,10,26,60,121,244
round_shots,563,903,984,245,171,183,178,114
round_queries,563,2709,6888,5145,8379,18117,39338,53010
round_k,0,1,3,10,24,49,110,232
round_shots,447,1317,1040,228,229,186,243,101
round_queries,447,3951,7280,5244,12137,23622,63423,54237
round_k,0,1,3,11,26,63,130,268
round_shots,784,1232,771,417,242,182,178,101
round_queries,784,3696,5397,8757,12826,22386,44678,52823
