round_shots,693,209,144,116,89,69,60,51,45,37,6
round_queries,693,1045,2448,6380,16999,43539,117180,302073,800325,2010469,2990514
round_k,2,8,27,95,315,976,2961,8892,27168,82897,249209
round_shots,557,254,109,112,86,67,60,53,45,37,9
round_queries,557,1270,1853,6160,16254,38123,103140,273321,699345,1746807,3852189
round_k,2,8,27,94,284,859,2578,7770,23605,71084,214010
round_shots,588,129,122,104,85,68,61,52,45,38,11
round_queries,588,645,2074,5512,13515,34340,93025,238420,622035,1581826,4183157
round_k,2,8,26,79,252,762,2292,6911,20813,62718,190143
round_shots,904,229,110,96,91,71,60,52,45,38,7
round_queries,904,1145,1870,5088,14469,37133,96660,252980,661635,1687162,2827573
round_k,2,8,26,79,261,805,2432,7351,22199,67291,201969
round_shots,431,204,167,178,102,93,60,51,42,32,5
round_queries,431,1020,2839,9790,17238,54963,125820,329715,822402,1890784,2735685
round_k,2,8,27,84,295,1048,3232,9790,29543,89859,273568
round_shots,820,242,202,159,103,67,59,50,44,37,6
round_queries,820,1694,4646,11289,22145,43215,115109,294650,784916,2003587,2981754
round_k,3,11,35,107,322,975,2946,8919,27075,82415,248479
round_shots,581,215,157,109,79,102,62,66,53,39,6
round_queries,581,1075,2669,5995,13193,52530,95914,310398,843495,2035293,2938494
round_k,2,8,27,83,257,773,2351,7957,26093,81541,244874
round_shots,802,233,96,99,76,68,60,51,43,35,3
round_queries,802,1631,2208,7029,17860,48484,132180,341037,870707,2149525,1690533
round_k,3,11,35,117,356,1101,3343,10124,30707,92434,281755
round_shots,794,251,176,108,148,83,62,50,43,36,4
round_queries,794,1255,2992,5724,23828,55527,125426,315050,813001,2045988,2065364
round_k,2,8,26,80,334,1011,3150,9453,28416,85477,258170
round_shots,445,247,106,85,81,68,59,53,45,38,12
round_queries,445,1235,1802,4675,13365,33932,88913,239719,612945,1558494,4479852
round_k,2,8,27,82,249,753,2261,6810,20506,61905,186660
round_shots,608,171,114,158,75,70,57,49,41,34,1
round_queries,608,1197,2622,11534,22725,63630,164103,429289,1089411,2722754,739133
round_k,3,11,36,151,454,1439,4380,13285,40040,121414,369566
round_shots,833,155,113,80,103,65,60,50,43,36,5
round_queries,833,1085,2825,6320,24411,46475,129900,331050,857119,2161764,2778105
round_k,3,12,39,118,357,1082,3310,9966,30024,91275,277810
round_shots,491,139,160,87,79,76,61,52,45,37,10
round_queries,491,695,2720,4785,13035,38532,99125,257556,672075,1674065,4081870
round_k,2,8,27,82,253,812,2476,7467,22622,67917,204093
round_shots,584,235,140,94,83,74,60,58,45,37,8
round_queries,584,1175,2660,5546,14857,41662,104340,306878,714285,1794981,3587448
round_k,2,9,29,89,281,869,2645,7936,24256,73928,224215
round_shots,882,189,131,102,87,68,59,50,42,35,3
round_queries,882,1323,3275,8058,20619,52564,137057,354950,902454,2264885,1772019
round_k,3,12,39,118,386,1161,3549,10743,32355,97835,295336
round_shots,841,232,199,91,96,77,62,51,43,36,6
round_queries,841,1160,3781,5551,17760,48587,126666,321453,817903,2054628,3131262
round_k,2,9,30,92,315,1021,3151,9510,28536,86197,260938
round_shots,480,244,98,146,102,72,62,52,45,37,9
round_queries,480,1220,1666,7738,16422,40392,104966,271492,707805,1764493,3904065
round_k,2,8,26,80,280,846,2610,7864,23844,71808,216892
round_shots,841,159,176,87,77,78,58,49,42,35,2
round_queries,841,1113,4400,6873,18403,60138,148074,380877,983262,2465435,1305126
round_k,3,12,39,119,385,1276,3886,11705,35220,106973,326281
round_shots,349,256,192,157,103,74,64,52,46,24,8
round_queries,349,1280,3648,9577,19055,41218,112704,276068,735862,1180728,3569624
round_k,2,9,30,92,278,880,2654,7998,24598,73795,223101
round_shots,374,204,158,97,91,70,62,52,45,38,10
round_queries,374,1020,2686,5141,15379,35630,95666,242996,631935,1603486,3886330
round_k,2,8,26,84,254,771,2336,7021,21098,63938,194316
round_shots,824,225,135,110,82,67,58,52,44,37,7
round_queries,824,1125,2565,6710,16810,42813,111302,300820,771188,1961703,3399081
round_k,2,9,30,102,319,959,2892,8763,26509,80758,242791
round_shots,319,139,148,101,80,71,62,53,45,37,9
round_queries,319,695,2516,5353,13840,38127,101866,263357,679095,1690197,3730941
round_k,2,8,26,86,268,821,2484,7545,22840,68715,207274
round_shots,754,240,207,105,107,99,60,50,43,36,5
round_queries,754,1200,3519,5565,17227,56727,125580,322350,834501,2106396,2685705
round_k,2,8,26,80,286,1046,3223,9703,29255,88444,268570
round_shots,473,153,186,101,82,73,60,53,45,38,7
round_queries,473,765,3162,5353,13366,36865,93660,249259,645345,1643918,2773659
round_k,2,8,26,81,252,780,2351,7170,21630,65625,198118
round_shots,665,253,148,126,75,69,61,51,43,36,5
round_queries,665,1771,3700,9954,17775,49059,133163,340833,866837,2193948,2784425
round_k,3,12,39,118,355,1091,3341,10079,30471,92599,278442
round_shots,536,201,113,131,81,69,58,51,43,36,3
round_queries,536,1005,2147,7991,18711,50439,127194,335937,853163,2149596,1651821
round_k,2,9,30,115,365,1096,3293,9920,29855,90472,275303
round_shots,323,286,104,87,75,77,60,54,45,38,10
round_queries,323,1430,1768,4611,12075,38115,94980,257634,651285,1654406,4000130
round_k,2,8,26,80,247,791,2385,7236,21768,65686,200006
round_shots,710,286,157,101,92,69,59,51,43,36,5
round_queries,710,1430,2983,6161,18676,46989,123487,323697,824095,2077884,2636995
round_k,2,9,30,101,340,1046,3173,9582,28859,87166,263699
round_shots,656,289,109,124,81,65,58,51,44,36,4
round_queries,656,1445,2071,7564,17739,45045,120698,321351,834020,2083212,2120884
round_k,2,9,30,109,346,1040,3150,9477,28933,87261,265110
round_shots,879,197,123,128,75,86,67,51,43,36,5
round_queries,879,1379,2829,9088,16125,56158,131521,324819,828911,2097396,2672585
round_k,3,11,35,107,326,981,3184,9638,29130,88045,267258
round_shots,663,187,203,85,78,68,60,52,45,37,10
round_queries,663,935,3857,5185,14274,37468,99180,259844,675675,1677839,4092970
round_k,2,9,30,91,275,826,2498,7507,22673,68039,204648
round_shots,484,286,120,135,75,95,65,51,45,37,8
round_queries,484,1430,2280,8235,14025,53675,110695,274329,727425,1810595,3585448
