round_shots,38,34,30,26,23,1
round_queries,38,102,270,702,1863,755
round_k,1,4,13,40,123,377
round_shots,38,34,39,62,12
round_queries,38,102,351,1674,3876
round_k,1,4,13,49,161
round_shots,38,34,30,26,23,1
round_queries,38,102,270,702,1863,755
round_k,1,4,13,40,123,377
round_shots,38,34,30,26,23,1
round_queries,38,102,270,702,1863,755
round_k,1,4,13,40,123,377
round_shots,38,34,30,99,7
round_queries,38,102,270,2673,2765
round_k,1,4,13,62,197
round_shots,38,34,39,26,31
round_queries,38,102,351,702,7533
round_k,1,4,13,40,121
round_shots,38,34,30,26,23,1
round_queries,38,102,270,702,1863,755
round_k,1,4,13,40,123,377
round_shots,38,34,47,68,23
round_queries,38,102,423,1836,6371
round_k,1,4,13,40,138
round_shots,38,34,30,26,23,1
round_queries,38,102,270,702,1863,755
round_k,1,4,13,40,123,377
round_shots,38,34,90,48,12
round_queries,38,102,810,1776,4548
round_k,1,4,18,59,189
round_shots,38,34,30,26,23,1
round_queries,38,102,270,702,1863,755
round_k,1,4,13,40,123,377
round_shots,38,34,30,26,23,1
round_queries,38,102,270,702,1863,755
round_k,1,4,13,40,123,377
round_shots,38,34,30,26,23,1
round_queries,38,102,270,702,1863,755
round_k,1,4,13,40,123,377
round_shots,38,34,30,26,23,1
round_queries,38,102,270,702,1863,755
round_k,1,4,13,40,123,377
round_shots,38,34,30,26,23,1
round_queries,38,102,270,702,1863,755
round_k,1,4,13,40,123,377
round_shots,38,52,90,45,13
round_queries,38,156,810,1665,4667
round_k,1,4,18,58,179
round_shots,38,34,75,51,19
round_queries,38,102,675,1377,5795
round_k,1,4,13,44,152
round_shots,38,34,30,26,23,1
round_queries,38,102,270,702,1863,755
round_k,1,4,13,40,123,377
round_shots,38,34,30,26,23,1
round_queries,38,102,270,702,1863,755
round_k,1,4,13,40,123,377
round_shots,38,34,59,51,20
round_queries,38,102,531,1479,5860
round_k,1,4,14,46,146
round_shots,38,34,62,85,13
round_queries,38,102,558,2295,4693
round_k,1,4,13,58,180
round_shots,38,34,30,26,23,1
round_queries,38,102,270,702,1863,755
round_k,1,4,13,40,123,377
round_shots,38,34,30,26,23,1
round_queries,38,102,270,702,1863,755
round_k,1,4,13,40,123,377
round_shots,38,66,134,41,9
round_queries,38,198,1206,1845,3717
round_k,1,4,22,68,206
round_shots,38,34,30,26,23,1
round_queries,38,102,270,702,1863,755
round_k,1,4,13,40,123,377
round_shots,38,34,30,26,23,1
round_queries,38,102,270,702,1863,755
round_k,1,4,13,40,123,377
round_shots,38,34,160,55,22
round_queries,38,102,1440,1485,6270
