round_shots,428,202,117,93,73,56,49,41,18
round_queries,428,606,1287,3441,8249,20552,53949,137473,552834
round_k,1,5,18,56,183,550,1676,5085,15356
round_shots,247,202,145,73,74,69,54,41,11
round_queries,247,606,1885,3431,10582,29601,70362,172651,434665
round_k,1,6,23,71,214,651,2105,6540,19757
round_shots,363,189,132,71,67,55,48,39,11
round_queries,363,567,1716,3479,9983,24915,66288,166023,430771
round_k,1,6,24,74,226,690,2128,6464,19580
round_shots,229,128,114,84,66,58,54,42,18
round_queries,229,384,1254,3108,7854,20938,59562,139062,554598
round_k,1,5,18,59,180,551,1655,5098,15405
round_shots,531,192,120,76,76,59,46,41,19
round_queries,531,576,1320,2812,8588,21417,51198,136899,581761
round_k,1,5,18,56,181,556,1669,5099,15309
round_shots,296,168,105,87,66,57,49,40,21
round_queries,296,504,1155,3219,7326,19665,51891,129080,611289
round_k,1,5,18,55,172,529,1613,4850,14554
round_shots,512,121,129,108,67,58,51,42,34,3
round_queries,512,363,1161,2916,5829,15486,40953,102438,248778,197667
round_k,1,4,13,43,133,401,1219,3658,10975,32944
round_shots,201,197,100,75,77,57,47,39,18
round_queries,201,591,1100,2775,8547,20919,52123,129987,559386
round_k,1,5,18,55,183,554,1666,5084,15538
round_shots,426,258,122,87,64,52,47,39,12
round_queries,426,774,1586,4263,9408,23140,62745,157209,450972
round_k,1,6,24,73,222,667,2015,6129,18790
round_shots,195,210,135,92,68,57,46,40,16
round_queries,195,630,1755,3588,8500,22287,54970,143480,522128
round_k,1,6,19,62,195,597,1793,5416,16316
round_shots,311,226,76,92,68,61,49,41,15
round_queries,311,678,988,3588,8500,23119,58555,147559,508905
round_k,1,6,19,62,189,597,1799,5543,16963
round_shots,695,149,124,78,70,57,48,40,15
round_queries,695,447,1364,3042,8750,22743,59280,149640,511935
round_k,1,5,19,62,199,617,1870,5633,17064
round_shots,552,197,127,81,74,56,49,40,13
round_queries,552,591,1397,3159,9250,22904,61985,153160,459953
round_k,1,5,19,62,204,632,1914,5838,17690
round_shots,193,192,120,78,65,59,50,40,21
round_queries,193,576,1320,2886,7475,20709,53550,129640,612801
round_k,1,5,18,57,175,535,1620,4863,14590
round_shots,389,234,121,102,70,55,46,39,13
round_queries,389,702,1573,3978,9870,23815,59846,152841,471081
round_k,1,6,19,70,216,650,1959,5939,18118
round_shots,709,139,120,89,72,57,49,40,19
