round_shots,109,82,37,27,18,19,17,17,17,16,16,16,15,15,5
round_queries,109,246,333,513,810,1767,3485,7157,14365,27760,56464,116336,226515,458595,309465
round_k,0,1,4,9,22,46,102,210,422,867,1764,3635,7550,15286,30946
round_shots,64,55,40,20,18,21,18,17,16,16,16,10,15,15,11
round_queries,64,165,280,300,594,1407,2718,5389,10320,20848,42416,54790,167655,344115,506847
round_k,0,1,3,7,16,33,75,158,322,651,1325,2739,5588,11470,23038
round_shots,46,22,20,27,22,12,17,17,15,16,15,14,16,15,11
round_queries,46,66,140,405,682,900,2703,5593,10035,21488,40905,76398,180752,345015,507683
round_k,0,1,3,7,15,37,79,164,334,671,1363,2728,5648,11500,23076
round_shots,46,22,20,24,23,21,18,18,17,17,16,10,16,15,11
round_queries,46,66,140,360,759,1407,2646,5382,10421,21199,42672,54410,176976,343665,508277
round_k,0,1,3,7,16,33,73,149,306,623,1333,2720,5530,11455,23103
round_shots,135,22,26,33,21,15,15,15,17,17,15,15,15,15,5
round_queries,135,66,182,495,903,1425,3045,6105,14433,29053,53985,108675,217995,440715,295595
round_k,0,1,3,7,21,47,101,203,424,854,1799,3622,7266,14690,29559
round_shots,107,49,40,22,19,18,17,17,17,17,15,15,16,14,3
round_queries,107,245,440,506,931,1818,3485,7021,14229,29087,54915,109905,234512,424718,188379
round_k,0,2,5,11,24,50,102,206,418,855,1830,3663,7328,15168,31396
round_shots,140,22,39,23,17,19,15,17,15,14,16,15,16,14
round_queries,140,66,273,483,1071,2527,4305,9979,18165,33922,78096,151035,326736,576954
round_k,0,1,3,10,31,66,143,293,605,1211,2440,5034,10210,20605
round_shots,140,22,18,20,22,17,17,16,16,16,16,16,16,16,8
round_queries,140,66,126,300,726,1343,2839,5552,11504,23408,47760,96592,199088,407824,422504
round_k,0,1,3,7,16,39,83,173,359,731,1492,3018,6221,12744,26406
round_shots,93,54,18,24,23,18,19,17,17,17,16,16,14,16,7
round_queries,93,162,126,360,851,1350,3135,5967,11985,25313,50704,102128,184786,424848,379869
round_k,0,1,3,7,18,37,82,175,352,744,1584,3191,6599,13276,27133
round_shots,106,38,34,20,22,17,17,16,14,16,15,16,13,11
round_queries,106,190,374,660,1474,2601,5321,10320,18410,43184,82695,177744,297557,504317
round_k,0,2,5,16,33,76,156,322,657,1349,2756,5554,11444,22923
round_shots,39,22,45,32,22,19,18,16,15,16,10,15,14,15,9
round_queries,39,66,315,480,726,1463,3042,5648,10755,23088,29270,88665,168210,370305,450549
round_k,0,1,3,7,16,38,84,176,358,721,1463,2955,6007,12343,25030
round_shots,39,25,35,25,23,20,17,14,14,16,16,16,10,10,7
round_queries,39,75,245,425,851,1700,3213,5446,11074,25520,52240,106448,137150,279550,398629
round_k,0,1,3,8,18,42,94,194,395,797,1632,3326,6857,13977,28473
round_shots,135,29,32,30,22,19,18,16,16,15,15,16,15,15,7
round_queries,135,87,224,450,726,1463,3042,5424,11088,21015,42045,89744,172035,347685,327313
round_k,0,1,3,7,16,38,84,169,346,700,1401,2804,5734,11589,23379
round_shots,76,33,30,34,25,18,17,12,15,15,15,15,15,15,3
round_queries,76,99,210,510,1125,1998,3927,5628,14595,29205,58725,118125,236895,475635,191457
round_k,0,1,3,7,22,55,115,234,486,973,1957,3937,7896,15854,31909
