round_shots,51,38,20,24,22,18,17,15,10,15,15,3
round_queries,51,114,140,360,814,1602,3077,5595,7550,23175,46395,18699
round_k,0,1,3,7,18,44,90,186,377,772,1546,3116
round_shots,63,25,22,21,20,19,15,16,16,15,10,6
round_queries,63,75,154,315,660,1463,2475,5296,10768,20865,27850,34050
round_k,0,1,3,7,16,38,82,165,336,695,1392,2837
round_shots,98,26,21,30,21,18,16,16,16,16,14
round_queries,98,130,231,690,1029,1818,3536,7248,14928,31120,56462
round_k,0,2,5,11,24,50,110,226,466,972,2016
round_shots,22,36,26,34,16,16,10,16,15,14,16,8
round_queries,22,108,182,510,496,1040,1430,4784,9135,17094,40176,41432
round_k,0,1,3,7,15,32,71,149,304,610,1255,2589
round_shots,38,23,32,22,15,12,17,16,10,15,15,6
round_queries,38,69,224,330,555,900,2703,5424,6970,21765,44025,35622
round_k,0,1,3,7,18,37,79,169,348,725,1467,2968
round_shots,159,24,32,20,18,17,16,14,17,14,15,7
round_queries,159,72,224,300,594,1173,2384,4354,10727,18158,40305,38787
round_k,0,1,3,7,16,34,74,155,315,648,1343,2770
round_shots,118,23,28,20,19,17,17,15,16,15,14,8
round_queries,118,69,196,300,627,1139,2397,4515,9648,18855,35462,40600
round_k,0,1,3,7,16,33,70,150,301,628,1266,2537
round_shots,80,61,26,33,23,18,18,16,14,15,15,5
round_queries,80,183,182,495,943,1530,3258,5968,10654,23025,46635,31895
round_k,0,1,3,7,20,42,90,186,380,767,1554,3189
round_shots,51,25,38,37,24,18,17,15,11,14,10
round_queries,51,75,266,555,1080,1998,4165,7695,11561,31850,45590
round_k,0,1,3,7,22,55,122,256,525,1137,2279
round_shots,22,39,18,28,23,18,17,16,16,15,10,3
round_queries,22,117,126,420,943,1710,3349,6544,13200,25365,34330,21129
round_k,0,1,3,7,20,47,98,204,412,845,1716,3521
round_shots,38,24,20,21,15,19,17,16,16,15,10,6
round_queries,38,72,140,315,495,1273,2533,5136,10704,21135,28590,35574
round_k,0,1,3,7,16,33,74,160,334,704,1429,2964
round_shots,174,26,19,24,18,18,16,14,16,15,7
round_queries,174,130,209,552,1026,2106,4144,7518,17264,33255,31241
round_k,0,2,5,11,28,58,129,268,539,1108,2231
round_shots,69,43,22,37,17,15,15,15,15,15,15,4
round_queries,69,129,154,555,765,1395,2835,5745,11715,23595,47295,25388
round_k,0,1,3,7,22,46,94,191,390,786,1576,3173
round_shots,51,35,24,34,24,17,16,16,16,15,11
round_queries,51,105,168,510,1080,1921,4016,8368,16848,33465,49247
round_k,0,1,3,7,22,56,125,261,526,1115,2238
round_shots,63,49,22,20,16,15,16,16,16,15,16,8
round_queries,63,147,154,300,528,1005,2160,4560,9424,18375,39696,41064
round_k,0,1,3,7,16,33,67,142,294,612,1240,2566
round_shots,86,36,32,33,19,20,17,15,14,15,10,2
round_queries,86,108,224,495,779,1780,3349,6225,11662,25575,34210,14110
round_k,0,1,3,7,20,44,98,207,416,852,1710,3527
round_shots,126,58,24,26,20,17,15,16,15,15,10
round_queries,126,290,264,702,1140,2193,4035,8848,16695,34065,47330
round_k,0,2,5,13,28,64,134,276,556,1135,2366
round_shots,123,40,34,22,17,19,18,10,15,15,9
round_queries,123,120,238,462,1071,2527,5094,5830,18015,36405,44343
round_k,0,1,3,10,31,66,141,291,600,1213,2463
round_shots,97,24,24,41,24,20,17,15,16,15,15,5
round_queries,97,72,168,615,744,1580,3043,5595,11984,23145,46455,31345
round_k,0,1,3,7,15,39,89,186,374,771,1548,3134
round_shots,22,37,18,27,19,18,16,16,16,16,15,4
round_queries,22,111,126,405,627,1314,2512,5168,10576,22096,42315,22980
round_k,0,1,3,7,16,36,78,161,330,690,1410,2872
round_shots,38,30,18,20,15,19,17,17,15,15,15,5
round_queries,38,90,126,300,495,1273,2397,5117,9675,19815,40065,26805
round_k,0,1,3,7,16,33,70,150,322,660,1335,2680
round_shots,63,32,18,33,17,21,11,14,16,15,15,5
round_queries,63,96,126,495,697,1827,1947,5138,12016,23145,47385,31725
round_k,0,1,3,7,20,43,88,183,375,771,1579,3172
round_shots,118,36,19,28,21,20,15,11,17,15,15,6
round_queries,118,108,133,420,777,1620,2475,3729,11747,21285,44625,36162
round_k,0,1,3,7,18,40,82,169,345,709,1487,3013
round_shots,38,22,26,28,21,15,16,15,14,16,15,5
round_queries,38,66,182,420,777,1275,2736,5265,9842,23120,46005,31205
round_k,0,1,3,7,18,42,85,175,351,722,1533,3120
round_shots,138,33,28,37,17,20,18,16,15,15,10
round_queries,138,99,196,555,765,1860,3798,7056,13815,28155,37570
round_k,0,1,3,7,22,46,105,220,460,938,1878
round_shots,63,52,37,30,20,17,15,15,15,14,10,3
round_queries,63,156,259,450,820,1445,2715,5475,10965,20566,29730,18519
round_k,0,1,3,7,20,42,90,182,365,734,1486,3086
round_shots,31,22,18,20,25,20,17,16,16,13,15,6
round_queries,31,66,126,300,825,1340,2635,5136,10736,17719,41415,33822
round_k,0,1,3,7,16,33,77,160,335,681,1380,2818
round_shots,159,25,18,23,27,18,18,15,15,15,15,4
round_queries,159,75,126,345,837,1422,3042,5355,10725,21795,43935,23852
round_k,0,1,3,7,15,39,84,178,357,726,1464,2981
round_shots,31,37,20,22,19,18,17,15,14,15,14,4
round_queries,31,111,140,330,703,1386,2669,4935,9282,20685,38654,22228
round_k,0,1,3,7,18,38,78,164,331,689,1380,2778
round_shots,102,24,45,20,23,16,16,16,10,15,15,6
round_queries,102,72,315,300,759,1328,2736,5552,7010,21165,42405,34026
round_k,0,1,3,7,16,41,85,173,350,705,1413,2835
round_shots,80,26,18,22,25,18,15,16,15,16,14,3
