round_shots,88,68,27,30,22,22,19,18,16,16,16,16,16,16,16,16,16,13
round_queries,88,204,189,450,726,1694,3211,6246,11344,22992,46224,93520,189008,386448,785488,1613168,3312368,5521607
round_k,0,1,3,7,16,38,84,173,354,718,1444,2922,5906,12076,24546,50411,103511,212369
round_shots,88,24,27,41,18,21,17,15,16,16,16,16,10,16,16,16,10,9
round_queries,88,72,189,615,810,1953,3485,6285,13616,27568,55856,112560,143170,463664,951536,1949072,2491770,4553181
round_k,0,1,3,7,22,46,102,209,425,861,1745,3517,7158,14489,29735,60908,124588,252954
round_shots,115,23,32,20,22,19,19,18,17,17,11,16,16,16,16,16,16,11
round_queries,115,69,224,300,726,1463,3059,5994,12019,24837,33539,100880,206288,419184,852592,1741168,3565712,5044523
round_k,0,1,3,7,16,38,80,166,353,730,1524,3152,6446,13099,26643,54411,111428,229296
round_shots,152,31,33,24,20,21,18,17,11,17,15,16,16,15,16,15,16,16
round_queries,152,93,231,360,660,1491,2898,5593,7293,22763,40785,87760,177456,338295,727952,1392795,2980848,6118160
round_k,0,1,3,7,16,35,80,164,331,669,1359,2742,5545,11276,22748,46426,93151,191192
round_shots,65,23,27,26,27,22,18,17,18,17,16,10,16,16,16,16,16,7
round_queries,65,69,189,390,999,2046,3762,7327,15642,31909,62288,79470,254928,519664,1066672,2183312,4481968,4022529
round_k,0,1,3,7,18,46,104,215,434,938,1946,3973,7966,16239,33333,68228,140061,287323
round_shots,46,25,23,26,18,18,18,18,18,17,18,17,15,15,15,16,16,15,2
round_queries,46,75,161,390,594,1206,2466,5022,10494,21097,46890,91137,165795,331665,663645,1428880,2921424,5617935,1501678
round_k,0,1,3,7,16,33,68,139,291,620,1302,2680,5526,11055,22121,44652,91294,187264,375419
round_shots,83,62,19,24,27,19,18,18,11,17,17,16,16,16,16,14,15,16
round_queries,83,186,133,360,891,1273,2610,5526,6765,21505,44387,86576,176976,358800,729776,1306522,2866725,6127120
round_k,0,1,3,7,16,33,72,153,307,632,1305,2705,5530,11212,22805,46661,95557,191472
round_shots,110,57,34,18,20,21,19,18,16,17,16,16,16,16,16,16,16,14
round_queries,110,171,238,270,620,1491,2983,5922,10704,23273,44880,89936,184976,376304,764752,1571856,3218384,5767482
round_k,0,1,3,7,15,35,78,164,334,684,1402,2810,5780,11759,23898,49120,100574,205981
round_shots,65,33,27,31,22,18,18,18,16,16,11,16,16,15,16,16,14,7
round_queries,65,99,189,465,902,1530,3294,6786,12240,24816,34485,104528,212048,406635,869776,1780592,3186778,3275097
round_k,0,1,3,7,20,42,91,188,382,775,1567,3266,6626,13554,27180,55643,113813,233935
round_shots,136,25,19,22,19,21,19,17,17,17,17,14,15,16,16,10,16,15,2
round_queries,136,75,133,330,627,1449,2907,5389,10829,21947,44149,74438,163575,351728,713008,906970,2931664,5640975,1509546
round_k,0,1,3,7,16,34,76,158,318,645,1298,2658,5452,10991,22281,45348,91614,188032,377386
round_shots,94,58,21,31,20,12,18,18,17,16,16,16,16,16,15,15,16,6
round_queries,94,174,147,465,820,1044,3366,6930,13855,26736,53648,109936,225328,458416,878475,1780605,3853712,2963922
round_k,0,1,3,7,20,43,93,192,407,835,1676,3435,7041,14325,29282,59353,120428,246993
round_shots,115,53,23,28,27,18,19,17,16,17,15,16,16,10,14,16,15,10
round_queries,115,159,161,420,999,1638,3591,6851,13040,27829,50805,108720,221264,280610,792386,1855184,3560325,4767790
round_k,0,1,3,7,18,45,94,201,407,818,1693,3397,6914,14030,28299,57974,118677,238389
round_shots,127,33,18,19,24,19,18,17,17,15,16,16,16,16,15,16,16,3
round_queries,127,165,198,437,1176,2261,4626,9231,19227,34545,73968,150160,304656,620080,1191225,2544336,5218768,2014533
round_k,0,2,5,11,24,59,128,271,565,1151,2311,4692,9520,19377,39707,79510,163086,335755
round_shots,77,33,30,25,25,20,18,17,15,16,16,16,16,16,16,16,16,9
round_queries,77,99,210,375,925,1820,3402,6443,11985,26704,53488,107664,216944,442640,906992,1858128,3804144,4377519
round_k,0,1,3,7,18,45,94,189,399,834,1671,3364,6779,13832,28343,58066,118879,243195
round_shots,65,65,26,29,23,21,16,17,16,16,16,15,16,16,16,16,15,4
round_queries,65,195,234,551,1127,2457,3792,8177,15952,31952,65232,124155,265552,542000,1113232,2277200,4375635,2337724
round_k,0,1,4,9,24,58,118,240,498,998,2038,4138,8298,16937,34788,71162,145854,292215
round_shots,53,37,19,20,18,23,17,17,17,16,16,16,16,10,16,15,16,15
round_queries,53,111,133,300,594,1541,2635,5389,11169,21616,43536,88080,179696,229090,740560,1409325,3050128,5853495
round_k,0,1,3,7,16,33,77,158,328,675,1360,2752,5615,11454,23142,46977,95316,195116
round_shots,121,83,19,26,18,18,19,18,15,17,16,16,16,10,16,16,15,9
round_queries,121,249,171,494,846,1710,3629,7146,12225,28679,56208,113104,228496,290950,939888,1928208,3705885,4460499
round_k,0,1,4,9,23,47,95,198,407,843,1756,3534,7140,14547,29371,60256,123529,247805
round_shots,142,28,29,43,19,19,17,12,17,12,17,16,16,16,16,16,16,6
round_queries,142,84,203,645,931,1919,3723,5292,15283,21972,66385,127920,260048,528720,1087408,2222320,4561328,3507066
round_k,0,1,3,7,24,50,109,220,449,915,1952,3997,8126,16522,33981,69447,142541,292255
round_shots,105,33,25,37,28,20,18,11,17,16,14,16,16,16,16,10,16,11
round_queries,105,99,175,555,868,1580,3114,4081,12835,24752,44254,103632,210000,426992,874896,1123770,3646352,5152697
round_k,0,1,3,7,15,39,86,185,377,773,1580,3238,6562,13343,27340,56188,113948,234213
round_shots,88,31,34,20,19,19,16,18,18,16,16,15,10,10,16,16,15,14,2
round_queries,88,93,238,300,627,1311,2384,5454,11250,20816,42576,80805,107910,217410,699952,1428912,2750055,5142270,1510142
round_k,0,1,3,7,16,34,74,151,312,650,1330,2693,5395,10870,21873,44653,91668,183652,377535
round_shots,94,39,19,27,27,20,19,19,17,16,16,16,15,10,10,10,16,13
round_queries,94,117,133,405,837,1500,3135,6517,12087,23248,47408,96720,186975,250290,503990,1019290,3300752,5499611
round_k,0,1,3,7,15,37,82,171,355,726,1481,3022,6232,12514,25199,50964,103148,211523
round_shots,83,50,47,21,20,20,19,18,16,16,16,16,16,16,15,16,16,7
round_queries,83,150,329,441,940,1900,3933,7794,14704,29424,59824,123056,250256,507824,983145,2099024,4304944,3860745
round_k,0,1,3,10,23,47,103,216,459,919,1869,3845,7820,15869,32771,65594,134529,275767
round_shots,110,57,21,26,20,18,19,18,17,16,16,16,15,15,16,16,16,16
round_queries,110,171,147,390,740,1350,3059,5850,11305,21808,44112,89296,169335,339435,730736,1496848,3062416,6269392
round_k,0,1,3,7,18,37,80,162,332,681,1378,2790,5644,11314,22835,46776,95700,195918
round_shots,107,45,42,33,18,20,17,17,16,15,16,16,16,16,16,16,16,5
round_queries,107,225,462,759,882,2100,3587,7327,13968,26235,56848,113744,232752,473008,965904,1984016,4065488,2606395
round_k,0,2,5,11,24,52,105,215,436,874,1776,3554,7273,14781,30184,62000,127046,260639
round_shots,40,23,27,25,20,22,18,11,15,16,10,16,16,16,16,16,14,11
round_queries,40,69,189,375,740,1650,3114,4037,11205,25072,31610,102320,207984,419504,846800,1733616,3108266,4995573
round_k,0,1,3,7,18,37,86,183,373,783,1580,3197,6499,13109,26462,54175,111009,227071
round_shots,53,37,29,34,22,19,16,17,17,17,16,16,16,16,10,14,16,5
round_queries,53,111,203,510,946,1957,3568,8177,16847,34765,68656,139376,283568,577808,737790,2089374,4892912,3145935
round_k,0,1,3,7,21,51,111,240,495,1022,2145,4355,8861,18056,36889,74620,152903,314593
round_shots,100,33,42,28,20,18,16,17,16,16,17,10,10,15,16,16,14,2
