round_shots,51,78,29,15
round_queries,51,234,377,555
round_k,0,1,6,18
round_shots,103,50,14,14,9
round_queries,103,150,154,322,423
round_k,0,1,5,11,23
round_shots,36,55,23,16,4
round_queries,36,165,253,464,260
round_k,0,1,5,14,32
round_shots,156,28,12,5
round_queries,156,196,252,245
round_k,0,3,10,24
round_shots,205,70,14,19,3
round_queries,205,210,182,513,189
round_k,0,1,6,13,31
round_shots,221,35,27,14,8
round_queries,221,105,243,322,376
round_k,0,1,4,11,23
round_shots,62,62,27,14
round_queries,62,186,351,518
round_k,0,1,6,18
round_shots,184,70,20,21,4
round_queries,184,210,260,567,252
round_k,0,1,6,13,31
round_shots,65,50,19,16,8
round_queries,65,150,209,368,376
round_k,0,1,5,11,23
round_shots,39,60,20,19,4
round_queries,39,180,220,513,252
round_k,0,1,5,13,31
round_shots,152,35,23,14,9
round_queries,152,105,207,322,423
round_k,0,1,4,11,23
round_shots,94,74,22,19,4
round_queries,94,222,286,513,252
round_k,0,1,6,13,31
round_shots,80,62,14,21,4
round_queries,80,186,182,567,260
round_k,0,1,6,13,32
round_shots,211,82,14,18,5
round_queries,211,246,182,486,305
round_k,0,1,6,13,30
round_shots,33,42,31,21,5
round_queries,33,126,279,525,305
round_k,0,1,4,12,30
round_shots,134,74,14,21,4
round_queries,134,222,182,567,252
round_k,0,1,6,13,31
round_shots,110,82,23,18,5
round_queries,110,246,299,486,305
round_k,0,1,6,13,30
round_shots,147,66,14,19,3
round_queries,147,198,182,513,183
round_k,0,1,6,13,30
round_shots,119,80,23,14,2
round_queries,119,240,345,518,150
round_k,0,1,7,18,37
round_shots,32,65,23,18,7
round_queries,32,195,253,450,357
round_k,0,1,5,12,25
round_shots,30,62,14,19,3
round_queries,30,186,182,513,195
round_k,0,1,6,13,32
round_shots,39,42,23,14,6
round_queries,39,126,207,322,282
round_k,0,1,4,11,23
round_shots,82,66,20,20,3
round_queries,82,198,260,540,189
round_k,0,1,6,13,31
round_shots,94,78,25,21,4
round_queries,94,234,325,567,252
round_k,0,1,6,13,31
round_shots,44,55,17,17,5
round_queries,44,165,187,425,255
round_k,0,1,5,12,25
round_shots,33,50,23,12,4
round_queries,33,150,253,348,252
round_k,0,1,5,14,31
round_shots,167,102,24,13
round_queries,167,306,360,507
round_k,0,1,7,19
round_shots,60,78,23,18
round_queries,60,234,299,594
round_k,0,1,6,16
round_shots,42,55,20,21,5
round_queries,42,165,220,567,305
round_k,0,1,5,13,30
round_shots,198,48,34,23,3
round_queries,198,144,306,575,183
round_k,0,1,4,12,30
round_shots,110,42,23,19,4
round_queries,110,126,207,437,212
round_k,0,1,4,11,26
round_shots,30,86,27,14,2
round_queries,30,258,351,490,142
round_k,0,1,6,17,35
round_shots,54,91,23,14,2
round_queries,54,273,345,518,150
round_k,0,1,7,18,37
round_shots,124,42,23,17,7
round_queries,124,126,207,391,357
round_k,0,1,4,11,25
round_shots,69,82,14,20,4
round_queries,69,246,182,540,252
round_k,0,1,6,13,31
round_shots,192,20,17,8
round_queries,192,140,357,392
round_k,0,3,10,24
round_shots,113,50,14,19,4
round_queries,113,150,154,437,212
round_k,0,1,5,11,26
round_shots,57,28,26,14,8
round_queries,57,84,234,322,376
round_k,0,1,4,11,23
round_shots,85,28,23,16,9
round_queries,85,84,207,368,423
round_k,0,1,4,11,23
round_shots,123,55,23,21,5
round_queries,123,165,253,567,305
round_k,0,1,5,13,30
round_shots,54,20,30,14,7
round_queries,54,60,270,350,357
round_k,0,1,4,12,25
round_shots,120,50,17,17,4
round_queries,120,150,187,425,212
round_k,0,1,5,12,26
round_shots,94,74,19,19,3
round_queries,94,222,247,513,189
round_k,0,1,6,13,31
round_shots,164,55,26,13,2
round_queries,164,165,286,403,134
round_k,0,1,5,15,33
round_shots,36,62,31,16
round_queries,36,186,403,560
round_k,0,1,6,17
round_shots,184,62,27,14
round_queries,184,186,351,518
round_k,0,1,6,18
round_shots,48,74,27,11
round_queries,48,222,351,385
round_k,0,1,6,17
round_shots,96,45,17,21,3
round_queries,96,135,187,525,183
round_k,0,1,5,12,30
round_shots,181,35,33,21,3
round_queries,181,105,297,525,183
round_k,0,1,4,12,30
round_shots,54,80,26,15
round_queries,54,240,390,555
round_k,0,1,7,18
round_shots,69,35,30,17,7
round_queries,69,105,270,425,357
round_k,0,1,4,12,25
round_shots,156,20,18,9
round_queries,156,140,378,423
round_k,0,3,10,23
round_shots,30,62,16,20,4
round_queries,30,186,208,540,252
round_k,0,1,6,13,31
round_shots,33,70,16,16,3
round_queries,33,210,208,432,177
round_k,0,1,6,13,29
round_shots,212,45,20,11,3
round_queries,212,135,220,297,177
round_k,0,1,5,13,29
round_shots,30,50,20,18,5
round_queries,30,150,220,486,305
round_k,0,1,5,13,30
round_shots,71,65,14,17,7
round_queries,71,195,154,391,357
round_k,0,1,5,11,25
round_shots,77,63,25,16
round_queries,77,189,325,560
round_k,0,1,6,17
round_shots,53,84,17,16
round_queries,53,252,255,560
round_k,0,1,7,17
round_shots,41,80,23,13
round_queries,41,240,345,481
round_k,0,1,7,18
round_shots,150,84,23,14
round_queries,150,252,345,518
round_k,0,1,7,18
round_shots,171,62,18,17,4
round_queries,171,186,234,493,260
round_k,0,1,6,14,32
round_shots,180,82,25,11
round_queries,180,246,325,385
round_k,0,1,6,17
round_shots,98,62,16,11,5
round_queries,98,186,208,297,295
round_k,0,1,6,13,29
round_shots,47,66,14,16,3
round_queries,47,198,182,432,177
round_k,0,1,6,13,29
round_shots,30,35,29,14,7
round_queries,30,105,261,350,357
round_k,0,1,4,12,25
round_shots,140,20,29,21,5
round_queries,140,60,261,525,295
round_k,0,1,4,12,29
round_shots,51,66,23,12,2
round_queries,51,198,299,372,138
round_k,0,1,6,15,34
round_shots,60,70,27,15,2
round_queries,60,210,351,525,142
round_k,0,1,6,17,35
round_shots,130,65,17,20,7
round_queries,130,195,187,500,357
round_k,0,1,5,12,25
round_shots,63,45,17,16,7
round_queries,63,135,187,400,371
round_k,0,1,5,12,26
round_shots,33,62,27,14,3
round_queries,33,186,351,490,213
round_k,0,1,6,17,35
round_shots,33,78,23,19,4
round_queries,33,234,299,513,252
round_k,0,1,6,13,31
round_shots,30,48,33,16,7
round_queries,30,144,297,400,357
round_k,0,1,4,12,25
round_shots,41,55,21,20,7
round_queries,41,165,231,500,357
round_k,0,1,5,12,25
round_shots,30,60,23,19,4
round_queries,30,180,253,513,252
round_k,0,1,5,13,31
round_shots,82,70,17,18,5
round_queries,82,210,221,486,305
round_k,0,1,6,13,30
round_shots,114,98,27,12
round_queries,114,294,405,492
round_k,0,1,7,20
round_shots,35,45,20,19,4
round_queries,35,135,220,513,252
round_k,0,1,5,13,31
round_shots,35,20,33,19,6
round_queries,35,60,297,475,342
round_k,0,1,4,12,28
round_shots,57,62,14,19,4
round_queries,57,186,182,513,252
round_k,0,1,6,13,31
round_shots,39,66,16,18,4
round_queries,39,198,208,486,220
round_k,0,1,6,13,27
round_shots,184,50,17,17,4
round_queries,184,150,187,425,212
round_k,0,1,5,12,26
round_shots,120,28,23,17,7
round_queries,120,84,207,391,357
round_k,0,1,4,11,25
round_shots,264,29,16,7
round_queries,264,261,400,357
round_k,0,4,12,25
round_shots,69,86,26,16,5
round_queries,69,258,338,432,295
round_k,0,1,6,13,29
round_shots,188,55,17,20,7
round_queries,188,165,187,500,357
round_k,0,1,5,12,25
round_shots,33,42,29,14,7
round_queries,33,126,261,350,357
round_k,0,1,4,12,25
round_shots,195,65,16,16,8
round_queries,195,195,176,368,392
round_k,0,1,5,11,24
round_shots,50,62,17,19,5
round_queries,50,186,221,513,305
round_k,0,1,6,13,30
round_shots,153,80,26,12
round_queries,153,240,390,492
round_k,0,1,7,20
round_shots,166,65,23,12,3
round_queries,166,195,253,348,189
round_k,0,1,5,14,31
round_shots,38,60,19,15,4
round_queries,38,180,209,375,220
round_k,0,1,5,12,27
round_shots,150,65,14,16,8
round_queries,150,195,154,368,392
round_k,0,1,5,11,24
round_shots,232,78,18,12,4
round_queries,232,234,234,348,252
round_k,0,1,6,14,31
round_shots,94,80,12,16
round_queries,94,240,180,560
round_k,0,1,7,17
round_shots,32,45,17,18,4
round_queries,32,135,187,450,220
round_k,0,1,5,12,27
round_shots,167,48,29,20,7
round_queries,167,144,261,500,357
round_k,0,1,4,12,25
round_shots,30,80,26,14,2
round_queries,30,240,390,518,150
round_k,0,1,7,18,37
round_shots,30,70,19,21,3
round_queries,30,210,247,567,189
round_k,0,1,6,13,31
round_shots,48,84,23,14,2
round_queries,48,252,345,518,150
round_k,0,1,7,18,37
round_shots,82,20,25,16,5
round_queries,82,60,225,368,245
round_k,0,1,4,11,24
round_shots,181,65,14,14,6
round_queries,181,195,154,322,282
round_k,0,1,5,11,23
round_shots,41,20,35,21,4
round_queries,41,60,315,567,252
round_k,0,1,4,13,31
round_shots,170,63,30,14,2
round_queries,170,189,390,490,146
round_k,0,1,6,17,36
round_shots,30,20,29,19,7
round_queries,30,60,261,475,357
round_k,0,1,4,12,25
round_shots,136,74,14,19,5
round_queries,136,222,182,513,305
round_k,0,1,6,13,30
round_shots,32,62,26,21,4
round_queries,32,186,338,567,252
round_k,0,1,6,13,31
round_shots,42,78,18,11,3
round_queries,42,234,234,297,177
round_k,0,1,6,13,29
round_shots,35,91,21,15
round_queries,35,273,315,525
round_k,0,1,7,17
round_shots,180,20,12,8
round_queries,180,140,252,392
round_k,0,3,10,24
round_shots,170,74,27,16
round_queries,170,222,351,560
round_k,0,1,6,17
round_shots,48,80,26,13
round_queries,48,240,390,507
round_k,0,1,7,19
round_shots,44,62,27,14
round_queries,44,186,351,518
round_k,0,1,6,18
round_shots,189,20,17,8
round_queries,189,140,357,392
round_k,0,3,10,24
round_shots,97,65,20,19,4
round_queries,97,195,220,475,228
round_k,0,1,5,12,28
round_shots,30,65,17,17,7
round_queries,30,195,187,425,357
round_k,0,1,5,12,25
round_shots,149,46,18,18,8
round_queries,149,138,198,414,392
round_k,0,1,5,11,24
round_shots,123,55,17,22,7
round_queries,123,165,187,550,357
round_k,0,1,5,12,25
round_shots,60,28,28,19,4
round_queries,60,84,252,513,252
round_k,0,1,4,13,31
round_shots,195,74,18,19,4
round_queries,195,222,234,551,260
round_k,0,1,6,14,32
round_shots,39,116,22,11
round_queries,39,348,374,451
round_k,0,1,8,20
round_shots,109,110,18,13
round_queries,109,330,306,507
round_k,0,1,8,19
round_shots,33,80,23,15
round_queries,33,240,345,555
round_k,0,1,7,18
round_shots,44,42,19,21,9
round_queries,44,126,171,441,405
round_k,0,1,4,10,22
round_shots,101,50,20,19,4
round_queries,101,150,220,513,252
round_k,0,1,5,13,31
round_shots,81,65,22,23,7
round_queries,81,195,242,575,357
round_k,0,1,5,12,25
round_shots,174,20,12,8
round_queries,174,140,252,392
round_k,0,3,10,24
round_shots,98,129,13,13
round_queries,98,387,221,507
round_k,0,1,8,19
round_shots,122,60,14,14,6
round_queries,122,180,154,322,282
round_k,0,1,5,11,23
round_shots,144,45,20,17,7
round_queries,144,135,220,425,357
round_k,0,1,5,12,25
round_shots,36,62,16,21,3
round_queries,36,186,208,567,195
round_k,0,1,6,13,32
round_shots,153,20,23,15,9
round_queries,153,60,207,345,423
round_k,0,1,4,11,23
round_shots,93,48,17,17,8
round_queries,93,144,187,391,392
round_k,0,1,5,11,24
round_shots,30,35,28,23,4
round_queries,30,105,252,621,260
round_k,0,1,4,13,32
round_shots,38,84,23,13
round_queries,38,252,345,507
round_k,0,1,7,19
round_shots,41,45,19,19,6
round_queries,41,135,209,437,318
round_k,0,1,5,11,26
round_shots,80,70,28,21,4
round_queries,80,210,364,567,252
round_k,0,1,6,13,31
round_shots,139,86,17,20,3
round_queries,139,258,221,540,177
round_k,0,1,6,13,29
round_shots,152,74,27,14
round_queries,152,222,351,518
round_k,0,1,6,18
round_shots,144,63,23,21,4
round_queries,144,189,299,567,252
round_k,0,1,6,13,31
round_shots,129,80,28,13
round_queries,129,240,420,507
round_k,0,1,7,19
round_shots,32,84,17,16
round_queries,32,252,255,560
round_k,0,1,7,17
round_shots,152,35,28,14,9
round_queries,152,105,252,322,423
round_k,0,1,4,11,23
round_shots,44,45,22,21,5
round_queries,44,135,242,525,295
round_k,0,1,5,12,29
round_shots,88,45,17,16,7
round_queries,88,135,187,400,357
round_k,0,1,5,12,25
round_shots,84,50,21,14,5
round_queries,84,150,231,350,255
round_k,0,1,5,12,25
round_shots,82,82,22,19,4
round_queries,82,246,286,513,252
round_k,0,1,6,13,31
round_shots,35,82,28,21,5
round_queries,35,246,364,567,305
round_k,0,1,6,13,30
round_shots,97,28,28,21,3
round_queries,97,84,252,567,183
round_k,0,1,4,13,30
round_shots,163,62,25,14,3
round_queries,163,186,325,490,219
round_k,0,1,6,17,36
round_shots,59,66,14,18,5
round_queries,59,198,182,486,305
round_k,0,1,6,13,30
round_shots,30,63,17,11,5
round_queries,30,189,221,297,295
round_k,0,1,6,13,29
round_shots,47,55,20,20,4
round_queries,47,165,220,540,252
round_k,0,1,5,13,31
round_shots,124,80,25,16
round_queries,124,240,375,560
round_k,0,1,7,17
round_shots,93,78,16,18,4
round_queries,93,234,208,486,220
round_k,0,1,6,13,27
round_shots,107,70,27,15
round_queries,107,210,351,555
round_k,0,1,6,18
