round_shots,208,136,232,187,157,109,133,119,75,69,73
round_queries,208,408,2088,5423,15229,36297,133133,368067,696675,1933035,18914519
round_k,1,4,14,48,166,500,1546,4644,14007,42800,129551
round_shots,260,195,174,570,184,331,160,141,92,134,56,3
round_queries,260,585,1566,16530,16376,103603,153120,405939,815212,3628854,4549608,2220123
round_k,1,4,14,44,156,478,1439,4430,13540,40621,121967,370020
round_shots,285,136,251,234,390,131,106,120,112,103,111
round_queries,285,408,2259,6318,37830,44671,113950,394680,1119888,3105965,30989535
round_k,1,4,13,48,170,537,1644,4999,15077,46099,139592
round_shots,214,200,203,234,256,253,107,82,77,61,52,7
round_queries,214,600,1827,6318,24832,78683,103041,238210,673981,1617171,4169828,5218899
round_k,1,4,13,48,155,481,1452,4376,13255,40094,121437,372778
round_shots,266,244,234,245,127,152,97,80,70,88,50
round_queries,266,732,2106,7105,13843,49704,96127,244720,649390,2466200,12833850
round_k,1,4,14,54,163,495,1529,4638,14012,42682,128338
round_shots,260,227,242,137,256,149,111,81,82,88,42
round_queries,260,681,2662,4795,27392,49021,110667,250371,762518,2496296,11046294
round_k,1,5,17,53,164,498,1545,4649,14183,43285,131503
round_shots,228,181,163,148,138,116,95,94,72,62,53,6
round_queries,228,543,1467,4292,12558,31900,80655,245246,572328,1493394,3846581,3972450
round_k,1,4,14,45,137,424,1304,3974,12043,36288,109102,331037
round_shots,228,142,212,139,117,105,90,90,92,63,58,3
round_queries,228,426,1908,3753,9711,27405,72090,216810,665068,1390473,3865294,1819449
round_k,1,4,13,41,130,400,1204,3614,11035,33321,100947,303241
round_shots,303,192,179,142,283,118,162,85,96,63,103,6
round_queries,303,576,1611,3834,23489,29618,129114,219895,754464,1507653,7460805,4217826
round_k,1,4,13,41,125,398,1293,3929,11965,36217,113081,351485
round_shots,201,171,221,200,159,127,113,218,78,68,66,4
round_queries,201,513,1989,5800,16377,43561,118085,689534,740142,1951260,5708406,3124756
round_k,1,4,14,51,171,522,1581,4744,14347,43245,129736,390594
round_shots,214,134,240,152,132,136,94,84,70,61,150,4
round_queries,214,402,2160,4408,12012,40392,86386,233604,585410,1530429,11305050,2860468
round_k,1,4,14,45,148,459,1390,4181,12544,37683,119017,357558
round_shots,247,156,239,185,198,112,104,95,94,62,54,8
round_queries,247,468,2151,5365,18018,31024,88920,246905,742882,1504058,3943674,5328840
round_k,1,4,14,45,138,427,1299,3951,12129,36515,109854,333052
round_shots,339,191,258,239,132,160,145,82,72,63,88,4
round_queries,339,573,2322,6931,14388,52960,144565,249526,659160,1736217,7342280,3125732
round_k,1,4,14,54,165,498,1521,4577,13779,41717,128845,390716
round_shots,247,192,217,154,187,128,93,83,75,60,62,3
round_queries,247,576,1953,4466,18513,41600,93279,251241,688275,1675860,5195166,2290581
round_k,1,4,14,49,162,501,1513,4588,13965,41896,126757,381763
round_shots,228,235,159,135,119,142,93,85,72,119,58,8
