round_shots,475,258,170,95,75,70,23
round_queries,475,774,1870,4275,10875,31290,94415
round_k,1,5,22,72,223,680,2052
round_shots,460,285,229,95,68,66,6
round_queries,460,855,2519,4655,10948,32142,27570
round_k,1,5,24,80,243,753,2297
round_shots,512,400,201,99,78,101,14
round_queries,512,1200,2211,4851,13182,53227,69398
round_k,1,5,24,84,263,817,2478
round_shots,460,511,142,102,100,151,20
round_queries,460,1533,1562,4182,14100,67497,83620
round_k,1,5,20,70,223,679,2090
round_shots,336,374,160,87,77,61,23
round_queries,336,1122,1760,3567,9779,24095,84479
round_k,1,5,20,63,197,607,1836
round_shots,363,217,158,139,110,70,29
round_queries,363,651,1738,5977,14850,29470,113303
round_k,1,5,21,67,210,648,1953
round_shots,501,325,91,106,71,82,85
round_queries,501,975,1001,3498,7881,27306,257975
round_k,1,5,16,55,166,500,1517
round_shots,385,519,108,120,79,114,24
round_queries,385,1557,1188,4440,10349,46626,92136
round_k,1,5,18,65,204,636,1919
round_shots,454,255,151,114,73,65,40
round_queries,454,765,1661,4446,8687,23465,137160
round_k,1,5,19,59,180,546,1714
round_shots,470,383,135,106,84,109,31
round_queries,470,1149,1485,3498,9324,37387,98673
round_k,1,5,16,55,171,530,1591
round_shots,406,351,144,76,88,81,25
round_queries,406,1053,1584,3116,10824,31185,90925
round_k,1,5,20,61,192,578,1818
round_shots,428,257,113,106,89,102,28
round_queries,428,771,1243,3498,10057,35802,92316
round_k,1,5,16,56,175,540,1648
round_shots,465,271,243,170,79,60,37
round_queries,465,813,2673,5950,8295,20220,115625
round_k,1,5,17,52,168,505,1562
round_shots,718,258,88,103,81,63,35
round_queries,718,774,968,3399,8991,21861,112385
round_k,1,5,16,55,173,533,1605
round_shots,341,288,135,98,81,71,19
round_queries,341,864,1485,4018,11097,30459,75183
round_k,1,5,20,68,214,653,1978
round_shots,256,311,94,91,76,71,40
round_queries,256,933,1034,3003,7524,21655,111720
round_k,1,5,16,49,152,462,1396
round_shots,438,672,240,153,114,59,14
round_queries,438,2016,2640,8109,20406,32273,69846
round_k,1,5,26,89,273,831,2494
round_shots,369,226,152,97,79,82,42
round_queries,369,678,1672,3201,7821,25502,118986
round_k,1,5,16,49,155,467,1416
round_shots,279,295,142,89,78,71,30
round_queries,279,885,1562,3649,9594,27761,106350
round_k,1,5,20,61,195,589,1772
round_shots,563,284,134,87,75,62,22
round_queries,563,852,1474,3567,9525,24986,81862
round_k,1,5,20,63,201,610,1860
round_shots,363,243,135,142,76,62,34
round_queries,363,729,1485,5538,9348,23126,117538
round_k,1,5,19,61,186,566,1728
round_shots,369,489,160,91,87,130,28
round_queries,369,1467,1760,3731,10701,50570,99484
round_k,1,5,20,61,194,589,1776
round_shots,273,208,167,259,225,64,24
round_queries,273,624,1837,11137,29025,25024,85512
round_k,1,5,21,64,195,590,1781
round_shots,385,197,133,103,82,58,46
round_queries,385,591,1463,3399,9102,19894,143842
round_k,1,5,16,55,171,514,1563
round_shots,291,526,94,222,122,63,34
round_queries,291,1578,1034,7326,14274,23625,116450
round_k,1,5,16,58,187,568,1712
round_shots,470,345,133,100,78,65,23
round_queries,470,1035,1463,4100,9750,25155,83329
round_k,1,5,20,62,193,600,1811
round_shots,573,394,99,128,109,60,30
round_queries,573,1182,1089,4224,11009,18300,85710
round_k,1,5,16,50,152,459,1428
round_shots,506,497,153,102,81,75,10
round_queries,506,1491,1683,4182,11097,32025,38770
round_k,1,5,20,68,213,643,1938
round_shots,654,349,171,97,75,92,27
round_queries,654,1047,1881,4365,10575,40204,107325
round_k,1,5,22,70,218,658,1987
round_shots,369,269,126,101,78,86,29
round_queries,369,807,1386,3333,8814,30358,95497
round_k,1,5,16,56,176,539,1646
round_shots,438,303,239,97,73,58,8
round_queries,438,909,2629,5141,12045,29754,38120
round_k,1,5,26,82,256,786,2382
round_shots,385,429,88,115,95,81,39
round_queries,385,1287,968,3795,10925,28107,124605
round_k,1,5,16,57,173,532,1597
round_shots,325,298,96,116,89,66,37
round_queries,325,894,1056,3828,9701,22638,115847
round_k,1,5,16,54,171,521,1565
round_shots,232,350,163,96,78,70,23
round_queries,232,1050,1793,3936,10062,28070,87285
round_k,1,5,20,64,200,620,1897
round_shots,412,201,115,100,70,63,58
round_queries,412,603,1265,3300,6930,18711,166982
round_k,1,5,16,49,148,458,1439
round_shots,296,420,147,97,86,60,24
round_queries,296,1260,1617,3977,11610,24660,90456
round_k,1,5,20,67,205,627,1884
round_shots,438,233,195,96,109,90,19
round_queries,438,699,2145,4704,17113,42930,85709
round_k,1,5,24,78,238,727,2255
round_shots,563,232,179,87,68,61,44
round_queries,563,696,1969,2871,7004,18849,125796
round_k,1,5,16,51,154,465,1429
round_shots,480,200,105,99,97,120,33
round_queries,480,600,1155,3267,10379,38760,97713
round_k,1,5,16,53,161,484,1480
round_shots,273,220,146,115,82,63,20
round_queries,273,660,1606,3795,9102,21861,64260
round_k,1,5,16,55,173,529,1606
round_shots,232,373,86,81,90,66,44
round_queries,232,1119,946,2673,8910,20658,129316
round_k,1,5,16,49,156,484,1469
round_shots,250,238,124,194,99,81,53
round_queries,250,714,1364,6790,11385,28107,171137
round_k,1,5,17,57,173,528,1614
round_shots,417,259,110,103,81,64,31
round_queries,417,777,1210,3399,8829,21312,94209
round_k,1,5,16,54,166,501,1519
round_shots,496,331,222,111,118,117,20
round_queries,496,993,2442,5439,17582,53469,82740
round_k,1,5,24,74,228,685,2068
round_shots,296,285,136,141,84,82,19
round_queries,296,855,1496,4935,10164,29930,71079
round_k,1,5,17,60,182,578,1870
round_shots,352,215,108,86,81,64,36
round_queries,352,645,1188,3182,8991,21952,115092
round_k,1,5,18,55,171,523,1598
round_shots,226,298,108,103,69,75,24
round_queries,226,894,1188,3811,8901,29325,86424
round_k,1,5,18,64,195,596,1800
round_shots,296,197,158,108,76,61,43
round_queries,296,591,1738,3564,8892,21411,139535
round_k,1,5,16,58,175,537,1622
round_shots,396,279,136,113,97,89,9
round_queries,396,837,1496,4633,13871,38715,36855
round_k,1,5,20,71,217,682,2047
round_shots,374,452,90,106,99,76,28
round_queries,374,1356,990,3498,11187,27284,91532
round_k,1,5,16,56,179,539,1634
round_shots,465,208,204,100,76,73,18
round_queries,465,624,2244,4900,11628,36281,83646
round_k,1,5,24,76,248,765,2323
round_shots,438,233,134,140,122,63,27
round_queries,438,699,1474,5460,15006,24003,100305
round_k,1,5,19,61,190,584,1857
round_shots,501,317,135,76,80,65,41
round_queries,501,951,1485,3116,9840,25025,144771
round_k,1,5,20,61,192,584,1765
round_shots,438,304,126,88,86,70,83
round_queries,438,912,1386,2904,8514,21770,236301
round_k,1,5,16,49,155,474,1423
round_shots,313,436,126,102,76,115,28
round_queries,313,1308,1386,3774,8892,40365,91588
round_k,1,5,18,58,175,531,1635
round_shots,553,378,168,102,108,63,6
round_queries,553,1134,1848,4590,16524,31185,27270
round_k,1,5,22,76,247,751,2272
round_shots,548,274,211,82,92,59,14
round_queries,548,822,2321,4018,13524,26137,59822
round_k,1,5,24,73,221,668,2136
round_shots,385,305,171,101,93,67,19
round_queries,385,915,1881,4545,13485,29279,77615
round_k,1,5,22,72,218,675,2042
round_shots,380,226,133,100,157,143,22
round_queries,380,678,1463,4100,19625,55627,80146
round_k,1,5,20,62,194,600,1821
round_shots,232,233,177,104,124,176,23
round_queries,232,699,1947,4680,16740,74800,91379
round_k,1,5,22,67,212,637,1986
round_shots,406,314,110,98,81,74,37
round_queries,406,942,1210,3626,9963,28490,131461
round_k,1,5,18,61,192,578,1776
round_shots,313,219,126,98,92,63,24
round_queries,313,657,1386,3626,11316,23373,83448
round_k,1,5,18,61,185,562,1738
round_shots,548,330,114,109,171,172,29
round_queries,548,990,1254,4033,19323,60716,93757
