round_shots,1401,400,263,170,110
round_queries,1401,2000,2893,3910,5170
round_k,0,2,5,11,23
round_shots,2319,412,452,264
round_queries,2319,2060,5876,8184
round_k,0,2,6,15
round_shots,1883,440,590,154,89
round_queries,1883,2200,7670,4466,5251
round_k,0,2,6,14,29
round_shots,1507,442,182,203,106
round_queries,1507,2210,2002,4669,4982
round_k,0,2,5,11,23
round_shots,1425,388,399,313
round_queries,1425,1940,5187,9077
round_k,0,2,6,14
round_shots,1435,377,322,313,55
round_queries,1435,1885,3542,7825,2915
round_k,0,2,5,12,26
round_shots,2020,381,373,222,62
round_queries,2020,1905,4849,6882,4154
round_k,0,2,6,15,33
round_shots,2282,320,396,341,64
round_queries,2282,1600,4356,7843,3136
round_k,0,2,5,11,24
round_shots,1742,460,463,167,83
round_queries,1742,2300,6019,4843,4897
round_k,0,2,6,14,29
round_shots,1483,392,336,294,90
round_queries,1483,1960,3696,7350,4950
round_k,0,2,5,12,27
round_shots,1937,378,238,196,74
round_queries,1937,1890,3094,6076,4958
round_k,0,2,6,15,33
round_shots,1779,475,237,280
round_queries,1779,2375,3081,8680
round_k,0,2,6,15
round_shots,2003,394,328,471,78
round_queries,2003,1970,3608,11775,4134
round_k,0,2,5,12,26
round_shots,1483,400,318,310,86
round_queries,1483,2000,3498,7750,4558
round_k,0,2,5,12,26
round_shots,1514,439,404,264
round_queries,1514,2195,5252,8184
round_k,0,2,6,15
round_shots,1748,384,358,158,80
round_queries,1748,1920,4654,4582,4720
round_k,0,2,6,14,29
round_shots,1809,390,371,306
round_queries,1809,1950,4823,8874
round_k,0,2,6,14
round_shots,2000,378,431,319
round_queries,2000,1890,5603,9251
round_k,0,2,6,14
round_shots,1480,391,314,221,66
round_queries,1480,1955,4082,6409,3894
round_k,0,2,6,14,29
round_shots,2033,426,350,345,96
round_queries,2033,2130,3850,8625,5280
round_k,0,2,5,12,27
round_shots,1748,469,307,320,45
round_queries,1748,2345,3991,9280,2745
round_k,0,2,6,14,30
round_shots,1349,498,351,381,57
round_queries,1349,2490,3861,8763,2793
round_k,0,2,5,11,24
round_shots,2292,393,211,194,58
round_queries,2292,1965,2743,6014,3886
round_k,0,2,6,15,33
round_shots,1799,378,346,298,57
round_queries,1799,1890,4498,8642,3477
round_k,0,2,6,14,30
round_shots,1342,404,327,293,73
round_queries,1342,2020,4251,8497,4453
round_k,0,2,6,14,30
round_shots,1541,436,338,170,104
round_queries,1541,2180,3718,3910,4888
round_k,0,2,5,11,23
round_shots,1856,421,327,388
round_queries,1856,2105,3597,9700
round_k,0,2,5,12
round_shots,1280,506,419,291,73
round_queries,1280,2530,4609,7275,3869
round_k,0,2,5,12,26
round_shots,2516,396,435,297
round_queries,2516,1980,5655,9207
round_k,0,2,6,15
round_shots,2516,402,348,227,60
round_queries,2516,2010,4524,7037,4020
round_k,0,2,6,15,33
round_shots,1524,472,307,309,36
round_queries,1524,2360,3991,8961,2196
round_k,0,2,6,14,30
round_shots,1401,583,208,178,64
round_queries,1401,2915,2704,5518,4032
round_k,0,2,6,15,31
round_shots,1511,465,248,223,104
round_queries,1511,2325,2728,5129,4888
round_k,0,2,5,11,23
round_shots,2595,431,406,272,156
round_queries,2595,2155,4466,6256,7332
round_k,0,2,5,11,23
round_shots,1287,422,365,510,77
round_queries,1287,2110,4745,14790,4697
round_k,0,2,6,14,30
round_shots,1463,483,320,379,55
round_queries,1463,2415,4160,10991,3355
round_k,0,2,6,14,30
round_shots,1442,354,353,408,59
round_queries,1442,1770,3883,10200,3127
round_k,0,2,5,12,26
round_shots,1446,467,342,327,51
round_queries,1446,2335,3762,8175,2703
round_k,0,2,5,12,26
round_shots,2049,431,540,162
round_queries,2049,3017,9180,5994
round_k,0,3,8,18
round_shots,1466,433,309,232,73
round_queries,1466,2165,4017,7192,4891
round_k,0,2,6,15,33
round_shots,1210,403,347,307,104
round_queries,1210,2015,3817,7061,4888
round_k,0,2,5,11,23
round_shots,2037,705,207,172,71
round_queries,2037,3525,2691,5332,4899
round_k,0,2,6,15,34
round_shots,2457,449,377,265
round_queries,2457,2245,4901,8215
round_k,0,2,6,15
round_shots,2017,506,419,361,124
round_queries,2017,2530,4609,8303,5828
round_k,0,2,5,11,23
round_shots,1586,434,313,343,55
round_queries,1586,2170,4069,9947,3355
round_k,0,2,6,14,30
round_shots,1691,359,308,218
round_queries,1691,2513,5236,8066
round_k,0,3,8,18
round_shots,1582,413,415,355,42
round_queries,1582,2065,4565,8165,2058
round_k,0,2,5,11,24
round_shots,1886,378,394,251
round_queries,1886,1890,5122,7781
round_k,0,2,6,15
round_shots,2519,478,317,193
round_queries,2519,3346,5389,7141
round_k,0,3,8,18
round_shots,2654,533,221,201
round_queries,2654,2665,2873,6231
round_k,0,2,6,15
round_shots,1644,349,205,237,140
round_queries,1644,1745,2255,5451,6580
round_k,0,2,5,11,23
round_shots,1829,509,346,473,60
round_queries,1829,2545,4498,13717,3660
round_k,0,2,6,14,30
round_shots,1521,482,313,266,105
round_queries,1521,2410,3443,6118,4935
round_k,0,2,5,11,23
round_shots,1664,475,310,302,52
