round_shots,438,49
round_queries,438,1225
round_k,3,12
round_shots,588,95,27
round_queries,588,285,891
round_k,1,4,16
round_shots,549,52
round_queries,549,1300
round_k,3,12
round_shots,630,83
round_queries,630,1909
round_k,3,11
round_shots,432,47
round_queries,432,1175
round_k,3,12
round_shots,658,55
round_queries,658,1375
round_k,3,12
round_shots,426,79,3
round_queries,426,553,219
round_k,3,11,36
round_shots,719,32
round_queries,719,1056
round_k,4,16
round_shots,479,116,4
round_queries,479,812,292
round_k,3,11,36
round_shots,770,43
round_queries,770,1419
round_k,4,16
round_shots,450,76
round_queries,450,1900
round_k,3,12
round_shots,382,121,31
round_queries,382,363,1023
round_k,1,4,16
round_shots,426,75,49
round_queries,426,225,1323
round_k,1,4,13
round_shots,537,69,3
round_queries,537,483,225
round_k,3,11,37
round_shots,719,36
round_queries,719,1116
round_k,4,15
round_shots,453,47
round_queries,453,1175
round_k,3,12
round_shots,502,67,109
round_queries,502,201,2943
round_k,1,4,13
round_shots,458,47
round_queries,458,1175
round_k,3,12
round_shots,485,53
round_queries,485,1325
round_k,3,12
round_shots,783,37
round_queries,783,999
round_k,4,13
round_shots,520,69,5
round_queries,520,483,345
round_k,3,11,34
round_shots,687,47
round_queries,687,1175
round_k,3,12
round_shots,741,47
round_queries,741,1175
round_k,3,12
round_shots,569,88
round_queries,569,2024
round_k,3,11
round_shots,528,82
round_queries,528,2214
round_k,3,13
round_shots,531,54
round_queries,531,1350
round_k,3,12
round_shots,236,108,27
round_queries,236,324,891
round_k,1,4,16
round_shots,473,82,27
round_queries,473,246,891
round_k,1,4,16
round_shots,704,30
round_queries,704,930
round_k,4,15
round_shots,438,102,3
round_queries,438,714,225
round_k,3,12,37
round_shots,526,58
round_queries,526,1450
round_k,3,12
round_shots,619,95,27
round_queries,619,285,891
round_k,1,4,16
round_shots,373,63,15
round_queries,373,315,735
round_k,2,7,24
round_shots,740,29
round_queries,740,957
round_k,4,16
round_shots,577,133,45
round_queries,577,399,1395
round_k,1,4,15
round_shots,636,88,39
round_queries,636,264,1209
round_k,1,4,15
round_shots,647,47
round_queries,647,1175
round_k,3,12
round_shots,423,70
round_queries,423,1890
round_k,3,13
round_shots,679,85
round_queries,679,2635
round_k,4,15
round_shots,664,31
round_queries,664,961
round_k,4,15
round_shots,773,106
round_queries,773,2862
round_k,3,13
round_shots,739,29
round_queries,739,957
round_k,4,16
round_shots,707,76
round_queries,707,2052
round_k,4,13
round_shots,684,49
round_queries,684,1225
round_k,3,12
round_shots,775,46
round_queries,775,1150
round_k,3,12
round_shots,804,60
round_queries,804,1500
round_k,3,12
round_shots,473,67,30
round_queries,473,201,990
round_k,1,4,16
round_shots,468,46
round_queries,468,1150
round_k,3,12
round_shots,326,95,57
round_queries,326,285,1767
round_k,1,4,15
round_shots,687,47
round_queries,687,1175
round_k,3,12
round_shots,181,82,98
round_queries,181,246,2646
round_k,1,4,13
round_shots,578,47
round_queries,578,1175
round_k,3,12
round_shots,595,46
round_queries,595,1150
round_k,3,12
round_shots,633,88,135
round_queries,633,264,3645
round_k,1,4,13
round_shots,465,46
round_queries,465,1150
round_k,3,12
round_shots,298,82,37
round_queries,298,246,1221
round_k,1,4,16
round_shots,747,49
round_queries,747,1225
round_k,3,12
round_shots,457,63
round_queries,457,1449
round_k,3,11
round_shots,575,70,4
round_queries,575,490,284
round_k,3,11,35
round_shots,612,84
round_queries,612,1932
round_k,3,11
round_shots,482,70
round_queries,482,1890
round_k,3,13
round_shots,710,52
round_queries,710,1300
round_k,3,12
round_shots,708,29
round_queries,708,957
round_k,4,16
round_shots,598,47
round_queries,598,1175
round_k,3,12
round_shots,488,52
round_queries,488,1300
round_k,3,12
round_shots,604,51
round_queries,604,1275
round_k,3,12
round_shots,704,111,3
round_queries,704,777,219
round_k,3,11,36
round_shots,446,67,75
round_queries,446,201,2325
round_k,1,4,15
round_shots,492,67,64
round_queries,492,201,1728
round_k,1,4,13
round_shots,454,47
round_queries,454,1175
round_k,3,12
round_shots,517,103
round_queries,517,2369
round_k,3,11
round_shots,632,82,53
round_queries,632,246,1643
round_k,1,4,15
round_shots,707,57
round_queries,707,1311
round_k,3,11
round_shots,669,35
round_queries,669,1085
round_k,4,15
round_shots,588,59,34
round_queries,588,177,1054
round_k,1,4,15
round_shots,673,53
round_queries,673,1325
round_k,3,12
round_shots,543,55
round_queries,543,1265
round_k,3,11
round_shots,635,55
round_queries,635,1265
round_k,3,11
round_shots,681,102,4
round_queries,681,714,308
round_k,3,12,38
round_shots,627,73
round_queries,627,1825
round_k,3,12
round_shots,426,47
round_queries,426,1175
round_k,3,12
round_shots,719,47
round_queries,719,1457
round_k,4,15
round_shots,325,88,45
round_queries,325,264,1395
round_k,1,4,15
round_shots,798,70
round_queries,798,1750
round_k,3,12
round_shots,653,118
round_queries,653,3186
round_k,4,13
round_shots,488,122,4
round_queries,488,854,300
round_k,3,12,37
round_shots,575,86
round_queries,575,1978
round_k,3,11
round_shots,787,47
round_queries,787,1175
round_k,3,12
round_shots,726,28
round_queries,726,868
round_k,4,15
round_shots,754,122
round_queries,754,3294
round_k,4,13
round_shots,423,107,4
round_queries,423,749,292
round_k,3,11,36
round_shots,104,82,64
round_queries,104,246,1728
round_k,1,4,13
round_shots,761,31
round_queries,761,1023
round_k,4,16
round_shots,778,52
round_queries,778,1300
round_k,3,12
round_shots,641,95,70
round_queries,641,285,1890
round_k,1,4,13
round_shots,489,92,3
round_queries,489,644,219
round_k,3,11,36
round_shots,801,45
round_queries,801,1215
round_k,3,13
round_shots,721,96,3
round_queries,721,672,219
round_k,3,11,36
round_shots,350,102,27
round_queries,350,306,891
round_k,1,4,16
round_shots,499,81
round_queries,499,2187
round_k,3,13
round_shots,494,77
round_queries,494,1771
round_k,3,11
round_shots,537,48
round_queries,537,1200
round_k,3,12
round_shots,502,46
round_queries,502,1150
round_k,3,12
round_shots,726,31
round_queries,726,1023
round_k,4,16
round_shots,100,108,43
round_queries,100,324,1333
round_k,1,4,15
round_shots,744,46
round_queries,744,1150
round_k,3,12
round_shots,416,88,33
round_queries,416,264,1089
round_k,1,4,16
round_shots,333,102,27
round_queries,333,306,891
round_k,1,4,16
round_shots,730,49
round_queries,730,1225
round_k,3,12
round_shots,733,66
round_queries,733,1518
round_k,3,11
round_shots,493,145,27
round_queries,493,435,891
round_k,1,4,16
round_shots,515,47
round_queries,515,1175
round_k,3,12
round_shots,528,47
round_queries,528,1175
round_k,3,12
round_shots,423,58
round_queries,423,1450
round_k,3,12
round_shots,227,67,27
round_queries,227,201,891
round_k,1,4,16
round_shots,647,80
round_queries,647,2000
round_k,3,12
round_shots,673,49
round_queries,673,1225
round_k,3,12
round_shots,430,47
round_queries,430,1175
round_k,3,12
round_shots,440,95
round_queries,440,2185
round_k,3,11
round_shots,727,52
round_queries,727,1300
round_k,3,12
round_shots,563,86,3
round_queries,563,602,213
round_k,3,11,35
round_shots,540,77
round_queries,540,1771
round_k,3,11
round_shots,578,55
round_queries,578,1375
round_k,3,12
round_shots,608,88,27
round_queries,608,264,891
round_k,1,4,16
round_shots,537,63
round_queries,537,1575
round_k,3,12
round_shots,718,28
round_queries,718,924
round_k,4,16
round_shots,729,45
round_queries,729,1395
round_k,4,15
round_shots,618,49
round_queries,618,1225
round_k,3,12
round_shots,653,27
