round_shots,124,94,24
round_queries,124,282,840
round_k,1,5,17
round_shots,117,90,68
round_queries,117,270,1836
round_k,1,4,13
round_shots,124,96,67
round_queries,124,288,1809
round_k,1,4,13
round_shots,172,82,48
round_queries,172,246,1296
round_k,1,4,13
round_shots,111,63,41
round_queries,111,189,1189
round_k,1,4,14
round_shots,155,60,47
round_queries,155,180,1269
round_k,1,4,13
round_shots,83,63,51
round_queries,83,189,1479
round_k,1,4,14
round_shots,111,85,51
round_queries,111,255,1479
round_k,1,4,14
round_shots,98,68,98
round_queries,98,204,2842
round_k,1,4,14
round_shots,98,62,65
round_queries,98,186,1755
round_k,1,4,13
round_shots,83,73,35
round_queries,83,219,1015
round_k,1,4,14
round_shots,91,81,40
round_queries,91,243,1080
round_k,1,4,13
round_shots,124,60,47
round_queries,124,180,1363
round_k,1,4,14
round_shots,104,67,37
round_queries,104,201,1073
round_k,1,4,14
round_shots,155,96,50
round_queries,155,288,1350
round_k,1,4,13
round_shots,149,62,53
round_queries,149,186,1431
round_k,1,4,13
round_shots,111,62,38
round_queries,111,186,1102
round_k,1,4,14
round_shots,83,79,50
round_queries,83,237,1350
round_k,1,4,13
round_shots,117,63,38
round_queries,117,189,1178
round_k,1,4,15
round_shots,91,117,27
round_queries,91,351,891
round_k,1,5,16
round_shots,104,82,29
round_queries,104,246,841
round_k,1,4,14
round_shots,111,78,40
round_queries,111,234,1080
round_k,1,4,13
round_shots,91,110,39
round_queries,91,330,1443
round_k,1,4,18
round_shots,83,99,27
round_queries,83,297,945
round_k,1,5,17
round_shots,111,68,41
round_queries,111,204,1107
round_k,1,4,13
round_shots,117,68,75
round_queries,117,204,2025
round_k,1,4,13
round_shots,143,117,60
round_queries,143,351,1740
round_k,1,4,14
round_shots,83,60,54
round_queries,83,180,1458
round_k,1,4,13
round_shots,124,85,77
round_queries,124,255,2233
round_k,1,4,14
round_shots,91,76,40
round_queries,91,228,1080
round_k,1,4,13
round_shots,124,96,35
round_queries,124,288,1015
round_k,1,4,14
round_shots,124,65,43
round_queries,124,195,1161
round_k,1,4,13
round_shots,91,63,53
round_queries,91,189,1537
round_k,1,4,14
round_shots,136,73,56
round_queries,136,219,1624
round_k,1,4,14
round_shots,117,108,38
round_queries,117,324,1102
round_k,1,4,14
round_shots,83,126,28
round_queries,83,378,924
round_k,1,5,16
round_shots,83,105,27
round_queries,83,315,945
round_k,1,5,17
round_shots,83,121,43
round_queries,83,363,1161
round_k,1,4,13
round_shots,136,125,41
round_queries,136,375,1107
round_k,1,4,13
round_shots,68,107,45
round_queries,68,321,1215
round_k,1,4,13
round_shots,111,87,53
round_queries,111,261,1431
round_k,1,4,13
round_shots,117,99,54
round_queries,117,297,1566
round_k,1,4,14
round_shots,104,67,41
round_queries,104,201,1107
round_k,1,4,13
round_shots,143,92,57
round_queries,143,276,1653
round_k,1,4,14
round_shots,83,93,38
round_queries,83,279,1102
round_k,1,4,14
round_shots,161,68,50
round_queries,161,204,1350
round_k,1,4,13
round_shots,117,68,35
round_queries,117,204,1015
round_k,1,4,14
round_shots,117,67,62
round_queries,117,201,1798
round_k,1,4,14
round_shots,149,75,63
round_queries,149,225,1827
round_k,1,4,14
round_shots,83,60,35
round_queries,83,180,1015
round_k,1,4,14
round_shots,117,119,24
round_queries,117,357,840
round_k,1,5,17
round_shots,98,94,29
round_queries,98,282,1015
round_k,1,5,17
round_shots,136,121,26
round_queries,136,363,910
round_k,1,5,17
round_shots,149,78,75
round_queries,149,234,2025
round_k,1,4,13
round_shots,124,88,67
round_queries,124,264,1943
round_k,1,4,14
round_shots,111,104,38
round_queries,111,312,1102
round_k,1,4,14
round_shots,161,96,43
round_queries,161,288,1161
round_k,1,4,13
round_shots,111,65,69
round_queries,111,195,2001
round_k,1,4,14
round_shots,117,71,44
round_queries,117,213,1276
round_k,1,4,14
round_shots,117,81,40
round_queries,117,243,1080
round_k,1,4,13
round_shots,155,96,47
round_queries,155,288,1363
round_k,1,4,14
round_shots,76,75,40
round_queries,76,225,1160
round_k,1,4,14
round_shots,104,84,46
round_queries,104,252,1242
round_k,1,4,13
round_shots,111,131,99
round_queries,111,393,2673
round_k,1,4,13
round_shots,172,70,44
round_queries,172,210,1188
round_k,1,4,13
round_shots,161,68,36
round_queries,161,204,1044
round_k,1,4,14
round_shots,130,63,57
round_queries,130,189,1539
round_k,1,4,13
round_shots,201,76,42
round_queries,201,228,1134
round_k,1,4,13
round_shots,130,115,18
round_queries,130,345,594
round_k,1,5,16
round_shots,83,60,35
round_queries,83,180,1015
round_k,1,4,14
round_shots,98,75,41
round_queries,98,225,1107
round_k,1,4,13
round_shots,117,78,44
round_queries,117,234,1188
round_k,1,4,13
round_shots,172,65,50
round_queries,172,195,1350
round_k,1,4,13
round_shots,83,102,39
round_queries,83,306,1131
round_k,1,4,14
round_shots,124,85,76
round_queries,124,255,2052
round_k,1,4,13
round_shots,130,67,43
round_queries,130,201,1161
round_k,1,4,13
round_shots,117,73,46
round_queries,117,219,1334
round_k,1,4,14
round_shots,83,110,38
round_queries,83,330,1102
round_k,1,4,14
round_shots,136,79,35
round_queries,136,237,1015
round_k,1,4,14
round_shots,104,116,43
round_queries,104,348,1161
round_k,1,4,13
round_shots,166,121,40
round_queries,166,363,1160
round_k,1,4,14
round_shots,149,104,52
round_queries,149,312,1820
round_k,1,5,17
round_shots,104,88,61
round_queries,104,264,1769
round_k,1,4,14
round_shots,91,107,29
round_queries,91,321,957
round_k,1,5,16
round_shots,130,85,43
round_queries,130,255,1161
round_k,1,4,13
round_shots,76,60,40
round_queries,76,180,1080
round_k,1,4,13
round_shots,161,65,108
round_queries,161,195,2916
round_k,1,4,13
round_shots,143,60,58
round_queries,143,180,1682
round_k,1,4,14
round_shots,117,68,42
round_queries,117,204,1218
round_k,1,4,14
round_shots,98,85,52
round_queries,98,255,1508
round_k,1,4,14
round_shots,124,105,34
round_queries,124,315,986
round_k,1,4,14
round_shots,155,82,41
round_queries,155,246,1189
round_k,1,4,14
round_shots,143,60,35
round_queries,143,180,1015
round_k,1,4,14
round_shots,111,87,55
round_queries,111,261,1595
round_k,1,4,14
round_shots,201,62,41
round_queries,201,186,1107
round_k,1,4,13
round_shots,130,67,65
round_queries,130,201,1885
round_k,1,4,14
round_shots,83,96,55
round_queries,83,288,1485
round_k,1,4,13
round_shots,143,101,35
round_queries,143,303,1015
round_k,1,4,14
round_shots,104,75,41
round_queries,104,225,1107
round_k,1,4,13
round_shots,124,76,53
round_queries,124,228,1537
round_k,1,4,14
round_shots,161,60,61
round_queries,161,180,1647
round_k,1,4,13
round_shots,136,95,75
round_queries,136,285,2025
round_k,1,4,13
round_shots,111,76,43
round_queries,111,228,1161
round_k,1,4,13
round_shots,104,62,50
round_queries,104,186,1350
round_k,1,4,13
round_shots,91,68,52
round_queries,91,204,1404
round_k,1,4,13
round_shots,130,128,41
round_queries,130,384,1107
round_k,1,4,13
round_shots,136,63,40
round_queries,136,189,1160
round_k,1,4,14
round_shots,117,71,49
round_queries,117,213,1323
round_k,1,4,13
round_shots,104,124,34
round_queries,104,372,986
round_k,1,4,14
round_shots,104,82,43
round_queries,104,246,1161
round_k,1,4,13
round_shots,111,93,51
round_queries,111,279,1479
round_k,1,4,14
round_shots,111,76,47
round_queries,111,228,1363
round_k,1,4,14
round_shots,83,62,59
round_queries,83,186,1711
round_k,1,4,14
round_shots,117,87,35
round_queries,117,261,1015
round_k,1,4,14
round_shots,98,101,30
round_queries,98,303,990
round_k,1,5,16
round_shots,104,63,40
round_queries,104,189,1080
round_k,1,4,13
round_shots,111,81,38
round_queries,111,243,1102
round_k,1,4,14
round_shots,76,60,48
round_queries,76,180,1296
round_k,1,4,13
round_shots,117,81,41
round_queries,117,243,1107
round_k,1,4,13
round_shots,130,62,38
round_queries,130,186,1102
round_k,1,4,14
round_shots,124,105,41
round_queries,124,315,1107
round_k,1,4,13
round_shots,130,87,41
round_queries,130,261,1107
round_k,1,4,13
round_shots,149,60,50
round_queries,149,180,1350
round_k,1,4,13
round_shots,149,79,40
round_queries,149,237,1080
round_k,1,4,13
round_shots,98,85,49
round_queries,98,255,1421
round_k,1,4,14
round_shots,172,105,54
round_queries,172,315,1782
round_k,1,5,16
round_shots,117,63,51
round_queries,117,189,1479
round_k,1,4,14
round_shots,130,105,36
round_queries,130,315,1044
round_k,1,4,14
round_shots,91,93,89
round_queries,91,279,2581
round_k,1,4,14
round_shots,161,113,25
round_queries,161,339,875
round_k,1,5,17
round_shots,104,99,43
round_queries,104,297,1161
round_k,1,4,13
round_shots,104,128,43
round_queries,104,384,1247
round_k,1,4,14
round_shots,111,71,40
round_queries,111,213,1080
round_k,1,4,13
round_shots,136,67,36
round_queries,136,201,1044
round_k,1,4,14
round_shots,76,63,109
round_queries,76,189,3161
round_k,1,4,14
round_shots,111,68,46
round_queries,111,204,1242
round_k,1,4,13
round_shots,83,98,43
round_queries,83,294,1161
round_k,1,4,13
round_shots,149,62,75
round_queries,149,186,2025
round_k,1,4,13
round_shots,124,79,51
round_queries,124,237,1377
round_k,1,4,13
round_shots,155,117,23
round_queries,155,351,759
round_k,1,5,16
round_shots,76,60,41
round_queries,76,180,1107
round_k,1,4,13
round_shots,104,93,55
round_queries,104,279,1595
