round_k,0,2,7,18
round_shots,82,35,15,17,11
round_queries,82,105,135,323,473
round_k,0,1,4,9,21
round_shots,105,36,23,16,3
round_queries,105,180,345,528,213
round_k,0,2,7,16,35
round_shots,107,47,26,14
round_queries,107,235,390,518
round_k,0,2,7,18
round_shots,134,60,21,17,5
round_queries,134,180,189,391,245
round_k,0,1,4,11,24
round_shots,149,35,30,19,4
round_queries,149,105,270,437,220
round_k,0,1,4,11,27
round_shots,28,28,21,19,6
round_queries,28,84,189,437,330
round_k,0,1,4,11,27
round_shots,119,20,21,23,6
round_queries,119,60,189,529,330
round_k,0,1,4,11,27
round_shots,91,42,22,18,6
round_queries,91,210,286,486,342
round_k,0,2,6,13,28
round_shots,116,30,23,15
round_queries,116,150,345,555
round_k,0,2,7,18
round_shots,151,26,23,17,4
round_queries,151,130,299,493,260
round_k,0,2,6,14,32
round_shots,28,20,17,19,12
round_queries,28,60,153,361,492
round_k,0,1,4,9,20
round_shots,129,42,15,19,12
round_queries,129,126,135,361,492
round_k,0,1,4,9,20
round_shots,20,20,26,23,6
round_queries,20,60,234,529,330
round_k,0,1,4,11,27
round_shots,35,20,21,12,5
round_queries,35,60,189,252,245
round_k,0,1,4,10,24
round_shots,95,42,21,18
round_queries,95,210,315,594
round_k,0,2,7,16
round_shots,99,28,20,19,6
round_queries,99,140,260,513,330
round_k,0,2,6,13,27
round_shots,80,32,22,14
round_queries,80,160,330,518
round_k,0,2,7,18
round_shots,80,19,23,15,5
round_queries,80,95,253,435,305
round_k,0,2,5,14,30
round_shots,84,37,13,16,5
round_queries,84,185,169,464,305
round_k,0,2,6,14,30
round_shots,82,20,16,24,7
round_queries,82,60,144,456,357
round_k,0,1,4,9,25
round_shots,98,28,32,12,4
round_queries,98,84,288,324,228
round_k,0,1,4,13,28
round_shots,35,35,17,24,8
round_queries,35,105,153,456,328
round_k,0,1,4,9,20
round_shots,91,45,18,18
round_queries,91,225,270,594
round_k,0,2,7,16
round_shots,95,59,22,17,4
round_queries,95,295,286,561,268
round_k,0,2,6,16,33
round_shots,71,71,21,17,5
round_queries,71,213,189,391,245
round_k,0,1,4,11,24
round_shots,167,23,17,21,3
round_queries,167,115,221,567,183
round_k,0,2,6,13,30
round_shots,94,32,22,18
round_queries,94,160,286,594
round_k,0,2,6,16
round_shots,86,23,17,21,5
round_queries,86,115,221,567,305
round_k,0,2,6,13,30
round_shots,80,47,18,17,4
