round_shots,68,35,18,19,18,28,71,42,28,17,16,15,15,11
round_queries,68,105,126,285,558,1876,9585,11466,25228,41497,84752,162945,330705,490765
round_k,0,1,3,7,15,33,67,136,450,1220,2648,5431,11023,22307
round_shots,42,29,20,23,27,51,98,19,22,18,15,15,15,5
round_queries,42,87,140,345,837,3213,12838,12597,31834,61866,112035,225225,457065,309295
round_k,0,1,3,7,15,31,65,331,723,1718,3734,7507,15235,30929
round_shots,34,22,21,30,23,16,86,23,27,15,18,15,15,15,2
round_queries,34,66,147,450,713,1008,11266,6095,21465,31245,75474,135645,273285,547005,147650
round_k,0,1,3,7,15,31,65,132,397,1041,2096,4521,9109,18233,36912
round_shots,83,25,31,21,22,24,58,16,54,19,18,17,17,11
round_queries,83,75,217,315,726,1656,8062,4464,31266,40907,86994,176341,378505,510631
round_k,0,1,3,7,16,34,69,139,289,1076,2416,5186,11132,23210
round_shots,34,25,27,37,16,39,54,24,16,15,16,15,16,15
round_queries,34,75,189,555,496,2457,6966,11496,18832,35445,75984,142635,306096,598125
round_k,0,1,3,7,15,31,64,239,588,1181,2374,4754,9565,19937
round_shots,60,31,20,26,42,65,23,19,18,17,15,16,16,10,2
round_queries,60,93,140,390,1302,4225,3059,7581,16110,33201,62325,133296,273744,351810,143338
round_k,0,1,3,7,15,32,66,199,447,976,2077,4165,8554,17590,35834
round_shots,48,26,24,38,19,108,37,30,19,17,15,16,15,10
round_queries,48,78,168,570,589,7020,4921,12570,22705,44659,82935,177360,341475,460330
round_k,0,1,3,7,15,32,66,209,597,1313,2764,5542,11382,23016
round_shots,34,31,39,23,27,91,16,31,17,16,19,15,15,14,5
round_queries,34,93,273,345,837,5733,2032,8153,13515,26864,64049,112575,225645,422534,312195
round_k,0,1,3,7,15,31,63,131,397,839,1685,3752,7521,15090,31219
round_shots,36,26,20,22,16,20,24,101,50,27,18,19,15,6
round_queries,36,78,140,330,496,1260,3048,25957,25850,50139,89874,207119,361425,289794
round_k,0,1,3,7,15,31,63,128,258,928,2496,5450,12047,24149
round_shots,54,28,38,26,20,23,127,20,18,15,16,15,15,7
round_queries,54,84,266,390,620,1449,16637,15100,27270,50715,108624,211575,423555,398755
round_k,0,1,3,7,15,31,65,377,757,1690,3394,7052,14118,28482
round_shots,63,47,21,30,16,89,89,27,16,16,14,15,14,6
round_queries,63,141,147,450,496,5607,11481,16821,26608,55184,96698,211725,396158,351858
round_k,0,1,3,7,15,31,64,311,831,1724,3453,7057,14148,29321
round_shots,129,36,29,26,20,76,46,16,15,16,16,16,10,14,4
round_queries,129,108,203,390,620,4788,5842,6992,13575,29232,60112,123280,159110,449862,265828
round_k,0,1,3,7,15,31,63,218,452,913,1878,3852,7955,16066,33228
round_shots,45,39,43,21,68,53,61,16,16,16,15,16,15,15,1
round_queries,45,117,301,315,2244,3551,8235,8528,17680,35504,69795,149936,288045,577755,77775
round_k,0,1,3,7,16,33,67,266,552,1109,2326,4685,9601,19258,38887
round_shots,44,28,22,32,19,16,32,38,83,30,40,18,15
round_queries,44,84,154,480,589,1040,4320,10298,47061,79290,291080,266022,487905
round_k,0,1,3,7,15,32,67,135,283,1321,3638,7389,16263
round_shots,50,22,34,45,18,39,16,67,61,18,17,18,17,8
round_queries,50,66,238,675,558,2613,2192,19095,35075,40986,78829,174762,357017,350280
round_k,0,1,3,7,15,33,68,142,287,1138,2318,4854,10500,21892
round_shots,75,38,21,16,34,56,74,86,30,19,18,14,15,2
round_queries,75,114,147,240,1054,3640,9842,23478,38910,67849,143910,244034,537045,143646
round_k,0,1,3,7,15,32,66,136,648,1785,3997,8715,17901,35911
round_shots,48,28,20,18,42,18,60,54,30,20,16,16,16,6
round_queries,48,84,140,270,1386,1242,9060,16794,34710,68900,110480,227216,472048,362250
round_k,0,1,3,7,16,34,75,155,578,1722,3452,7100,14751,30187
round_shots,60,36,18,21,16,23,16,30,76,54,17,16,16,14
round_queries,60,108,126,315,528,1541,2224,8670,46132,66474,77843,154800,321136,563262
round_k,0,1,3,7,16,33,69,144,303,615,2289,4837,10035,20116
round_shots,41,24,18,16,31,16,83,16,15,16,17,15,15,12
round_queries,41,72,126,240,961,1008,10873,9744,18405,39632,89267,164295,332025,531564
round_k,0,1,3,7,15,31,65,304,613,1238,2625,5476,11067,22148
round_shots,38,38,20,26,59,24,22,51,67,19,16,16,15,10
round_queries,38,114,140,390,1829,1512,2794,13821,37721,44783,84656,186672,351045,469630
round_k,0,1,3,7,15,31,63,135,281,1178,2645,5833,11701,23481
round_shots,48,25,36,26,38,37,29,17,19,14,14,16,15,11
round_queries,48,75,252,390,1178,2405,5945,9503,22211,36414,74942,173648,334395,494285
round_k,0,1,3,7,15,32,102,279,584,1300,2676,5426,11146,22467
round_shots,47,32,18,16,16,20,19,49,40,61,19,12,18,9
round_queries,47,96,126,240,496,1260,2413,13083,21560,66673,82213,121596,402102,435861
round_k,0,1,3,7,15,31,63,133,269,546,2163,5066,11169,24214
round_shots,71,26,20,18,29,24,129,17,22,16,15,16,15,3
round_queries,71,78,140,270,957,1704,18447,14195,38786,67824,133875,291408,557115,226203
round_k,0,1,3,7,16,35,71,417,881,2119,4462,9106,18570,37700
round_shots,39,50,18,30,48,92,19,16,19,15,16,16,10,5
round_queries,39,150,126,450,1488,5796,5871,10768,25669,45105,100048,204624,263970,269415
round_k,0,1,3,7,15,31,154,336,675,1503,3126,6394,13198,26941
round_shots,83,25,25,41,19,24,62,85,31,27,15,16,16,15,2
round_queries,83,75,175,615,589,1560,8122,22525,16709,44037,65325,140240,284144,548475,147302
round_k,0,1,3,7,15,32,65,132,269,815,2177,4382,8879,18282,36825
round_shots,42,42,35,18,26,20,16,42,83,24,21,18,17,4
round_queries,42,126,245,270,858,1380,2224,12138,50215,67704,118755,239382,488359,239308
round_k,0,1,3,7,16,34,69,144,302,1410,2827,6649,14363,29913
round_shots,39,39,31,81,78,31,16,16,16,15,15,15,15,7
round_queries,39,117,217,1215,2418,4247,6288,13040,26352,50355,102465,205035,410175,385651
round_k,0,1,3,7,15,68,196,407,823,1678,3415,6834,13672,27546
round_shots,34,38,51,33,20,27,20,71,42,23,20,15,16,15,4
round_queries,34,114,357,495,620,1701,2580,18673,22470,40687,71300,122625,262640,498135,265948
round_k,0,1,3,7,15,31,64,131,267,884,1782,4087,8207,16604,33243
round_shots,60,29,47,29,31,28,52,18,20,74,30,44,27
round_queries,60,87,329,435,961,1764,6604,4698,11460,86506,153630,642796,804033
