round_shots,275,127,62,44,3
round_queries,275,635,1178,2596,1803
round_k,2,9,29,95,300
round_shots,230,100,57,40,5
round_queries,230,500,1083,2280,2695
round_k,2,9,28,87,269
round_shots,254,52,61,43,5
round_queries,254,260,915,2021,2295
round_k,2,7,23,74,229
round_shots,288,160,49,37,2
round_queries,288,800,1127,2701,1326
round_k,2,11,36,110,331
round_shots,208,75,67,47,6
round_queries,208,375,1005,2303,2994
round_k,2,7,24,81,249
round_shots,222,52,49,42,8
round_queries,222,260,735,1974,3512
round_k,2,7,23,72,219
round_shots,239,124,49,40,5
round_queries,239,620,931,2280,2645
round_k,2,9,28,86,264
round_shots,200,136,57,37,2
round_queries,200,680,1311,2923,1446
round_k,2,11,39,119,361
round_shots,254,143,53,37,1
round_queries,254,715,1219,2775,729
round_k,2,11,37,119,364
round_shots,178,84,70,40,2
round_queries,178,420,1330,2760,1326
round_k,2,9,34,106,331
round_shots,189,171,64,23
round_queries,189,855,1728,6417
round_k,2,13,44,139
round_shots,223,90,57,46,3
round_queries,223,450,1083,2806,1803
round_k,2,9,30,95,300
round_shots,181,106,61,39,3
round_queries,181,530,1159,2535,1863
round_k,2,9,32,97,310
round_shots,342,85,65,39,3
round_queries,342,425,1235,2613,1929
round_k,2,9,33,104,321
round_shots,201,44,78,46,19
round_queries,201,132,702,1518,5719
round_k,1,4,16,49,150
round_shots,343,124,59,40,2
round_queries,343,620,1357,2840,1326
round_k,2,11,35,110,331
round_shots,174,73,78,50,18
round_queries,174,219,702,1650,5562
round_k,1,4,16,49,154
round_shots,146,52,80,49,20
round_queries,146,156,720,1421,5900
round_k,1,4,14,47,147
round_shots,179,134,45,42,2
round_queries,179,670,1035,2898,1302
round_k,2,11,34,108,325
round_shots,313,124,44,37,3
round_queries,313,620,1012,2553,1881
round_k,2,11,34,104,313
round_shots,182,94,57,39,3
round_queries,182,470,1083,2301,1683
round_k,2,9,29,91,280
round_shots,227,124,54,36,2
round_queries,227,620,1242,2772,1422
round_k,2,11,38,117,355
round_shots,262,87,52,36,5
round_queries,262,435,988,2196,2805
round_k,2,9,30,91,280
round_shots,187,52,55,43,7
round_queries,187,260,825,2021,3143
round_k,2,7,23,74,224
round_shots,305,146,45,37,2
round_queries,305,730,1035,2553,1254
round_k,2,11,34,104,313
round_shots,247,153,51,34,2
round_queries,247,765,1173,2482,1330
round_k,2,11,36,109,332
round_shots,289,86,54,44,6
round_queries,289,430,810,2068,2598
round_k,2,7,23,71,216
round_shots,181,84,49,42,3
round_queries,181,420,931,2394,1617
round_k,2,9,28,86,269
round_shots,200,97,59,39,5
round_queries,200,485,1121,2301,2795
round_k,2,9,29,91,279
round_shots,200,114,53,38,5
round_queries,200,570,1007,2242,2655
round_k,2,9,29,88,265
round_shots,227,34,65,48,21
round_queries,227,102,585,1488,6153
round_k,1,4,15,48,146
round_shots,269,80,76,37,4
round_queries,269,400,1140,2035,2116
round_k,2,7,27,83,264
round_shots,207,146,50,39,3
round_queries,207,730,1150,2691,1965
round_k,2,11,34,108,327
round_shots,207,89,50,38,6
round_queries,207,445,750,1786,2598
round_k,2,7,23,70,216
round_shots,218,136,57,36,2
round_queries,218,680,1311,2700,1418
round_k,2,11,37,114,354
round_shots,98,134,58,50,24
round_queries,98,402,522,1350,6504
round_k,1,4,13,43,135
round_shots,227,54,80,42,6
round_queries,227,270,1200,2226,3126
round_k,2,7,26,82,260
round_shots,181,171,50,41,2
round_queries,181,855,1150,2993,1378
round_k,2,11,36,114,344
round_shots,104,52,59,65,23
round_queries,104,156,531,1755,6417
round_k,1,4,13,46,139
round_shots,222,84,54,43,4
