round_queries,94,1938,1600,5025,5257
round_k,1,12,37,122,375
round_shots,188,563,100,66,4
round_queries,188,1689,2300,5214,3068
round_k,1,11,39,127,383
round_shots,126,383,125,98,28
round_queries,126,1149,1125,2646,9212
round_k,1,4,13,51,164
round_shots,234,674,150,99,31
round_queries,234,2022,1350,2673,9641
round_k,1,4,13,50,155
round_shots,218,642,90,57,4
round_queries,218,1926,2250,4275,2836
round_k,1,12,37,112,354
round_shots,156,643,90,68,7
round_queries,156,1929,2250,5100,5341
round_k,1,12,37,123,381
round_shots,176,640,79,56,4
round_queries,176,1920,1817,4200,2828
round_k,1,11,37,113,353
round_shots,237,585,129,71,3
round_queries,237,1755,2709,5467,2259
round_k,1,10,38,124,376
round_shots,149,580,79,78,4
round_queries,149,1740,1817,5850,2884
round_k,1,11,37,118,360
round_shots,129,494,113,70,4
round_queries,129,1482,2373,5250,2900
round_k,1,10,37,120,362
round_shots,124,429,105,72,56
round_queries,124,1287,945,1944,15064
round_k,1,4,13,42,134
round_shots,96,746,70,47
round_queries,96,2238,1750,11703
round_k,1,12,39,124
round_shots,194,494,113,69,3
round_queries,194,1482,2373,5037,2151
round_k,1,10,36,119,358
round_shots,203,594,132,85,3
round_queries,203,1782,2772,6545,2193
round_k,1,10,38,120,365
round_shots,220,600,131,97,37
round_queries,220,1800,1179,2619,11063
round_k,1,4,13,49,149
round_shots,146,580,84,91,7
round_queries,146,1740,1932,7007,5173
round_k,1,11,38,120,369
round_shots,102,639,82,53
round_queries,102,1917,2050,14151
round_k,1,12,40,133
round_shots,271,656,105,65,61
round_queries,271,1968,945,1755,16165
round_k,1,4,13,40,132
round_shots,90,569,83,63,5
round_queries,90,1707,1909,4725,3485
round_k,1,11,37,115,348
round_shots,185,600,73,71,6
round_queries,185,1800,1679,5183,4338
round_k,1,11,36,117,361
round_shots,167,331,98,99,61
round_queries,167,993,882,2673,17995
round_k,1,4,13,47,147
round_shots,288,466,118,64,58
round_queries,288,1398,1062,1728,15254
round_k,1,4,13,40,131
round_shots,202,650,83,63,4
round_queries,202,1950,2075,4725,2836
round_k,1,12,37,115,354
round_shots,384,512,153,67
round_queries,384,1536,3213,17353
round_k,1,10,39,129
round_shots,88,484,238,92,9
round_queries,88,1452,4522,5244,5211
round_k,1,9,28,92,289
round_shots,307,561,101,66,6
round_queries,307,1683,2323,4554,3954
round_k,1,11,34,107,329
round_shots,170,668,82,44
round_queries,170,2004,2050,11836
round_k,1,12,41,134
round_shots,88,653,91,93
round_queries,88,1959,2275,25761
round_k,1,12,42,138
round_shots,288,661,103,83
round_queries,288,1983,2575,23821
round_k,1,12,45,143
round_shots,159,566,62,78,3
round_queries,159,1698,1426,5382,1977
round_k,1,11,34,109,329
round_shots,159,639,67,45
round_queries,159,1917,1675,11385
round_k,1,12,38,126
round_shots,93,482,112,74,3
round_queries,93,1446,2352,5402,2121
round_k,1,10,36,117,353
round_shots,209,630,77,98,32
round_queries,209,1890,693,2646,9888
round_k,1,4,13,51,154
round_shots,140,650,85,46
round_queries,140,1950,2125,12558
round_k,1,12,41,136
round_shots,242,577,70,171,3
round_queries,242,1731,1610,11799,2145
round_k,1,11,34,114,357
round_shots,206,499,291,99,4
round_queries,206,1497,5529,5643,2188
round_k,1,9,28,90,273
round_shots,104,482,102,58,9
round_queries,104,1446,2142,4234,6147
round_k,1,10,36,110,341
round_shots,91,573,91,102,48
round_queries,91,1719,819,2754,14544
round_k,1,4,13,47,151
round_shots,258,600,81,83,3
round_queries,258,1800,1863,6225,2241
round_k,1,11,37,118,373
round_shots,202,650,95,66,4
round_queries,202,1950,2375,4950,2932
round_k,1,12,37,121,366
round_shots,141,628,140,40
round_queries,141,1884,3220,10920
round_k,1,11,42,136
round_shots,305,276,77,104,36
round_queries,305,828,693,2808,10260
round_k,1,4,13,47,142
round_shots,130,671,76,82,5
round_queries,130,2013,1748,5822,3455
round_k,1,11,35,112,345
round_shots,243,642,69,56,3
round_queries,243,1926,1725,4200,2049
round_k,1,12,37,112,341
round_shots,173,560,84,69,3
round_queries,173,1680,1932,5175,2103
round_k,1,11,37,116,350
round_shots,129,659,64,119,10
round_queries,129,1977,1472,8211,6230
round_k,1,11,34,103,311
round_shots,147,363,137,92,63,6
round_queries,147,1089,1233,2484,5103,4422
round_k,1,4,13,40,121,368
round_shots,175,654,105,34
round_queries,175,1962,2625,9894
round_k,1,12,47,145
round_shots,126,482,185,180,3
round_queries,126,1446,3885,14580,2211
round_k,1,10,40,121,368
round_shots,102,684,98,97,32
round_queries,102,2052,882,2619,9952
round_k,1,4,13,50,155
round_shots,109,575,173,47
round_queries,109,1725,3979,13395
round_k,1,11,44,142
round_shots,115,653,64,56,3
round_queries,115,1959,1600,4200,2115
round_k,1,12,37,114,352
round_shots,173,681,76,107
round_queries,173,2043,1900,27071
round_k,1,12,39,126
round_shots,129,416,119,61,9
round_queries,129,1248,2023,3111,4221
round_k,1,8,25,76,234
