round_shots,3069,320,250,130
round_queries,3069,2240,4250,5330
round_k,0,3,8,20
round_shots,3287,354,235,154
round_queries,3287,2478,3995,6314
round_k,0,3,8,20
round_shots,2405,272,241,155
round_queries,2405,1904,4097,6355
round_k,0,3,8,20
round_shots,2376,259,295,136
round_queries,2376,1813,5015,5576
round_k,0,3,8,20
round_shots,3263,335,219,89
round_queries,3263,3015,5475,5073
round_k,0,4,12,28
round_shots,1937,299,325,129
round_queries,1937,2093,5525,5289
round_k,0,3,8,20
round_shots,2196,289,211,135
round_queries,2196,2023,3587,5535
round_k,0,3,8,20
round_shots,1970,384,251,128
round_queries,1970,2688,4267,5248
round_k,0,3,8,20
round_shots,2289,319,285,248
round_queries,2289,2233,4845,8680
round_k,0,3,8,17
round_shots,2980,329,322,232
round_queries,2980,2303,5474,9512
round_k,0,3,8,20
round_shots,3324,336,247,128
round_queries,3324,2352,4199,5248
round_k,0,3,8,20
round_shots,2872,388,214,94
round_queries,2872,3492,5350,5358
round_k,0,4,12,28
round_shots,3138,374,383,105
round_queries,3138,3366,8809,5355
round_k,0,4,11,25
round_shots,2258,382,411,458,99
round_queries,2258,1146,3699,10534,4851
round_k,0,1,4,11,24
round_shots,3466,259,259,128
round_queries,3466,1813,4403,5248
round_k,0,3,8,20
round_shots,2789,259,318,135
round_queries,2789,1813,5406,5535
round_k,0,3,8,20
round_shots,3134,331,202,128
round_queries,3134,2317,3434,5248
round_k,0,3,8,20
round_shots,3023,414,196,179
round_queries,3023,2898,3332,7339
round_k,0,3,8,20
round_shots,2551,245,256,297
round_queries,2551,1715,3840,9801
round_k,0,3,7,16
round_shots,2961,253,244,118
round_queries,2961,2277,6100,6018
round_k,0,4,12,25
round_shots,2675,289,209,127
round_queries,2675,2023,3553,5207
round_k,0,3,8,20
round_shots,3043,324,227,218
round_queries,3043,2268,3405,7194
round_k,0,3,7,16
round_shots,2344,271,292,210
round_queries,2344,1897,4964,8610
round_k,0,3,8,20
round_shots,2246,304,363,140
round_queries,2246,2128,6171,5460
round_k,0,3,8,19
round_shots,3262,312,301,147
round_queries,3262,2184,5117,6027
round_k,0,3,8,20
round_shots,2491,317,254,127
round_queries,2491,2219,4318,5207
round_k,0,3,8,20
round_shots,2623,265,220,130
round_queries,2623,1855,3740,5330
round_k,0,3,8,20
round_shots,3208,291,320,86
round_queries,3208,2619,7360,4214
round_k,0,4,11,24
round_shots,1847,301,224,135
round_queries,1847,2107,3808,5535
round_k,0,3,8,20
round_shots,2121,261,264,146
round_queries,2121,1827,4488,5986
round_k,0,3,8,20
round_shots,2649,259,220,201
round_queries,2649,1813,3740,8241
round_k,0,3,8,20
round_shots,2902,311,194,128
round_queries,2902,2799,4850,6528
round_k,0,4,12,25
round_shots,1870,324,304,181
round_queries,1870,2268,4560,5973
round_k,0,3,7,16
round_shots,2421,449,291,235,88
round_queries,2421,1347,2619,5875,4488
round_k,0,1,4,12,25
round_shots,3106,273,179,88
round_queries,3106,2457,4475,5016
round_k,0,4,12,28
round_shots,2635,278,231,127
round_queries,2635,1946,3927,5207
round_k,0,3,8,20
round_shots,2364,288,239,128
