round_shots,156,114,163,88,29
round_queries,156,342,1467,2552,9193
round_k,1,4,14,48,158
round_shots,187,114,98,79,34
round_queries,187,342,882,2133,9962
round_k,1,4,13,41,146
round_shots,169,83,103,103,51
round_queries,169,249,927,2781,17391
round_k,1,4,13,42,170
round_shots,143,85,112,68,38
round_queries,143,255,1008,1972,10526
round_k,1,4,14,43,138
round_shots,156,78,73,142,63
round_queries,156,234,657,3834,16191
round_k,1,4,13,41,128
round_shots,181,89,105,73,48
round_queries,181,267,945,1971,11856
round_k,1,4,13,40,123
round_shots,156,78,126,73,53
round_queries,156,234,1134,1971,14681
round_k,1,4,13,40,138
round_shots,199,82,135,143,29
round_queries,199,246,1215,3861,10527
round_k,1,4,13,54,181
round_shots,187,94,116,99,44
round_queries,187,282,1044,2871,13244
round_k,1,4,14,45,150
round_shots,150,91,105,94,29
round_queries,150,273,945,2726,9657
round_k,1,4,14,52,166
round_shots,137,86,78,76,48
round_queries,137,258,702,2052,11760
round_k,1,4,13,40,122
round_shots,205,83,120,90,39
round_queries,205,249,1080,2430,10647
round_k,1,4,13,41,136
round_shots,187,104,92,95,48
round_queries,187,312,828,2565,13872
round_k,1,4,13,41,144
round_shots,193,128,145,79,34
round_queries,193,384,1305,2291,10098
round_k,1,4,14,45,148
round_shots,143,85,72,92,40
round_queries,143,255,648,2484,10920
round_k,1,4,13,41,136
round_shots,169,105,150,60,51
round_queries,169,315,1350,1740,13515
round_k,1,4,14,43,132
round_shots,123,86,93,196,47
round_queries,123,258,837,5684,12643
round_k,1,4,14,44,134
round_shots,193,94,120,89,67
round_queries,193,282,1080,2403,16281
round_k,1,4,13,40,121
round_shots,163,141,196,100,29
round_queries,163,423,2156,3500,9715
round_k,1,5,17,53,167
round_shots,130,125,93,104,38
round_queries,130,375,837,3016,12350
round_k,1,4,14,51,162
round_shots,130,88,95,108,32
round_queries,130,264,855,3132,9888
round_k,1,4,14,51,154
round_shots,143,104,73,60,49
round_queries,143,312,657,1620,12005
round_k,1,4,13,40,122
round_shots,130,154,70,111,48
round_queries,130,462,630,2997,13392
round_k,1,4,13,42,139
round_shots,246,141,167,77,28
round_queries,246,423,1837,2695,10444
round_k,1,5,17,59,186
round_shots,137,78,141,112,46
round_queries,137,234,1269,3024,11822
round_k,1,4,13,42,128
round_shots,123,111,94,76,90
round_queries,123,333,846,2204,25110
round_k,1,4,14,46,139
round_shots,163,139,148,137,32
round_queries,163,417,1628,4521,10272
round_k,1,5,16,51,160
round_shots,156,80,70,119,45
round_queries,156,240,630,3213,11475
round_k,1,4,13,42,127
round_shots,193,148,102,62,48
round_queries,193,444,918,1674,12048
round_k,1,4,13,40,125
round_shots,187,149,110,112,37
round_queries,187,447,1210,3696,12691
round_k,1,5,16,50,171
round_shots,150,100,72,203,55
round_queries,150,300,648,5481,18755
round_k,1,4,13,52,170
round_shots,130,78,98,107,64
round_queries,130,234,882,3103,18880
round_k,1,4,14,45,147
round_shots,187,102,100,97,52
round_queries,187,306,900,2813,16588
round_k,1,4,14,52,159
round_shots,109,78,81,116,38
round_queries,109,234,729,3132,10906
round_k,1,4,13,45,143
