round_k,0,1,3,12,25,62,132,272
round_shots,32,68,71,26,20,15,11
round_queries,32,204,497,806,1580,2685,4037
round_k,0,1,3,15,39,89,183
round_shots,52,55,53,18,15,17,16,8
round_queries,52,165,371,450,825,1921,3952,4040
round_k,0,1,3,12,27,56,123,252
round_shots,35,55,75,17,11,16,16,5
round_queries,35,165,525,527,715,2288,4688,3055
round_k,0,1,3,15,32,71,146,305
round_shots,35,68,75,21,18,17,14,2
round_queries,35,204,525,651,1314,2635,4634,1346
round_k,0,1,3,15,36,77,165,336
round_shots,68,45,48,29,15,15,16,3
round_queries,68,135,336,725,1065,2145,4816,1869
round_k,0,1,3,12,35,71,150,311
round_shots,88,59,61,21,18,15,15,3
round_queries,88,177,427,609,1278,2325,4815,1929
round_k,0,1,3,14,35,77,160,321
round_shots,96,110,53,28,13,15,15,5
round_queries,96,330,371,700,871,2235,4545,3055
round_k,0,1,3,12,33,74,151,305
round_shots,32,116,48,15,21,18,15,7
round_queries,32,348,336,375,1071,2178,3945,3759
round_k,0,1,3,12,25,60,131,268
round_shots,117,131,30,15,18,16,10
round_queries,117,393,510,705,1746,3376,4530
round_k,0,1,8,23,48,105,226
round_shots,35,107,30,18,15,15,16,14
round_queries,35,321,210,378,675,1365,2960,5250
round_k,0,1,3,10,22,45,92,187
round_shots,60,114,24,21,16,15,15,14
round_queries,60,342,168,399,720,1425,2865,5418
round_k,0,1,3,9,22,47,95,193
round_shots,35,71,40,16,18,16,15,10
round_queries,35,213,280,368,846,1648,3285,4550
round_k,0,1,3,11,23,51,109,227
round_shots,32,112,30,18,16,15,8
round_queries,32,336,510,918,1808,3525,3800
round_k,0,1,8,25,56,117,237
round_shots,55,60,53,21,15,15,17,10
round_queries,55,180,371,525,765,1545,3553,4590
round_k,0,1,3,12,25,51,104,229
round_shots,80,37,48,17,19,17,16,10
round_queries,80,111,336,425,969,1751,3536,4630
round_k,0,1,3,12,25,51,110,231
round_shots,32,30,53,18,20,15,16,7
round_queries,32,90,371,450,1060,1905,4112,3885
round_k,0,1,3,12,26,63,128,277
round_shots,49,139,20,19,18,15,10
round_queries,49,417,380,855,1818,3375,4570
round_k,0,1,9,22,50,112,228
round_shots,54,27,40,18,19,15,15,12
round_queries,54,81,280,414,931,1485,3045,4932
round_k,0,1,3,11,24,49,101,205
round_shots,32,90,40,16,16,18,15,11
round_queries,32,270,280,368,752,1746,3195,4785
round_k,0,1,3,11,23,48,106,217
round_shots,37,43,60,15,13,17,15,7
round_queries,37,129,420,405,715,2023,3885,3703
round_k,0,1,3,13,27,59,129,264
round_shots,61,27,60,26,16,17,16,4
