round_queries,700,2500,5700,18300,47000,159800,629000,1490500,5112100,76999500
round_k,2,9,30,117,399,1572,7452,25560,91811,384997
round_shots,1200,400,400,200,100,200,100,100,100,100
round_queries,1200,2000,6800,11800,22500,135000,286900,903500,3299300,51381700
round_k,2,8,29,112,337,1434,4517,16496,58570,256908
round_shots,900,500,300,200,200,200,100,100,100,100
round_queries,900,2500,5700,12200,41800,177000,392500,1299300,4415500,69716300
round_k,2,9,30,104,442,1962,6496,22077,76885,348581
round_shots,900,400,200,200,200,200,100,100,100,100
round_queries,900,2000,3400,10600,35400,122200,259900,867300,2812100,40167100
round_k,2,8,26,88,305,1299,4336,14060,46328,200835
round_shots,1100,400,300,200,200,200,100,100,100,100
round_queries,1100,2000,5700,11800,36200,115000,179900,557900,1867300,25536900
round_k,2,9,29,90,287,899,2789,9336,32787,127684
round_shots,900,500,300,300,200,200,100,100,100,100
round_queries,900,2500,5100,18300,38600,147800,319900,1016900,3605300,61657900
round_k,2,8,30,96,369,1599,5084,18026,71705,308289
round_shots,1400,400,300,200,200,100,200,100,100
round_queries,1400,2800,6900,14600,56200,118700,745400,1489700,22834900
round_k,3,11,36,140,593,1863,7448,27448,114174
round_shots,1300,400,300,200,200,300,100,100,100
round_queries,1300,2000,5700,14600,58600,369900,523100,1745700,22392500
round_k,2,9,36,146,616,2615,8728,26972,111962
round_shots,700,400,200,200,200,100,100,100,100,100
round_queries,700,2000,3400,10600,36600,67700,214300,712900,2186100,30641700
round_k,2,8,26,91,338,1071,3564,10930,38695,153208
round_shots,1000,500,200,200,300,200,100,100,100,100
round_queries,1000,2500,3800,12200,71700,174200,343900,1163300,3874900,51140100
round_k,2,9,30,119,435,1719,5816,19374,64015,255700
round_shots,1300,300,300,300,200,200,100,100,100
round_queries,1300,1500,5100,15900,47400,181800,377500,1294300,19494500
round_k,2,8,26,118,454,1887,6471,23906,97472
round_shots,1000,400,300,300,200,200,200,100,100,100
round_queries,1000,2000,5700,17700,42200,145800,629400,1287900,4535300,74412700
round_k,2,9,29,105,364,1573,6439,22676,92044,372063
round_shots,800,500,400,200,200,100,100,100,200,100
round_queries,800,2500,7600,13400,48600,100500,305300,991900,7052600,57797300
round_k,2,9,33,121,502,1526,4959,17631,65283,288986
round_shots,1300,500,300,200,200,200,100,100,100,100
round_queries,1300,2500,5700,11800,44200,147400,324100,1106700,4066500,61675100
round_k,2,9,29,110,368,1620,5533,20332,76984,308375
round_shots,1300,400,400,300,300,200,200,100,100,100
round_queries,1300,2000,6800,17700,66900,189400,667400,1394500,4481300,70622100
round_k,2,8,29,111,473,1668,6972,22406,78928,353110
round_shots,1100,500,300,300,300,300,200,200,200,100
round_queries,1100,2500,5700,17700,55500,212100,503000,1671800,5539000,45933300
round_k,2,9,29,92,353,1257,4179,13847,62436,229666
round_shots,800,400,400,200,300,200,200,200,100
round_queries,800,2000,6800,13400,65100,198600,831400,3021000,19008100
round_k,2,8,33,108,496,2078,7552,24616,95040
round_shots,1000,600,200,200,200,100,100,100,100,100
round_queries,1000,3000,3400,11800,43800,85100,258100,862300,3095300,43246900
round_k,2,8,29,109,425,1290,4311,15476,51188,216234
round_shots,1000,300,200,200,200,200,100,100,100,100
round_queries,1000,1500,3400,10600,33000,128200,255500,851700,2974900,50124900
round_k,2,8,26,82,320,1277,4258,14874,56363,250624
round_shots,700,600,300,200,200,100,100,100,100,100
round_queries,700,3000,5700,13000,52200,92300,285300,957100,3491900,49253100
round_k,2,9,32,130,461,1426,4785,17459,57350,246265
round_shots,700,400,400,200,200,100,100,100,100,100
round_queries,700,2000,7600,13000,52200,98300,306700,1031300,3513300,60126500
round_k,2,9,32,130,491,1533,5156,17566,67011,300632
round_shots,1300,500,300,200,200,200,100,100,100
round_queries,1300,2500,5100,14200,45000,177000,387900,1346700,17820100
round_k,2,8,35,112,442,1939,6733,24903,89100
round_shots,1400,500,400,300,200,200,200,100,100
round_queries,1400,2500,7600,23100,59800,241000,935800,2038900,26319100
round_k,2,9,38,149,602,2339,10194,33527,131595
round_shots,1200,400,300,300,200,200,100,100,100
round_queries,1200,2000,5700,18300,60600,235800,529700,1786700,23830500
round_k,2,9,30,151,589,2648,8933,31297,119152
round_shots,1300,400,300,400,300,200,100,100,100,100
round_queries,1300,2000,5700,26000,84300,267400,560300,1908100,6660700,77923700
round_k,2,9,32,140,668,2801,9540,33303,129194,389618
round_shots,1200,400,300,400,200,100,200,200,100
round_queries,1200,2000,5700,23600,43000,85900,536600,2304600,20152500
round_k,2,9,29,107,429,1341,5761,26030,100762
round_shots,1400,500,300,200,200,100,100,100,100
round_queries,1400,3500,7500,19400,65000,128500,398900,1350700,19555500
round_k,3,12,48,162,642,1994,6753,25348,97777
round_shots,800,500,200,200,300,200,100,100,100,100
round_queries,800,2500,3400,11800,59100,137400,252100,835900,2950700,44564300
round_k,2,8,29,98,343,1260,4179,14753,55046,222821
round_shots,1100,400,200,200,200,100,100,200,100,100
round_queries,1100,2000,3800,12200,49000,96500,295100,1980600,4263500,65624700
round_k,2,9,30,122,482,1475,4951,21317,81089,328123
round_shots,1100,600,300,300,400,200,100,100,100,100
round_queries,1100,3000,5100,18300,74000,137000,298100,912100,3175700,41727100
round_k,2,8,30,92,342,1490,4560,15878,56061,208635
round_shots,800,500,400,200,200,100,100,100,100,100
round_queries,800,2500,7600,14600,53400,114700,344500,1179700,4117500,68911500
round_k,2,9,36,133,573,1722,5898,20587,78921,344557
round_shots,1400,400,400,300,200,200,200,200,100,100
round_queries,1400,2000,7600,20100,45800,155800,515400,1718200,3893300,61191300
round_k,2,9,33,114,389,1288,4295,19466,71225,305956
round_shots,1000,400,200,200,200,200,200,200,100,100
round_queries,1000,2000,3800,12200,44200,169000,669400,2470200,4841100,65048500
round_k,2,9,30,110,422,1673,6175,24205,99817,325242
round_shots,1000,400,300,300,300,200,200,100,100,100
round_queries,1000,2800,6900,21900,74100,168200,635000,1321300,4948500,68292100
round_k,3,11,36,123,420,1587,6606,24742,100330,341460
round_shots,1000,400,300,500,100,200,100,100,100,100
round_queries,1000,2000,5700,29500,18100,108600,232500,768300,2635700,41244700
round_k,2,9,29,90,271,1162,3841,13178,51826,206223
round_shots,600,500,300,200,200,200,100,100,100,100
round_queries,600,2500,5100,10600,39400,135800,285700,903900,3277100,56443700
round_k,2,8,26,98,339,1428,4519,16385,64434,282218
round_shots,1000,400,400,200,200,100,200,100,100
