round_k,1,4,15,51,218,788,3366,16114
round_shots,1100,200,200,100,100,100,100
round_queries,1100,1800,6600,13300,45500,174500,3628300
round_k,4,16,66,227,872,3759,18141
round_shots,800,200,200,100,100,100,100,100
round_queries,800,1400,5000,10900,36500,138700,581900,14993300
round_k,3,12,54,182,693,2909,13694,74966
round_shots,1100,200,200,100,100,100,100
round_queries,1100,1800,6600,13300,44100,168900,3467500
round_k,4,16,66,220,844,3631,17337
round_shots,1100,200,100,200,100,100,100,100
round_queries,1100,1400,2300,14600,35500,138100,564700,14670500
round_k,3,11,36,177,690,2823,13362,73352
round_shots,1200,200,200,100,100,100,100,100
round_queries,1200,1400,5000,9900,31900,117700,488300,12001500
round_k,3,12,49,159,588,2441,11235,60007
round_shots,900,100,100,200,100,100,100,100
round_queries,900,300,900,5400,11700,39700,153700,3046700
round_k,1,4,13,58,198,768,3205,15233
round_shots,800,200,100,200,100,100,100,100
round_queries,800,1400,2300,14200,33700,127900,495900,9460500
round_k,3,11,35,168,639,2479,9906,47302
round_shots,1100,200,200,100,100,100,100
round_queries,1100,1400,5000,11500,39900,154100,3113700
round_k,3,12,57,199,770,3259,15568
round_shots,800,200,200,100,100,100,100,100
round_queries,800,1400,4600,9900,30300,113300,462900,11503500
round_k,3,11,49,151,566,2314,10678,57517
round_shots,1100,200,100,100,100,100,100,100
round_queries,1100,1400,2500,7500,23300,84100,343500,8035700
round_k,3,12,37,116,420,1717,7764,40178
round_shots,1100,200,200,100,100,100,100
round_queries,1100,1400,5000,10700,37900,142300,2865700
round_k,3,12,53,189,711,3027,14328
round_shots,700,200,200,100,100,100,100,100
round_queries,700,1400,5000,10500,33300,120700,492700,12311100
round_k,3,12,52,166,603,2463,11508,61555
round_shots,500,100,200,100,100,100,100,100,100
round_queries,500,300,1800,3300,10700,35300,134900,569300,14873100
round_k,1,4,16,53,176,674,2846,13527,74365
round_shots,1200,200,100,100,100,100,100,100
round_queries,1200,1400,2500,8100,26300,95300,382500,9031100
round_k,3,12,40,131,476,1912,8632,45155
round_shots,1000,200,200,100,100,100,100,100
round_queries,1000,1400,5000,10500,36100,131300,546500,13631700
round_k,3,12,52,180,656,2732,12492,68158
round_shots,800,200,200,100,100,100,100,100,100
round_queries,800,600,1800,3300,10500,32500,117900,490900,12346100
round_k,1,4,16,52,162,589,2454,11436,61730
round_shots,1000,200,200,100,100,100,100,100
round_queries,1000,1400,5000,10500,31700,114900,482500,12144100
round_k,3,12,52,158,574,2412,11240,60720
round_shots,1200,200,100,100,100,100,100,100
round_queries,1200,1800,3100,9700,32100,98700,412100,9860500
round_k,4,15,48,160,493,2060,9373,49302
round_shots,700,200,100,100,100,100,100,100
round_queries,700,1400,2500,7500,25300,95500,388700,9232100
round_k,3,12,37,126,477,1943,8755,46160
round_shots,800,200,100,200,100,100,100,100
round_queries,800,1400,2300,14200,31500,112500,461300,11455100
round_k,3,11,35,157,562,2306,10665,57275
round_shots,1200,200,200,100,100,100,100,100
round_queries,1200,1400,4600,10500,36500,140900,591700,15503500
round_k,3,11,52,182,704,2958,13986,77517
round_shots,600,100,200,100,100,100,100,100,100
round_queries,600,300,1800,3300,10100,36100,135500,557700,14239900
round_k,1,4,16,50,180,677,2788,12948,71199
round_shots,1100,200,200,100,100,100,100,100
round_queries,1100,1400,4600,9700,29700,112500,449900,11084700
round_k,3,11,48,148,562,2249,10347,55423
round_shots,600,100,200,100,100,100,100,100,100
round_queries,600,300,1800,2700,8300,26300,95100,392300,9497100
round_k,1,4,13,41,131,475,1961,8990,47485
round_shots,1100,200,100,100,100,100,100,100
round_queries,1100,1800,3300,10100,34500,134900,561300,14615100
round_k,4,16,50,172,674,2806,13286,73075
round_shots,1100,200,200,200,100,100,100
round_queries,1100,1400,5000,19400,39700,153100,3067700
round_k,3,12,48,198,765,3196,15338
round_shots,800,200,200,200,100,100,100,100
round_queries,800,1400,4600,16200,33100,116700,474300,11842700
round_k,3,11,40,165,583,2371,10998,59213
round_shots,1100,200,200,100,100,100,100,100
round_queries,1100,1400,4600,8900,27700,103500,433500,10564500
round_k,3,11,44,138,517,2167,9941,52822
round_shots,1200,200,200,100,100,100,100
round_queries,1200,1800,6600,15500,52100,199300,4174300
round_k,4,16,77,260,996,4257,20871
round_shots,1200,200,100,100,100,100,100
round_queries,1200,1800,3300,10700,37900,142700,2839100
round_k,4,16,53,189,713,3012,14195
round_shots,600,200,100,200,100,100,100,100
round_queries,600,1400,2300,14600,27500,99300,395900,9549700
round_k,3,11,36,137,496,1979,9062,47748
round_shots,900,200,200,200,100,100,100
round_queries,900,1400,5000,17800,38300,143300,2836700
round_k,3,12,44,191,716,2982,14183
round_shots,900,200,200,100,100,100,100
round_queries,900,1800,6600,13100,44700,172300,3601500
round_k,4,16,65,223,861,3723,18007
round_shots,900,200,100,200,100,100,100,100
round_queries,900,1400,2500,15800,35500,128900,526100,13384700
round_k,3,12,39,177,644,2630,12274,66923
round_shots,600,100,200,100,100,100,100,100,100
round_queries,600,300,1800,3300,10700,35100,134900,573300,14746300
round_k,1,4,16,53,175,674,2866,13357,73731
round_shots,700,200,200,100,100,100,100,100,100
round_queries,700,600,1800,3300,9900,33300,124900,528500,13470700
round_k,1,4,16,49,166,624,2642,12331,67353
round_shots,1100,200,100,200,100,100,100,100
round_queries,1100,1400,2300,14600,30700,113900,466700,11509300
round_k,3,11,36,153,569,2333,10728,57546
round_shots,900,200,200,100,100,100,100,100
round_queries,900,1400,5000,10500,32900,124100,563100,14544900
round_k,3,12,52,164,620,2815,13266,72724
round_shots,1100,200,200,100,100,100,100
round_queries,1100,1800,6600,15300,48300,180700,3720100
round_k,4,16,76,241,903,3852,18600
round_shots,1000,100,200,100,100,100,100,100
round_queries,1000,300,1800,4100,13700,47100,187100,3913100
round_k,1,4,20,68,235,935,4008,19565
round_shots,700,100,200,200,100,100,100,100
round_queries,700,300,1800,6600,14100,48700,187100,3961700
round_k,1,4,16,70,243,935,4054,19808
round_shots,1200,200,100,100,100,100,100,100
round_queries,1200,1800,3300,10700,34700,131500,547700,14043900
round_k,4,16,53,173,657,2738,12802,70219
round_shots,700,200,200,200,100,100,100,100
round_queries,700,600,1800,6600,13700,48500,187900,3935900
round_k,1,4,16,68,242,939,4040,19679
round_shots,700,100,200,200,100,100,100,100
round_queries,700,300,1800,6600,12300,43700,165500,3412100
round_k,1,4,16,61,218,827,3544,17060
round_shots,1000,200,200,100,100,100,100
round_queries,1000,1800,6600,13100,46300,177100,3629900
round_k,4,16,65,231,885,3751,18149
round_shots,1000,200,100,200,100,100,100,100
round_queries,1000,1400,2300,14600,28900,107900,435900,10629300
round_k,3,11,36,144,539,2179,10007,53146
round_shots,900,200,200,200,100,100,100,100
round_queries,900,600,1800,6200,11500,38500,143300,2893100
round_k,1,4,15,57,192,716,3042,14465
round_shots,1000,200,200,100,100,100,100
round_queries,1000,1800,6600,15500,53500,209500,4448500
round_k,4,16,77,267,1047,4508,22242
round_shots,800,200,200,100,100,100,100
round_queries,800,1400,5000,10700,37700,140500,2833900
round_k,3,12,53,188,702,3003,14169
round_shots,600,100,200,100,100,100,100,100
round_queries,600,300,1800,4100,13700,41700,143900,2840500
round_k,1,4,20,68,208,719,2983,14202
round_shots,800,200,200,100,100,100,100,100
round_queries,800,1400,5000,9700,31500,118700,495500,12491100
round_k,3,12,48,157,593,2477,11608,62455
round_shots,1100,200,100,100,100,100,100,100
round_queries,1100,1400,2500,8100,26900,97100,399300,9501900
round_k,3,12,40,134,485,1996,9163,47509
round_shots,1100,200,200,100,100,100,100,100
round_queries,1100,1400,5000,10500,35500,127900,533900,13529500
round_k,3,12,52,177,639,2669,12458,67647
round_shots,1100,200,200,100,100,100,100,100
round_queries,1100,1800,5400,9700,32700,122300,504100,12851100
round_k,4,13,48,163,611,2520,11847,64255
round_shots,800,100,200,100,100,100,100,100,100
round_queries,800,300,1800,3300,9900,32900,120700,506300,12821300
round_k,1,4,16,49,164,603,2531,11827,64106
round_shots,800,200,200,100,100,100,100,100
round_queries,800,1400,5000,10500,33100,125100,523700,13328700
round_k,3,12,52,165,625,2618,12220,66643
round_shots,600,200,200,200,100,100,100,100
round_queries,600,600,1800,6600,13900,45900,180300,3731300
round_k,1,4,16,69,229,901,3851,18656
round_shots,800,300,200,100,100,100,100
round_queries,800,2100,7000,15300,54100,212700,4546300
round_k,3,17,76,270,1063,4647,22731
round_shots,1200,200,200,100,100,100,100,100
round_queries,1200,1400,5000,10700,35700,133900,560300,14381500
round_k,3,12,53,178,669,2801,13079,71907
round_shots,500,100,200,100,100,100,100,100,100
round_queries,500,300,1800,3300,10100,33500,128500,539300,13631500
round_k,1,4,16,50,167,642,2696,12520,68157
round_shots,900,200,200,100,100,100,100
round_queries,900,1400,6200,14100,51500,196300,4095100
round_k,3,15,70,257,981,4231,20475
round_shots,600,200,100,100,100,100,100,100
round_queries,600,1400,2700,8700,28100,102900,426700,10430100
round_k,3,13,43,140,514,2133,9820,52150
round_shots,900,200,200,100,100,100,100,100
round_queries,900,1400,4600,9900,32900,121700,506500,12802700
round_k,3,11,49,164,608,2532,11811,64013
round_shots,800,100,200,100,100,100,100,100
round_queries,800,300,1800,3300,11100,37300,145100,2881300
round_k,1,4,16,55,186,725,3043,14406
round_shots,1100,200,200,100,100,100,100
round_queries,1100,1800,6600,13700,43300,162100,3243300
round_k,4,16,68,216,810,3392,16216
round_shots,600,200,100,100,100,100,100,100
round_queries,600,1400,2500,8100,28500,103500,420300,10252700
round_k,3,12,40,142,517,2101,9684,51263
round_shots,1000,200,100,100,100,100,100
round_queries,1000,1800,3300,10700,38700,148700,2990700
round_k,4,16,53,193,743,3140,14953
round_shots,1000,200,200,100,100,100,100,100
round_queries,1000,1400,4600,8300,28300,103100,423300,10328700
round_k,3,11,41,141,515,2116,9784,51643
round_shots,1000,300,200,100,100,100,100
round_queries,1000,2700,8200,19100,58900,223300,4850700
round_k,4,20,95,294,1116,4889,24253
round_shots,1100,200,100,100,100,100,100,100
round_queries,1100,1400,2300,7100,21900,82100,334700,7746100
round_k,3,11,35,109,410,1673,7464,38730
round_shots,400,100,100,100,100,100,100,100
round_queries,400,500,1500,4900,16100,57900,229500,4991100
round_k,2,7,24,80,289,1147,5023,24955
round_shots,600,200,100,200,100,100,100,100
round_queries,600,1400,2500,16200,33900,116100,487500,12227500
round_k,3,12,40,169,580,2437,11296,61137
round_shots,1000,200,100,100,100,100,100,100
round_queries,1000,1400,3100,9700,34900,129500,535500,13652300
round_k,3,15,48,174,647,2677,12501,68261
round_shots,900,200,200,100,100,100,100,100
round_queries,900,1400,5000,8900,30500,112900,472900,11813300
round_k,3,12,44,152,564,2364,10958,59066
round_shots,900,100,200,100,100,100,100,100,100
round_queries,900,300,1800,3100,9700,32300,121100,500900,12676700
round_k,1,4,15,48,161,605,2504,11738,63383
round_shots,1200,200,200,100,100,100,100
round_queries,1200,1400,5000,11300,37300,140300,2831500
round_k,3,12,56,186,701,2995,14157
round_shots,900,200,200,100,100,100,100
round_queries,900,1400,6200,12500,44700,167500,3385900
round_k,3,15,62,223,837,3521,16929
round_shots,900,200,200,200,100,100,100,100
round_queries,900,600,1800,7800,16500,54300,213100,4531900
round_k,1,4,19,82,271,1065,4627,22659
round_shots,900,200,200,100,200,100,100
round_queries,900,1400,4600,9700,70200,186300,3422900
round_k,3,11,48,175,931,3635,17114
round_shots,1200,200,100,100,100,100,100,100
round_queries,1200,1400,2500,7500,25300,92900,374500,8803300
round_k,3,12,37,126,464,1872,8485,44016
round_shots,1100,200,200,100,100,100,100,100
round_queries,1100,1400,4600,8700,26500,83300,318300,7213700
round_k,3,11,43,132,416,1591,7040,36068
round_shots,1000,100,200,200,100,100,100,100
round_queries,1000,300,1800,6600,12100,38100,142900,2861500
round_k,1,4,16,60,190,714,3011,14307
round_shots,1200,200,200,100,100,100,100
round_queries,1200,1800,6600,13300,45300,173900,3518100
round_k,4,16,66,226,869,3660,17590
round_shots,600,100,200,200,100,100,100,100
round_queries,600,300,1800,6200,13900,50300,193500,4075700
round_k,1,4,15,69,251,967,4160,20378
round_shots,900,200,200,100,100,100,100,100
round_queries,900,1800,6200,11900,37100,138300,576700,15069100
round_k,4,15,59,185,691,2883,13616,75345
round_shots,1100,200,200,100,100,100,100
round_queries,1100,1400,5000,10700,37900,146100,2989700
round_k,3,12,53,189,730,3136,14948
round_shots,1000,200,200,100,200,100,100
round_queries,1000,1400,5000,11300,75400,170700,3391700
round_k,3,12,56,188,853,3533,16958
round_shots,1000,200,100,100,100,100,100,100
round_queries,1000,1800,3300,9900,32700,122900,515900,13111100
round_k,4,16,49,163,614,2579,12025,65555
round_shots,1000,300,200,100,100,100,100
round_queries,1000,2100,5000,10900,37300,143700,2889700
round_k,3,12,54,186,718,3052,14448
round_shots,500,200,200,100,100,100,100,100,100
round_queries,500,600,1800,3300,9900,33700,126700,530100,13580300
round_k,1,4,16,49,168,633,2650,12436,67901
round_shots,1000,200,100,100,100,100,100,100
round_queries,1000,1400,2300,7300,21900,74700,299100,6771900
round_k,3,11,36,109,373,1495,6643,33859
round_shots,800,100,200,100,100,100,100,100,100
round_queries,800,300,1800,3300,9900,32100,118500,483700,12084100
round_k,1,4,16,49,160,592,2418,11201,60420
round_shots,700,200,200,100,100,100,100,100
round_queries,700,1400,5000,9700,30500,92900,342300,7861900
round_k,3,12,48,152,464,1711,7658,39309
round_shots,700,200,200,100,100,100,100,100
round_queries,700,1400,5000,11300,34700,122500,502900,12758300
round_k,3,12,56,173,612,2514,11768,63791
round_shots,1100,200,100,100,100,100,100,100
round_queries,1100,1800,3300,9900,32100,118100,495500,12571900
round_k,4,16,49,160,590,2477,11610,62859
round_shots,800,100,100,200,100,100,100,100,100
round_queries,800,300,900,5400,10700,36100,138900,583100,15254500
round_k,1,4,13,53,180,694,2915,13783,76272
round_shots,800,100,200,200,100,100,100,100
round_queries,800,300,1800,6200,14500,45300,178700,3692100
round_k,1,4,15,72,226,893,3832,18460
round_shots,400,100,200,100,100,100,100,100,100
round_queries,400,300,1800,3100,9500,28700,99500,393700,9497900
round_k,1,4,15,47,143,497,1968,9029,47489
round_shots,1100,200,200,100,200,100,100
round_queries,1100,1400,5000,9700,61000,162900,3334900
round_k,3,12,48,152,814,3455,16674
round_shots,1000,200,100,100,100,100,100,100
round_queries,1000,1800,3100,10500,35500,133900,570500,14771300
round_k,4,15,52,177,669,2852,13413,73856
round_shots,600,200,100,100,100,100,100,100
round_queries,600,1400,2500,8100,26500,88500,362700,8512100
round_k,3,12,40,132,442,1813,8182,42560
round_shots,700,100,200,100,200,100,100,100
round_queries,700,300,1800,3100,19400,42900,164900,3323100
round_k,1,4,15,48,214,824,3459,16615
round_shots,900,200,200,100,100,100,100,100
round_queries,900,1400,4600,9100,29100,109100,450700,11021500
round_k,3,11,45,145,545,2253,10295,55107
round_shots,1200,200,100,100,100,100,100,100
round_queries,1200,1800,3300,10100,32500,124900,516700,13013500
round_k,4,16,50,162,624,2583,12068,65067
round_shots,900,200,200,100,100,100,100,100
round_queries,900,1400,4600,8700,27500,100500,412300,10009700
round_k,3,11,43,137,502,2061,9447,50048
round_shots,1200,200,100,100,100,100,100,100
round_queries,1200,1800,3300,9900,31900,120300,496500,12412300
round_k,4,16,49,159,601,2482,11515,62061
round_shots,700,100,200,100,100,100,100,100,100
round_queries,700,300,1800,3300,10100,34500,129100,530100,13597900
round_k,1,4,16,50,172,645,2650,12402,67989
round_shots,1000,200,200,100,100,100,100,100
round_queries,1000,1400,4600,10500,31900,112500,434500,10691100
round_k,3,11,52,159,562,2172,9988,53455
round_shots,700,200,100,100,100,100,100,100
round_queries,700,1400,2500,7500,24700,90700,369900,8686900
round_k,3,12,37,123,453,1849,8302,43434
round_shots,1100,200,100,100,100,100,100,100
round_queries,1100,1800,3300,10100,33500,123300,497500,12640100
round_k,4,16,50,167,616,2487,11687,63200
round_shots,600,200,200,100,100,100,100,100
round_queries,600,1400,4600,8300,27900,99500,412300,10088100
round_k,3,11,41,139,497,2061,9485,50440
round_shots,700,200,200,200,100,100,100,100
round_queries,700,1400,5000,17800,37700,124100,525500,12795300
round_k,3,12,44,188,620,2627,11886,63976
round_shots,700,200,100,100,100,100,100,100
round_queries,700,1400,2300,7300,23500,78700,307300,6955700
round_k,3,11,36,117,393,1536,6821,34778
round_shots,700,100,300,200,200,100,100,100
round_queries,700,300,2700,7800,30600,62500,209700,3778700
round_k,1,4,19,76,312,1048,3914,18893
round_shots,1100,200,100,100,100,100,100,100
round_queries,1100,1800,3300,10700,36700,136900,582900,15087500
round_k,4,16,53,183,684,2914,13707,75437
round_shots,900,200,200,100,100,100,100,100
round_queries,900,1800,6200,11500,36900,138500,584300,15237700
round_k,4,15,57,184,692,2921,13785,76188
round_shots,1300,200,100,100,100,100,100,100
round_queries,1300,1800,3300,9900,33100,123500,518500,13154700
round_k,4,16,49,165,617,2592,12133,65773
round_shots,1100,200,100,100,100,100,100,100
round_queries,1100,1400,2500,7700,23500,84100,332100,7739100
round_k,3,12,38,117,420,1660,7488,38695
round_shots,800,200,200,100,100,100,100,100
round_queries,800,1400,5000,10700,37300,140700,586500,15294100
round_k,3,12,53,186,703,2932,13859,76470
round_shots,1000,200,100,100,100,100,100,100
round_queries,1000,1400,2300,7300,24100,78300,311900,7233100
round_k,3,11,36,120,391,1559,7037,36165
round_shots,900,200,100,100,100,100,100,100
round_queries,900,1400,2300,7100,22900,78500,307700,7084100
round_k,3,11,35,114,392,1538,6947,35420
round_shots,800,200,200,100,100,100,100,100,100
round_queries,800,600,1800,2700,8500,29700,108500,443500,10763700
round_k,1,4,13,42,148,542,2217,10193,53818
round_shots,700,100,200,200,100,100,100,100
round_queries,700,300,1800,6600,15700,54300,206700,4445500
round_k,1,4,16,78,271,1033,4530,22227
round_shots,1000,200,100,100,100,100,100,100
round_queries,1000,1400,2500,8100,24500,86900,354500,8356100
round_k,3,12,40,122,434,1772,8012,41780
round_shots,800,100,200,100,100,100,100,100,100
round_queries,800,300,1800,3300,10700,33700,124300,515500,13088900
round_k,1,4,16,53,168,621,2577,12037,65444
round_shots,800,100,200,200,100,100,100,100
round_queries,800,300,1800,6600,14700,53300,211100,4485300
round_k,1,4,16,73,266,1055,4554,22426
round_shots,1100,200,200,100,100,100,100,100
round_queries,1100,1400,5000,8900,31900,115100,482700,12039500
round_k,3,12,44,159,575,2413,11288,60197
round_shots,700,200,200,100,100,100,100,100
round_queries,700,1400,5000,9700,32100,123100,512700,13035500
round_k,3,12,48,160,615,2563,11998,65177
round_shots,1200,200,100,100,100,100,100,100
round_queries,1200,1400,2300,7100,22300,79700,326100,7585300
round_k,3,11,35,111,398,1630,7378,37926
round_shots,700,200,200,100,100,100,100,100
round_queries,700,1400,5000,10300,35300,116300,488500,12283500
round_k,3,12,51,176,581,2442,11368,61417
round_shots,1200,200,100,100,100,100,100,100
round_queries,1200,1400,2300,7300,24500,86700,352100,8333500
round_k,3,11,36,122,433,1760,7975,41667
round_shots,900,200,100,100,200,100,100,100
round_queries,900,1400,2300,7100,45000,112700,424900,10399900
round_k,3,11,35,112,563,2124,9780,51999
round_shots,1100,200,100,100,100,100,100,100
round_queries,1100,1400,2300,7100,23700,80100,317300,7220300
round_k,3,11,35,118,400,1586,7114,36101
round_shots,700,200,200,100,100,100,100,100
round_queries,700,1400,5000,9700,32500,117100,487100,12271700
round_k,3,12,48,162,585,2435,11346,61358
round_shots,1000,200,200,100,100,100,100,100
round_queries,1000,1400,4600,9700,34900,134500,567500,14599900
round_k,3,11,48,174,672,2837,13366,72999
round_shots,1000,200,200,200,100,100,100
round_queries,1000,1400,5000,21000,52300,200100,4277700
round_k,3,12,52,261,1000,4348,21388
round_shots,1100,200,200,100,100,100,100
round_queries,1100,1400,5000,10900,38300,149900,3134100
round_k,3,12,54,191,749,3292,15670
round_shots,700,200,200,100,100,100,100,100
round_queries,700,1400,5000,9700,31300,120900,404300,9596500
round_k,3,12,48,156,604,2021,9076,47982
round_shots,1000,200,100,100,100,100,100,100
round_queries,1000,1400,2500,8100,27700,98700,401500,9616100
round_k,3,12,40,138,493,2007,9156,48080
round_shots,1200,300,200,100,100,100,100
round_queries,1200,2700,6600,14500,50100,187300,3894300
round_k,4,16,72,250,936,4000,19471
round_shots,900,200,100,100,100,100,100,100
round_queries,900,1400,2500,7700,27700,103100,424700,10276300
round_k,3,12,38,138,515,2123,9705,51381
round_shots,1200,200,100,100,100,100,100,100
round_queries,1200,1400,2300,7300,21900,77900,309100,7057500
round_k,3,11,36,109,389,1545,6883,35287
round_shots,1100,200,200,100,100,100,100
round_queries,1100,1800,6600,14900,51700,201100,4234500
round_k,4,16,74,258,1005,4314,21172
round_shots,800,200,100,200,100,100,100
round_queries,800,1400,2500,15000,37300,141300,2855300
round_k,3,12,37,186,706,3018,14276
round_shots,1200,200,100,100,100,100,100,100
round_queries,1200,1800,3300,10900,35100,132500,548700,14102900
round_k,4,16,54,175,662,2743,12860,70514
round_shots,1100,200,100,100,100,100,100,100
round_queries,1100,1800,3300,10500,33700,105900,411900,9643300
round_k,4,16,52,168,529,2059,9171,48216
round_shots,1000,200,100,100,100,100,100,100
round_queries,1000,1400,2300,7100,22900,84100,337300,7772900
round_k,3,11,35,114,420,1686,7532,38864
round_shots,300,200,200,200,100,100,100,100
round_queries,300,600,1800,6200,13900,44900,174300,3642700
round_k,1,4,15,69,224,871,3775,18213
