round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,900,3300,16500,82100,407900,2040500,10432700
round_k,0,1,4,16,82,410,2039,10202,52163
round_shots,200,100,100,100,100,100,100,100,100
round_queries,200,300,900,3300,15900,68100,312500,1518300,7719500
round_k,0,1,4,16,79,340,1562,7591,38597
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,900,4100,18500,88700,445100,2268300,11520300
round_k,0,1,4,20,92,443,2225,11341,57601
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,900,3900,19100,93100,475300,2414100,12365700
round_k,0,1,4,19,95,465,2376,12070,61828
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,900,3300,16500,77900,389100,1984900,10159900
round_k,0,1,4,16,82,389,1945,9924,50799
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,900,4100,18500,91300,450300,2286100,11721100
round_k,0,1,4,20,92,456,2251,11430,58605
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,1100,4300,18700,90900,458100,2316900,11825300
round_k,0,1,5,21,93,454,2290,11584,59126
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,900,4100,19100,95300,468700,2368900,12087100
round_k,0,1,4,20,95,476,2343,11844,60435
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,1100,4100,19500,91300,463300,2335100,11929300
round_k,0,1,5,20,97,456,2316,11675,59646
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,900,3100,12700,56500,286700,1445900,7290900
round_k,0,1,4,15,63,282,1433,7229,36454
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,900,3300,15900,75500,377500,1920900,9818500
round_k,0,1,4,16,79,377,1887,9604,49092
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,900,3500,16700,80100,408100,2076700,10581100
round_k,0,1,4,17,83,400,2040,10383,52905
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,900,3500,14100,68100,340700,1730700,8825100
round_k,0,1,4,17,70,340,1703,8653,44125
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,900,4100,20300,101700,512300,2590300,13160300
round_k,0,1,4,20,101,508,2561,12951,65801
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,1100,4300,18500,89900,456500,2280300,11608700
round_k,0,1,5,21,92,449,2282,11401,58043
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,900,3700,16700,80500,402500,2040700,10378500
round_k,0,1,4,18,83,402,2012,10203,51892
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,1500,6300,22100,93300,463900,2359100,12032700
round_k,0,1,7,31,110,466,2319,11795,60163
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,900,4500,20300,97700,478700,2437300,12423100
round_k,0,1,4,22,101,488,2393,12186,62115
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,900,3300,15300,74900,376500,1921700,9842900
round_k,0,1,4,16,76,374,1882,9608,49214
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,900,4100,18900,94300,462700,2351700,12013900
round_k,0,1,4,20,94,471,2313,11758,60069
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,900,3300,14500,72900,364300,1855300,9507500
round_k,0,1,4,16,72,364,1821,9276,47537
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,900,3900,16900,82300,417500,2112900,10807300
round_k,0,1,4,19,84,411,2087,10564,54036
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,900,3500,16100,78100,390300,1972900,10036900
round_k,0,1,4,17,80,390,1951,9864,50184
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,900,2700,10300,50300,250500,1259900,6401900
round_k,0,1,4,13,51,251,1252,6299,32009
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,1100,4100,19700,98100,501700,2540500,13023500
round_k,0,1,5,20,98,490,2508,12702,65117
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,900,3500,16100,79500,395300,2015300,10252300
round_k,0,1,4,17,80,397,1976,10076,51261
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,900,4100,19700,96100,472100,2384100,12107500
round_k,0,1,4,20,98,480,2360,11920,60537
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,900,3500,15300,74300,377100,1911700,9726300
round_k,0,1,4,17,76,371,1885,9558,48631
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,900,3900,16100,76700,385100,1953500,9963300
round_k,0,1,4,19,80,383,1925,9767,49816
round_shots,100,100,100,100,100,100,100,100
round_queries,100,500,2300,9500,42300,211300,1071900,5420300
round_k,0,2,11,47,211,1056,5359,27101
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,900,3300,16500,77700,385300,1944700,9858100
round_k,0,1,4,16,82,388,1926,9723,49290
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,1500,5700,24900,117500,597300,3007900,15260500
round_k,0,1,7,28,124,587,2986,15039,76302
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,900,3900,15100,74900,378500,1917500,9804100
round_k,0,1,4,19,75,374,1892,9587,49020
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,900,3500,17500,83900,428100,2196500,11065300
round_k,0,1,4,17,87,419,2140,10982,55326
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,900,3900,18300,67300,333300,1706900,8704100
round_k,0,1,4,19,91,336,1666,8534,43520
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,900,3900,15500,73700,363700,1847700,9328300
round_k,0,1,4,19,77,368,1818,9238,46641
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,900,3300,13100,65300,324700,1645100,8411500
round_k,0,1,4,16,65,326,1623,8225,42057
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,900,3500,16500,81500,408300,2036900,10212300
round_k,0,1,4,17,82,407,2041,10184,51061
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,900,3500,13900,64300,324100,1634500,8288900
round_k,0,1,4,17,69,321,1620,8172,41444
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,1300,6100,24500,122500,618500,3140700,16029100
round_k,0,1,6,30,122,612,3092,15703,80145
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,1100,4700,20700,100900,491500,2479900,12523900
round_k,0,1,5,23,103,504,2457,12399,62619
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,900,2700,10300,48900,240500,1212100,6166900
round_k,0,1,4,13,51,244,1202,6060,30834
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,1100,4100,20700,100500,501300,2557100,12986700
round_k,0,1,5,20,103,502,2506,12785,64933
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,900,3300,13100,61700,308900,1572300,8000500
round_k,0,1,4,16,65,308,1544,7861,40002
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,1100,4700,20700,101900,512900,2602900,13279500
round_k,0,1,5,23,103,509,2564,13014,66397
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,900,3500,15500,74500,370100,1860900,9500900
round_k,0,1,4,17,77,372,1850,9304,47504
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,900,3500,17300,82300,419100,2110700,10745700
round_k,0,1,4,17,86,411,2095,10553,53728
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,900,3300,14100,68500,339100,1727100,8760900
round_k,0,1,4,16,70,342,1695,8635,43804
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,900,3300,14300,71500,362300,1823900,9272900
round_k,0,1,4,16,71,357,1811,9119,46364
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,1100,4900,24100,118500,591700,2995900,15292300
round_k,0,1,5,24,120,592,2958,14979,76461
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,900,3300,13700,69300,342900,1720700,8784900
round_k,0,1,4,16,68,346,1714,8603,43924
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,1500,6300,24300,110100,547300,2788300,14222100
round_k,0,1,7,31,121,550,2736,13941,71110
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,900,3900,14900,69100,349100,1762900,8959700
round_k,0,1,4,19,74,345,1745,8814,44798
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,900,2900,13500,66700,330900,1635700,8350500
round_k,0,1,4,14,67,333,1654,8178,41752
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,1100,5300,23500,112900,573300,2895700,14821700
round_k,0,1,5,26,117,564,2866,14478,74108
round_shots,200,100,100,100,100,100,100,100
round_queries,200,700,2100,9100,44700,225900,1131900,5794500
round_k,0,3,10,45,223,1129,5659,28972
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,900,3900,18700,90300,458900,2332100,11916900
round_k,0,1,4,19,93,451,2294,11660,59584
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,900,3900,16900,79100,397900,1995900,10099500
round_k,0,1,4,19,84,395,1989,9979,50497
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,900,3500,15300,73100,362300,1845300,9401100
round_k,0,1,4,17,76,365,1811,9226,47005
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,1100,3900,18300,79100,396100,2019900,10274100
round_k,0,1,5,19,91,395,1980,10099,51370
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,900,3900,16100,77100,384300,1950700,9953100
round_k,0,1,4,19,80,385,1921,9753,49765
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,900,4100,16500,83100,411500,2088900,10708900
round_k,0,1,4,20,82,415,2057,10444,53544
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,900,4100,18700,93300,469300,2402700,12233100
round_k,0,1,4,20,93,466,2346,12013,61165
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,1100,4900,23700,114500,578300,2917900,14879700
round_k,0,1,5,24,118,572,2891,14589,74398
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,1100,5300,23100,110300,551700,2826500,14308900
round_k,0,1,5,26,115,551,2758,14132,71544
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,900,2900,14100,69100,344300,1742900,8829100
round_k,0,1,4,14,70,345,1721,8714,44145
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,900,3500,16300,81100,390300,1960300,10033700
round_k,0,1,4,17,81,405,1951,9801,50168
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,900,4100,20700,104700,528700,3219700,16453900
round_k,0,1,4,20,103,523,2643,16098,82269
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,900,3500,16300,80700,399300,2020100,10241500
round_k,0,1,4,17,81,403,1996,10100,51207
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,900,4100,17100,82700,416300,2119100,10754300
round_k,0,1,4,20,85,413,2081,10595,53771
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,1500,6300,30300,106900,540500,2402300,12308300
round_k,0,1,7,31,151,534,2702,12011,61541
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,900,3500,16100,79500,399300,2033300,10405100
round_k,0,1,4,17,80,397,1996,10166,52025
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,900,3500,16300,81500,412700,2105300,10684700
round_k,0,1,4,17,81,407,2063,10526,53423
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,1500,6100,28500,142300,701300,3560500,18121100
round_k,0,1,7,30,142,711,3506,17802,90605
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,900,2900,13100,63100,315500,1596100,8085500
round_k,0,1,4,14,65,315,1577,7980,40427
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,1500,6700,31900,158500,792300,4040100,20687700
round_k,0,1,7,33,159,792,3961,20200,103438
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,1100,5100,24500,125100,630100,3188100,19519100
round_k,0,1,5,25,122,625,3150,15940,97595
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,900,3300,15900,59900,304900,1535300,7836900
round_k,0,1,4,16,79,299,1524,7676,39184
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,900,3700,17700,84900,423100,2129100,10859700
round_k,0,1,4,18,88,424,2115,10645,54298
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,900,3900,13700,61300,296900,1507500,7681500
round_k,0,1,4,19,68,306,1484,7537,38407
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,900,3300,12900,56700,282300,1435700,7279300
round_k,0,1,4,16,64,283,1411,7178,36396
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,900,2900,13100,61300,308500,1565100,7985100
round_k,0,1,4,14,65,306,1542,7825,39925
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,1500,6900,31100,153500,773500,3939500,20076300
round_k,0,1,7,34,155,767,3867,19697,100381
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,1100,4900,23300,112500,575500,2894900,14738700
round_k,0,1,5,24,116,562,2877,14474,73693
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,900,3900,15900,79100,393700,1997700,10207500
round_k,0,1,4,19,79,395,1968,9988,51037
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,900,3500,13900,70100,355100,1796100,9052300
round_k,0,1,4,17,69,350,1775,8980,45261
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,900,2900,12300,58500,293500,1471900,7507700
round_k,0,1,4,14,61,292,1467,7359,37538
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,1300,5700,21500,107100,540500,2754100,14064300
round_k,0,1,6,28,107,535,2702,13770,70321
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,900,3500,15100,75700,382900,1927700,9786300
round_k,0,1,4,17,75,378,1914,9638,48931
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,900,3300,15300,75300,369300,1875100,9584300
round_k,0,1,4,16,76,376,1846,9375,47921
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,900,3300,13900,69900,348700,1760500,8938900
round_k,0,1,4,16,69,349,1743,8802,44694
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,900,3300,11700,47900,241100,1218100,6203700
round_k,0,1,4,16,58,239,1205,6090,31018
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,900,4100,16900,81700,416900,2110700,10787300
round_k,0,1,4,20,84,408,2084,10553,53936
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,900,4100,19900,98900,497100,2503100,12786300
round_k,0,1,4,20,99,494,2485,12515,63931
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,900,3900,15700,79300,371700,1840700,9374700
round_k,0,1,4,19,78,396,1858,9203,46873
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,1100,4100,18900,90500,439900,2106700,10671500
round_k,0,1,5,20,94,452,2199,10533,53357
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,1500,6700,31900,159700,804100,4098100,20955300
round_k,0,1,7,33,159,798,4020,20490,104776
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,900,3300,15300,76100,388700,1964100,10050300
round_k,0,1,4,16,76,380,1943,9820,50251
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,900,4500,20700,99700,499100,2459100,12154900
round_k,0,1,4,22,103,498,2495,12295,60774
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,1500,6300,26900,127500,621100,3147900,16042700
round_k,0,1,7,31,134,637,3105,15739,80213
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,900,2900,11700,58700,290900,1480100,7531700
round_k,0,1,4,14,58,293,1454,7400,37658
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,900,3500,15700,76500,374900,1897700,9714500
round_k,0,1,4,17,78,382,1874,9488,48572
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,900,3900,16700,75900,385900,1934500,9845700
round_k,0,1,4,19,83,379,1929,9672,49228
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,900,3500,15100,74300,375900,1902700,9715900
round_k,0,1,4,17,75,371,1879,9513,48579
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,900,3500,16700,79300,398300,2022100,10336900
round_k,0,1,4,17,83,396,1991,10110,51684
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,900,3500,15100,74900,364100,1815700,9265300
round_k,0,1,4,17,75,374,1820,9078,46326
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,1500,5300,24700,118500,572100,2915900,14921100
round_k,0,1,7,26,123,592,2860,14579,74605
round_shots,200,100,100,100,100,100,100,100,100
round_queries,200,300,900,3300,13500,67900,345700,1746900,8938900
round_k,0,1,4,16,67,339,1728,8734,44694
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,1500,5900,28700,144500,733700,3748100,19160700
round_k,0,1,7,29,143,722,3668,18740,95803
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,900,3500,15500,72100,362300,1844500,9429100
round_k,0,1,4,17,77,360,1811,9222,47145
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,1100,4700,22100,108300,543500,2769900,14076900
round_k,0,1,5,23,110,541,2717,13849,70384
round_shots,100,100,100,100,100,100,100,100,100,100
round_queries,100,300,900,2700,12900,45300,191300,956900,4903300,25140500
round_k,0,1,4,13,64,226,956,4784,24516,125702
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,900,3700,18500,93900,464900,2336100,11918100
round_k,0,1,4,18,92,469,2324,11680,59590
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,1500,5900,29700,145500,719900,3645700,18691700
round_k,0,1,7,29,148,727,3599,18228,93458
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,900,3300,12900,62700,306300,1550700,7916100
round_k,0,1,4,16,64,313,1531,7753,39580
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,900,3500,15500,72100,358100,1822300,9328300
round_k,0,1,4,17,77,360,1790,9111,46641
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,900,3900,17100,81100,411500,2091500,10701500
round_k,0,1,4,19,85,405,2057,10457,53507
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,900,3300,12700,60100,290900,1487700,7399300
round_k,0,1,4,16,63,300,1454,7438,36996
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,1100,4100,20500,96900,484500,2473700,12619300
round_k,0,1,5,20,102,484,2422,12368,63096
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,900,2700,9300,42500,210100,1061900,5436700
round_k,0,1,4,13,46,212,1050,5309,27183
