round_k,0,1,5,20,97,472,2322,11770,59494,301706
round_shots,100,100,100,100,100,100,100,100,100,100
round_queries,100,300,1100,4900,22900,111500,553100,2780500,13905900,70324500
round_k,0,1,5,24,114,557,2765,13902,69529,351622
round_shots,100,100,100,100,100,100,100,100,100,100
round_queries,100,300,1100,5100,23500,114700,574900,2876900,14587300,73974700
round_k,0,1,5,25,117,573,2874,14384,72936,369873
round_shots,300,100,100,100,100,100,100,100,100
round_queries,300,500,1900,8300,38100,188700,939700,4707300,23781500
round_k,0,2,9,41,190,943,4698,23536,118907
round_shots,100,100,100,100,100,100,100,100,100,100
round_queries,100,300,700,2900,12300,59500,292900,1442300,7289700,36739700
round_k,0,1,3,14,61,297,1464,7211,36448,183698
round_shots,200,100,100,100,100,100,100,100,100,100
round_queries,200,300,700,3300,15100,75500,375900,1864700,9418300,47734100
round_k,0,1,3,16,75,377,1879,9323,47091,238670
round_shots,100,100,100,100,100,100,100,100,100,100
round_queries,100,300,700,1900,8700,39700,199500,993300,5003900,25241900
round_k,0,1,3,9,43,198,997,4966,25019,126209
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,500,1900,8900,40900,193300,976300,4900700,24787700
round_k,0,2,9,44,204,966,4881,24503,123938
round_shots,100,100,100,100,100,100,100,100,100,100
round_queries,100,300,700,2300,10700,50100,252700,1250100,6216900,31330300
round_k,0,1,3,11,53,250,1263,6250,31084,156651
round_shots,200,100,100,100,100,100,100,100,100,100
round_queries,200,300,1100,4100,18500,89500,453300,2286300,11520300,58412700
round_k,0,1,5,20,92,447,2266,11431,57601,292063
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,1500,5900,28300,138100,690300,3488500,17687100
round_k,0,1,7,29,141,690,3451,17442,88435
round_shots,200,100,100,100,100,100,100,100,100,100
round_queries,200,300,700,3300,14700,71700,362900,1829300,9241700,46737500
round_k,0,1,3,16,73,358,1814,9146,46208,233687
round_shots,100,100,100,100,100,100,100,100,100,100
round_queries,100,300,1100,3700,17900,85300,425700,2144700,10823500,54776700
round_k,0,1,5,18,89,426,2128,10723,54117,273883
round_shots,100,100,100,100,100,100,100,100,100,100
round_queries,100,300,1100,4700,21500,103700,507900,2568500,12998500,65740900
round_k,0,1,5,23,107,518,2539,12842,64992,328704
