round_k,0,3,12,51,203,878,4205,21278
round_shots,200,100,100,100,100,100,100,100
round_queries,200,500,2300,10500,50700,255100,1308100,6699500
round_k,0,2,11,52,253,1275,6540,33497
round_shots,200,100,100,100,100,100,100,100
round_queries,200,500,2100,7900,33500,148100,761700,3890700
round_k,0,2,10,39,167,740,3808,19453
round_shots,300,100,100,100,100,100,100,100
round_queries,300,700,2300,10500,47300,237100,1209900,6118700
round_k,0,3,11,52,236,1185,6049,30593
round_shots,300,100,100,100,100,100,100,100
round_queries,300,300,900,3500,14900,69300,333300,1679100
round_k,0,1,4,17,74,346,1666,8395
round_shots,300,100,100,100,100,100,100,100
round_queries,300,300,900,3300,15700,75900,376500,1905300
round_k,0,1,4,16,78,379,1882,9526
round_shots,300,100,100,100,100,100,100,100
round_queries,300,300,900,4300,21100,104700,531100,2684900
round_k,0,1,4,21,105,523,2655,13424
round_shots,400,100,100,100,100,100,100,100
round_queries,400,700,2500,9700,49900,254300,1307700,6629300
round_k,0,3,12,48,249,1271,6538,33146
round_shots,400,100,100,100,100,100,100
round_queries,400,900,3300,14900,72300,367700,1808900
round_k,0,4,16,74,361,1838,9044
round_shots,300,100,100,100,100,100,100,100
round_queries,300,700,2500,10500,50300,250100,1267500,6483900
round_k,0,3,12,52,251,1250,6337,32419
round_shots,100,100,100,100,100,100,100,100
round_queries,100,300,900,4100,18500,90900,464100,2376700
round_k,0,1,4,20,92,454,2320,11883
round_shots,300,100,100,100,100,100,100,100
round_queries,300,300,900,4100,17300,86100,432900,2227500
round_k,0,1,4,20,86,430,2164,11137
round_shots,200,100,100,100,100,100,100
round_queries,200,700,3100,14900,71300,364500,1843100
round_k,0,3,15,74,356,1822,9215
round_shots,400,100,100,100,100,100,100,100
round_queries,400,700,2500,11100,54300,268900,1374500,6998900
round_k,0,3,12,55,271,1344,6872,34994
round_shots,400,100,100,100,100,100,100,100
round_queries,400,700,2500,11500,57900,289700,1481100,7628100
round_k,0,3,12,57,289,1448,7405,38140
round_shots,400,100,100,100,100,100,100,100
round_queries,400,700,2300,9100,41300,207700,1058700,5419300
round_k,0,3,11,45,206,1038,5293,27096
round_shots,200,100,100,100,100,100,100,100
round_queries,200,500,1700,7500,35300,176900,901300,4604100
round_k,0,2,8,37,176,884,4506,23020
round_shots,300,100,100,100,100,100,100
round_queries,300,700,3300,13700,67100,335700,1709100
round_k,0,3,16,68,335,1678,8545
round_shots,300,100,100,100,100,100,100,100
round_queries,300,300,1500,6700,29700,142100,718300,3679700
round_k,0,1,7,33,148,710,3591,18398
round_shots,300,100,100,100,100,100,100,100
round_queries,300,700,2500,9700,47300,243300,1240100,6353900
round_k,0,3,12,48,236,1216,6200,31769
round_shots,400,100,100,100,100,100,100,100
round_queries,400,700,2500,11300,50900,246100,1249300,6415900
round_k,0,3,12,56,254,1230,6246,32079
round_shots,300,100,100,100,100,100,100,100
round_queries,300,700,3100,12500,58700,298900,1499700,7688300
round_k,0,3,15,62,293,1494,7498,38441
round_shots,300,100,100,100,100,100,100,100
round_queries,300,700,2500,10700,48900,250100,1273100,6474500
round_k,0,3,12,53,244,1250,6365,32372
round_shots,200,100,100,100,100,100,100,100
round_queries,200,500,2500,10700,49900,253700,1303500,6704500
round_k,0,2,12,53,249,1268,6517,33522
round_shots,300,100,100,100,100,100,100,100
round_queries,300,700,2500,12100,47300,227300,1131300,5816300
round_k,0,3,12,60,236,1136,5656,29081
round_shots,300,100,100,100,100,100,100
round_queries,300,700,2300,11500,54700,277300,1401500
round_k,0,3,11,57,273,1386,7007
round_shots,300,100,100,100,100,100,100,100
round_queries,300,300,1100,4100,19900,96300,488100,2474700
round_k,0,1,5,20,99,481,2440,12373
round_shots,200,100,100,100,100,100,100,100
round_queries,200,500,2300,11100,53100,266500,1349100,6958100
round_k,0,2,11,55,265,1332,6745,34790
round_shots,100,100,100,100,100,100,100,100
round_queries,100,500,2300,10500,51300,254100,1304100,6676700
round_k,0,2,11,52,256,1270,6520,33383
round_shots,400,100,100,100,100,100,100,100
round_queries,400,700,2500,10500,47900,238500,1201700,6151100
round_k,0,3,12,52,239,1192,6008,30755
round_shots,100,100,100,100,100,100,100,100
round_queries,100,300,900,4100,20300,95700,480900,2470700
round_k,0,1,4,20,101,478,2404,12353
round_shots,400,100,100,100,100,100,100,100
round_queries,400,700,2500,10900,52100,260700,1321500,6786900
round_k,0,3,12,54,260,1303,6607,33934
round_shots,300,100,100,100,100,100,100,100
round_queries,300,300,900,4100,19900,99300,500300,2528500
round_k,0,1,4,20,99,496,2501,12642
round_shots,400,100,100,100,100,100,100
round_queries,400,700,3300,13900,69100,351900,2153300
round_k,0,3,16,69,345,1759,10766
round_shots,300,100,100,100,100,100,100,100
round_queries,300,700,2500,10100,46100,226300,1147700,5886300
round_k,0,3,12,50,230,1131,5738,29431
round_shots,100,100,100,100,100,100,100,100
round_queries,100,300,900,4100,16300,80900,398900,2043700
round_k,0,1,4,20,81,404,1994,10218
round_shots,400,100,100,100,100,100,100,100
round_queries,400,700,2500,9700,46100,229100,1170300,5988300
round_k,0,3,12,48,230,1145,5851,29941
round_shots,400,100,100,100,100,100,100,100
round_queries,400,900,3100,14500,57700,268900,1306700,6560900
round_k,0,4,15,72,288,1344,6533,32804
round_shots,400,100,100,100,100,100,100
round_queries,400,900,3500,17100,85500,430300,2205500
round_k,0,4,17,85,427,2151,11027
round_shots,400,100,100,100,100,100,100,100
round_queries,400,700,2700,10900,53700,268100,1368500,7023300
round_k,0,3,13,54,268,1340,6842,35116
round_shots,300,100,100,100,100,100,100,100
round_queries,300,700,2500,12300,58100,291500,1493900,7633700
round_k,0,3,12,61,290,1457,7469,38168
round_shots,300,100,100,100,100,100,100,100
round_queries,300,300,900,3300,14100,66300,334100,1702300
round_k,0,1,4,16,70,331,1670,8511
round_shots,300,100,100,100,100,100,100,100
round_queries,300,300,900,4100,20100,100300,504700,2580300
round_k,0,1,4,20,100,501,2523,12901
round_shots,100,100,100,100,100,100,100,100
round_queries,100,300,900,3500,13900,65100,328900,1669900
round_k,0,1,4,17,69,325,1644,8349
round_shots,300,100,100,100,100,100,100,100
round_queries,300,700,2500,11300,48700,245700,1187700,6052900
round_k,0,3,12,56,243,1228,5938,30264
round_shots,200,100,100,100,100,100,100,100
round_queries,200,300,1100,5100,24100,121300,615300,3161700
round_k,0,1,5,25,120,606,3076,15808
round_shots,200,100,100,100,100,100,100,100
round_queries,200,700,2500,9900,47500,232900,1192700,6074100
round_k,0,3,12,49,237,1164,5963,30370
round_shots,200,100,100,100,100,100,100
round_queries,200,700,3300,14100,66500,332100,1694700
round_k,0,3,16,70,332,1660,8473
round_shots,400,100,100,100,100,100,100
round_queries,400,700,3300,16100,70700,320500,1544900
round_k,0,3,16,80,353,1602,7724
round_shots,100,100,100,100,100,100,100,100
round_queries,100,300,900,4300,19300,96900,489300,2508500
round_k,0,1,4,21,96,484,2446,12542
round_shots,400,100,100,100,100,100,100
round_queries,400,700,3500,15100,71900,363100,1936100
round_k,0,3,17,75,359,1815,9680
round_shots,400,100,100,100,100,100,100
round_queries,400,900,3300,13900,69700,347500,1765900
round_k,0,4,16,69,348,1737,8829
round_shots,300,100,100,100,100,100,100,100
round_queries,300,300,900,3900,16700,76500,366300,1868700
round_k,0,1,4,19,83,382,1831,9343
round_shots,300,100,100,100,100,100,100
round_queries,300,700,2500,10700,54300,271300,1662900
round_k,0,3,12,53,271,1356,8314
round_shots,300,100,100,100,100,100,100,100
round_queries,300,300,900,3100,15500,74700,376500,1912700
round_k,0,1,4,15,77,373,1882,9563
round_shots,300,100,100,100,100,100,100,100
round_queries,300,300,900,4300,19900,97900,500900,2563300
round_k,0,1,4,21,99,489,2504,12816
round_shots,200,100,100,100,100,100,100,100
round_queries,200,300,900,3300,13100,66900,341100,1752700
round_k,0,1,4,16,65,334,1705,8763
round_shots,400,100,100,100,100,100,100
round_queries,400,900,4100,17300,82700,415700,2114300
round_k,0,4,20,86,413,2078,10571
round_shots,400,100,100,100,100,100,100
round_queries,400,700,3500,16300,81500,412100,2105100
round_k,0,3,17,81,407,2060,10525
round_shots,200,100,100,100,100,100,100
round_queries,200,700,3300,12900,64500,325500,1656500
round_k,0,3,16,64,322,1627,8282
round_shots,300,100,100,100,100,100,100,100
round_queries,300,300,900,3900,16900,79100,398300,2020300
round_k,0,1,4,19,84,395,1991,10101
round_shots,300,100,100,100,100,100,100
round_queries,300,700,2500,12300,61300,306100,1563900
round_k,0,3,12,61,306,1530,7819
round_shots,400,100,100,100,100,100,100
round_queries,400,900,4100,16900,84100,431300,2187900
round_k,0,4,20,84,420,2156,10939
round_shots,300,100,100,100,100,100,100,100
round_queries,300,700,2500,9700,46100,229500,1179100,6062100
round_k,0,3,12,48,230,1147,5895,30310
round_shots,300,100,100,100,100,100,100,100
round_queries,300,700,3100,13100,55700,282900,1434900,7318900
round_k,0,3,15,65,278,1414,7174,36594
round_shots,300,100,100,100,100,100,100,100
round_queries,300,300,900,3300,14100,68100,336700,1703300
round_k,0,1,4,16,70,340,1683,8516
round_shots,200,100,100,100,100,100,100,100
round_queries,200,300,900,3500,16700,80900,413300,2107700
round_k,0,1,4,17,83,404,2066,10538
round_shots,200,100,100,100,100,100,100,100
round_queries,200,300,900,3300,15500,73700,375500,1915900
round_k,0,1,4,16,77,368,1877,9579
round_shots,300,100,100,100,100,100,100,100
round_queries,300,700,2500,9500,40500,204100,1037100,5325900
round_k,0,3,12,47,202,1020,5185,26629
round_shots,300,100,100,100,100,100,100,100
round_queries,300,700,2500,10900,50700,252900,1272900,6548500
round_k,0,3,12,54,253,1264,6364,32742
round_shots,300,100,100,100,100,100,100,100
round_queries,300,700,2500,9700,40500,201500,1015300,5195700
round_k,0,3,12,48,202,1007,5076,25978
round_shots,300,100,100,100,100,100,100
round_queries,300,700,3100,13700,69700,356500,1805300
round_k,0,3,15,68,348,1782,9026
round_shots,300,100,100,100,100,100,100,100
round_queries,300,300,900,3300,15500,77100,385100,1960700
round_k,0,1,4,16,77,385,1925,9803
round_shots,400,100,100,100,100,100,100,100
round_queries,400,700,2500,10300,47700,230500,1181500,6038100
round_k,0,3,12,51,238,1152,5907,30190
round_shots,200,100,100,100,100,100,100,100
round_queries,200,500,2300,11100,49300,251100,1293700,6661300
round_k,0,2,11,55,246,1255,6468,33306
round_shots,300,100,100,100,100,100,100,100
round_queries,300,700,2500,12100,54900,268300,1357300,6955500
round_k,0,3,12,60,274,1341,6786,34777
round_shots,300,100,100,100,100,100,100,100
round_queries,300,700,2500,10900,50700,252900,1286500,6598500
round_k,0,3,12,54,253,1264,6432,32992
round_shots,300,100,100,100,100,100,100,100
round_queries,300,700,2500,10700,51700,261700,1334300,6826500
round_k,0,3,12,53,258,1308,6671,34132
round_shots,400,100,100,100,100,100,100
round_queries,400,900,3100,12700,63900,320100,1626700
round_k,0,4,15,63,319,1600,8133
round_shots,100,100,100,100,100,100,100,100
round_queries,100,300,900,3300,15300,74100,367500,1874900
round_k,0,1,4,16,76,370,1837,9374
round_shots,300,100,100,100,100,100,100,100
round_queries,300,700,2300,9900,49900,251700,1277100,6579100
round_k,0,3,11,49,249,1258,6385,32895
round_shots,400,100,100,100,100,100,100,100
round_queries,400,700,2500,9700,48700,234100,1199300,6174500
round_k,0,3,12,48,243,1170,5996,30872
round_shots,300,100,100,100,100,100,100,100
round_queries,300,700,2500,11700,55300,281500,1416500,7151300
round_k,0,3,12,58,276,1407,7082,35756
round_shots,400,100,100,100,100,100,100
round_queries,400,900,3900,16300,80300,407900,2086700
round_k,0,4,19,81,401,2039,10433
round_shots,300,100,100,100,100,100,100,100
round_queries,300,700,2500,9900,45300,224300,1124300,5740500
round_k,0,3,12,49,226,1121,5621,28702
round_shots,300,100,100,100,100,100,100,100
round_queries,300,700,2500,11500,54900,271500,1391500,7132100
round_k,0,3,12,57,274,1357,6957,35660
round_shots,300,100,100,100,100,100,100
round_queries,300,700,3300,16700,78300,398900,1951500
round_k,0,3,16,83,391,1994,9757
round_shots,200,100,100,100,100,100,100,100
round_queries,200,500,1500,7300,32100,157900,804300,4123100
round_k,0,2,7,36,160,789,4021,20615
round_shots,400,100,100,100,100,100,100
round_queries,400,900,3100,12300,61500,306500,1554100
round_k,0,4,15,61,307,1532,7770
round_shots,100,100,100,100,100,100,100,100
round_queries,100,300,1100,4300,18100,89500,450900,2288100
round_k,0,1,5,21,90,447,2254,11440
round_shots,300,100,100,100,100,100,100,100
round_queries,300,300,1500,5700,23700,117300,596700,3019700
round_k,0,1,7,28,118,586,2983,15098
round_shots,300,100,100,100,100,100,100,100
round_queries,300,700,3100,12500,57900,295500,1499900,7621300
round_k,0,3,15,62,289,1477,7499,38106
round_shots,400,100,100,100,100,100,100
round_queries,400,900,4100,19100,96700,472300,2428900
round_k,0,4,20,95,483,2361,12144
round_shots,400,100,100,100,100,100,100
round_queries,400,900,4100,20100,94500,468300,2412500
round_k,0,4,20,100,472,2341,12062
round_shots,100,100,100,100,100,100,100,100
round_queries,100,300,900,3300,14900,71500,361100,1834100
round_k,0,1,4,16,74,357,1805,9170
round_shots,100,100,100,100,100,100,100,100
round_queries,100,300,900,4100,19100,96700,484500,2487900
round_k,0,1,4,20,95,483,2422,12439
round_shots,200,100,100,100,100,100,100,100
round_queries,200,300,900,3900,19100,92700,461900,2356300
round_k,0,1,4,19,95,463,2309,11781
round_shots,200,100,100,100,100,100,100,100,100
round_queries,200,300,900,3300,13500,56100,262700,1343500,6863900
round_k,0,1,4,16,67,280,1313,6717,34319
round_shots,100,100,100,100,100,100,100,100
round_queries,100,300,900,3300,13900,63700,315300,1603100
round_k,0,1,4,16,69,318,1576,8015
round_shots,100,100,100,100,100,100,100,100
round_queries,100,300,900,4100,18700,93700,468500,2405300
round_k,0,1,4,20,93,468,2342,12026
round_shots,300,100,100,100,100,100,100,100
round_queries,300,700,2500,12100,51300,240100,1206100,6083500
round_k,0,3,12,60,256,1200,6030,30417
round_shots,100,100,100,100,100,100,100,100
round_queries,100,300,900,3300,13300,62100,307500,1526300
round_k,0,1,4,16,66,310,1537,7631
round_shots,400,100,100,100,100,100,100,100
round_queries,400,700,2500,10700,42700,197700,1015100,5186100
round_k,0,3,12,53,213,988,5075,25930
round_shots,300,100,100,100,100,100,100
round_queries,300,700,3100,14300,69900,338500,1740500
round_k,0,3,15,71,349,1692,8702
round_shots,400,100,100,100,100,100,100,100
round_queries,400,700,2500,10700,48700,243700,1234300,6285300
round_k,0,3,12,53,243,1218,6171,31426
round_shots,400,100,100,100,100,100,100,100
round_queries,400,700,2500,10700,52500,257700,1299700,6605100
round_k,0,3,12,53,262,1288,6498,33025
round_shots,200,100,100,100,100,100,100,100,100
round_queries,200,300,900,3300,12900,58700,296500,1499700,7661700
round_k,0,1,4,16,64,293,1482,7498,38308
round_shots,300,100,100,100,100,100,100,100
round_queries,300,700,2300,9500,40700,206500,1050300,5383700
round_k,0,3,11,47,203,1032,5251,26918
round_shots,300,100,100,100,100,100,100,100
round_queries,300,300,900,4100,19700,98300,497100,2561300
round_k,0,1,4,20,98,491,2485,12806
round_shots,200,100,100,100,100,100,100,100
round_queries,200,700,2500,10100,46100,234100,1175700,5991300
round_k,0,3,12,50,230,1170,5878,29956
round_shots,400,100,100,100,100,100,100
round_queries,400,900,3300,15300,71500,358100,1827900
round_k,0,4,16,76,357,1790,9139
round_shots,200,100,100,100,100,100,100,100
round_queries,200,700,2300,9100,42500,214100,1081700,5558300
round_k,0,3,11,45,212,1070,5408,27791
round_shots,200,100,100,100,100,100,100,100
round_queries,200,300,900,3500,15300,76300,380900,1936500
round_k,0,1,4,17,76,381,1904,9682
round_shots,200,100,100,100,100,100,100
round_queries,200,700,3100,15500,76500,380500,1933500
round_k,0,3,15,77,382,1902,9667
round_shots,200,100,100,100,100,100,100,100
round_queries,200,300,900,4100,19500,97100,485500,2468500
round_k,0,1,4,20,97,485,2427,12342
round_shots,200,100,100,100,100,100,100,100
round_queries,200,700,2500,11500,55900,277500,1402900,7229700
round_k,0,3,12,57,279,1387,7014,36148
round_shots,300,100,100,100,100,100,100,100
round_queries,300,300,1500,5700,27700,134900,675700,3447100
round_k,0,1,7,28,138,674,3378,17235
round_shots,400,100,100,100,100,100,100
round_queries,400,900,4100,20100,86900,424900,2152300
round_k,0,4,20,100,434,2124,10761
round_shots,300,100,100,100,100,100,100,100
round_queries,300,300,900,4300,19100,93300,464100,2371900
round_k,0,1,4,21,95,466,2320,11859
round_shots,100,100,100,100,100,100,100,100
round_queries,100,300,900,4100,19500,91500,451700,2300500
round_k,0,1,4,20,97,457,2258,11502
round_shots,300,100,100,100,100,100,100
round_queries,300,700,3100,15500,73300,368300,1866500
round_k,0,3,15,77,366,1841,9332
round_shots,200,100,100,100,100,100,100
round_queries,200,700,3300,14700,69300,343700,1731700
round_k,0,3,16,73,346,1718,8658
round_shots,200,100,100,100,100,100,100,100
round_queries,200,700,3300,13700,67300,264100,1228700,6264700
