round_shots,2700,300,300,300,200,200,200,200,200,200,200,200,200
round_queries,2700,2100,5100,12300,17800,35800,78200,164200,361000,813000,1826200,4187400,9612200
round_k,0,3,8,20,44,89,195,410,902,2032,4565,10468,24030
round_shots,3200,500,400,300,200,200,200,300,200,200,200,300,200
round_queries,3200,3500,6800,12300,18600,40600,86200,284100,508600,1144200,2441800,7612500,13544600
round_k,0,3,8,20,46,101,215,473,1271,2860,6104,12687,33861
round_shots,3700,500,300,300,300,200,200,300,200,300,200,200,100
round_queries,3700,4500,7500,17100,42300,65800,143400,459300,769400,2322300,4050600,8108600,8496700
round_k,0,4,12,28,70,164,358,765,1923,3870,10126,20271,42483
round_shots,3900,400,400,200,200,300,200,200,300,300,200,200,300
round_queries,3900,2800,6800,8200,18200,56700,87800,188600,605100,1258500,1947000,4033400,13953900
round_k,0,3,8,20,45,94,219,471,1008,2097,4867,10083,23256
round_shots,3400,400,300,300,300,200,200,300,200,300,200,200,200
round_queries,3400,3600,6900,14700,30900,45000,97800,307500,508200,1581900,2537800,5371800,12281000
round_k,0,4,11,24,51,112,244,512,1270,2636,6344,13429,30702
round_shots,3400,400,300,300,300,200,300,200,200,200,200,200,200
round_queries,3400,2800,5100,12300,29100,50600,158700,265800,605000,1322200,3014600,6143800,12663800
round_k,0,3,8,20,48,126,264,664,1512,3305,7536,15359,31659
round_shots,3600,400,400,300,300,200,200,200,200,200,200,200
round_queries,3600,2800,6800,14700,39300,67000,150600,343800,782600,1779800,4080200,9383400
round_k,0,3,8,24,65,167,376,859,1956,4449,10200,23458
round_shots,3300,400,400,400,300,400,200,200,300,300,200,200,200
round_queries,3300,2800,6800,15600,28500,90000,107000,227000,757500,1808100,2544200,5542600,12103000
round_k,0,3,8,19,47,112,267,567,1262,3013,6360,13856,30257
round_shots,3200,400,400,400,200,200,200,200,300,200,200,200,300
round_queries,3200,2800,6800,15600,16200,33800,71000,148200,476100,749800,1659000,3787000,11709900
round_k,0,3,8,19,40,84,177,370,793,1874,4147,9467,19516
round_shots,3600,500,300,200,200,200,200,200,300,300,300,200,100
