round_shots,1000,200,300,300,100,200,200,100
round_queries,1000,1000,4500,15300,17100,103400,310200,2610500
round_k,2,7,25,85,258,775,3217,13052
round_shots,900,200,300,200,100,100,100,100
round_queries,900,1000,5700,16600,35500,107100,339100,5026100
round_k,2,9,41,177,535,1695,6505,25130
round_shots,600,400,200,200,200,100,100,100
round_queries,600,2000,4600,17400,63800,134700,449500,6984700
round_k,2,11,43,159,673,2247,8793,34923
round_shots,600,400,200,200,200,100,100,100
round_queries,600,2000,4600,17400,57400,108900,380300,6071500
round_k,2,11,43,143,544,1901,7329,30357
round_shots,1000,300,200,100,100,100,100,100
round_queries,1000,1500,4600,7500,22500,69300,215700,2912700
round_k,2,11,37,112,346,1078,3991,14563
round_shots,900,300,200,200,100,100,100,100
round_queries,900,1500,3800,13000,25900,83300,275500,3846500
round_k,2,9,32,129,416,1377,5227,19232
round_shots,800,300,200,200,300,100,100,100
round_queries,800,1500,4600,17400,105300,150900,525500,7469100
round_k,2,11,43,175,754,2627,10448,37345
round_shots,1200,300,200,200,100,200,100,100
round_queries,1200,1500,4600,19400,43900,285400,633500,10684300
round_k,2,11,48,219,713,3167,11869,53421
round_shots,1200,300,200,200,200,100,100,100
round_queries,1200,1500,4600,15800,68200,131900,471300,6106500
round_k,2,11,39,170,659,2356,7683,30532
round_shots,600,400,200,200,100,100,100,100
round_queries,600,2000,5400,21000,44100,149500,527900,9387900
round_k,2,13,52,220,747,2639,10603,46939
round_shots,900,300,200,200,100,200,100,100
round_queries,900,1500,3800,13000,22900,139000,273100,3934700
round_k,2,9,32,114,347,1365,4762,19673
round_shots,1000,300,200,200,200,200,100,100
round_queries,1000,1500,4600,15800,62200,253800,558900,7453900
round_k,2,11,39,155,634,2794,10428,37269
round_shots,600,500,200,200,100,100,100,100
round_queries,600,2500,5400,18200,33500,103100,349500,4677900
round_k,2,13,45,167,515,1747,6086,23389
round_shots,1100,500,200,200,100,100,100,100
round_queries,1100,2500,5400,16600,36300,114900,412700,6287300
round_k,2,13,41,181,574,2063,7471,31436
round_shots,1200,200,200,200,100,100,100,100
round_queries,1200,1000,3800,13400,25100,81900,266700,4002700
round_k,2,9,33,125,409,1333,4795,20013
round_shots,1000,400,200,300,200,100,200,100
round_queries,1000,2000,4600,23100,50600,100900,710200,4368100
round_k,2,11,38,126,504,1775,5865,21840
round_shots,900,300,200,200,100,300,200,100
round_queries,900,1500,4600,16600,33900,335100,701400,5761700
round_k,2,11,41,169,558,1753,7777,28808
round_shots,1000,400,200,200,200,100,100,100
round_queries,1000,2000,4600,17800,69000,147100,533700,8264900
round_k,2,11,44,172,735,2668,10248,41324
round_shots,1000,400,200,200,100,100,100,100
round_queries,1000,2000,4600,15800,31500,101100,354700,5683500
round_k,2,11,39,157,505,1773,6678,28417
round_shots,1300,300,200,100,100,200,100,100
round_queries,1300,1500,3800,6900,20700,125400,295300,4504900
round_k,2,9,34,103,313,1476,5620,22524
round_shots,1000,400,200,200,200,200,100,100
round_queries,1000,2000,4600,18200,75000,321400,600300,9146300
round_k,2,11,45,187,803,3001,10997,45731
round_shots,1300,200,200,200,200,100,200,100
round_queries,1300,600,1800,6600,22200,46900,302600,2911900
round_k,1,4,16,55,234,756,3546,14559
round_shots,1000,300,200,200,200,300,100,100
round_queries,1000,1500,3800,13000,47800,229500,261700,3861300
round_k,2,9,32,119,382,1308,4658,19306
round_shots,800,400,200,200,100,100,100,100
round_queries,800,2000,4600,17800,33500,112100,392100,6045300
round_k,2,11,44,167,560,1960,7350,30226
round_shots,1300,200,200,200,200,100,100,100
round_queries,1300,1000,3800,14200,48600,104300,351100,5096700
round_k,2,9,35,121,521,1755,6090,25483
round_shots,1000,400,200,200,100,100,100,100
round_queries,1000,2000,4600,14200,29300,94100,321900,4566100
round_k,2,11,35,146,470,1609,5562,22830
round_shots,700,300,200,200,100,100,100,100
round_queries,700,1500,3800,12200,25500,80700,279500,4823700
round_k,2,9,30,127,403,1397,5249,24118
round_shots,800,400,200,200,200,100,200,100
round_queries,800,2000,4600,18600,73400,140900,1020600,7722100
round_k,2,11,46,183,704,2551,9114,38610
round_shots,1000,200,200,200,200,100,100,100
round_queries,1000,1000,3800,14200,55400,122300,442100,5915700
round_k,2,9,35,138,611,2210,7281,29578
round_shots,600,400,200,200,100,100,100,100
round_queries,600,2000,4600,18600,36300,118700,368900,6132900
round_k,2,11,46,181,593,1844,7126,30664
round_shots,800,400,200,200,100,100,100,100
round_queries,800,2000,4600,15800,31500,96900,338900,5473300
round_k,2,11,39,157,484,1694,6141,27366
round_shots,1200,300,200,200,200,100,100,100
round_queries,1200,900,1800,6600,24200,53500,171500,2503100
round_k,1,4,16,60,267,857,3100,12515
round_shots,1200,300,200,200,100,100,100,100
round_queries,1200,1500,4600,15800,30500,94100,325300,4162500
round_k,2,11,39,152,470,1626,5891,20812
round_shots,1000,400,200,200,200,100,100,100
round_queries,1000,2000,4600,18600,75000,148500,541100,8607900
round_k,2,11,46,187,742,2705,10396,43039
round_shots,1000,300,200,100,200,200,100,100
round_queries,1000,1500,4600,9300,55800,209800,470100,7725300
round_k,2,11,46,139,524,2350,8739,38626
round_shots,1100,200,300,200,100,100,100,100
round_queries,1100,1000,4500,10200,18700,58900,200100,2542500
round_k,2,7,25,93,294,1000,3688,12712
round_shots,800,300,200,100,100,100,100,100
round_queries,800,1500,3800,7100,21300,63900,210300,3322500
round_k,2,9,35,106,319,1051,3888,16612
round_shots,1300,500,100,200,100,200,100,100
round_queries,1300,2500,2700,16200,31100,197400,457700,7723500
round_k,2,13,40,155,493,2288,9122,38617
round_shots,1200,300,200,200,100,100,100,100
round_queries,1200,1500,4600,17400,37700,122700,410100,5130700
round_k,2,11,43,188,613,2050,7848,25653
round_shots,900,300,200,200,200,100,100,100
round_queries,900,1500,4600,16600,69000,131900,422700,6740900
round_k,2,11,41,172,659,2113,7793,33704
round_shots,800,300,200,200,100,100,100,100
round_queries,800,1500,4600,17800,38500,121700,437900,6036100
round_k,2,11,44,192,608,2189,7215,30180
round_shots,1000,300,200,200,100,200,100,100
round_queries,1000,1500,4600,18600,34100,215800,502900,7329900
round_k,2,11,46,170,539,2514,8626,36649
round_shots,1300,400,200,200,100,200,100,100
round_queries,1300,2000,5400,20200,40700,255800,561300,9780500
round_k,2,13,50,203,639,2806,11269,48902
round_shots,1100,400,200,100,100,200,200,100
round_queries,1100,2000,4600,8700,26100,158600,656200,6667700
round_k,2,11,43,130,396,1640,7599,33338
round_shots,1000,300,200,200,100,100,100,100
round_queries,1000,1500,4600,15800,32500,102100,347300,4958700
round_k,2,11,39,162,510,1736,6262,24793
round_shots,1200,200,200,200,200,100,100,100
round_queries,1200,1000,3800,13800,44600,99100,351700,4821300
round_k,2,9,34,111,495,1758,5988,24106
round_shots,900,400,200,200,100,100,100,100
round_queries,900,2000,4600,15400,32300,106900,349100,5206500
round_k,2,11,38,161,534,1745,6430,26032
round_shots,900,200,200,200,200,100,100,100
round_queries,900,1000,3800,12200,48600,102100,336100,5294500
round_k,2,9,30,121,510,1680,6398,26472
round_shots,1100,300,200,200,200,100,100,100
round_queries,1100,1500,3800,13000,51400,108100,373300,5854100
round_k,2,9,32,128,540,1866,7036,29270
round_shots,1200,200,500,200,100,200,100,100
round_queries,1200,1000,7500,11000,23900,145800,312100,4925900
round_k,2,7,27,119,364,1560,5830,24629
round_shots,1100,300,200,200,100,100,200,100
round_queries,1100,1500,4600,15400,33100,107900,759800,5322900
round_k,2,11,38,165,539,1899,7856,26614
round_shots,900,200,200,100,100,100,100,100
round_queries,900,1000,3800,7100,21300,66700,228900,3194700
round_k,2,9,35,106,333,1144,3933,15973
round_shots,1200,300,200,200,200,200,100,100,100
round_queries,1200,1500,3400,10200,40600,167400,251100,779300,11134500
round_k,2,8,25,101,418,1255,3896,13413,55672
round_shots,800,200,300,100,100,100,100,100
round_queries,800,1000,5700,8300,24900,77900,267300,4242500
round_k,2,9,41,124,389,1336,5083,21212
round_shots,1300,300,300,200,200,200,100,100
round_queries,1300,900,2700,7400,28600,131000,284900,4387700
round_k,1,4,18,71,327,1424,5316,21938
round_shots,1200,200,200,200,100,100,100,100
round_queries,1200,1000,3800,13000,24300,79900,245900,2680500
round_k,2,9,32,121,399,1229,4460,13402
round_shots,900,400,200,200,200,100,100,100
round_queries,900,2000,4600,17400,77800,147700,515900,9177700
round_k,2,11,43,194,738,2579,10354,45888
round_shots,1000,200,200,200,200,200,100,100,100
round_queries,1000,600,1800,5400,19400,59400,114100,362700,6043100
round_k,1,4,13,48,148,570,1813,7002,30215
round_shots,600,300,200,200,200,100,100,100
round_queries,600,1500,3800,15000,52200,110300,332100,5213900
round_k,2,9,37,130,551,1660,6148,26069
round_shots,800,300,200,200,100,200,100,100
round_queries,800,1500,3800,13800,21900,135400,269100,3154500
round_k,2,9,34,109,338,1345,4359,15772
round_shots,1000,300,200,200,200,200,100,100
round_queries,1000,1500,3800,13000,48600,221800,490500,6146500
round_k,2,9,32,121,554,2452,8768,30732
round_shots,1000,300,200,200,200,100,100,100
round_queries,1000,1500,3800,13400,54200,98300,345500,4771900
round_k,2,9,33,135,491,1727,5591,23859
round_shots,800,400,200,100,200,100,100,100
round_queries,800,2000,4600,7500,45000,85500,279500,4124900
round_k,2,11,37,112,427,1397,5316,20624
round_shots,600,400,200,200,200,100,100,100
round_queries,600,2000,4600,15800,63400,145700,523700,7960100
round_k,2,11,39,158,728,2618,10310,39800
round_shots,1100,300,200,200,100,200,200,100
round_queries,1100,1500,3800,13400,22700,140200,583800,4389500
round_k,2,9,33,113,350,1459,4877,21947
round_shots,1100,300,200,200,200,100,200,100
round_queries,1100,1500,4600,17800,74600,145700,906600,8546900
round_k,2,11,44,186,728,2266,9712,42734
round_shots,800,300,200,200,200,200,100,100
round_queries,800,1500,3800,13000,48600,211400,502500,8696900
round_k,2,9,32,121,528,2512,9956,43484
round_shots,1000,200,200,200,200,100,200,100,100
round_queries,1000,600,1800,5400,19400,36700,227800,485100,7026100
round_k,1,4,13,48,183,569,2425,9660,35130
round_shots,1100,300,300,200,200,100,100,100
round_queries,1100,1500,5700,13800,50200,90300,309900,5062100
round_k,2,9,34,125,451,1549,5920,25310
round_shots,1100,300,200,200,100,100,100,100
round_queries,1100,1500,3800,13800,27700,88100,294900,4337300
round_k,2,9,34,138,440,1474,5403,21686
round_shots,800,400,200,200,100,100,100,100
round_queries,800,2000,4600,17400,35900,117300,419500,5867300
round_k,2,11,43,179,586,2097,6774,29336
round_shots,600,300,200,200,100,100,100,100
round_queries,600,1500,3800,13400,24100,74100,258700,4078500
round_k,2,9,33,120,370,1293,4838,20392
round_shots,1100,400,200,200,200,100,200,100
round_queries,1100,2000,4600,16600,65000,122700,873400,8714700
round_k,2,11,41,162,613,2183,10987,43573
round_shots,800,200,300,200,300,300,200,100
round_queries,800,1000,4500,10200,53700,217500,569000,5788300
round_k,2,7,25,89,362,1422,6555,28941
round_shots,1100,500,200,200,300,100,100,100
round_queries,1100,2500,5400,18600,115500,156300,494100,7984300
round_k,2,13,46,192,781,2470,9013,39921
round_shots,600,200,200,300,200,100,100,100
round_queries,600,1000,3800,20700,48600,103700,366300,4347300
round_k,2,9,34,121,518,1831,5607,21736
round_shots,1100,300,200,200,100,200,100,200,100
round_queries,1100,900,1800,5400,8700,53000,103100,705400,4642900
round_k,1,4,13,43,132,515,1763,7445,23214
round_shots,800,300,200,200,200,200,100,100
round_queries,800,1500,3800,14200,52600,172600,374100,5062500
round_k,2,9,35,131,431,1870,6279,25312
round_shots,1400,300,200,200,100,100,100,100
round_queries,1400,1500,3800,13000,24700,80700,246900,3463300
round_k,2,9,32,123,403,1234,4191,17316
round_shots,1200,200,300,300,200,200,200,100
round_queries,1200,1000,4500,13500,31400,141400,580600,3870300
round_k,2,7,22,78,353,1451,5270,19351
round_shots,1200,300,200,200,200,100,100,100
round_queries,1200,1500,4600,17400,73000,159900,553100,7763900
round_k,2,11,43,182,799,2765,9462,38819
round_shots,1200,200,200,200,100,100,100,100
round_queries,1200,1000,3800,15000,29500,90500,317500,5114300
round_k,2,9,37,147,452,1587,6023,25571
round_shots,700,300,300,200,200,100,100,100
round_queries,700,1500,6900,19000,65800,111300,392300,6186300
round_k,2,11,47,164,556,1961,7378,30931
round_shots,700,300,200,200,100,100,200,100
round_queries,700,1500,4600,16600,35900,112900,732200,5934300
round_k,2,11,41,179,564,1830,7174,29671
round_shots,700,200,200,200,200,100,100,100
round_queries,700,1000,3800,13000,47000,102300,357500,5928300
