round_k,1,4,13,41,178,644,2644,12029,63733
round_shots,200,200,200,100,100,100,100,100,100
round_queries,200,600,1800,3300,10300,32700,119300,484300,11631500
round_k,1,4,16,51,163,596,2421,11005,58157
round_shots,200,100,200,200,100,100,100,100,100
round_queries,200,300,1800,5800,11500,39900,147500,611500,15494900
round_k,1,4,14,57,199,737,3057,14309,77474
round_shots,100,300,200,100,100,100,100,100,100
round_queries,100,900,2200,4100,13100,44300,169100,698500,18042300
round_k,1,5,20,65,221,845,3492,16377,90211
round_shots,200,200,200,200,100,100,100,100,100
round_queries,200,600,1800,7000,13300,43700,164300,687100,17567100
round_k,1,4,17,66,218,821,3435,16086,87835
round_shots,200,200,200,100,200,100,100,100,100
round_queries,200,600,1800,3300,21000,45900,146500,582900,14105900
round_k,1,4,16,52,229,732,2914,13174,70529
round_shots,100,100,200,100,100,100,100,100,100
round_queries,100,300,1800,2700,8300,26700,99900,397500,9081100
round_k,1,4,13,41,133,499,1987,8857,45405
round_shots,200,100,100,200,100,100,100,100,100
round_queries,200,300,900,5400,12700,45700,175100,735300,19148100
round_k,1,4,13,63,228,875,3676,17300,95740
round_shots,200,200,200,200,100,100,100,100
round_queries,200,600,1800,7000,14100,48900,187900,3791900
round_k,1,4,17,70,244,939,3965,18959
round_shots,200,100,200,100,200,100,100,100,100
round_queries,200,300,1800,3300,19800,42700,144100,594100,14815500
round_k,1,4,16,49,213,720,2970,13749,74077
round_shots,200,200,200,100,100,100,100,100
round_queries,200,600,2200,4300,14700,49900,191300,4743300
round_k,1,5,21,73,249,956,4069,23716
round_shots,200,200,100,200,100,100,100,100,100
round_queries,200,600,900,5400,11900,40300,142300,585900,14604300
round_k,1,4,13,59,201,711,2929,13582,73021
round_shots,100,300,200,100,100,100,100,100,100
round_queries,100,900,1800,3300,10700,34300,126500,527300,12873900
round_k,1,4,16,53,171,632,2636,12178,64369
round_shots,200,100,100,200,100,100,100,100,100
round_queries,200,300,900,5400,10700,36100,130100,541500,13320300
round_k,1,4,13,53,180,650,2707,12545,66601
round_shots,100,200,200,200,100,100,100,100,100
round_queries,100,600,1800,7000,11900,39300,149900,618900,15610100
round_k,1,4,17,59,196,749,3094,14387,78050
round_shots,100,200,200,200,100,100,100,100
round_queries,100,600,1800,8200,17500,61300,242500,5072900
round_k,1,4,20,87,306,1212,5193,25364
round_shots,200,100,200,100,100,100,100,100,100
round_queries,200,300,1800,2900,9300,31700,116900,477100,11313100
round_k,1,4,14,46,158,584,2385,10827,56565
round_shots,200,200,200,100,100,100,100,100,100
round_queries,200,600,1800,2900,8700,27100,100100,389300,8811700
round_k,1,4,14,43,135,500,1946,8611,44058
round_shots,200,200,200,200,100,100,100,100,100
