round_shots,600,500,400,200,200,200,100,100,300,100
round_queries,600,2500,10800,17800,62600,220600,397700,1237700,11425500,48711100
round_k,2,13,44,156,551,1988,6188,19042,75751,243555
round_shots,1100,400,200,200,100,100,100,100,100,100
round_queries,1100,2000,4600,16600,29900,91100,282500,951100,3219300,44661700
round_k,2,11,41,149,455,1412,4755,16096,51014,223308
round_shots,700,400,200,200,100,100,100,100,100,100
round_queries,700,2000,4600,15800,28700,87500,269500,845700,3084500,53829300
round_k,2,11,39,143,437,1347,4228,15422,61284,269146
round_shots,700,400,200,200,200,200,100,100,100
round_queries,700,2000,4600,17400,65000,282200,586100,2081100,31187500
round_k,2,11,43,162,705,2930,10405,36849,155937
round_shots,800,300,200,200,200,100,100,100,100,100
round_queries,800,1500,3800,12200,40600,82500,260700,856700,3086900,50705500
round_k,2,9,30,101,412,1303,4283,15434,58613,253527
round_shots,1100,300,200,200,200,200,100,100,100
round_queries,1100,1500,3800,13000,49400,197800,452100,1375100,19853500
round_k,2,9,32,123,494,2260,6875,24755,99267
round_shots,1200,400,200,200,200,300,100,100,100
round_queries,1200,2000,4600,16600,64600,354900,504500,1649700,22334100
round_k,2,11,41,161,591,2522,8248,30214,111670
round_shots,1100,300,200,200,200,200,100,200,100,100
round_queries,1100,1500,3800,14200,45800,161400,345100,2124600,3452300,46066900
round_k,2,9,35,114,403,1725,5311,17261,66691,230334
round_shots,900,300,200,200,200,200,100,100,100,100
round_queries,900,1500,3800,12200,45400,182200,377900,1304700,4872100,71954700
round_k,2,9,30,113,455,1889,6523,24360,97266,359773
round_shots,1000,400,200,200,200,100,100,100,100
round_queries,1000,2000,4600,16600,61800,132300,434700,1448700,21711500
round_k,2,11,41,154,661,2173,7243,27266,108557
round_shots,1000,400,200,200,200,100,100,100,100,100
round_queries,1000,2000,4600,15000,59800,103900,324700,1009700,3701900,67371300
round_k,2,11,37,149,519,1623,5048,18509,74529,336856
round_shots,1100,400,300,200,200,100,100,100,100
round_queries,1100,2000,5700,13800,56200,117900,372700,1295500,18836300
round_k,2,9,34,140,589,1863,6477,23397,94181
round_shots,1300,300,200,200,300,100,100,100,100,100
round_queries,1300,1500,3800,12200,71700,102100,323300,1100700,3967900,42431300
round_k,2,9,30,119,510,1616,5503,19839,68058,212156
round_shots,1300,500,400,200,200,100,100,300,200,100
round_queries,1300,2500,6800,10200,37000,67700,210500,1946100,4229400,38398500
round_k,2,8,25,92,338,1052,3243,10573,44631,191992
round_shots,1100,300,200,200,200,100,100,100,100,100
round_queries,1100,1500,3800,12200,41000,78700,238500,733500,2424700,38677700
round_k,2,9,30,102,393,1192,3667,12123,44943,193388
round_shots,1100,200,300,200,200,100,100,100,200,100
round_queries,1100,1000,4500,11400,41800,84700,262100,849700,6131400,39706500
round_k,2,7,28,104,423,1310,4248,15328,46406,198532
round_shots,1300,400,200,200,200,200,100,100,200,100
round_queries,1300,2000,3800,12200,45000,164600,319500,1079700,6577400,49219700
round_k,2,9,30,112,411,1597,5398,16443,58441,246098
round_shots,1100,400,200,200,200,100,200,100,100
round_queries,1100,2000,4600,14200,50600,105500,653400,1498300,22511500
round_k,2,11,35,126,527,1633,7491,28050,112557
round_shots,800,400,200,200,200,200,100,100,200
round_queries,800,2000,4600,14200,58600,239400,516900,1655500,43793000
round_k,2,11,35,146,598,2584,8277,26992,109482
round_shots,800,300,200,300,200,200,100,100,100
round_queries,800,1500,3800,19500,46200,187400,408500,1341900,18478900
round_k,2,9,32,115,468,2042,6709,24727,92394
round_shots,1200,300,200,200,200,100,100,100,100,100
round_queries,1200,1500,3800,13000,48600,89100,270700,812900,2686900,41800700
round_k,2,9,32,121,445,1353,4064,13434,48137,209003
