round_k,1,5,20,156,493,1863,8003,38157
round_shots,300,200,100,200,600,100,100,100,100
round_queries,300,600,900,5400,54600,28100,103700,362300,7228900
round_k,1,4,13,45,140,518,1811,7619,36144
round_shots,200,200,100,100,200,300,100,100,100
round_queries,200,600,900,2700,17000,114900,237500,949100,22299300
round_k,1,4,13,42,191,1187,4745,21319,111496
round_shots,200,200,200,200,200,100,100,100,100
round_queries,200,600,2200,9000,30200,58500,178100,705900,16032500
round_k,1,5,22,75,292,890,3529,15784,80162
round_shots,200,200,100,200,300,100,100,100,100
round_queries,200,600,900,5400,36300,36700,132900,528900,11110500
round_k,1,4,13,60,183,664,2644,11302,55552
round_shots,200,200,200,200,200,100,100,100,100
round_queries,200,600,2200,7000,21800,48300,182100,711500,16052700
round_k,1,5,17,54,241,910,3557,15776,80263
round_shots,200,200,100,100,500,200,100,100,100
round_queries,200,600,900,2700,44500,53800,104900,374700,7405100
round_k,1,4,13,44,134,524,1873,7749,37025
round_shots,200,200,200,200,200,100,100,300,100
round_queries,200,600,1800,6600,30200,60900,205100,1871100,20473300
round_k,1,4,16,75,304,1025,3118,20791,102366
round_shots,300,200,200,200,300,100,100,100,100
round_queries,300,600,2200,6600,30300,50300,178900,704300,15895300
round_k,1,5,16,50,251,894,3521,15637,79476
round_shots,200,200,200,600,200,100,100,100
round_queries,200,600,2200,23400,59000,136500,528500,11396100
round_k,1,5,19,147,682,2642,11539,56980
round_shots,200,200,200,100,400,200,100,100,100
round_queries,200,600,2200,3700,47600,75000,167100,591900,12846700
round_k,1,5,18,59,187,835,2959,12952,64233
round_shots,200,200,100,200,500,100,100,100,100
round_queries,200,600,900,5400,45500,27500,94900,353500,6960100
round_k,1,4,13,45,137,474,1767,7360,34800
round_shots,200,200,100,300,200,100,100,100,100
round_queries,200,600,1100,10500,22600,52100,174700,689700,15914500
round_k,1,5,17,56,260,873,3448,15614,79572
round_shots,200,200,200,200,100,100,100,200,100
round_queries,200,600,2200,7800,17900,54900,200500,1266200,7994100
round_k,1,5,19,89,274,1002,3165,10637,39970
round_shots,200,200,100,200,100,200,100,300,100
round_queries,200,600,900,5400,10900,65400,135900,1565100,17772300
round_k,1,4,13,54,163,679,2608,18703,88861
round_shots,300,200,200,200,600,100,100,100,100
round_queries,300,600,2200,9400,93000,48300,156100,601900,13295700
round_k,1,5,23,77,241,780,3009,13325,66478
round_shots,200,200,200,200,200,300,100,100,100
round_queries,200,600,1800,7400,32200,149100,294700,1237900,31455900
round_k,1,4,18,80,248,1473,6189,28986,157279
round_shots,200,200,100,300,300,100,100,100,100
round_queries,200,600,900,8100,31500,61900,186500,717500,16455500
round_k,1,4,13,52,309,932,3587,16118,82277
round_shots,300,200,200,400,200,100,100,100,100
round_queries,300,600,1800,10800,16200,31900,114900,449300,9416300
round_k,1,4,13,40,159,574,2246,9706,47081
round_shots,200,200,200,200,100,200,100,100,100
round_queries,200,600,2200,7800,17500,121000,326300,1213500,30474700
round_k,1,5,19,87,302,1631,6067,28208,152373
round_shots,200,200,200,100,400,100,100,100,100
round_queries,200,600,2200,3700,46000,35700,115100,393500,7620900
round_k,1,5,18,57,178,575,1967,8021,38104
round_shots,200,200,100,200,500,100,100,100,100
round_queries,200,600,1100,7000,59500,83300,306700,1238100,31025100
round_k,1,5,17,59,416,1533,6190,28646,155125
round_shots,200,200,200,200,600,100,100,100
round_queries,200,600,1800,7400,73800,105100,391700,8054900
round_k,1,4,18,61,525,1958,8403,40274
round_shots,200,200,300,200,300,100,100,100,100
round_queries,200,600,3300,9400,61500,65700,239700,979500,22731700
round_k,1,5,23,102,328,1198,4897,21688,113658
round_shots,200,100,200,200,300,100,100,100,100
round_queries,200,300,1800,7000,44100,83900,260300,1056700,25921100
round_k,1,4,17,73,419,1301,5283,24351,129605
round_shots,200,200,200,200,300,400,100,100,100
round_queries,200,600,2200,6600,44100,213200,381900,1442500,35798300
round_k,1,5,16,73,266,1909,7212,32703,178991
round_shots,300,200,300,500,200,100,100,100
round_queries,300,600,2700,14500,39800,96900,366300,7491100
round_k,1,4,14,99,484,1831,7834,37455
round_shots,200,200,200,600,200,100,100,100,100
round_queries,200,600,1800,18600,19000,37100,126100,502100,10685100
round_k,1,4,15,47,185,630,2510,10892,53425
round_shots,200,200,100,400,200,100,100,100,100
round_queries,200,600,900,10800,16200,37700,116300,457700,9680300
round_k,1,4,13,40,188,581,2288,9923,48401
round_shots,200,200,200,100,500,100,100,100
round_queries,200,600,2200,4900,83500,128300,471100,9809900
round_k,1,5,24,83,641,2355,10079,49049
round_shots,200,200,100,200,200,400,100,100,100
round_queries,200,600,1100,6600,25800,155600,291700,1211100,29694900
round_k,1,5,16,64,194,1458,6055,27519,148474
round_shots,200,200,200,400,100,100,100,100,100
round_queries,200,600,2200,16400,26700,84500,327100,1367300,35314300
round_k,1,5,20,133,422,1635,6836,32163,176571
