round_k,1,4,23,99,323,1166,4562,19785,96142
round_shots,100,200,200,200,100,100,100,100,100,100
round_queries,100,600,1800,6600,9900,29900,106100,388500,1574100,36345900
round_k,1,4,16,49,149,530,1942,7870,35333,181729
round_shots,200,300,200,200,100,100,100,100,100,100
round_queries,200,900,1800,6600,14500,45300,159300,606300,2555500,65303700
round_k,1,4,16,72,226,796,3031,12777,59973,326518
round_shots,100,200,200,100,200,100,100,100,100,100
round_queries,100,600,1800,2700,16600,37300,129900,497500,2064900,50609100
round_k,1,4,13,41,186,649,2487,10324,47580,253045
round_shots,200,200,200,100,100,100,100,100,100,100
round_queries,200,600,1800,3500,11100,37700,130700,491700,2047300,50100100
round_k,1,4,17,55,188,653,2458,10236,47183,250500
round_shots,200,200,200,200,100,100,100,100,100,100
round_queries,200,600,1800,6600,14300,46100,157900,600900,2525300,64641500
round_k,1,4,16,71,230,789,3004,12626,59369,323207
round_shots,200,200,300,200,100,100,100,100,100
round_queries,200,600,2700,8200,16300,52300,185500,719900,14557900
round_k,1,4,20,81,261,927,3599,15249,72789
round_shots,200,200,200,100,100,100,100,100,100,100
round_queries,200,600,1800,3500,10500,33300,113500,425500,1739900,41115700
round_k,1,4,17,52,166,567,2127,8699,39500,205578
round_shots,300,200,200,200,200,200,100,100,100
round_queries,300,600,1800,6600,22200,85800,202900,777300,15799700
round_k,1,4,16,55,214,1014,3886,16488,78998
round_shots,200,200,200,200,100,100,100,100,100,100
round_queries,200,600,1800,5800,12300,40900,142700,535700,2236500,55631900
round_k,1,4,14,61,204,713,2678,11182,52014,278159
round_shots,200,200,200,200,100,100,100,100,100,100
round_queries,200,600,1800,6600,14500,43500,152100,572300,2389500,60148500
round_k,1,4,16,72,217,760,2861,11947,55842,300742
round_shots,200,200,200,200,100,100,100,100,100,100
round_queries,200,600,1800,5400,8100,26300,88700,313900,1262700,28369300
round_k,1,4,13,40,131,443,1569,6313,28119,141846
round_shots,100,200,200,200,100,100,100,100,100,100
round_queries,100,600,1800,5800,10900,35500,125300,469500,1936500,47050300
round_k,1,4,14,54,177,626,2347,9682,44595,235251
round_shots,100,200,200,200,100,100,100,100,100,100
round_queries,100,600,1800,5800,11900,36900,128500,479500,1987500,48323700
round_k,1,4,14,59,184,642,2397,9937,45625,241618
round_shots,200,200,200,100,100,100,100,100,100,100
round_queries,200,600,1800,3500,10500,34500,122300,455300,1887900,45124300
round_k,1,4,17,52,172,611,2276,9439,43692,225621
round_shots,200,200,200,100,100,100,100,100,100,100
round_queries,200,600,1800,3500,10500,34900,121100,464300,1912500,46236700
round_k,1,4,17,52,174,605,2321,9562,43839,231183
round_shots,200,300,200,200,100,100,100,100,100,100
round_queries,200,900,1800,5400,9900,32300,109700,401900,1637500,38468300
round_k,1,4,13,49,161,548,2009,8187,37127,192341
round_shots,100,300,200,100,100,100,100,100,100,100
round_queries,100,900,2200,3500,10700,32700,112700,414700,1672900,39591300
round_k,1,5,17,53,163,563,2073,8364,38023,197956
round_shots,100,200,200,200,100,100,100,100,100,100
round_queries,100,600,1800,7000,15500,48900,177700,679700,2872300,75335900
round_k,1,4,17,77,244,888,3398,14361,68159,376679
round_shots,200,200,200,200,100,100,100,100,100,100
round_queries,200,600,1800,7000,14300,47900,170100,666100,2806900,72598900
round_k,1,4,17,71,239,850,3330,14034,65777,362994
round_shots,200,200,200,200,100,100,100,100,100,100
round_queries,200,600,1800,5800,12300,38900,135900,517900,2162100,53634700
round_k,1,4,14,61,194,679,2589,10810,50209,268173
round_shots,200,200,100,200,100,100,100,100,100,100
round_queries,200,600,900,5400,10700,34700,123900,463500,1907300,46145700
round_k,1,4,13,53,173,619,2317,9536,43738,230728
round_shots,200,200,200,200,200,100,100,100,100,100
round_queries,200,600,1800,6600,21000,43500,153900,594900,2497500,63360300
round_k,1,4,16,52,217,769,2974,12487,58288,316801
round_shots,200,200,100,200,100,100,100,100,100,100
round_queries,200,600,900,5400,9100,28500,98100,366300,1473300,33613900
round_k,1,4,13,45,142,490,1831,7366,32927,168069
round_shots,200,200,200,200,100,100,100,100,100,100
round_queries,200,600,1800,5400,11900,37900,124900,473700,1971300,47900500
round_k,1,4,13,59,189,624,2368,9856,45258,239502
round_shots,200,200,200,200,200,100,100,100,100
round_queries,200,600,1800,6600,25400,54900,200300,786300,16224700
round_k,1,4,16,63,274,1001,3931,16932,81123
round_shots,100,200,200,200,200,100,100,100,100,100
round_queries,100,600,1800,6600,22200,53300,165100,621700,2629300,67677700
round_k,1,4,16,55,266,825,3108,13146,61869,338388
round_shots,100,200,200,200,100,100,100,100,100,100
round_queries,100,600,1800,5800,10500,32900,113100,428500,1753100,41395300
round_k,1,4,14,52,164,565,2142,8765,39591,206976
round_shots,100,200,200,200,100,100,100,100,100,100
round_queries,100,600,1800,5800,12100,36500,130700,499300,2054100,50482100
round_k,1,4,14,60,182,653,2496,10270,47464,252410
round_shots,100,200,200,200,200,100,100,100,100
round_queries,100,600,1800,6600,28200,63100,221900,854500,17903500
round_k,1,4,16,70,315,1109,4272,18438,89517
round_shots,200,200,200,200,200,100,100,100,100,100
round_queries,200,600,1800,5400,21800,44700,149700,576100,2407100,60402900
round_k,1,4,13,54,223,748,2880,12035,55983,302014
