round_shots,400,500,200,200,200,100,100,100,100
round_queries,400,1500,2200,7800,27400,59500,193700,662300,11602700
round_k,1,5,19,68,297,968,3311,13221,58013
round_shots,500,500,300,200,200,200,100,100,100
round_queries,500,1500,3300,7800,27000,116200,227100,826300,15074900
round_k,1,5,19,67,290,1135,4131,16562,75374
round_shots,600,600,300,200,200,200,100,100
round_queries,600,1800,3900,12200,38200,159000,283700,3454900
round_k,1,6,30,95,397,1418,4765,17274
round_shots,900,500,200,200,100,200,200,100,100
round_queries,900,1500,2200,7400,14700,88200,331400,758700,11897700
round_k,1,5,18,73,220,828,3793,14450,59488
round_shots,500,500,300,200,200,100,100,100,100
round_queries,500,1500,3300,7800,30600,65900,221700,771700,12458500
round_k,1,5,19,76,329,1108,3858,14935,62292
round_shots,500,500,200,200,200,100,100,100,100
round_queries,500,1500,2200,7400,25400,46100,138700,468300,7734500
round_k,1,5,18,63,230,693,2341,8973,38672
round_shots,700,500,300,200,200,100,100,100,100
round_queries,700,1500,3300,7800,24600,45100,141100,500500,7792900
round_k,1,5,19,61,225,705,2502,9728,38964
round_shots,500,500,200,200,200,200,100,100,100
round_queries,500,1500,2200,7000,24600,87000,198300,623300,8345700
round_k,1,5,17,61,217,991,3116,12218,41728
round_shots,800,500,300,200,200,100,200,100,100
round_queries,800,1500,3300,7800,29800,60100,390200,857700,11675900
round_k,1,5,19,74,300,975,4288,14157,58379
round_shots,500,600,200,200,200,200,100,100,100
round_queries,500,1800,2200,7000,28200,118200,221300,766700,14050100
round_k,1,5,17,70,295,1106,3833,15510,70250
round_shots,500,500,200,200,100,100,100,100,100
round_queries,500,1500,2200,7800,15300,47100,152700,529700,8040100
round_k,1,5,19,76,235,763,2648,9546,40200
round_shots,600,500,300,200,100,200,100,300,100
round_queries,600,1500,3300,7800,13700,82600,171900,1833900,7190700
round_k,1,5,19,68,206,859,3056,11710,35953
round_shots,500,500,300,200,200,100,200,300,100
round_queries,500,1500,2700,5400,18200,37300,236200,1500900,9208500
round_k,1,4,13,45,186,590,2501,11914,46042
round_shots,1000,500,200,200,200,100,100,200,100
round_queries,1000,1500,2200,7400,29400,55700,185700,1197000,13117700
round_k,1,5,18,73,278,928,2992,14796,65588
round_shots,600,600,300,300,200,100,100,100,100
round_queries,600,1800,3300,11700,26600,59300,195900,658300,10566300
round_k,1,5,19,66,296,979,3291,12886,52831
round_shots,600,600,200,200,200,100,100,100,100
round_queries,600,1800,2600,10200,34600,54900,182900,617100,10132700
round_k,1,6,25,86,274,914,3085,11620,50663
round_shots,700,500,300,200,200,100,100,100,100
round_queries,700,1500,3300,7800,28200,62700,213700,729900,12785700
round_k,1,5,19,70,313,1068,3649,14571,63928
round_shots,600,500,200,200,200,100,100,100,100
round_queries,600,1500,2200,7400,26600,58900,181700,629300,10184100
round_k,1,5,18,66,294,908,3146,12118,50920
round_shots,400,500,300,200,100,100,100,100,100
round_queries,400,1500,3300,7800,13900,41900,133700,440100,7281300
round_k,1,5,19,69,209,668,2200,8484,36406
round_shots,500,500,300,200,200,100,100,100,100
round_queries,500,1500,3300,7800,28200,59500,187100,681500,9690300
round_k,1,5,19,70,297,935,3407,11884,48451
round_shots,800,500,200,200,100,200,100,100,100
round_queries,800,1500,2200,7400,14500,87000,203100,741100,9823100
round_k,1,5,18,72,217,1015,3705,14533,49115
round_shots,400,600,300,200,200,100,200,100,100
round_queries,400,1800,3300,7800,24200,40700,253400,566700,8313100
round_k,1,5,19,60,203,633,2833,10481,41565
round_shots,400,500,200,200,100,100,100,100,100
round_queries,400,1500,2200,7400,13900,41700,132300,460100,7350700
round_k,1,5,18,69,208,661,2300,8586,36753
round_shots,700,500,200,300,100,100,200,100,100
round_queries,700,1500,2600,12300,15300,46100,291400,488100,6957100
round_k,1,6,20,76,230,728,2440,8240,34785
round_shots,600,500,300,300,200,200,100,200,100
round_queries,600,1500,3300,11700,27000,117400,223500,1465000,13091900
round_k,1,5,19,67,293,1117,3662,15258,65459
round_shots,700,600,300,200,200,100,100,100
round_queries,700,1800,3300,7800,31400,70300,220300,3757300
round_k,1,5,19,78,351,1101,4002,18786
round_shots,800,500,200,200,200,200,100,100,100
round_queries,800,1500,2600,7800,31800,120200,237500,734100,9292500
round_k,1,6,19,79,300,1187,3670,13806,46462
round_shots,700,500,200,200,100,100,100,100,100
round_queries,700,1500,2200,7400,14700,44300,144100,508700,6272900
round_k,1,5,18,73,221,720,2543,9197,31364
round_shots,400,500,200,200,200,100,100,100,100
round_queries,400,1500,2200,7400,25400,47500,146700,470900,6571900
round_k,1,5,18,63,237,733,2354,7699,32859
round_shots,700,600,300,200,200,200,100,100
round_queries,700,1800,3300,9800,39800,170600,310100,4789900
round_k,1,5,24,99,426,1550,5830,23949
