round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,1500,3900,9300,44300,205700,1024500,5226700
round_k,0,1,7,19,46,221,1028,5122,26133
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,900,4100,11300,25700,84500,399300,2022100
round_k,0,1,4,20,56,128,422,1996,10110
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,1100,4100,9500,19700,98500,571300,2896700
round_k,0,1,5,20,47,98,492,2856,14483
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,1500,5500,19500,40700,209700,1046900,5292700
round_k,0,1,7,27,97,203,1048,5234,26463
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,1300,5300,13300,60300,290700,1468700,7508700
round_k,0,1,6,26,66,301,1453,7343,37543
round_shots,100,100,100,100,100,100,100,100
round_queries,100,300,1500,5500,22500,102700,466500,1906500
round_k,0,1,7,27,112,513,2332,9532
round_shots,100,100,100,100,100,100,100,100
round_queries,100,500,2100,10100,31500,146700,686300,3426900
round_k,0,2,10,50,157,733,3431,17134
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,1100,4900,16500,35500,116700,584300,2956300
round_k,0,1,5,24,82,177,583,2921,14781
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,1100,3300,7300,31500,156100,791700,4067500
round_k,0,1,5,16,36,157,780,3958,20337
round_shots,100,100,100,100,100,100,100,100
round_queries,100,300,1300,6700,18700,94100,424500,2164100
round_k,0,1,6,33,93,470,2122,10820
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,900,3300,12700,30900,104700,521100,2589500
round_k,0,1,4,16,63,154,523,2605,12947
round_shots,200,100,100,100,100,100,100,100,100
round_queries,200,300,1100,4100,21100,51300,215900,1100500,5580300
round_k,0,1,5,20,105,256,1079,5502,27901
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,1300,5900,28500,92700,329100,953100,3518500
round_k,0,1,6,29,142,463,1645,4765,17592
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,1100,3900,13100,48700,226900,1081900,5524700
round_k,0,1,5,19,65,243,1134,5409,27623
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,1100,4700,14700,39500,141700,664900,3364300
round_k,0,1,5,23,73,197,708,3324,16821
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,1100,3300,10700,36300,187100,878300,4467700
round_k,0,1,5,16,53,181,935,4391,22338
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,1300,5500,12100,54900,251500,1242100,6370300
round_k,0,1,6,27,60,274,1257,6210,31851
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,1100,5300,25700,62500,211900,1061300,5381700
round_k,0,1,5,26,128,312,1059,5306,26908
round_shots,100,100,100,100,100,100,100,100
round_queries,100,300,1500,5300,25700,80300,383900,1835900
round_k,0,1,7,26,128,401,1919,9179
round_shots,100,100,100,200,100,100,100,100
round_queries,100,300,1100,7800,23500,107500,529700,2712700
round_k,0,1,5,19,117,537,2648,13563
round_shots,100,100,100,100,100,100,100,100
round_queries,100,300,1300,5300,16500,74900,365100,1839100
round_k,0,1,6,26,82,374,1825,9195
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,900,4500,15900,57100,267900,1364300,7023500
round_k,0,1,4,22,79,285,1339,6821,35117
round_shots,100,100,100,200,100,100,100,100
round_queries,100,300,900,9000,25100,109500,553100,2815500
round_k,0,1,4,22,125,547,2765,14077
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,900,3100,10500,40900,87900,369900,1681700
round_k,0,1,4,15,52,204,439,1849,8408
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,1300,6300,19700,56900,251900,1105300,5543500
round_k,0,1,6,31,98,284,1259,5526,27717
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,1100,4700,19100,42300,151900,751500,3802700
round_k,0,1,5,23,95,211,759,3757,19013
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,1100,4100,15100,61900,273100,1395500,7153100
round_k,0,1,5,20,75,309,1365,6977,35765
round_shots,100,100,100,100,100,100,100,100
round_queries,100,300,1100,4900,18100,70300,310100,1592500
round_k,0,1,5,24,90,351,1550,7962
round_shots,200,100,100,100,100,200,100,100
round_queries,200,300,1300,5300,20500,133400,415500,1823300
round_k,0,1,6,26,102,333,2077,9116
round_shots,100,100,200,100,100,100,100
round_queries,100,500,5000,17900,83300,427500,2179300
round_k,0,2,12,89,416,2137,10896
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,1300,3700,8300,36700,186100,929500,4785900
round_k,0,1,6,18,41,183,930,4647,23929
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,500,1500,4100,9300,34300,168100,852500,4366500
round_k,0,2,7,20,46,171,840,4262,21832
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,1300,6300,22300,45100,184900,901300,4520300
round_k,0,1,6,31,111,225,924,4506,22601
round_shots,100,100,100,100,200,100,100,100
round_queries,100,300,1100,4500,24200,71900,324300,1655100
round_k,0,1,5,22,60,359,1621,8275
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,900,2700,6500,25900,124700,623700,3170900
round_k,0,1,4,13,32,129,623,3118,15854
round_shots,100,100,100,200,100,100,100,100,100
round_queries,100,300,1300,13400,16300,55100,243100,1249900,6418300
round_k,0,1,6,33,81,275,1215,6249,32091
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,1100,4100,12700,62300,276300,1372100,6982900
round_k,0,1,5,20,63,311,1381,6860,34914
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,1100,3900,8500,32100,163700,819900,4193700
round_k,0,1,5,19,42,160,818,4099,20968
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,1100,4700,11300,42700,192700,977100,5001900
round_k,0,1,5,23,56,213,963,4885,25009
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,1100,4500,13500,36300,182300,902900,4605300
round_k,0,1,5,22,67,181,911,4514,23026
round_shots,100,100,100,100,100,100,100,100
round_queries,100,300,1300,3900,16700,79700,370100,1818500
round_k,0,1,6,19,83,398,1850,9092
round_shots,200,100,100,200,100,100,100,100
round_queries,200,300,900,9000,31300,139500,695100,3574700
round_k,0,1,4,22,156,697,3475,17873
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,1100,3700,8100,18500,81900,357300,1772300
round_k,0,1,5,18,40,92,409,1786,8861
round_shots,100,100,100,100,100,100,100,100
round_queries,100,500,1900,9100,23500,101300,491700,2465300
round_k,0,2,9,45,117,506,2458,12326
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,1500,3700,13100,45700,205100,1017300,5212100
round_k,0,1,7,18,65,228,1025,5086,26060
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,1100,3700,12500,51100,218300,1070100,5464700
round_k,0,1,5,18,62,255,1091,5350,27323
round_shots,100,100,100,100,200,100,100,100,100
round_queries,100,300,1100,2900,16600,42700,197900,1004900,5137500
round_k,0,1,5,14,41,213,989,5024,25687
round_shots,100,100,100,100,100,100,100,100
round_queries,100,500,2500,8300,35700,117500,559100,2828900
round_k,0,2,12,41,178,587,2795,14144
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,1100,3900,12100,41100,93900,375300,1734500
round_k,0,1,5,19,60,205,469,1876,8672
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,1300,4900,11500,45900,231100,1173300,5985300
round_k,0,1,6,24,57,229,1155,5866,29926
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,900,3700,10700,42700,207300,1064300,5474500
round_k,0,1,4,18,53,213,1036,5321,27372
round_shots,100,100,100,100,100,100,100,100
round_queries,100,300,900,4300,19500,88500,378100,1932900
