round_shots,200,200,100,100,100,100,100,100
round_queries,200,600,1500,6300,31900,155300,789700,4021700
round_k,0,1,7,31,159,776,3948,20108
round_shots,200,100,100,100,100,100,100,100,100
round_queries,200,300,1300,6300,28700,142300,707100,3572700,18256100
round_k,0,1,6,31,143,711,3535,17863,91280
round_shots,100,200,100,100,100,100,100,100,100
round_queries,100,600,1500,5300,24900,118700,593300,3004900,15278500
round_k,0,1,7,26,124,593,2966,15024,76392
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,1100,4900,20700,101700,505300,2551300,12984700
round_k,0,1,5,24,103,508,2526,12756,64923
round_shots,200,200,100,100,100,100,100,100
round_queries,200,600,1700,7700,35500,176700,893100,4572500
round_k,0,1,8,38,177,883,4465,22862
round_shots,100,200,100,100,100,100,100,100
round_queries,100,600,1300,6500,30100,147900,750100,3826500
round_k,0,1,6,32,150,739,3750,19132
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,1300,4900,21300,104700,520500,2630100,13417100
round_k,0,1,6,24,106,523,2602,13150,67085
round_shots,300,100,100,100,100,100,100,100,100
round_queries,300,300,1100,4700,23500,113500,560700,2837300,14384500
round_k,0,1,5,23,117,567,2803,14186,71922
round_shots,300,100,100,100,100,100,100,100,100
round_queries,300,300,1300,6300,27900,133100,673700,3415300,17442100
round_k,0,1,6,31,139,665,3368,17076,87210
round_shots,300,200,100,100,100,100,100,100,100
round_queries,300,600,1300,5100,21900,108900,546900,2748700,13921500
round_k,0,1,6,25,109,544,2734,13743,69607
round_shots,300,100,100,100,100,100,100,100,100
round_queries,300,300,1100,4900,22100,108300,548900,2778100,14215700
round_k,0,1,5,24,110,541,2744,13890,71078
round_shots,200,200,100,100,100,100,100,100,100
round_queries,200,600,1500,6500,29700,144300,724700,3692100,18670500
round_k,0,1,7,32,148,721,3623,18460,93352
round_shots,300,100,100,100,100,100,100,100,100
round_queries,300,300,900,3500,16100,81900,403700,2042100,10433500
round_k,0,1,4,17,80,409,2018,10210,52167
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,1100,4700,19500,90700,452700,2283700,11660300
round_k,0,1,5,23,97,453,2263,11418,58301
round_shots,200,200,100,100,100,100,100,100,100
round_queries,200,600,1500,5900,26900,128100,642100,3263700,16589900
round_k,0,1,7,29,134,640,3210,16318,82949
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,1100,4900,21300,105500,540300,2740900,13991900
round_k,0,1,5,24,106,527,2701,13704,69959
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,1100,4900,20900,100500,507300,2569300,13152300
round_k,0,1,5,24,104,502,2536,12846,65761
round_shots,300,100,100,100,100,100,100,100,100
round_queries,300,300,1300,5900,26500,128300,566900,2848300,14554300
round_k,0,1,6,29,132,641,2834,14241,72771
round_shots,200,100,100,100,100,100,100,100,100
round_queries,200,300,1300,4900,21300,104900,520300,2629300,13440500
round_k,0,1,6,24,106,524,2601,13146,67202
round_shots,300,100,100,100,100,100,100,100,100
round_queries,300,300,1100,5100,25100,125100,626900,3209900,16376100
round_k,0,1,5,25,125,625,3134,16049,81880
round_shots,300,100,100,100,100,100,100,100,100
round_queries,300,300,1300,5300,25900,123500,607900,3045500,15528100
round_k,0,1,6,26,129,617,3039,15227,77640
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,1100,5100,24500,120700,609900,3106900,15874700
round_k,0,1,5,25,122,603,3049,15534,79373
round_shots,400,100,100,100,100,100,100,100,100
round_queries,400,300,1100,5100,25500,112900,517700,2433900,12506900
round_k,0,1,5,25,127,564,2588,12169,62534
round_shots,200,100,100,100,100,100,100,100,100
round_queries,200,300,1100,5100,25100,125100,638100,3202700,16395500
round_k,0,1,5,25,125,625,3190,16013,81977
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,1300,4900,21900,105300,535300,2707900,13807700
round_k,0,1,6,24,109,526,2676,13539,69038
round_shots,200,200,100,100,100,100,100,100,100
round_queries,200,600,1500,6500,28300,139300,701300,3549500,18036700
round_k,0,1,7,32,141,696,3506,17747,90183
round_shots,300,100,100,100,100,100,100,100,100
round_queries,300,300,1100,4700,19500,98500,485900,2453300,12557900
round_k,0,1,5,23,97,492,2429,12266,62789
round_shots,200,100,100,100,100,100,100,100,100
round_queries,200,300,1300,4900,22100,105900,523700,2655300,13556900
round_k,0,1,6,24,110,529,2618,13276,67784
round_shots,300,200,100,100,100,100,100,100
round_queries,300,600,1500,6500,30500,154100,773100,3930900
round_k,0,1,7,32,152,770,3865,19654
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,1100,3900,16700,80300,401900,2042700,10315700
round_k,0,1,5,19,83,401,2009,10213,51578
round_shots,300,100,100,100,100,100,100,100,100
round_queries,300,300,1100,4900,22900,110500,560900,2848300,14543500
round_k,0,1,5,24,114,552,2804,14241,72717
round_shots,200,100,100,100,100,100,100,100,100
round_queries,200,300,1300,6300,28300,140700,708300,3617700,18400700
round_k,0,1,6,31,141,703,3541,18088,92003
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,1300,5300,24900,121700,615500,3130300,16013700
round_k,0,1,6,26,124,608,3077,15651,80068
round_shots,300,100,100,100,100,100,100,100,100
round_queries,300,300,1500,6300,28900,138300,681500,3478500,17711900
round_k,0,1,7,31,144,691,3407,17392,88559
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,1100,4100,17700,83500,417300,2128100,10871900
round_k,0,1,5,20,88,417,2086,10640,54359
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,1300,6100,27300,134500,682500,3470100,17713500
round_k,0,1,6,30,136,672,3412,17350,88567
round_shots,200,100,100,100,100,100,100,100,100
round_queries,200,300,1100,4900,22900,111300,557300,2828900,14358700
round_k,0,1,5,24,114,556,2786,14144,71793
round_shots,300,200,100,100,100,100,100,100
round_queries,300,600,1500,7500,36100,177500,883300,4453100
round_k,0,1,7,37,180,887,4416,22265
round_shots,300,100,100,100,100,100,100,100,100
round_queries,300,300,1300,6100,27500,135700,675300,3446100,17587300
round_k,0,1,6,30,137,678,3376,17230,87936
round_shots,200,100,100,100,100,100,100,100,100
round_queries,200,300,1300,5100,22500,110300,553500,2823300,14315100
round_k,0,1,6,25,112,551,2767,14116,71575
round_shots,100,100,100,100,100,100,100,100
round_queries,100,300,1500,6300,31500,159500,803700,4081900
round_k,0,1,7,31,157,797,4018,20409
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,1100,5500,23500,111900,566300,2846900,14490700
round_k,0,1,5,27,117,559,2831,14234,72453
round_shots,200,200,100,100,100,100,100,100
round_queries,200,600,1500,7300,34500,167900,849500,4329300
round_k,0,1,7,36,172,839,4247,21646
round_shots,200,100,100,100,100,100,100,100,100
round_queries,200,300,1300,5900,29300,144100,729100,3726500,18945900
round_k,0,1,6,29,146,720,3645,18632,94729
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,1300,6100,27700,137700,696700,3516700,17976300
round_k,0,1,6,30,138,688,3483,17583,89881
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,1100,5500,26300,122700,610500,3094100,15815900
round_k,0,1,5,27,131,613,3052,15470,79079
round_shots,200,100,100,100,100,100,100,100
round_queries,200,300,1300,6100,30300,152500,766900,3898900
round_k,0,1,6,30,151,762,3834,19494
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,1300,5100,22700,109100,529900,2682900,13719100
round_k,0,1,6,25,113,545,2649,13414,68595
round_shots,200,100,100,100,100,100,100,100,100
round_queries,200,300,1300,6100,28700,145100,728500,3711500,18909500
round_k,0,1,6,30,143,725,3642,18557,94547
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,1100,4700,21900,99100,505500,2558900,13032100
round_k,0,1,5,23,109,495,2527,12794,65160
round_shots,200,100,100,100,100,100,100,100,100
round_queries,200,300,1300,6500,30500,145700,735100,3721700,19138700
round_k,0,1,6,32,152,728,3675,18608,95693
round_shots,200,100,100,100,100,100,100,100,100
round_queries,200,300,1100,3900,17500,84900,423300,2155700,11001100
round_k,0,1,5,19,87,424,2116,10778,55005
round_shots,300,100,100,100,100,100,100,100,100
round_queries,300,300,1100,4900,21700,102900,507900,2585700,13156900
round_k,0,1,5,24,108,514,2539,12928,65784
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,1300,5100,23300,115100,577500,2923100,14959500
round_k,0,1,6,25,116,575,2887,14615,74797
round_shots,200,100,100,100,100,100,100,100,100
round_queries,200,300,1100,4900,22500,111500,564900,2857300,14535900
round_k,0,1,5,24,112,557,2824,14286,72679
round_shots,200,100,100,100,100,100,100,100,100
round_queries,200,300,1300,5100,22300,109300,543500,2778500,14173900
round_k,0,1,6,25,111,546,2717,13892,70869
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,1300,5100,22100,109700,550700,2791100,14289500
round_k,0,1,6,25,110,548,2753,13955,71447
round_shots,300,100,100,100,100,100,100,100,100
round_queries,300,300,1500,7100,31300,145500,734900,3740900,19120300
round_k,0,1,7,35,156,727,3674,18704,95601
round_shots,100,100,100,100,100,100,100,100
round_queries,100,300,1500,6300,30500,151900,764900,3902700
round_k,0,1,7,31,152,759,3824,19513
round_shots,300,100,100,100,100,100,100,100,100
round_queries,300,300,1300,5100,23700,116500,582100,2945900,15004100
round_k,0,1,6,25,118,582,2910,14729,75020
round_shots,200,100,100,100,100,100,100,100,100
round_queries,200,300,1300,5100,22100,110300,547900,2761300,14095700
round_k,0,1,6,25,110,551,2739,13806,70478
round_shots,200,100,100,100,100,100,100,100,100
round_queries,200,300,1300,6300,27300,139300,696900,3556300,18120700
round_k,0,1,6,31,136,696,3484,17781,90603
round_shots,200,100,100,100,100,100,100,100,100
round_queries,200,300,1100,4900,22900,112900,552300,2736700,13967100
round_k,0,1,5,24,114,564,2761,13683,69835
round_shots,200,100,100,100,100,100,100,100,100
round_queries,200,300,1100,4700,21100,103300,515900,2618300,13249900
round_k,0,1,5,23,105,516,2579,13091,66249
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,1300,5900,26900,129500,657900,3493900,17901100
round_k,0,1,6,29,134,647,3289,17469,89505
round_shots,100,200,100,100,100,100,100,100
round_queries,100,600,1500,7500,36500,180100,918700,4675900
round_k,0,1,7,37,182,900,4593,23379
round_shots,200,100,100,100,100,100,100,100,100
round_queries,200,300,1100,4900,20700,94900,474100,2392900,12232700
round_k,0,1,5,24,103,474,2370,11964,61163
round_shots,300,100,100,100,100,100,100,100,100
round_queries,300,300,1100,4700,23700,119100,596700,3030100,15360100
round_k,0,1,5,23,118,595,2983,15150,76800
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,1300,5900,27500,121700,602900,3068900,15683300
round_k,0,1,6,29,137,608,3014,15344,78416
round_shots,200,100,100,100,100,100,100,100,100
round_queries,200,300,1300,6100,28500,140100,713700,3622300,18507700
round_k,0,1,6,30,142,700,3568,18111,92538
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,1100,4900,22700,97300,474300,2383700,12188500
round_k,0,1,5,24,113,486,2371,11918,60942
round_shots,300,100,100,100,100,100,100,100,100
round_queries,300,300,1300,4700,22700,113700,502700,2450100,12361300
round_k,0,1,6,23,113,568,2513,12250,61806
round_shots,300,200,100,100,100,100,100,100,100
round_queries,300,600,1500,6100,27100,130500,656500,3302700,16849500
round_k,0,1,7,30,135,652,3282,16513,84247
round_shots,100,200,100,100,100,100,100,100
round_queries,100,600,1500,6700,31300,154700,785900,3974900
round_k,0,1,7,33,156,773,3929,19874
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,1100,5100,23100,108300,540900,2754700,13980700
round_k,0,1,5,25,115,541,2704,13773,69903
round_shots,200,100,100,100,100,100,100,100,100
round_queries,200,300,1100,4900,23100,113300,571100,2878700,14759500
round_k,0,1,5,24,115,566,2855,14393,73797
round_shots,200,100,100,100,100,100,100,100,100
round_queries,200,300,1300,5300,24300,120300,603900,3075100,15614700
round_k,0,1,6,26,121,601,3019,15375,78073
round_shots,200,100,100,100,100,100,100,100,100
round_queries,200,300,1100,4900,20900,100100,499300,2515100,12899300
round_k,0,1,5,24,104,500,2496,12575,64496
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,1300,4900,23100,115300,582500,3099700,15836900
round_k,0,1,6,24,115,576,2912,15498,79184
round_shots,200,100,100,100,100,100,100,100,100
round_queries,200,300,1300,5100,23500,119700,598100,3024900,15427900
round_k,0,1,6,25,117,598,2990,15124,77139
round_shots,200,100,100,100,100,100,100,100,100
round_queries,200,300,1500,6300,27300,135700,682700,3430100,17504500
round_k,0,1,7,31,136,678,3413,17150,87522
round_shots,200,100,100,100,100,100,100,100,100
round_queries,200,300,1300,6300,30300,146300,743500,3797500,19385900
round_k,0,1,6,31,151,731,3717,18987,96929
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,1100,4500,19700,96500,485700,2470500,12583700
round_k,0,1,5,22,98,482,2428,12352,62918
round_shots,300,100,100,100,100,100,100,100,100
round_queries,300,300,1100,4900,21700,108900,547700,2765700,14168500
round_k,0,1,5,24,108,544,2738,13828,70842
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,1500,6100,29700,145100,728300,3692500,18843700
round_k,0,1,7,30,148,725,3641,18462,94218
round_shots,300,100,100,100,100,100,100,100,100
round_queries,300,300,1100,3900,18100,88700,446300,2262900,11550900
round_k,0,1,5,19,90,443,2231,11314,57754
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,1300,5100,24100,116100,589700,2979500,15241300
round_k,0,1,6,25,120,580,2948,14897,76206
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,1100,4900,23500,115500,582500,2969700,15051500
round_k,0,1,5,24,117,577,2912,14848,75257
round_shots,200,200,100,100,100,100,100,100
round_queries,200,600,1700,7700,36100,178300,890900,4512500
round_k,0,1,8,38,180,891,4454,22562
round_shots,300,100,100,100,100,100,100,100,100
round_queries,300,300,1100,5100,21700,102500,496900,2504300,12821300
round_k,0,1,5,25,108,512,2484,12521,64106
round_shots,200,200,100,100,100,100,100,100,100
round_queries,200,600,1500,6500,30700,150900,751900,3799900,19430900
round_k,0,1,7,32,153,754,3759,18999,97154
round_shots,300,100,100,100,100,100,100,100,100
round_queries,300,300,1300,5900,27100,130900,652700,3303300,16782900
round_k,0,1,6,29,135,654,3263,16516,83914
round_shots,200,100,100,100,100,100,100,100,100
round_queries,200,300,1300,5100,24300,115700,578500,2938500,15046300
round_k,0,1,6,25,121,578,2892,14692,75231
round_shots,400,100,100,100,100,100,100,100
round_queries,400,900,3700,17100,87100,428300,2178500,11060900
round_k,0,4,18,85,435,2141,10892,55304
round_shots,200,100,100,100,100,100,100,100,100
round_queries,200,300,1300,6100,29500,142900,726900,3709300,18959500
round_k,0,1,6,30,147,714,3634,18546,94797
round_shots,200,100,100,100,100,100,100,100,100
round_queries,200,300,1100,5100,22900,108300,548300,2788900,14257900
round_k,0,1,5,25,114,541,2741,13944,71289
round_shots,200,100,100,100,100,100,100,100,100
round_queries,200,300,1300,5500,26700,128700,649100,3287700,16649900
round_k,0,1,6,27,133,643,3245,16438,83249
round_shots,300,100,100,100,100,100,100,100,100
round_queries,300,300,1300,5500,26500,128700,647900,3295100,16847100
round_k,0,1,6,27,132,643,3239,16475,84235
round_shots,200,100,100,100,100,100,100,100,100
round_queries,200,300,1300,6300,29100,141900,716300,3606100,18236900
round_k,0,1,6,31,145,709,3581,18030,91184
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,1500,6100,28700,144900,722500,3682100,18822700
round_k,0,1,7,30,143,724,3612,18410,94113
round_shots,200,100,100,100,100,100,100,100,100
round_queries,200,300,1300,4900,23300,112300,556900,2839300,14440700
round_k,0,1,6,24,116,561,2784,14196,72203
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,1100,4500,19300,97500,492100,2494900,12726700
round_k,0,1,5,22,96,487,2460,12474,63633
round_shots,300,100,100,100,100,100,100,100,100
round_queries,300,300,1100,4900,23500,116700,586700,2966300,15125900
round_k,0,1,5,24,117,583,2933,14831,75629
round_shots,300,100,100,100,100,100,100,100,100
round_queries,300,300,1100,4900,22300,109700,544500,2776900,14066100
round_k,0,1,5,24,111,548,2722,13884,70330
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,1300,4700,20700,102300,511700,2589500,13214500
round_k,0,1,6,23,103,511,2558,12947,66072
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,1300,5100,22100,110300,557700,2846900,14566500
round_k,0,1,6,25,110,551,2788,14234,72832
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,900,3700,15700,71700,355100,1808300,9212300
round_k,0,1,4,18,78,358,1775,9041,46061
round_shots,300,100,100,100,100,100,100,100
round_queries,300,700,3500,17300,83500,416300,2103300,10764300
round_k,0,3,17,86,417,2081,10516,53821
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,1300,5100,24300,115500,572500,2920100,14961900
round_k,0,1,6,25,121,577,2862,14600,74809
round_shots,200,200,100,100,100,100,100,100
round_queries,200,600,1500,6500,30300,148900,744700,3790700
round_k,0,1,7,32,151,744,3723,18953
round_shots,300,200,100,100,100,100,100,100,100
round_queries,300,600,1500,6100,29300,143300,697100,3447700,17414500
round_k,0,1,7,30,146,716,3485,17238,87072
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,1100,5100,25300,125900,634100,3241100,16555300
round_k,0,1,5,25,126,629,3170,16205,82776
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,1300,4900,23500,115100,584300,2924900,15609700
round_k,0,1,6,24,117,575,2921,14624,78048
round_shots,200,100,100,100,100,100,100,100,100
round_queries,200,300,1100,5100,22500,106900,532300,2692700,13762300
round_k,0,1,5,25,112,534,2661,13463,68811
round_shots,200,200,100,100,100,100,100,100
round_queries,200,600,1500,6700,31100,154300,783900,3984900
round_k,0,1,7,33,155,771,3919,19924
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,1300,5100,24300,114700,578300,2939100,18021100
round_k,0,1,6,25,121,573,2891,14695,90105
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,1300,5900,28900,144900,640700,2853100,14513900
round_k,0,1,6,29,144,724,3203,14265,72569
round_shots,300,100,100,100,100,100,100,100,100
round_queries,300,300,1300,6100,27500,138900,707500,3597300,18421900
round_k,0,1,6,30,137,694,3537,17986,92109
round_shots,200,200,100,100,100,100,100,100
round_queries,200,600,1500,6700,31900,157500,797500,4048700
round_k,0,1,7,33,159,787,3987,20243
round_shots,400,100,100,100,100,100,100,100
round_queries,400,900,3700,18100,77100,374100,1889100,9683300
round_k,0,4,18,90,385,1870,9445,48416
round_shots,200,100,100,100,100,100,100,100,100
round_queries,200,300,1100,3900,19100,96900,484300,2454700,12541900
round_k,0,1,5,19,95,484,2421,12273,62709
round_shots,200,100,100,100,100,100,100,100
round_queries,200,700,2300,10100,46900,236900,1187500,6060500
round_k,0,3,11,50,234,1184,5937,30302
round_shots,200,100,100,100,100,100,100,100,100
round_queries,200,300,1300,5100,22900,110700,557900,2818100,14443900
round_k,0,1,6,25,114,553,2789,14090,72219
round_shots,200,100,100,100,100,100,100,100,100
round_queries,200,300,1100,3900,18900,92500,458300,2333900,11930500
round_k,0,1,5,19,94,462,2291,11669,59652
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,1100,4500,19100,93100,473100,2404500,12253700
round_k,0,1,5,22,95,465,2365,12022,61268
round_shots,200,100,100,100,100,100,100,100,100
round_queries,200,300,1500,6300,29300,147300,747100,3783900,19274100
round_k,0,1,7,31,146,736,3735,18919,96370
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,1100,4900,22500,111700,559700,2851700,14479300
round_k,0,1,5,24,112,558,2798,14258,72396
round_shots,300,100,100,100,100,100,100,100,100
round_queries,300,300,1100,4900,21700,107900,537100,2745100,13917900
round_k,0,1,5,24,108,539,2685,13725,69589
round_shots,200,100,100,100,100,100,100,100,100
round_queries,200,300,1100,4100,19700,93100,469100,2385700,12209500
round_k,0,1,5,20,98,465,2345,11928,61047
round_shots,200,100,100,100,100,100,100,100,100
round_queries,200,300,1100,3900,18300,89700,457100,2330500,11932700
round_k,0,1,5,19,91,448,2285,11652,59663
round_shots,200,100,100,100,100,100,100,100,100
round_queries,200,300,1100,3900,19500,97100,490500,2443300,12394700
round_k,0,1,5,19,97,485,2452,12216,61973
round_shots,300,200,100,100,100,100,100,100,100
round_queries,300,600,1300,6100,28500,140500,693900,3536100,18093300
round_k,0,1,6,30,142,702,3469,17680,90466
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,1100,4100,19100,93700,474100,2409300,12339100
round_k,0,1,5,20,95,468,2370,12046,61695
round_shots,200,100,100,100,100,100,100,100,100
round_queries,200,300,1100,5100,25500,125700,637900,3236500,16564900
round_k,0,1,5,25,127,628,3189,16182,82824
round_shots,400,100,100,100,100,100,100,100,100
round_queries,400,300,1300,5300,23100,105900,532500,2703900,13713900
round_k,0,1,6,26,115,529,2662,13519,68569
round_shots,200,100,100,100,100,100,100,100,100
round_queries,200,300,1100,4700,22100,110500,552300,2803300,14330500
round_k,0,1,5,23,110,552,2761,14016,71652
round_shots,200,100,100,100,100,100,100,100,100
round_queries,200,300,1100,5100,22100,106700,544500,2765700,14014300
round_k,0,1,5,25,110,533,2722,13828,70071
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,1100,4900,22300,109300,546100,2789900,14262900
round_k,0,1,5,24,111,546,2730,13949,71314
round_shots,200,100,100,100,100,100,100,100,100
round_queries,200,300,1100,3900,17300,86500,436900,2223100,11327900
round_k,0,1,5,19,86,432,2184,11115,56639
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,1300,5100,23500,117100,585300,2984500,15250900
round_k,0,1,6,25,117,585,2926,14922,76254
round_shots,200,100,100,100,100,100,100,100,100
round_queries,200,300,1300,6100,27700,139700,694100,3506900,17821900
round_k,0,1,6,30,138,698,3470,17534,89109
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,1300,6100,27100,133300,662900,3320300,17018700
round_k,0,1,6,30,135,666,3314,16601,85093
round_shots,200,100,100,100,100,100,100,100,100
round_queries,200,300,1100,4700,21700,104700,528500,2680500,14337900
round_k,0,1,5,23,108,523,2642,13402,71689
round_shots,200,100,100,100,100,100,100,100,100
round_queries,200,300,1100,3900,18700,89100,450100,2282100,11632300
round_k,0,1,5,19,93,445,2250,11410,58161
round_shots,200,100,100,100,100,100,100,100,100
round_queries,200,300,1300,5100,23300,113300,558700,2854300,14561500
round_k,0,1,6,25,116,566,2793,14271,72807
round_shots,400,100,100,100,100,100,100,100
round_queries,400,900,3300,14500,66900,334300,1691700,8611700
round_k,0,4,16,72,334,1671,8458,43058
round_shots,400,100,100,100,100,100,100,100,100
round_queries,400,300,1500,6100,27700,138700,706500,3625700,18472300
round_k,0,1,7,30,138,693,3532,18128,92361
round_shots,200,100,100,100,100,100,100,100
round_queries,200,300,1500,6500,30700,153500,774500,3928700
round_k,0,1,7,32,153,767,3872,19643
round_shots,200,100,100,100,100,100,100,100,100
round_queries,200,300,1300,6100,26900,132700,659300,3333700,16982500
round_k,0,1,6,30,134,663,3296,16668,84912
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,1100,4900,23300,112500,562500,2874500,14674900
round_k,0,1,5,24,116,562,2812,14372,73374
round_shots,200,100,100,100,100,100,100,100,100
round_queries,200,300,1100,5100,22700,115700,579300,2905700,14860300
round_k,0,1,5,25,113,578,2896,14528,74301
round_shots,300,100,100,100,100,100,100,100,100
round_queries,300,300,1300,4900,21500,107300,543100,2763900,14122100
round_k,0,1,6,24,107,536,2715,13819,70610
round_shots,200,200,100,100,100,100,100,100
round_queries,200,600,1500,7500,34700,170500,860900,4367300
round_k,0,1,7,37,173,852,4304,21836
round_shots,200,100,100,100,100,100,100,100,100
round_queries,200,300,1300,5500,25300,124300,614900,3287700,16685700
round_k,0,1,6,27,126,621,3074,16438,83428
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,1100,3900,17900,86500,432300,2198900,11224300
round_k,0,1,5,19,89,432,2161,10994,56121
round_shots,300,100,100,100,100,100,100,100,100
round_queries,300,300,1100,4700,20500,101100,508100,2596700,13297700
round_k,0,1,5,23,102,505,2540,12983,66488
round_shots,200,100,100,100,100,100,100,100,100
round_queries,200,300,1100,4900,22500,110100,548900,2763100,14142700
round_k,0,1,5,24,112,550,2744,13815,70713
round_shots,200,100,100,100,100,100,100,100,100
round_queries,200,300,1500,5300,22900,110700,563500,2854700,14628700
round_k,0,1,7,26,114,553,2817,14273,73143
round_shots,200,100,100,100,100,100,100,100,100
round_queries,200,300,1100,5100,22500,110500,551900,2780300,14074300
round_k,0,1,5,25,112,552,2759,13901,70371
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,1100,5100,23300,116700,585100,2963900,14991100
round_k,0,1,5,25,116,583,2925,14819,74955
round_shots,200,100,100,100,100,100,100,100,100
round_queries,200,300,1100,4700,21700,103700,515100,2633300,13458900
round_k,0,1,5,23,108,518,2575,13166,67294
round_shots,200,100,100,100,100,100,100,100,100
round_queries,200,300,1100,4700,19900,93100,460300,2308300,11792700
round_k,0,1,5,23,99,465,2301,11541,58963
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,1100,4900,22300,113500,564300,2862500,14582700
round_k,0,1,5,24,111,567,2821,14312,72913
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,1300,5500,28900,136700,699500,3551100,18186700
round_k,0,1,6,27,144,683,3497,17755,90933
round_shots,200,200,100,100,100,100,100,100
round_queries,200,600,1500,6500,31100,154900,779100,3955500
round_k,0,1,7,32,155,774,3895,19777
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,1300,5500,25500,125100,629900,3217300,16429300
round_k,0,1,6,27,127,625,3149,16086,82146
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,1300,4900,23700,116700,583500,2984900,15204900
round_k,0,1,6,24,118,583,2917,14924,76024
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,1100,3900,17300,86300,431300,2181300,11123900
round_k,0,1,5,19,86,431,2156,10906,55619
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,1300,4900,23300,114300,584900,2958100,15136300
round_k,0,1,6,24,116,571,2924,14790,75681
round_shots,200,100,100,100,100,100,100,100,100
round_queries,200,300,1100,5100,21900,105700,537700,2721900,13850100
round_k,0,1,5,25,109,528,2688,13609,69250
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,1100,3900,17700,88900,442300,2239700,11335900
round_k,0,1,5,19,88,444,2211,11198,56679
round_shots,300,100,100,100,100,100,100,100,100
round_queries,300,300,1100,4100,20300,101700,516300,2612900,13237900
round_k,0,1,5,20,101,508,2581,13064,66189
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,1300,5300,24300,115900,581300,2980100,15096300
round_k,0,1,6,26,121,579,2906,14900,75481
round_shots,200,200,100,100,100,100,100,100
round_queries,200,600,1500,7500,34300,168300,844100,4299900
round_k,0,1,7,37,171,841,4220,21499
round_shots,300,100,100,100,100,100,100,100,100
