round_shots,100,200,200,200,100,100,100
round_queries,100,600,2200,9400,20300,77500,1516100
round_k,1,5,23,101,387,1605,7580
round_shots,200,100,200,200,200,300,100,100
round_queries,200,300,1800,5800,21000,114900,244300,5129300
round_k,1,4,14,52,191,1221,4923,25646
round_shots,200,200,100,300,200,100,100,100
round_queries,200,600,1100,9900,21400,54500,221500,5374700
round_k,1,5,16,53,272,1107,5026,26873
round_shots,200,100,200,300,200,100,100,100
round_queries,200,300,1800,10500,21400,55300,224900,5489300
round_k,1,4,17,53,276,1124,5135,27446
round_shots,200,200,100,200,200,100,100,100
round_queries,200,600,1100,6600,28600,60900,257300,6470700
round_k,1,5,16,71,304,1286,5979,32353
round_shots,200,100,100,100,200,100,100,100
round_queries,200,300,900,2900,17400,29500,114100,2041700
round_k,1,4,14,43,147,570,2137,10208
round_shots,100,100,100,100,100,100,100,100
round_queries,100,300,900,2700,9100,31500,116300,1422700
round_k,1,4,13,45,157,581,2113,7113
round_shots,200,100,100,100,400,200,100,100
round_queries,200,300,900,2700,34000,51000,117100,2159300
round_k,1,4,13,42,127,585,2269,10796
round_shots,200,200,200,200,300,100,100
round_queries,200,600,2600,9400,57300,122700,2363900
round_k,1,6,23,95,613,2481,11819
round_shots,100,100,200,200,200,100,100,100
round_queries,100,300,1800,6200,21000,55700,226500,5468300
round_k,1,4,15,52,278,1132,5132,27341
round_shots,100,200,200,300,100,100,100,100
round_queries,100,600,2200,11100,19700,65500,273500,7035100
round_k,1,5,18,98,327,1367,6437,35175
round_shots,200,200,200,200,100,300,100,100
round_queries,200,600,2600,8200,16700,178500,186100,3296300
round_k,1,6,20,83,297,930,3272,16481
round_shots,200,200,100,200,500,100,100
round_queries,200,600,1100,7000,72500,123900,2248500
round_k,1,5,17,72,619,2297,11242
round_shots,200,100,100,400,100,100,100,100
round_queries,200,300,900,11600,9100,32900,120300,2566500
round_k,1,4,14,45,164,601,2566,12832
round_shots,200,100,100,300,200,100,100,100
round_queries,200,300,900,8100,18200,47500,167500,3744500
round_k,1,4,13,45,237,837,3649,18722
round_shots,200,200,200,200,400,100,100,100
round_queries,200,600,1800,6600,53200,43100,129300,2747100
round_k,1,4,16,66,215,646,2805,13735
round_shots,200,100,200,100,100,400,100,100
round_queries,200,300,1800,3100,10100,134800,101500,1563100
round_k,1,4,15,50,168,507,1769,7815
round_shots,200,200,100,100,100,500,100,100,100
round_queries,200,600,900,2700,9100,139500,86500,259900,5937700
round_k,1,4,13,45,139,432,1299,5504,29688
round_shots,200,200,200,200,200,100,200,100
round_queries,200,600,2200,7400,28600,47300,301000,3851300
round_k,1,5,18,71,236,752,4260,19256
round_shots,200,200,200,200,400,100,100,100
round_queries,200,600,2200,6600,42800,74700,276100,7183100
round_k,1,5,16,53,373,1380,6537,35915
round_shots,200,200,200,200,400,100,100,100
round_queries,200,600,1800,6200,39600,73900,260100,6624500
round_k,1,4,15,49,369,1300,6089,33122
round_shots,100,200,200,400,100,100,100
round_queries,100,600,2200,18800,31500,109100,2261500
round_k,1,5,23,157,545,2323,11307
round_shots,100,100,200,300,200,100,100,100
round_queries,100,300,1800,10500,21400,48500,179700,4195300
round_k,1,4,17,53,242,898,4026,20976
round_shots,200,100,200,200,500,100,100
round_queries,200,300,1800,5400,61500,104700,1956100
round_k,1,4,13,61,523,2035,9780
round_shots,200,200,100,300,200,100,100,100
round_queries,200,600,900,8700,18600,41500,150300,3283300
round_k,1,4,14,46,207,751,3218,16416
round_shots,300,200,200,200,100,100,100,100
round_queries,300,600,2200,10200,16300,62500,254300,6331100
round_k,1,5,25,81,312,1271,5826,31655
round_shots,300,200,100,300,200,100,100,100
round_queries,300,600,1100,9900,22600,55500,220500,5278100
round_k,1,5,16,56,277,1102,4941,26390
round_shots,200,100,100,200,200,100,100,100
round_queries,200,300,900,5800,27400,70100,249700,5853700
round_k,1,4,14,68,350,1248,5503,29268
round_shots,200,100,200,300,200,100,100,100
round_queries,200,300,1800,12900,28600,60100,214700,5251300
round_k,1,4,21,71,300,1073,4948,26256
round_shots,200,200,100,500,200,100,100,100
round_queries,200,600,1100,16500,21000,41700,157700,3612500
round_k,1,5,16,52,208,788,3537,18062
round_shots,200,100,100,200,100,100,100,100
round_queries,200,300,900,5800,14500,45300,179100,2319900
round_k,1,4,14,72,226,895,3505,11599
round_shots,200,200,200,100,200,200,100,100
round_queries,200,600,2200,4700,30200,106600,228700,5360500
round_k,1,5,23,75,266,1143,5063,26802
round_shots,200,200,100,100,200,400,100,100
round_queries,200,600,1100,3300,19800,144400,112300,1569700
round_k,1,5,16,49,180,561,1859,7848
round_shots,200,100,200,500,100,100,100,100
round_queries,200,300,1800,19500,12700,45100,177900,4053700
round_k,1,4,19,63,225,889,3902,20268
round_shots,200,100,200,200,200,100,100,100
round_queries,200,300,1800,7800,25800,60100,241900,5732700
round_k,1,4,19,64,300,1209,5414,28663
round_shots,200,100,200,100,600,100,100
round_queries,200,300,1800,3900,71400,103700,1899700
round_k,1,4,19,59,518,1951,9498
round_shots,200,200,100,200,200,100,100
round_queries,200,600,900,5400,22600,49300,1543100
round_k,1,4,13,56,246,853,7715
round_shots,200,100,200,200,300,100,100,100
round_queries,200,300,1800,5800,31500,64100,252500,6116100
round_k,1,4,14,52,320,1262,5679,30580
round_shots,200,200,200,300,200,100,100,100
round_queries,200,600,1800,8100,17000,38900,149300,3353100
round_k,1,4,13,42,194,746,3283,16765
round_shots,200,100,200,400,200,100,100,100
round_queries,200,300,1800,13200,19800,48500,187500,4432100
round_k,1,4,16,49,242,937,4234,22160
round_shots,100,200,200,600,100,100,100
round_queries,100,600,1800,23400,34100,127300,2809900
round_k,1,4,19,170,636,2799,14049
round_shots,200,200,100,100,200,100,100,100
round_queries,200,600,1300,4300,26200,63500,235700,5641300
round_k,1,6,21,65,317,1178,5252,28206
round_shots,200,200,100,100,500,100,100,100
round_queries,200,600,1100,3300,51500,30900,98300,1691700
round_k,1,5,16,51,154,491,1829,8458
round_shots,200,200,200,600,200,100,100,100
round_queries,200,600,2200,22200,23000,50900,183700,4260100
round_k,1,5,18,57,254,918,4083,21300
round_shots,300,200,100,500,200,100,100,100
round_queries,300,600,900,13500,16200,34300,118700,2536500
round_k,1,4,13,40,171,593,2576,12682
round_shots,100,100,100,300,200,100,100,100
round_queries,100,300,900,8100,17000,39900,153900,3419900
round_k,1,4,13,42,199,769,3354,17099
round_shots,200,200,200,200,200,100,100,100
round_queries,200,600,1800,7800,26200,55100,192500,4608300
round_k,1,4,19,65,275,962,4393,23041
round_shots,200,100,100,100,200,200,100,100
round_queries,200,300,900,2700,18200,66200,167500,3270500
round_k,1,4,13,45,165,837,3214,16352
round_shots,200,200,100,100,100,100,100,100
round_queries,200,600,1100,3300,9900,34300,116500,1604900
round_k,1,5,16,49,171,582,1941,8024
round_shots,200,100,100,200,400,100,100,100
round_queries,200,300,900,5400,33200,60700,232500,5518100
round_k,1,4,13,41,303,1162,5148,27590
round_shots,200,100,100,100,300,300,100,100
round_queries,200,300,900,2900,27300,91500,197700,3983300
round_k,1,4,14,45,152,988,3882,19916
round_shots,100,200,100,200,400,200,100,100
round_queries,100,600,1100,6600,46800,72200,158100,3200900
round_k,1,5,16,58,180,790,3219,16004
round_shots,200,200,100,300,400,100,100
round_queries,200,600,1100,10500,49200,92100,1640900
round_k,1,5,17,61,460,1713,8204
round_shots,200,200,200,300,300,100,100
round_queries,200,600,2200,12900,39900,88500,1824900
round_k,1,5,21,66,442,1894,9124
round_shots,200,200,200,300,200,100,100,100
round_queries,200,600,2200,10500,21800,46300,165100,3708700
round_k,1,5,17,54,231,825,3591,18543
round_shots,100,200,200,400,100,100,100
round_queries,100,600,2200,14800,25900,80900,1545700
round_k,1,5,18,129,404,1635,7728
round_shots,200,200,100,100,200,200,100,100
round_queries,200,600,1100,3500,25000,101400,232300,4874100
round_k,1,5,17,62,253,1161,4748,24370
round_shots,200,100,100,300,200,100,100,100
round_queries,200,300,900,8100,18200,40100,154100,3428900
round_k,1,4,13,45,200,770,3357,17144
round_shots,100,200,200,100,300,100,100
round_queries,100,600,2600,6100,64500,138500,2747300
round_k,1,6,30,107,692,2742,13736
round_shots,200,200,100,200,200,200,100,100
round_queries,200,600,1100,6600,24600,79000,141700,2956100
round_k,1,5,16,61,197,708,3102,14780
round_shots,100,200,200,300,200,100,100
round_queries,100,600,2600,15900,34600,90100,1639700
round_k,1,6,26,86,450,1703,8198
round_shots,200,100,200,300,200,100,100,100
round_queries,200,300,1800,12900,25800,61700,233900,5808500
round_k,1,4,21,64,308,1169,5418,29042
round_shots,200,200,200,400,100,100,100,100
round_queries,200,600,2200,19600,14900,49500,190500,4414700
round_k,1,5,24,74,247,952,4206,22073
round_shots,200,200,100,100,100,200,200,100
round_queries,200,600,1100,3500,11500,77000,296200,3180300
round_k,1,5,17,57,192,740,3696,15901
round_shots,100,200,200,300,200,100,100,100
round_queries,100,600,1800,9300,18600,42100,162700,3635700
round_k,1,4,15,46,210,813,3545,18178
round_shots,200,200,100,400,100,100,100,100
round_queries,200,600,1100,13200,10300,31700,108500,2292700
round_k,1,5,16,51,158,542,2328,11463
round_shots,200,200,200,500,200,100,100,100
round_queries,200,600,2200,20500,24600,62100,255700,6234100
round_k,1,5,20,61,310,1278,5757,31170
round_shots,200,100,200,100,200,100,100,100
round_queries,200,300,1800,3700,26600,68100,268300,6792500
round_k,1,4,18,66,340,1341,6246,33962
round_shots,200,100,100,100,200,200,100,100
round_queries,200,300,900,2700,18200,63000,170500,3060500
round_k,1,4,13,45,157,852,3038,15302
round_shots,300,200,200,200,400,100,100
round_queries,300,600,2600,7800,55600,106100,1894500
round_k,1,6,19,69,530,1943,9472
round_shots,200,100,200,500,100,100,100,100
round_queries,200,300,1800,15500,9300,32900,131700,2851900
round_k,1,4,15,46,164,658,2845,14259
round_shots,200,200,200,100,200,200,300,100
round_queries,200,600,2200,4100,25000,83800,497100,5136300
round_k,1,5,20,62,209,828,5381,25681
round_shots,200,200,200,400,400,100,100
round_queries,200,600,2200,14000,42800,72300,1446300
round_k,1,5,17,53,361,1537,7231
round_shots,100,200,200,200,200,100,100,100
round_queries,100,600,2200,8600,28200,72300,267100,6478300
round_k,1,5,21,70,361,1335,6044,32391
round_shots,200,100,200,100,400,100,100,100
round_queries,200,300,1800,3900,49200,42900,159100,3030700
round_k,1,4,19,61,214,795,3052,15153
round_shots,200,100,300,100,100,300,100,100
round_queries,200,300,2700,3300,10900,104700,106100,1964500
round_k,1,4,16,54,174,530,2147,9822
round_shots,200,200,100,200,500,100,100
round_queries,200,600,900,5800,61500,100900,2140700
round_k,1,4,14,61,504,2198,10703
round_shots,200,100,200,200,200,100,100,100
round_queries,200,300,1800,7400,26600,60500,224500,5342700
round_k,1,4,18,66,302,1122,5010,26713
round_shots,100,200,100,200,400,200,100,100
round_queries,100,600,1100,7000,47600,75800,177500,3729900
round_k,1,5,17,59,189,887,3662,18649
round_shots,200,100,100,100,400,100,100,100
round_queries,200,300,900,2700,34800,63100,235500,5691700
round_k,1,4,13,43,315,1177,5311,28458
round_shots,200,100,100,100,100,100,100,100
round_queries,200,300,900,2900,9100,30100,97500,1675500
round_k,1,4,14,45,150,487,1923,8377
round_shots,100,100,200,100,300,200,100,100
round_queries,100,300,1800,3700,35100,77000,212100,4782300
round_k,1,4,18,58,192,1060,4681,23911
round_shots,200,200,100,200,400,100,100
round_queries,200,600,900,5400,46800,77300,1414900
round_k,1,4,13,58,386,1515,7074
round_shots,100,100,100,200,200,100,100,100
round_queries,100,300,900,5800,18200,43900,177500,4081500
round_k,1,4,14,45,219,887,3917,20407
round_shots,200,200,100,100,200,200,100,100
round_queries,200,600,900,2700,17000,63000,161500,2819900
round_k,1,4,13,42,157,807,2877,14099
round_shots,200,100,200,200,200,100,100,100
round_queries,200,300,1800,6200,21400,55300,203900,4818700
round_k,1,4,15,53,276,1019,4563,24093
round_shots,200,200,100,500,100,100,100,100
round_queries,200,600,1100,16500,10100,36700,143100,3075100
round_k,1,5,16,50,183,715,3045,15375
round_shots,200,200,100,200,100,300,100,100
round_queries,200,600,1100,7000,13500,126300,274700,5720900
round_k,1,5,17,67,210,1373,5528,28604
round_shots,200,300,200,100,100,200,200,100
round_queries,200,900,2200,5300,17100,112200,365400,4871900
round_k,1,5,26,85,280,913,5120,24359
round_shots,100,200,200,200,400,100,100
round_queries,100,600,2600,10200,77200,143300,2557900
round_k,1,6,25,96,716,2663,12789
round_shots,300,200,200,500,100,100,100,100
round_queries,300,600,2200,23500,14300,52100,214100,5056700
round_k,1,5,23,71,260,1070,4791,25283
round_shots,200,200,100,100,500,100,100,100
round_queries,200,600,1100,3700,61500,37100,134100,2404500
round_k,1,5,18,61,185,670,2460,12022
round_shots,200,200,100,100,200,200,100,100
round_queries,200,600,900,2900,19000,60600,149100,2767500
round_k,1,4,14,47,151,745,2767,13837
round_shots,200,100,200,100,300,200,100,100
round_queries,200,300,1800,3300,29700,65000,178500,3490700
round_k,1,4,16,49,162,892,3541,17453
round_shots,200,200,100,100,300,100,100,100
round_queries,200,600,1300,3900,40500,45900,178700,4120100
round_k,1,6,19,67,229,893,4015,20600
round_shots,100,200,200,100,300,200,100,100
round_queries,100,600,2200,3900,40500,100600,270900,6810300
round_k,1,5,19,67,251,1354,6376,34051
round_shots,200,200,200,300,200,100,100,100
round_queries,200,600,2200,10500,21000,55700,184500,4217700
round_k,1,5,17,52,278,922,4042,21088
round_shots,100,200,200,200,300,100,100,100
round_queries,100,600,1800,6600,30300,62300,258700,6332900
round_k,1,4,16,50,311,1293,5846,31664
round_shots,200,100,200,100,200,300,100,100
round_queries,200,300,1800,4100,28200,152700,162900,2533700
round_k,1,4,20,70,254,814,2858,12668
round_shots,200,100,100,200,100,100,100,100
round_queries,200,300,900,5400,8100,27900,102900,2180100
round_k,1,4,13,40,139,514,2221,10900
round_shots,200,100,100,400,200,100,100,100
round_queries,200,300,900,10800,16200,42700,170500,3922500
round_k,1,4,13,40,213,852,3809,19612
round_shots,200,200,100,200,200,100,100,100
round_queries,200,600,1100,6600,23000,34700,140900,2888100
round_k,1,5,16,57,173,704,2969,14440
round_shots,200,200,100,200,100,100,200,100
round_queries,200,600,900,5400,12300,43100,284200,2323300
round_k,1,4,13,61,215,710,2451,11616
round_shots,200,200,200,100,400,100,100,100
round_queries,200,600,1800,3700,49200,38900,130500,2365300
round_k,1,4,18,61,194,652,2420,11826
round_shots,100,200,100,200,400,100,100,100
round_queries,100,600,900,5800,34800,61500,238300,5933100
round_k,1,4,14,43,307,1191,5538,29665
round_shots,100,200,100,200,200,200,100,100
round_queries,100,600,1100,7000,31400,97800,266900,6567100
round_k,1,5,17,78,244,1334,6142,32835
round_shots,200,200,200,400,100,100,100,100
round_queries,200,600,2600,21200,16500,56100,212500,4912300
round_k,1,6,26,82,280,1062,4676,24561
round_shots,200,200,100,100,600,100,100
round_queries,200,600,1100,3500,64200,97500,1809900
round_k,1,5,17,53,487,1915,9049
round_shots,200,100,200,300,400,100,100,100
round_queries,200,300,1800,8700,39600,30100,100700,2029900
round_k,1,4,14,49,150,503,2071,10149
round_shots,100,100,100,100,400,200,100,100
round_queries,100,300,900,2900,34800,53800,132100,2773500
round_k,1,4,14,43,134,660,2850,13867
round_shots,200,200,200,200,200,100,100,100
round_queries,200,600,2200,7000,23000,54900,192500,4463900
round_k,1,5,17,57,274,962,4293,22319
round_shots,200,100,200,100,100,500,100
round_queries,200,300,1800,3700,12700,223500,1725300
round_k,1,4,18,63,223,1808,8626
round_shots,100,200,100,100,200,200,100,100
round_queries,100,600,1100,3300,20600,92200,199900,4633100
round_k,1,5,16,51,230,999,4526,23165
round_shots,200,200,100,400,200,100,100,100
round_queries,200,600,1100,13200,21000,51500,185900,4254300
round_k,1,5,16,52,257,929,4094,21271
round_shots,200,200,200,100,200,100,100
round_queries,200,600,2600,4700,31400,77500,1479900
round_k,1,6,23,78,387,1610,7399
round_shots,200,200,200,200,100,200,100,100
round_queries,200,600,2200,6600,12300,82600,148300,2826700
round_k,1,5,16,61,206,741,3249,14133
round_shots,200,100,100,200,300,100,100,100
round_queries,200,300,900,5400,30900,31100,120300,2368300
round_k,1,4,13,51,155,601,2476,11841
round_shots,200,200,200,200,600,100,100
round_queries,200,600,2200,7800,85800,129300,2615300
round_k,1,5,19,71,646,2676,13076
round_shots,100,200,200,300,100,100,100
round_queries,100,600,2600,12300,24100,86900,1680300
round_k,1,6,20,120,434,1782,8401
round_shots,100,100,100,200,200,300,100,100
round_queries,100,300,900,5800,23000,113100,230700,5496300
round_k,1,4,14,57,188,1153,5173,27481
round_shots,200,200,100,300,100,100,100,100
round_queries,200,600,1100,10500,11500,42700,171300,3865700
round_k,1,5,17,57,213,856,3757,19328
round_shots,200,100,200,100,100,200,300,100
round_queries,200,300,1800,3300,10900,69800,382500,4890100
round_k,1,4,16,54,174,637,4806,24450
round_shots,200,100,100,100,200,100,200,100
round_queries,200,300,900,2700,16200,26300,162600,1629900
round_k,1,4,13,40,131,406,1953,8149
round_shots,200,300,100,200,400,100,100
round_queries,200,900,1100,6600,57200,107500,1990100
round_k,1,5,16,71,537,2067,9950
round_shots,200,100,200,200,100,400,100,100
round_queries,200,300,1800,8200,15100,214000,168100,3078300
round_k,1,4,20,75,267,840,3107,15391
round_shots,100,100,100,200,400,100,100,100
round_queries,100,300,900,5400,35600,26700,81100,1562700
round_k,1,4,13,44,133,405,1682,7813
round_shots,200,200,200,400,100,100,100
round_queries,200,600,2600,18000,31500,120700,2642500
round_k,1,6,22,157,603,2645,13212
round_shots,200,200,200,400,100,100,100,100
round_queries,200,600,2200,16400,12500,47700,187500,4300100
round_k,1,5,20,62,238,937,4120,21500
round_shots,200,200,100,100,200,100,100,100
round_queries,200,600,1100,3300,20600,37500,135500,2673300
round_k,1,5,16,51,187,677,2727,13366
round_shots,200,200,300,400,100,100,100,100
round_queries,200,600,2700,12400,9500,30700,115300,2479300
