round_k,3,14,44,151,525,2020,8647,41415
round_shots,600,200,200,200,100,100,100,100
round_queries,600,1400,5000,21400,44500,160500,641900,14317500
round_k,3,12,53,222,802,3209,14229,71587
round_shots,900,300,200,100,100,100,100,100
round_queries,900,2100,5000,10300,35700,122900,473500,9970100
round_k,3,12,51,178,614,2367,10199,49850
round_shots,400,300,200,200,200,100,100,100,100
round_queries,400,1500,3400,10600,34600,67900,259300,1064700,25997500
round_k,2,8,26,86,339,1296,5323,24511,129987
round_shots,500,200,300,200,100,100,100,100
round_queries,500,1000,5100,16600,38500,142700,569300,12214700
round_k,2,8,41,192,713,2846,12442,61073
round_shots,700,300,200,100,100,100,100,100,100
round_queries,700,1500,3400,7100,21900,76900,294300,1238100,31323700
round_k,2,8,35,109,384,1471,6190,28958,156618
round_shots,600,200,200,200,100,100,100,100,100
round_queries,600,1000,3400,14200,26900,90100,345900,1451700,38079300
round_k,2,8,35,134,450,1729,7258,34368,190396
round_shots,600,300,200,100,200,100,100,100
round_queries,600,1500,3400,7100,45400,97900,375900,7679500
round_k,2,8,35,113,489,1879,8045,38397
round_shots,500,200,200,100,100,100,100,100,100
round_queries,500,1000,3400,5900,19500,66900,258100,1072500,26258700
round_k,2,8,29,97,334,1290,5362,24766,131293
round_shots,600,300,200,100,100,100,100,100,100
round_queries,600,1500,3400,6700,21900,78300,288300,1200700,29728100
round_k,2,8,33,109,391,1441,6003,27798,148640
round_shots,600,200,200,200,100,100,100,100,100
round_queries,600,1000,3400,13000,25700,91900,330300,1371500,35465500
round_k,2,8,32,128,459,1651,6857,32332,177327
round_shots,600,200,200,200,100,100,100,100
round_queries,600,1000,3400,13400,32100,99500,377500,7666700
round_k,2,8,33,160,497,1887,8017,38333
round_shots,600,200,200,200,100,100,100,100
round_queries,600,1400,5000,18200,37900,136700,543500,11617100
round_k,3,12,45,189,683,2717,11832,58085
round_shots,700,300,200,100,100,100,100,100,100
round_queries,700,1500,3400,6500,20100,70900,260900,1088300,26803300
round_k,2,8,32,100,354,1304,5441,25119,134016
round_shots,500,200,200,200,100,100,100,100
round_queries,500,1000,3800,15800,37300,126700,485900,10293700
round_k,2,9,39,186,633,2429,10506,51468
round_shots,700,300,200,100,100,100,100,100,100
round_queries,700,2100,5000,7900,25300,77100,265100,1099700,27170900
round_k,3,12,39,126,385,1325,5498,25389,135854
round_shots,900,300,200,200,100,100,100,100
round_queries,900,2100,5800,25400,56300,189500,724300,16407500
round_k,3,14,63,281,947,3621,16118,82037
round_shots,600,300,100,200,100,100,100,100
round_queries,600,1500,1900,12200,28500,96900,367300,7481500
round_k,2,9,30,142,484,1836,7855,37407
round_shots,900,300,100,200,100,100,100,100,100
round_queries,900,1500,1900,12200,21100,65900,240100,983500,23832300
round_k,2,9,30,105,329,1200,4917,22585,119161
round_shots,900,300,200,200,100,100,100,100,100
round_queries,900,1500,3800,11800,24500,84300,285300,1198100,30166500
round_k,2,9,29,122,421,1426,5990,27871,150832
round_shots,800,300,200,200,100,100,100,100
round_queries,800,1500,3400,14600,29100,105500,409500,8457900
round_k,2,8,36,145,527,2047,8786,42289
round_shots,500,200,200,100,100,100,100,100,100
round_queries,500,1000,3800,7500,23500,79300,301500,1248100,31462900
round_k,2,9,37,117,396,1507,6240,29012,157314
round_shots,800,200,200,200,100,100,100,100,100
round_queries,800,1000,3400,12200,20900,68300,249700,1028300,25110900
round_k,2,8,30,104,341,1248,5141,23641,125554
round_shots,500,300,200,100,100,100,100,100
round_queries,500,1500,4600,8900,30500,109300,432500,8929100
round_k,2,11,44,152,546,2162,9256,44645
round_shots,700,300,200,200,100,100,100,100
round_queries,700,1500,5000,15800,35100,127500,499100,10630300
round_k,2,12,39,175,637,2495,10886,53151
round_shots,700,300,200,100,100,100,100,100,100
round_queries,700,1500,3800,7300,22500,77500,289500,1209900,30244500
round_k,2,9,36,112,387,1447,6049,28076,151222
round_shots,600,200,200,100,200,100,100,100,100
round_queries,600,1000,3400,5500,35000,63700,227700,917500,21650500
round_k,2,8,27,87,318,1138,4587,20894,108252
round_shots,600,200,200,200,100,200,100,100
round_queries,600,1000,3400,11800,21500,154600,390900,7716300
round_k,2,8,29,107,386,1954,8132,38581
round_shots,600,200,200,100,100,100,100,100,100
round_queries,600,1000,3400,5500,16700,52300,189100,758900,17401100
round_k,2,8,27,83,261,945,3794,17033,87005
round_shots,400,200,300,100,200,100,100,100,100
round_queries,400,1000,5100,7100,43000,78500,277700,1133700,27969900
round_k,2,8,35,107,392,1388,5668,26150,139849
round_shots,500,300,200,200,100,100,100,100
round_queries,500,1500,5000,21800,45300,151900,604500,13381700
round_k,2,12,54,226,759,3022,13344,66908
round_shots,400,200,200,200,100,100,100,100
round_queries,400,1000,3400,13000,25900,87700,333100,6567100
round_k,2,8,32,129,438,1665,6964,32835
round_shots,500,300,200,200,200,100,100,100,100
round_queries,500,1500,3400,11800,45400,79300,290900,1225900,30529900
round_k,2,8,29,113,396,1454,6129,28237,152649
round_shots,700,300,200,100,200,100,100,100,100
round_queries,700,1500,3800,5900,38600,65500,241500,1005500,24613700
round_k,2,9,29,96,327,1207,5027,23208,123068
round_shots,700,200,200,100,100,100,100,100,100
round_queries,700,1400,4600,8900,26900,92700,324300,1315300,33794300
round_k,3,11,44,134,463,1621,6576,30896,168971
round_shots,600,300,200,200,100,100,100,100,100
round_queries,600,1500,3400,10600,25100,82900,296900,1240300,31488900
round_k,2,8,26,125,414,1484,6201,29091,157444
round_shots,500,300,200,100,200,100,100,100,100
round_queries,500,1500,3400,5900,38600,66700,246300,981500,23665300
round_k,2,8,29,96,333,1231,4907,22433,118326
round_shots,600,200,200,200,100,100,100,100,100
round_queries,600,1000,3400,11800,19700,67100,242100,1008500,24519500
round_k,2,8,29,98,335,1210,5042,23180,122597
round_shots,600,200,200,200,100,100,100,100,100
round_queries,600,1000,3400,10600,17300,57500,202300,795900,18477500
round_k,2,8,26,86,287,1011,3979,17903,92387
round_shots,500,300,200,100,200,100,100,100,100
round_queries,500,1500,3400,5500,36200,87500,313700,1307500,33334500
round_k,2,8,27,90,437,1568,6537,30565,166672
round_shots,700,300,100,200,100,100,100,100,100
round_queries,700,1500,1700,10600,21300,68100,258300,1062100,25666500
round_k,2,8,26,106,340,1291,5310,24444,128332
round_shots,800,300,200,100,100,100,100,100
round_queries,800,2100,5000,10900,33700,119700,471300,9991500
round_k,3,12,54,168,598,2356,10211,49957
round_shots,600,300,200,100,100,100,100,100,100
round_queries,600,1500,3800,7900,24900,89700,337700,1421700,37145300
round_k,2,9,39,124,448,1688,7108,33660,185726
round_shots,500,200,200,100,200,100,100,100,100
round_queries,500,1000,3400,5500,34600,80700,309100,1289500,32748100
round_k,2,8,27,86,403,1545,6447,30083,163740
round_shots,700,300,200,200,100,100,100,100
round_queries,700,1500,3800,14200,30300,101300,395500,8174100
round_k,2,9,35,151,506,1977,8475,40870
round_shots,300,200,200,200,100,100,100,100
round_queries,300,1000,3400,11800,26500,91500,350700,7067500
round_k,2,8,29,132,457,1753,7444,35337
round_shots,800,200,200,200,200,100,100,100,100
round_queries,800,1000,3400,10600,36200,90100,272100,1065100,26192700
round_k,2,8,26,90,450,1360,5325,24589,130963
round_shots,700,200,200,100,100,100,100,100
round_queries,700,1400,5000,10700,34900,126300,472300,9767300
round_k,3,12,53,174,631,2361,10005,48836
round_shots,500,300,300,200,100,100,100,100
round_queries,500,1500,5700,15800,36500,117500,434500,8474900
round_k,2,9,39,182,587,2172,8869,42374
round_shots,800,300,200,200,100,100,100,100,100
round_queries,800,1500,3400,11000,23500,77100,287700,1184500,29902300
round_k,2,8,27,117,385,1438,5922,27651,149511
round_shots,800,300,100,200,100,100,100,100,100
round_queries,800,1500,1700,11000,19300,63100,226100,932300,22311900
round_k,2,8,27,96,315,1130,4661,21282,111559
round_shots,700,300,200,200,100,100,100,100,100
round_queries,700,1500,3400,11800,23700,82300,312700,1311900,33559500
round_k,2,8,29,118,411,1563,6559,30769,167797
round_shots,800,300,200,200,100,100,100,100
round_queries,800,1500,4600,19000,44700,160500,646100,14398300
round_k,2,11,47,223,802,3230,14257,71991
round_shots,700,300,100,200,100,100,100,100,100
round_queries,700,1500,1900,11800,20900,74900,285900,1188700,29664300
round_k,2,9,29,104,374,1429,5943,27646,148321
round_shots,700,300,200,200,100,100,100,100
round_queries,700,1500,3800,15800,36500,120700,469900,9987700
round_k,2,9,39,182,603,2349,10239,49938
round_shots,800,300,200,200,100,100,100,100
round_queries,800,2100,5800,22600,48700,174100,660500,14615500
round_k,3,14,56,243,870,3302,14486,73077
round_shots,700,200,200,100,200,100,100,100
round_queries,700,1000,3400,7100,46600,116100,405100,8058300
round_k,2,8,35,116,580,2025,8415,40291
round_shots,800,300,200,100,200,100,100,100
round_queries,800,2100,5000,10100,65800,138700,550300,11855700
round_k,3,12,50,164,693,2751,12061,59278
round_shots,900,300,200,200,100,100,100,100
round_queries,900,1500,3400,13400,29300,106900,385900,7779100
round_k,2,8,33,146,534,1929,8131,38895
round_shots,600,200,200,200,100,100,100,100,100
round_queries,600,1000,3400,10600,21300,74300,282700,1177100,29630700
round_k,2,8,26,106,371,1413,5885,27451,148153
round_shots,600,300,100,200,100,100,100,100,100
round_queries,600,1500,1900,12200,22500,75500,283100,1174700,29300100
round_k,2,9,30,112,377,1415,5873,27377,146500
round_shots,700,300,200,200,100,100,100,100
round_queries,700,1500,5000,17800,40500,138500,532900,11434100
round_k,2,12,44,202,692,2664,11622,57170
round_shots,800,200,200,100,100,100,100,100
round_queries,800,1400,5800,8900,29100,103700,397300,8172900
round_k,3,14,44,145,518,1986,8513,40864
round_shots,300,300,100,200,100,100,100,100,100
round_queries,300,1500,1700,10600,19500,63700,235900,971500,23330300
round_k,2,8,26,97,318,1179,4857,22083,116651
round_shots,500,300,200,100,100,100,100,100,100
round_queries,500,1500,3800,6700,21100,63900,232500,934500,22343900
round_k,2,9,33,105,319,1162,4672,21305,111719
round_shots,700,300,200,200,100,100,100,100,100
