round_shots,200,200,200,200,100,100,100,100,100,100
round_queries,200,600,1800,6200,10900,32700,101100,321900,1059500,13000100
round_k,1,4,15,54,163,505,1609,5297,18128,65000
round_shots,200,200,200,200,100,100,100,100,100,100
round_queries,200,600,1800,6200,10900,32700,101100,321900,1059500,13000100
round_k,1,4,15,54,163,505,1609,5297,18128,65000
round_shots,200,200,200,200,100,100,100,100,100,100
round_queries,200,600,1800,6200,10900,32700,101100,321900,1059500,13000100
round_k,1,4,15,54,163,505,1609,5297,18128,65000
round_shots,200,200,200,800,200,100,100,100,100
round_queries,200,600,1800,23200,34200,69900,218900,750700,11769300
round_k,1,4,14,85,349,1094,3753,14184,58846
round_shots,200,200,200,200,100,100,100,100,100,100
round_queries,200,600,1800,6200,10900,32700,101100,321900,1059500,13000100
round_k,1,4,15,54,163,505,1609,5297,18128,65000
round_shots,200,200,400,200,200,100,100,100,100,100
round_queries,200,600,3600,7800,28600,60500,186100,605300,2190500,34954500
round_k,1,4,19,71,302,930,3026,10952,44191,174772
round_shots,200,200,500,300,200,200,100,100,100,100
round_queries,200,600,4500,8100,19800,77400,171900,561300,2021300,35260700
round_k,1,4,13,49,193,859,2806,10106,39212,176303
round_shots,200,200,700,200,200,100,100,100,200
round_queries,200,600,6300,9800,37400,77300,245300,834700,24770200
round_k,1,4,24,93,386,1226,4173,15353,61925
round_shots,200,200,700,400,200,200,100,100,100,100
round_queries,200,600,6300,10800,17400,68600,133500,427900,1363500,22779300
round_k,1,4,13,43,171,667,2139,6817,26475,113896
round_shots,200,200,200,200,200,100,100,100,100,100
round_queries,200,600,1800,6200,23400,48300,146700,495900,1728300,30260300
round_k,1,4,15,58,241,733,2479,8641,33738,151301
round_shots,200,200,200,300,300,100,100,100,100,100
round_queries,200,600,1800,8700,26700,35700,109500,339100,1053500,15616700
round_k,1,4,14,44,178,547,1695,5267,19868,78083
round_shots,200,200,200,200,100,100,100,100,100,100
round_queries,200,600,1800,6200,10900,32700,101100,321900,1059500,13000100
round_k,1,4,15,54,163,505,1609,5297,18128,65000
round_shots,200,200,400,300,200,100,100,100,100,100
round_queries,200,600,3600,11700,25400,48100,145900,479100,1735300,29937700
round_k,1,4,19,63,240,729,2395,8676,34196,149688
round_shots,200,200,200,200,100,100,100,100,100,100
round_queries,200,600,1800,6200,10900,32700,101100,321900,1059500,13000100
round_k,1,4,15,54,163,505,1609,5297,18128,65000
round_shots,200,200,300,300,200,100,100,100,100,100
round_queries,200,600,2700,8100,23800,50700,162100,533300,1956300,33868500
round_k,1,4,13,59,253,810,2666,9781,39423,169342
round_shots,200,200,200,200,100,100,100,100,100,100
round_queries,200,600,1800,6200,10900,32700,101100,321900,1059500,13000100
