round_queries,100,500,1900,8300,40700,204300,1034500,5266100
round_k,0,2,9,41,203,1021,5172,26330
round_shots,200,100,100,100,100,100,100,100,100
round_queries,200,500,1900,7900,38900,189900,960300,4910100,25131100
round_k,0,2,9,39,194,949,4801,24550,125655
round_shots,300,100,100,100,100,100,100,100
round_queries,300,500,1900,8900,43500,211700,1073100,5476900
round_k,0,2,9,44,217,1058,5365,27384
round_shots,200,100,100,100,100,100,100,100,100
round_queries,200,500,1900,8700,40500,200900,1001500,5095500,25914100
round_k,0,2,9,43,202,1004,5007,25477,129570
round_shots,200,100,100,100,100,100,100,100
round_queries,200,500,2300,10300,47700,238500,1202300,6110100
round_k,0,2,11,51,238,1192,6011,30550
round_shots,300,100,100,100,100,100,100,100,100
round_queries,300,500,1900,8300,38100,184900,929700,4717100,24008100
round_k,0,2,9,41,190,924,4648,23585,120040
round_shots,200,100,100,100,100,100,100,100,100
round_queries,200,500,1900,7500,36900,167300,847700,4315700,22087500
round_k,0,2,9,37,184,836,4238,21578,110437
round_shots,200,100,100,100,100,100,100,100,100
round_queries,200,300,900,3300,16300,78900,392500,1979900,10080300
round_k,0,1,4,16,81,394,1962,9899,50401
round_shots,300,100,100,100,100,100,100,100,100
round_queries,300,500,1900,8300,37900,190500,960300,4869500,24855300
round_k,0,2,9,41,189,952,4801,24347,124276
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,500,1700,7700,36500,178500,898500,4586900,23457300
round_k,0,2,8,38,182,892,4492,22934,117286
round_shots,100,100,100,100,100,100,100,100
round_queries,100,500,2300,10300,51300,252500,1262500,6404300
round_k,0,2,11,51,256,1262,6312,32021
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,900,3700,17700,85900,430300,2189900,11153700
round_k,0,1,4,18,88,429,2151,10949,55768
round_shots,200,100,100,100,100,100,100,100,100
round_queries,200,500,1900,8300,38500,192100,967900,4922500,24970700
round_k,0,2,9,41,192,960,4839,24612,124853
round_shots,200,100,100,100,100,100,100,100,100
round_queries,200,500,1300,5100,23500,112900,559300,2841900,14477500
round_k,0,2,6,25,117,564,2796,14209,72387
round_shots,200,100,100,100,100,100,100,100,100
