round_shots,400,1000,1200,400,300,300,200,300,300,200,200,200,200,200
round_queries,400,3000,8400,10000,18300,44100,75000,242100,591300,1001000,2263000,5086600,11695400,26649400
round_k,0,1,3,12,30,73,187,403,985,2502,5657,12716,29238,66623
round_shots,700,900,1200,300,300,300,200,200,200,200,200,200,200,300,100
round_queries,700,2700,8400,7500,17100,41100,72600,156200,351000,773800,1736600,3991000,9044600,27578700,24786300
round_k,0,1,3,12,28,68,181,390,877,1934,4341,9977,22611,45964,123931
round_shots,500,1100,1400,400,400,200,300,200,200,200,200,200,200,200,200
round_queries,500,3300,9800,8400,21200,24600,74700,128200,281400,621400,1411000,3153000,7124600,15912600,36645800
round_k,0,1,3,10,26,61,124,320,703,1553,3527,7882,17811,39781,91614
round_shots,700,1300,1500,500,400,300,200,200,200,200,200,200,200,200,200
round_queries,700,3900,10500,10500,22000,36900,55800,121800,264200,589800,1342200,3015400,6828600,15183400,33172600
round_k,0,1,3,10,27,61,139,304,660,1474,3355,7538,17071,37958,82931
round_shots,700,1400,1400,800,300,200,200,300,200,200,200,200,200,200,200
round_queries,700,4200,9800,16800,17100,26600,53800,162900,286200,611400,1362600,3044600,6986600,15979000,36711400
round_k,0,1,3,10,28,66,134,271,715,1528,3406,7611,17466,39947,91778
round_shots,600,1100,1300,700,400,300,200,200,200,200,200,200,200,200,100
round_queries,600,3300,9100,14700,22800,38700,63800,137800,295800,655400,1454200,3331400,7587800,17449400,20037900
round_k,0,1,3,10,28,64,159,344,739,1638,3635,8328,18969,43623,100189
round_shots,400,1500,1300,700,300,200,200,200,300,200,200,200,200,200,300
round_queries,400,4500,9100,13300,15300,24600,49400,103000,311100,526600,1093800,2285000,5191000,11805800,39755100
round_k,0,1,3,9,25,61,123,257,518,1316,2734,5712,12977,29514,66258
round_shots,700,1100,1300,1100,400,200,200,200,300,300,300,300,300,300,100
round_queries,700,3300,9100,20900,22000,24600,50200,105800,346500,854100,1772700,4385700,11546700,28047300,21675900
round_k,0,1,3,9,27,61,125,264,577,1423,2954,7309,19244,46745,108379
round_shots,600,1100,1400,600,400,300,300,300,200,100,100,300,100,200
round_queries,600,3300,9800,12600,22800,38700,95100,260100,455000,507300,1060900,6411900,5566100,23275400
round_k,0,1,3,10,28,64,158,433,1137,2536,5304,10686,27830,58188
round_shots,500,700,1200,200,200,200,200,200,200,300,300,300,200,200,200
round_queries,500,2100,8400,5400,11400,23400,51800,110200,237000,780900,2036100,5159100,7610200,15659400,31829000
round_k,0,1,3,13,28,58,129,275,592,1301,3393,8598,19025,39148,79572
round_shots,500,2100,500,300,300,300,300,200,200,200,200,200,200,100
round_queries,500,6300,9500,14700,34500,78300,182100,309800,699000,1604200,3556200,8149000,18737400,21418700
round_k,0,1,9,24,57,130,303,774,1747,4010,8890,20372,46843,107093
round_shots,600,1200,1500,800,400,300,200,200,200,300,300,200,200,200
round_queries,600,3600,10500,15200,21200,44100,75000,165000,374600,1235100,3116700,5402600,11904600,25915400
round_k,0,1,3,9,26,73,187,412,936,2058,5194,13506,29761,64788
round_shots,800,1500,1500,800,400,300,200,300,200,200,200,200,200,200,100
round_queries,800,4500,10500,15200,21200,35700,54200,168300,289400,627000,1380600,3060600,6987800,15998200,18348900
round_k,0,1,3,9,26,59,135,280,723,1567,3451,7651,17469,39995,91744
round_shots,900,1100,1500,400,400,400,300,300,300,200,200,300,200,400,100
round_queries,900,3300,10500,8400,21200,48400,90900,185100,374100,581400,1164200,4001100,5550200,26208400,18636900
round_k,0,1,3,10,26,60,151,308,623,1453,2910,6668,13875,32760,93184
round_shots,600,800,1300,800,400,300,200,200,200,200,200,200,200,200,100
round_queries,600,2400,9100,16800,22800,47100,75000,165800,338200,745400,1710600,3919800,8869800,20265800,23233900
round_k,0,1,3,10,28,78,187,414,845,1863,4276,9799,22174,50664,116169
round_shots,800,900,1200,400,300,200,200,200,200,300,300,200,300,200
round_queries,800,2700,8400,9200,16500,26600,59000,128200,273000,924300,2448900,4305400,14619900,24482200
round_k,0,1,3,11,27,66,147,320,682,1540,4081,10763,24366,61205
round_shots,600,1100,1300,300,200,200,200,300,200,200,200,200,200,200,200
round_queries,600,3300,9100,6900,10600,21400,43000,135900,231000,504200,1055400,2181800,4927000,10903800,24799400
round_k,0,1,3,11,26,53,107,226,577,1260,2638,5454,12317,27259,61998
round_shots,700,1000,1200,200,300,300,200,200,200,200,200,200,200,200,100
round_queries,700,3000,8400,5400,16500,39900,70600,151800,330200,752600,1628600,3545000,8129400,18537000,20840300
round_k,0,1,3,13,27,66,176,379,825,1881,4071,8862,20323,46342,104201
round_shots,600,1100,1100,700,400,200,200,200,300,300,200,400,300,200,100
round_queries,600,3300,7700,13300,21200,24200,53400,121000,386100,936900,1522200,6309200,12905700,20317400,21742900
round_k,0,1,3,9,26,60,133,302,643,1561,3805,7886,21509,50793,108714
round_shots,700,900,1600,500,300,200,300,200,200,300,200,100,300,400,100
round_queries,700,2700,11200,10500,16500,25800,78900,124600,275400,863700,1170200,1234900,7793700,27045200,19870300
round_k,0,1,3,10,27,64,131,311,688,1439,2925,6174,12989,33806,99351
round_shots,600,1300,1400,800,300,300,200,200,200,200,200,200,200,200,200
round_queries,600,3900,9800,15200,15900,36900,60200,135400,295400,665800,1447400,3265800,7337400,16863400,37944600
round_k,0,1,3,9,26,61,150,338,738,1664,3618,8164,18343,42158,94861
round_shots,700,1300,1300,200,200,300,200,200,200,200,200,200,200,200,300
round_queries,700,3900,9100,5000,10200,30900,51400,112600,231400,487400,1103400,2339000,5063800,11553400,38963100
