round_shots,1000,400,200,100,100,100,100,100
round_queries,1000,2000,4600,8700,27100,83300,275500,3147700
round_k,2,11,43,135,416,1377,5110,15738
round_shots,1300,200,200,400,200,100,100,100,100
round_queries,1300,600,1800,11600,17400,30100,92500,332100,5631500
round_k,1,4,14,43,150,462,1660,6602,28157
round_shots,800,200,200,300,100,100,100,100
round_queries,800,1000,3800,21300,28900,91900,317100,4769300
round_k,2,9,35,144,459,1585,5594,23846
round_shots,1000,200,200,200,200,100,100,100
round_queries,1000,600,1800,6600,24600,44300,149100,2250100
round_k,1,4,16,61,221,745,2762,11250
round_shots,1100,200,200,300,200,300,100,100
round_queries,1100,1000,3800,21300,57000,381900,445300,7369300
round_k,2,9,35,142,636,2226,8243,36846
round_shots,800,200,200,200,200,300,100,100
round_queries,800,1000,3800,13000,48600,240900,303300,4007500
round_k,2,9,32,121,401,1516,4656,20037
round_shots,900,300,200,200,100,200,100,100
round_queries,900,1500,3800,12200,25900,161800,348900,5222500
round_k,2,9,30,129,404,1744,6402,26112
round_shots,1100,400,200,200,200,100,100,100
round_queries,1100,2000,4600,18600,82200,188500,680300,6852900
round_k,2,11,46,205,942,3401,11421,34264
round_shots,800,200,200,200,200,100,100,100
round_queries,800,1000,3000,9400,39800,84100,287900,4485500
round_k,2,7,23,99,420,1439,5168,22427
round_shots,900,300,200,200,300,100,100
round_queries,900,1500,4600,15000,102900,136700,1756700
round_k,2,11,37,171,683,2166,8783
round_shots,1100,300,200,200,100,100,100,100
round_queries,1100,1500,3800,13000,29300,91100,315900,4519500
round_k,2,9,32,146,455,1579,5190,22597
round_shots,700,300,200,200,200,100,200,100
round_queries,700,1500,3800,14200,59000,110500,740200,3414700
round_k,2,9,35,147,552,1850,5679,17073
round_shots,1200,500,300,100,200,200,100,100
round_queries,1200,2500,8100,8900,53400,217800,421500,7428500
round_k,2,13,44,133,544,2107,8500,37142
round_shots,1100,300,200,200,100,200,100
round_queries,1100,1500,3800,15000,32900,215000,2091700
round_k,2,9,37,164,537,2536,10458
round_shots,700,400,200,200,200,100,200,100
round_queries,700,2000,4600,16600,62200,127900,848600,7404300
round_k,2,11,41,155,639,2121,9324,37021
round_shots,900,400,200,200,100,100,100,100
round_queries,900,2000,4600,18600,39100,124700,448100,6714900
round_k,2,11,46,195,623,2240,8639,33574
round_shots,800,200,200,200,200,100,100,100
round_queries,800,1000,3800,13000,47800,105700,323900,4770700
round_k,2,9,32,119,528,1619,5561,23853
round_shots,1000,200,200,200,100,100,100,100,100
round_queries,1000,600,1800,6600,12300,38300,130100,476900,7274100
round_k,1,4,16,61,191,650,2384,9061,36370
