round_shots,100,800,100,100,100,100,100
round_queries,100,2400,2500,7900,25700,99100,2097900
round_k,1,12,39,128,495,2158,10489
round_shots,200,700,100,100,100,100,100,100
round_queries,200,2100,900,2700,8100,27900,106500,2295900
round_k,1,4,13,40,139,532,2316,11479
round_shots,200,800,200,100,100,100,100
round_queries,200,2400,4600,10500,37300,144900,3235700
round_k,1,11,52,186,724,3217,16178
round_shots,200,800,100,100,100,100,100
round_queries,200,2400,2500,7700,27700,105700,2231300
round_k,1,12,38,138,528,2263,11156
round_shots,200,400,100,200,100,100,100,100
round_queries,200,1200,900,5400,12100,46100,183100,4311300
round_k,1,4,13,60,230,915,4155,21556
round_shots,200,600,200,100,100,100,100,100
round_queries,200,1800,1800,3300,11500,38900,158500,3496100
round_k,1,4,16,57,194,792,3479,17480
round_shots,100,600,100,100,100,100,100
round_queries,100,1800,2300,7700,27500,105300,2143300
round_k,1,11,38,137,526,2250,10716
round_shots,200,800,100,100,100,100,100
round_queries,200,2400,2500,8100,28500,109300,2318100
round_k,1,12,40,142,546,2349,11590
round_shots,200,600,200,100,100,100,100
round_queries,200,1800,4200,9700,35900,139100,2930700
round_k,1,10,48,179,695,2988,14653
round_shots,200,600,100,100,100,100,100
round_queries,200,1800,2300,7900,27900,110500,2361900
round_k,1,11,39,139,552,2387,11809
round_shots,200,600,100,200,100,100,100,100
round_queries,200,1800,900,5800,13100,46500,183500,4360900
round_k,1,4,14,65,232,917,4192,21804
round_shots,200,800,100,100,100,100,100
round_queries,200,2400,2500,7900,28300,104500,2176900
round_k,1,12,39,141,522,2233,10884
round_shots,300,800,100,100,100,100,100
round_queries,300,2400,2500,7500,25100,94500,1981300
round_k,1,12,37,125,472,2042,9906
round_shots,200,500,100,100,100,100,100,100
round_queries,200,1500,900,2900,10300,34700,130900,2866100
round_k,1,4,14,51,173,654,2842,14330
round_shots,200,600,200,100,100,100,100
round_queries,200,1800,4200,9500,33100,131300,2852500
round_k,1,10,47,165,656,2847,14262
round_shots,300,700,100,100,100,100,100
round_queries,300,2100,2500,7500,25500,98100,2046700
round_k,1,12,37,127,490,2089,10233
round_shots,200,800,100,100,100,100,100
round_queries,200,2400,2500,7700,27100,105900,2247900
round_k,1,12,38,135,529,2288,11239
round_shots,200,700,200,100,100,100,100
round_queries,200,2100,4600,10500,37100,148300,3343500
round_k,1,11,52,185,741,3295,16717
round_shots,200,700,100,100,100,100,100
round_queries,200,2100,2500,7500,26700,102900,2036300
round_k,1,12,37,133,514,2095,10181
round_shots,300,700,200,100,100,100,100
round_queries,300,2100,4600,9900,35700,140100,3049100
round_k,1,11,49,178,700,3040,15245
round_shots,200,500,100,100,100,100,100
round_queries,200,1500,1900,5700,19100,74300,1513300
round_k,1,9,28,95,371,1586,7566
round_shots,300,800,100,200,100,100,100,100
round_queries,300,2400,900,5800,12900,47100,189500,4408500
round_k,1,4,14,64,235,947,4237,22042
round_shots,200,700,100,100,100,100,100
round_queries,200,2100,2500,7500,25900,98300,2018100
round_k,1,12,37,129,491,2099,10090
round_shots,200,600,100,200,100,100,100,100
round_queries,200,1800,900,5400,10700,40100,159300,3641100
round_k,1,4,13,53,200,796,3544,18205
round_shots,200,700,100,100,100,100,100,100
round_queries,200,2100,900,2700,8100,27900,107500,2283100
round_k,1,4,13,40,139,537,2322,11415
round_shots,200,900,100,100,100,100,100
round_queries,200,2700,2700,8300,29700,112500,2684900
round_k,1,13,41,148,562,2690,13424
round_shots,200,700,200,100,100,100,100
round_queries,200,2100,5000,9900,34500,138700,3109300
round_k,1,12,49,172,693,3082,15546
round_shots,200,800,200,100,100,100,100
round_queries,200,2400,5000,11700,42300,161500,3666700
round_k,1,12,58,211,807,3580,18333
round_shots,200,700,100,100,100,100,100
round_queries,200,2100,2500,7500,27300,107700,2291900
round_k,1,12,37,136,538,2334,11459
round_shots,200,600,200,100,100,100,100,100
round_queries,200,1800,1800,3100,10500,38300,154900,3531900
round_k,1,4,15,52,191,774,3450,17659
round_shots,300,500,200,100,100,100,100
round_queries,300,1500,4200,8100,28100,108100,2346300
round_k,1,10,40,140,540,2375,11731
round_shots,100,700,100,100,100,100,100
round_queries,100,2100,2300,7300,25100,97300,1997500
round_k,1,11,36,125,486,2057,9987
round_shots,200,700,200,100,100,100,100,100
round_queries,200,2100,1800,3100,10500,37300,150700,3446900
round_k,1,4,15,52,186,753,3369,17234
round_shots,100,900,200,100,100,100,100
round_queries,100,2700,5400,12100,43900,177900,4182900
round_k,1,13,60,219,889,4018,20914
round_shots,200,700,100,100,100,100,100
round_queries,200,2100,2300,7700,28100,105300,2205300
round_k,1,11,38,140,526,2258,11026
round_shots,100,800,100,100,100,100,100
round_queries,100,2400,2500,7900,25500,99300,2110900
round_k,1,12,39,127,496,2165,10554
round_shots,200,700,200,100,100,100,100
round_queries,200,2100,5000,11700,42900,167700,3793100
round_k,1,12,58,214,838,3695,18965
round_shots,100,300,100,200,100,100,100,100
round_queries,100,900,900,5400,12900,46300,187300,4423700
round_k,1,4,13,64,231,936,4237,22118
round_shots,200,800,100,100,100,100,100
round_queries,200,2400,2500,7500,26500,105700,2094700
round_k,1,12,37,132,528,2134,10473
round_shots,200,300,100,100,100,100,100,100
round_queries,200,900,900,2900,10100,36900,145700,3277300
round_k,1,4,14,50,184,728,3207,16386
round_shots,200,900,200,100,100,100,100
round_queries,200,2700,5400,10500,37300,149100,3318300
round_k,1,13,52,186,745,3274,16591
round_shots,200,800,100,100,100,100,100
round_queries,200,2400,2500,7900,25900,97500,2052900
round_k,1,12,39,129,487,2107,10264
round_shots,300,800,100,100,100,100,100
round_queries,300,2400,2500,7500,26500,101100,2144300
round_k,1,12,37,132,505,2204,10721
round_shots,200,400,100,200,100,100,100,100
round_queries,200,1200,900,5400,12500,44900,182100,4170300
round_k,1,4,13,62,224,910,4045,20851
round_shots,100,700,100,100,100,100,100
round_queries,100,2100,2500,7500,25300,94300,1918500
round_k,1,12,37,126,471,1987,9592
round_shots,200,900,200,100,100,100,100
round_queries,200,2700,5400,12100,43100,169300,3895900
round_k,1,13,60,215,846,3771,19479
round_shots,300,600,100,100,100,100,100
round_queries,300,1800,2300,7500,25100,95700,1989900
round_k,1,11,37,125,478,2049,9949
round_shots,100,800,100,100,100,100,100
round_queries,100,2400,2500,8100,26700,103500,2143900
round_k,1,12,40,133,517,2181,10719
round_shots,200,700,100,100,100,100,100
round_queries,200,2100,2300,7700,26300,101100,2045300
round_k,1,11,38,131,505,2107,10226
round_shots,200,700,100,100,100,100,100
round_queries,200,2100,2300,7300,24300,89500,1858300
round_k,1,11,36,121,447,1915,9291
round_shots,200,900,200,100,100,100,100,100
round_queries,200,2700,1800,3300,11300,41300,162900,3751700
round_k,1,4,16,56,206,814,3646,18758
round_shots,200,400,100,200,100,100,100,100
round_queries,200,1200,900,5400,12500,43900,178700,4123900
round_k,1,4,13,62,219,893,3982,20619
round_shots,300,500,200,100,100,100,100
round_queries,300,1500,3800,7100,24100,92900,1922500
round_k,1,9,35,120,464,1960,9612
round_shots,300,700,100,100,100,100,100
round_queries,300,2100,2500,7900,29100,115300,2502500
round_k,1,12,39,145,576,2532,12512
round_shots,300,800,100,100,100,100,100
round_queries,300,2400,2500,7900,28500,107300,2274900
round_k,1,12,39,142,536,2334,11374
round_shots,200,700,100,100,100,100,100,100
round_queries,200,2100,900,2900,8700,29100,111300,2379500
round_k,1,4,14,43,145,556,2415,11897
round_shots,300,500,100,200,100,100,100,100
round_queries,300,1500,900,5400,10700,38300,150900,3356500
round_k,1,4,13,53,191,754,3292,16782
round_shots,300,800,100,100,100,100,100,100
round_queries,300,2400,900,2700,8100,28500,112300,2391900
round_k,1,4,13,40,142,561,2472,11959
round_shots,300,700,100,100,100,100,100
round_queries,300,2100,2500,7500,26500,99100,2024100
round_k,1,12,37,132,495,2086,10120
round_shots,200,800,200,100,100,100,100
round_queries,200,2400,5000,11500,40900,161300,3640500
round_k,1,12,57,204,806,3537,18202
round_shots,300,700,100,200,100,100,100,100
round_queries,300,2100,900,5400,12700,43100,170100,3924500
round_k,1,4,13,63,215,850,3816,19622
round_shots,200,600,100,100,100,100,100
round_queries,200,1800,2300,7500,24300,96900,2036500
round_k,1,11,37,121,484,2089,10182
round_shots,200,400,100,200,100,100,100,100
round_queries,200,1200,900,5400,13100,45100,179100,4233700
round_k,1,4,13,65,225,895,4082,21168
round_shots,300,600,200,100,100,100,100
round_queries,300,1800,4200,10100,36500,143300,3219500
round_k,1,10,50,182,716,3164,16097
round_shots,200,700,100,100,100,100,100
round_queries,200,2100,2300,7300,25700,98700,2062900
round_k,1,11,36,128,493,2124,10314
round_shots,200,700,100,100,100,100,100,100
round_queries,200,2100,900,2700,8100,27300,106900,2264700
round_k,1,4,13,40,136,534,2304,11323
round_shots,300,600,200,100,100,100,100
round_queries,300,1800,4200,9300,30300,115700,2481700
round_k,1,10,46,151,578,2517,12408
round_shots,100,800,100,100,100,100,100
round_queries,100,2400,2500,7700,25900,97300,1979700
round_k,1,12,38,129,486,2051,9898
round_shots,200,700,100,100,100,100,100
round_queries,200,2100,2300,7300,24100,93500,1886900
round_k,1,11,36,120,467,2037,9434
round_shots,200,500,200,100,100,100,100
round_queries,200,1500,4200,7700,26500,97900,1961900
round_k,1,10,38,132,489,2057,9809
round_shots,200,600,100,100,100,100,100
round_queries,200,1800,2300,7500,24100,89700,1877300
round_k,1,11,37,120,448,1931,9386
round_shots,200,300,200,200,100,100,100,100
round_queries,200,900,1800,5800,13300,50300,201500,4862500
round_k,1,4,14,66,251,1007,4621,24312
round_shots,300,700,100,100,100,100,100
round_queries,300,2100,2300,7300,23700,86100,1761900
round_k,1,11,36,118,430,1835,8809
round_shots,200,700,100,100,100,100,100
round_queries,200,2100,2300,7100,24100,93500,1930300
round_k,1,11,35,120,467,1985,9651
round_shots,200,400,200,100,100,100,100
round_queries,200,1200,3400,7300,25100,95300,1983100
round_k,1,8,36,125,476,2037,9915
round_shots,100,800,100,200,100,100,100,100
round_queries,100,2400,900,5800,12700,46300,183700,4309500
round_k,1,4,14,63,231,918,4143,21547
round_shots,300,700,100,100,100,100,100,100
round_queries,300,2100,900,2900,9500,34300,131100,2882100
round_k,1,4,14,47,171,655,2862,14410
round_shots,500,600,200,100,100,100,100
round_queries,500,1800,4200,9700,34700,138100,3128700
round_k,1,10,48,173,690,3075,15643
round_shots,300,600,200,100,100,100,100
round_queries,300,1800,4600,9100,31500,119500,2534300
round_k,1,11,45,157,597,2577,12671
round_shots,100,600,100,100,100,100,100
round_queries,100,1800,2300,7500,26100,97100,2007300
round_k,1,11,37,130,485,2055,10036
round_shots,300,700,100,200,100,100,100,100
round_queries,300,2100,900,5800,12500,46100,181500,4298300
round_k,1,4,14,62,230,907,4123,21491
round_shots,100,900,200,100,100,100,100
round_queries,100,2700,5400,12500,44300,174500,4052100
round_k,1,13,62,221,872,3919,20260
round_shots,200,600,200,100,100,100,100
round_queries,200,1800,4200,7500,27300,103300,2180100
round_k,1,10,37,136,516,2234,10900
round_shots,200,700,200,100,100,100,100
round_queries,200,2100,5000,11700,43300,178300,4190500
round_k,1,12,58,216,891,4043,20952
round_shots,200,700,100,100,100,100,100
round_queries,200,2100,2300,7100,26300,98300,2070300
round_k,1,11,35,131,491,2111,10351
round_shots,200,600,100,100,100,100,100
round_queries,200,1800,2300,6900,23700,89100,1817500
round_k,1,11,34,118,445,1892,9087
round_shots,200,600,200,100,100,100,100
round_queries,200,1800,4200,9500,31100,124100,2707300
round_k,1,10,47,155,620,2700,13536
round_shots,200,800,100,100,100,100,100
round_queries,200,2400,2500,7700,27100,103900,2223900
round_k,1,12,38,135,519,2246,11119
round_shots,100,500,200,100,100,100,100
round_queries,100,1500,3800,7500,27300,108500,2280700
round_k,1,9,37,136,542,2324,11403
round_shots,200,700,100,200,100,100,100,100
round_queries,200,2100,900,5400,12500,44700,183500,4354700
round_k,1,4,13,62,223,917,4183,21773
round_shots,200,900,200,100,100,100,100
round_queries,200,2700,5000,9900,34900,138700,3105500
round_k,1,12,49,174,693,3072,15527
round_shots,200,700,200,100,100,100,100
round_queries,200,2100,4200,7500,27300,105700,2219300
round_k,1,10,37,136,528,2244,11096
round_shots,200,400,100,200,100,100,100,100
round_queries,200,1200,900,5400,10500,39500,153900,3498300
round_k,1,4,13,52,197,769,3411,17491
round_shots,200,500,100,100,100,100,100,100
round_queries,200,1500,900,2900,10300,36900,144500,3264700
round_k,1,4,14,51,184,722,3227,16323
round_shots,200,700,100,100,100,100,100
round_queries,200,2100,2300,7300,24500,95100,1938100
round_k,1,11,36,122,475,2008,9690
round_shots,300,700,100,100,100,100,100
round_queries,300,2100,2500,7700,25900,94300,1945300
round_k,1,12,38,129,471,2017,9726
round_shots,100,700,100,100,100,100,100
round_queries,100,2100,2500,7500,27300,107300,2300100
round_k,1,12,37,136,536,2331,11500
round_shots,200,600,100,100,100,100,100
round_queries,200,1800,2100,6700,23100,88700,1801900
round_k,1,10,33,115,443,1871,9009
round_shots,100,300,100,200,100,100,100,100
round_queries,100,900,900,5400,12900,45300,185100,4347700
round_k,1,4,13,64,226,925,4168,21738
round_shots,200,600,100,100,100,100,100
round_queries,200,1800,2100,6500,21100,79900,1606100
round_k,1,10,32,105,399,1691,8030
round_shots,300,800,200,100,100,100,100
round_queries,300,2400,5400,12700,47100,191100,4556100
round_k,1,13,63,235,955,4341,22780
round_shots,200,600,100,100,100,100,100
round_queries,200,1800,2300,6900,22900,86300,1725500
round_k,1,11,34,114,431,1800,8627
round_shots,200,700,100,100,100,100,100
round_queries,200,2100,2300,7500,26100,100100,2084300
round_k,1,11,37,130,500,2144,10421
round_shots,200,700,200,100,100,100,100
round_queries,200,2100,5000,11500,40300,158500,3661700
round_k,1,12,57,201,792,3574,18308
round_shots,200,600,100,100,100,100,100
round_queries,200,1800,2100,7100,24500,91500,1885100
round_k,1,10,35,122,457,1942,9425
round_shots,300,700,200,100,100,100,100
round_queries,300,2100,4600,8500,29500,111900,2363900
round_k,1,11,42,147,559,2424,11819
round_shots,100,600,200,100,100,100,100
round_queries,100,1800,4200,7500,24700,92700,1961100
round_k,1,10,37,123,463,2013,9805
round_shots,200,600,100,100,100,100,100,100
round_queries,200,1800,900,2700,8500,29100,110700,2354500
round_k,1,4,13,42,145,553,2374,11772
round_shots,300,800,100,100,100,100,100
round_queries,300,2400,2500,7900,26500,101700,2100100
round_k,1,12,39,132,508,2155,10500
round_shots,200,700,200,100,100,100,100
round_queries,200,2100,4600,10500,38300,154300,3503900
round_k,1,11,52,191,771,3435,17519
round_shots,200,700,100,100,100,100,100
round_queries,200,2100,2300,7500,27900,106500,2234300
round_k,1,11,37,139,532,2273,11171
round_shots,200,900,200,100,100,100,100
round_queries,200,2700,5400,12100,44100,174500,4073700
round_k,1,13,60,220,872,3920,20368
round_shots,200,600,100,100,100,100,100
round_queries,200,1800,2300,6900,23900,90300,1872500
round_k,1,11,34,119,451,1934,9362
round_shots,200,800,100,100,100,100,100
round_queries,200,2400,2500,7500,25500,94500,1966500
round_k,1,12,37,127,472,2017,9832
round_shots,200,700,200,100,100,100,100
round_queries,200,2100,5000,11300,39900,161100,3735500
round_k,1,12,56,199,805,3614,18677
round_shots,100,500,100,100,100,100,100,100
round_queries,100,1500,900,2900,9700,32500,127300,2730500
round_k,1,4,14,48,162,636,2742,13652
round_shots,200,500,200,100,100,100,100
round_queries,200,1500,4200,7700,26900,100700,2108700
round_k,1,10,38,134,503,2153,10543
round_shots,200,700,100,100,100,100,100
round_queries,200,2100,2300,7500,26300,95500,1998900
round_k,1,11,37,131,477,2059,9994
round_shots,300,600,100,200,100,100,100,100
round_queries,300,1800,900,5400,12500,45300,183900,4536500
round_k,1,4,13,62,226,919,4178,22682
round_shots,200,700,100,100,100,100,100
round_queries,200,2100,2300,7300,24300,94300,1928700
round_k,1,11,36,121,471,1995,9643
round_shots,300,800,100,100,100,100,100
round_queries,300,2400,2500,7700,27100,105500,2220300
round_k,1,12,38,135,527,2253,11101
round_shots,100,700,200,100,100,100,100
round_queries,100,2100,4600,9100,31500,119500,2562100
round_k,1,11,45,157,597,2579,12810
round_shots,200,700,100,100,100,100,100
round_queries,200,2100,2300,7300,24300,94700,1962900
round_k,1,11,36,121,473,2029,9814
round_shots,300,700,100,100,100,100,100
round_queries,300,2100,2300,7100,24300,89900,1816100
round_k,1,11,35,121,449,1894,9080
round_shots,200,700,200,100,100,100,100
round_queries,200,2100,5000,11900,41100,163700,3466900
round_k,1,12,59,205,818,3472,17334
round_shots,100,600,100,100,100,100,100
round_queries,100,1800,2300,7500,27900,106100,2242900
round_k,1,11,37,139,530,2271,11214
round_shots,200,600,100,100,100,100,100
round_queries,200,1800,2300,7100,25900,95700,1894700
round_k,1,11,35,129,478,2062,9473
round_shots,100,800,100,100,100,100,100
round_queries,100,2400,2500,8300,27900,104100,2129700
round_k,1,12,41,139,520,2183,10648
round_shots,300,800,200,100,100,100,100
round_queries,300,2400,5000,11500,40700,167100,3819900
round_k,1,12,57,203,835,3703,19099
round_shots,200,900,200,100,100,100,100
round_queries,200,2700,5400,12100,42300,166300,3853100
round_k,1,13,60,211,831,3728,19265
round_shots,100,600,100,100,100,100,100
round_queries,100,1800,2300,7100,23700,91300,1899700
round_k,1,11,35,118,456,1948,9498
round_shots,200,800,200,200,100,100,100,100
round_queries,200,2400,1800,6200,13300,48300,195700,4688700
round_k,1,4,15,66,241,978,4438,23443
round_shots,300,700,100,100,100,100,100
round_queries,300,2100,2300,7300,25100,95900,1970900
round_k,1,11,36,125,479,2026,9854
round_shots,200,700,200,100,100,100,100
round_queries,200,2100,5000,10900,37700,146300,3289100
round_k,1,12,54,188,731,3235,16445
round_shots,300,600,100,200,100,100,100,100
round_queries,300,1800,900,5400,10700,38500,150300,3422300
round_k,1,4,13,53,192,751,3365,17111
round_shots,200,600,100,100,100,100,100
round_queries,200,1800,2300,7300,23700,90300,1793300
round_k,1,11,36,118,451,1875,8966
round_shots,300,500,200,100,100,100,100
round_queries,300,1500,3800,7900,27100,104100,2212300
round_k,1,9,39,135,520,2247,11061
round_shots,300,700,100,100,100,100,100
round_queries,300,2100,2300,7300,25300,97900,2044100
round_k,1,11,36,126,489,2113,10220
round_shots,200,400,200,100,100,100,100
round_queries,200,1200,3400,6900,23300,88500,1771300
round_k,1,8,34,116,442,1839,8856
round_shots,300,900,100,200,100,100,100,100
round_queries,300,2700,900,5400,12900,46700,189300,4548100
round_k,1,4,13,64,233,946,4326,22740
round_shots,100,500,200,100,100,100,100
round_queries,100,1500,3800,7700,28100,107100,2303100
round_k,1,9,38,140,535,2349,11515
round_shots,100,600,100,100,100,100,100
round_queries,100,1800,2300,6900,24300,90100,1856100
round_k,1,11,34,121,450,1912,9280
round_shots,200,800,100,100,100,100,100
round_queries,200,2400,2500,7700,25100,96300,2022900
round_k,1,12,38,125,481,2068,10114
round_shots,100,700,100,200,100,100,100,100
round_queries,100,2100,900,5400,12500,45500,184100,4341900
round_k,1,4,13,62,227,920,4173,21709
round_shots,200,900,200,100,100,100,100
round_queries,200,2700,5400,12300,43900,177500,4091900
round_k,1,13,61,219,887,3929,20459
round_shots,300,400,100,200,100,100,100,100
round_queries,300,1200,900,5400,11900,40500,160300,3749500
round_k,1,4,13,59,202,801,3620,18747
round_shots,200,700,100,100,100,100,100
round_queries,200,2100,2500,7900,28100,109700,2281900
round_k,1,12,39,140,548,2346,11409
round_shots,200,700,100,100,100,100,100
round_queries,200,2100,2300,7500,25500,99900,2102100
round_k,1,11,37,127,499,2161,10510
round_shots,200,700,100,100,100,100,100,100
round_queries,200,2100,900,2700,8100,28500,105700,2244100
round_k,1,4,13,40,142,528,2294,11220
round_shots,200,700,100,100,100,100,100
round_queries,200,2100,2300,7500,24300,93500,1915500
round_k,1,11,37,121,467,1999,9577
round_shots,200,600,200,100,100,100,100,100
round_queries,200,1800,1800,3300,10900,39700,156300,3517300
round_k,1,4,16,54,198,781,3438,17586
round_shots,300,600,100,100,100,100,100,100
round_queries,300,1800,900,2700,8300,29100,111700,2343500
round_k,1,4,13,41,145,558,2401,11717
round_shots,200,300,200,100,100,100,100,100
round_queries,200,900,1800,3100,10900,38500,152100,3456100
round_k,1,4,15,54,192,760,3383,17280
round_shots,400,800,100,100,100,100,100
round_queries,400,2400,2500,7500,24500,97700,2066100
round_k,1,12,37,122,488,2117,10330
round_shots,200,800,100,100,100,100,100
round_queries,200,2400,2500,7500,26700,99900,2107100
