round_shots,100,100,100,100,100,100,100,100
round_queries,100,300,1300,6700,31900,159500,811900,4160700
round_k,0,1,6,33,159,797,4059,20803
round_shots,100,200,100,100,100,100,100,100
round_queries,100,600,1700,7300,36900,185100,939100,4780500
round_k,0,1,8,36,184,925,4695,23902
round_shots,100,200,100,100,100,100,100,100,100
round_queries,100,600,700,2900,12500,63300,318100,1615100,8269500
round_k,0,1,3,14,62,316,1590,8075,41347
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,700,2900,12700,59500,287700,1466100,7458900
round_k,0,1,3,14,63,297,1438,7330,37294
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,700,2700,13100,65300,335700,1710300,8782500
round_k,0,1,3,13,65,326,1678,8551,43912
round_shots,100,200,100,100,100,100,100,100,100
round_queries,100,600,700,3100,14100,65100,331900,1675700,8579500
round_k,0,1,3,15,70,325,1659,8378,42897
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,700,2700,11700,54700,266700,1352700,6874100
round_k,0,1,3,13,58,273,1333,6763,34370
round_shots,100,200,100,100,100,100,100,100
round_queries,100,600,2100,9300,44100,223100,1124500,5779300
round_k,0,1,10,46,220,1115,5622,28896
round_shots,200,100,100,100,100,100,100,100,100
round_queries,200,300,700,2900,12100,58700,295700,1519100,7807300
round_k,0,1,3,14,60,293,1478,7595,39036
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,700,2900,12700,64300,314300,1562300,7791500
round_k,0,1,3,14,63,321,1571,7811,38957
round_shots,100,200,100,100,100,100,100,100,100
round_queries,100,600,700,2500,10500,49900,251100,1280300,6561900
round_k,0,1,3,12,52,249,1255,6401,32809
round_shots,200,200,100,100,100,100,100,100,100
round_queries,200,600,700,2700,12100,56500,288500,1467900,7548700
round_k,0,1,3,13,60,282,1442,7339,37743
round_shots,100,200,100,100,100,100,100,100,100
round_queries,100,600,700,2900,14500,72900,364700,1859700,9541700
round_k,0,1,3,14,72,364,1823,9298,47708
round_shots,100,200,100,100,100,100,100,100,100
round_queries,100,600,700,2900,13100,63100,318500,1593500,8146100
round_k,0,1,3,14,65,315,1592,7967,40730
round_shots,300,100,100,100,100,100,100,100,100
round_queries,300,300,700,3300,14300,70300,353900,1808500,9284900
round_k,0,1,3,16,71,351,1769,9042,46424
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,700,2700,12700,59500,296300,1510900,7728900
round_k,0,1,3,13,63,297,1481,7554,38644
round_shots,100,300,100,100,100,100,100,100
round_queries,100,900,2100,9700,45100,225300,1145100,5796700
round_k,0,1,10,48,225,1126,5725,28983
round_shots,100,200,100,100,100,100,100,100,100
round_queries,100,600,700,2900,13100,64900,330500,1695700,8697700
round_k,0,1,3,14,65,324,1652,8478,43488
round_shots,100,200,100,100,100,100,100,100,100
round_queries,100,600,700,2500,10300,51100,254700,1288500,6614500
round_k,0,1,3,12,51,255,1273,6442,33072
round_shots,100,200,100,100,100,100,100,100
round_queries,100,1000,2900,12900,64300,327300,1661300,8473700
round_k,0,2,14,64,321,1636,8306,42368
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,700,2500,12300,60100,306300,1558900,7967300
round_k,0,1,3,12,61,300,1531,7794,39836
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,700,2900,12300,58500,292900,1480300,7582900
round_k,0,1,3,14,61,292,1464,7401,37914
round_shots,300,200,100,100,100,100,100,100
round_queries,300,600,1900,7300,35500,172900,882300,4489700
round_k,0,1,9,36,177,864,4411,22448
round_shots,200,200,100,100,100,100,100,100
round_queries,200,600,1900,9100,44300,215900,1097900,5621700
round_k,0,1,9,45,221,1079,5489,28108
round_shots,100,200,100,100,100,100,100,100,100
round_queries,100,600,700,3100,12700,61100,307900,1563300,8010900
round_k,0,1,3,15,63,305,1539,7816,40054
round_shots,100,200,100,100,100,100,100,100,100
round_queries,100,600,700,2900,13500,64900,324300,1649500,8344100
round_k,0,1,3,14,67,324,1621,8247,41720
round_shots,100,200,100,100,100,100,100,100
round_queries,100,600,1900,7500,36300,179100,861300,4334100
round_k,0,1,9,37,181,895,4306,21670
round_shots,100,200,100,100,100,100,100,100,100
round_queries,100,600,700,2700,11300,53100,263900,1344300,6850100
round_k,0,1,3,13,56,265,1319,6721,34250
round_shots,100,200,100,100,100,100,100,100
round_queries,100,600,2100,9700,45100,220300,1129900,5772300
round_k,0,1,10,48,225,1101,5649,28861
round_shots,200,100,100,100,100,100,100,100,100
round_queries,200,300,700,2900,13300,62900,299700,1498300,7681100
round_k,0,1,3,14,66,314,1498,7491,38405
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,700,3300,15300,74100,366500,1884700,9636900
round_k,0,1,3,16,76,370,1832,9423,48184
round_shots,100,200,100,100,100,100,100,100
round_queries,100,600,2100,10100,50900,253700,1300700,6673300
round_k,0,1,10,50,254,1268,6503,33366
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,700,2700,12700,61700,306300,1549500,7981700
round_k,0,1,3,13,63,308,1531,7747,39908
round_shots,200,200,100,100,100,100,100,100
round_queries,200,600,1700,7700,36100,179100,910700,4666100
round_k,0,1,8,38,180,895,4553,23330
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,700,2500,9900,49700,239900,1173900,6001300
round_k,0,1,3,12,49,248,1199,5869,30006
round_shots,100,200,100,100,100,100,100,100
round_queries,100,600,2100,8100,40500,193700,982700,4982500
round_k,0,1,10,40,202,968,4913,24912
round_shots,100,200,100,100,100,100,100,100,100
round_queries,100,600,700,2500,12300,59500,297900,1525100,7763500
round_k,0,1,3,12,61,297,1489,7625,38817
round_shots,100,300,100,100,100,100,100,100
round_queries,100,900,2300,10100,48500,243300,1235500,6318700
round_k,0,1,11,50,242,1216,6177,31593
round_shots,100,200,100,100,100,100,100,100
round_queries,100,600,700,3300,15300,76100,386100,1974300
round_k,0,1,3,16,76,380,1930,9871
round_shots,100,100,100,100,100,100,100,100
round_queries,100,500,2300,10100,46500,224900,1132500,5807300
round_k,0,2,11,50,232,1124,5662,29036
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,700,2700,12700,63500,315300,1591100,8142300
round_k,0,1,3,13,63,317,1576,7955,40711
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,700,2900,13500,63300,321500,1639700,8404100
round_k,0,1,3,14,67,316,1607,8198,42020
round_shots,100,200,100,100,100,100,100,100,100
round_queries,100,600,700,2700,13100,66100,330500,1678500,8534100
round_k,0,1,3,13,65,330,1652,8392,42670
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,700,2500,11900,53500,269500,1370100,6941300
round_k,0,1,3,12,59,267,1347,6850,34706
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,700,2900,13500,65700,330100,1670300,8559700
round_k,0,1,3,14,67,328,1650,8351,42798
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,700,2700,10900,50900,257100,1315900,6695900
round_k,0,1,3,13,54,254,1285,6579,33479
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,700,2500,12300,58500,294700,1489900,7648500
round_k,0,1,3,12,61,292,1473,7449,38242
round_shots,200,100,100,100,100,100,100,100,100
round_queries,200,300,700,2500,12300,57500,272500,1379100,7092500
round_k,0,1,3,12,61,287,1362,6895,35462
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,900,3100,14700,74700,369900,1862500,9366900
round_k,0,1,4,15,73,373,1849,9312,46834
round_shots,100,200,100,100,100,100,100,100,100
round_queries,100,600,700,2900,13700,68900,330500,1691300,8664500
round_k,0,1,3,14,68,344,1652,8456,43322
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,700,2700,11700,56500,285300,1456500,7426300
round_k,0,1,3,13,58,282,1426,7282,37131
round_shots,100,200,100,100,100,100,100,100
round_queries,100,1000,2700,11300,54100,272900,1394500,7144900
round_k,0,2,13,56,270,1364,6972,35724
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,700,2900,12700,61300,313500,1585700,8114900
round_k,0,1,3,14,63,306,1567,7928,40574
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,700,2500,10300,47500,235900,1208300,6202700
round_k,0,1,3,12,51,237,1179,6041,31013
round_shots,100,200,100,100,100,100,100,100
round_queries,100,600,700,3300,16700,85300,429500,2182300
round_k,0,1,3,16,83,426,2147,10911
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,700,2700,12900,60100,294500,1493500,7681500
round_k,0,1,3,13,64,300,1472,7467,38407
round_shots,200,100,100,100,100,100,100,100,100
round_queries,200,300,700,2700,12900,64300,314300,1528700,7833900
round_k,0,1,3,13,64,321,1571,7643,39169
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,700,2700,11700,55300,277700,1418300,7300100
round_k,0,1,3,13,58,276,1388,7091,36500
round_shots,200,200,100,100,100,100,100,100,100
round_queries,200,600,700,2700,12100,56500,284100,1437100,7387700
round_k,0,1,3,13,60,282,1420,7185,36938
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,700,2900,14500,67700,333100,1688300,8602100
round_k,0,1,3,14,72,338,1665,8441,43010
round_shots,100,200,100,100,100,100,100,100
round_queries,100,600,1900,8500,40500,199300,1019900,5226700
round_k,0,1,9,42,202,996,5099,26133
round_shots,200,200,100,100,100,100,100,100,100
round_queries,200,600,700,2300,9300,42300,206700,1055100,5413100
round_k,0,1,3,11,46,211,1033,5275,27065
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,700,2900,13300,65900,329500,1694900,8689900
round_k,0,1,3,14,66,329,1647,8474,43449
round_shots,200,200,100,100,100,100,100,100,100
round_queries,200,600,700,2900,12500,61500,304300,1558300,7990500
round_k,0,1,3,14,62,307,1521,7791,39952
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,700,2700,12300,61500,308100,1561100,8044300
round_k,0,1,3,13,61,307,1540,7805,40221
round_shots,100,200,100,100,100,100,100,100,100
round_queries,100,600,700,2500,10300,50100,253100,1289100,6541700
round_k,0,1,3,12,51,250,1265,6445,32708
round_shots,100,200,100,100,100,100,100,100
round_queries,100,600,2100,9900,48300,241700,1198900,6124500
round_k,0,1,10,49,241,1208,5994,30622
round_shots,100,200,100,100,100,100,100,100
round_queries,100,600,2100,7900,38500,196100,992900,5109900
round_k,0,1,10,39,192,980,4964,25549
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,700,2500,12300,60700,307100,1564900,8040700
round_k,0,1,3,12,61,303,1535,7824,40203
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,700,2900,11500,57500,283300,1449300,7387500
round_k,0,1,3,14,57,287,1416,7246,36937
round_shots,200,100,100,100,100,100,100,100
round_queries,200,500,2300,10100,49100,244700,1238500,6367900
round_k,0,2,11,50,245,1223,6192,31839
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,700,3100,15500,76300,376700,1918500,9745300
round_k,0,1,3,15,77,381,1883,9592,48726
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,700,2500,10300,50900,248100,1270900,6491900
round_k,0,1,3,12,51,254,1240,6354,32459
round_shots,100,200,100,100,100,100,100,100
round_queries,100,600,2100,10100,48300,239700,1229700,6347100
round_k,0,1,10,50,241,1198,6148,31735
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,700,2900,12900,61300,304900,1546300,7931100
round_k,0,1,3,14,64,306,1524,7731,39655
round_shots,200,100,100,100,100,100,100,100,100
round_queries,200,300,700,2700,11100,52300,257700,1228300,6207700
round_k,0,1,3,13,55,261,1288,6141,31038
round_shots,100,200,100,100,100,100,100,100
round_queries,100,600,2100,10100,48500,243900,1229700,6320500
round_k,0,1,10,50,242,1219,6148,31602
round_shots,200,300,100,100,100,100,100,100
round_queries,200,900,2300,9900,46900,234700,1192500,6115900
round_k,0,1,11,49,234,1173,5962,30579
round_shots,100,200,100,100,100,100,100,100,100
round_queries,100,600,700,2700,11900,60500,305700,1569900,8037900
round_k,0,1,3,13,59,302,1528,7849,40189
round_shots,200,100,100,100,100,100,100,100,100
round_queries,200,300,700,3100,13500,62300,309100,1565100,8027700
round_k,0,1,3,15,67,311,1545,7825,40138
round_shots,100,200,100,100,100,100,100,100,100
round_queries,100,600,700,2500,12100,58700,297700,1506500,7737100
round_k,0,1,3,12,60,293,1488,7532,38685
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,900,2900,14500,69900,354900,1793900,9181500
round_k,0,1,4,14,72,349,1774,8969,45907
round_shots,100,200,100,100,100,100,100,100,100
round_queries,100,600,700,2500,12300,58900,296100,1508700,7747100
round_k,0,1,3,12,61,294,1480,7543,38735
round_shots,100,200,100,100,100,100,100,100
round_queries,100,600,1900,7500,35300,176100,1062900,5431700
