round_shots,3000,400,400,300,300,300,200,200,200,200,200,200,200,200
round_queries,3000,2800,6800,12300,29100,60900,102600,224600,464200,1052200,2391000,5369800,11800200,26706200
round_k,0,3,8,20,48,101,256,561,1160,2630,5977,13424,29500,66765
round_shots,3800,500,300,300,300,200,300,300,200,200,400,200,200,100
round_queries,3800,3500,5100,12900,27300,45000,147300,372900,641800,1458600,6085200,8285000,17380600,20024500
round_k,0,3,8,21,45,112,245,621,1604,3646,7606,20712,43451,100122
round_shots,4100,400,400,300,400,300,400,300,300,200,300,300,200,200
round_queries,4100,2800,6800,12300,34800,62100,173200,311700,714900,1211800,3647700,9064500,15891400,34087800
round_k,0,3,8,20,43,103,216,519,1191,3029,6079,15107,39728,85219
round_shots,2300,400,400,200,300,300,300,200,300,200,200,200,200,300
round_queries,2300,2800,6800,8200,26700,62700,135300,219400,684300,1001800,2206600,5029400,11487800,36735900
round_k,0,3,8,20,44,104,225,548,1140,2504,5516,12573,28719,61226
round_shots,2300,400,400,300,300,300,400,200,200,200,200,200,200,200
round_queries,2300,2800,6800,12300,31500,75900,237200,303000,684200,1562200,3248600,6865000,15706200,35553800
round_k,0,3,8,20,52,126,296,757,1710,3905,8121,17162,39265,88884
round_shots,3400,400,300,300,300,300,200,200,200,300,200,200,200,200
round_queries,3400,2800,5100,12300,26700,61500,106200,232200,516600,1733700,3126200,6579000,15033400,34533400
round_k,0,3,8,20,44,102,265,580,1291,2889,7815,16447,37583,86333
round_shots,3300,400,300,300,300,300,200,300,300,400,300,300,300,100
round_queries,3300,3600,7500,17100,39900,81300,122200,375900,807300,2194000,4435500,11241300,27015300,20254700
round_k,0,4,12,28,66,135,305,626,1345,2742,7392,18735,45025,101273
round_shots,3800,400,400,500,300,300,300,200,200,200,300,200,200,200
round_queries,3800,2800,6800,19500,27300,66300,170100,287000,639800,1425400,4535100,7877000,17351400,39373000
round_k,0,3,8,19,45,110,283,717,1599,3563,7558,19692,43378,98432
round_shots,2400,400,400,200,200,200,200,200,200,200,200,300,200,200,100
round_queries,2400,2800,6800,8200,17800,35800,76200,163800,352200,718600,1481400,4764900,8123800,18355000,21075100
round_k,0,3,8,20,44,89,190,409,880,1796,3703,7941,20309,45887,105375
