0.01,0.0,3410,3040,3270,3026,3406,3214,3699,2778,4692,4009,3043,3787,2627,3521,2639,3465,2986,3689,3218,2977,2375,3374,2931,3844,2712,3503,3371,2984,2371,3185,2616,2969,3487,3418,3085,3551,2736,5075,3124,3095,2267,2382,3344,3358,4473,3138,3618,3565,3286,3148,2807,3160,2829,2913,3459,3926,3101,3448,2834,3394,3759,4624,3827,3180,2298,3342,3234,3143,3647,2766,2972,2811,2723,3812,3546,3333,2969,3177,3175,3218,3390,3062,2527,3599,3070,3172,3114,2428,3293,3085,2689,2988,3034,2831,2422,2946,3367,2974,3561,3490,2932,2964,3507,2507,2603,3664,3931,3351,2864,4110,3042,3734,4063,2550,2899,3279,3262,2913,2866,3353,2686,2873,4971,3073,2620,2410,3170,2587,3197,3816,3145,2569,2808,2739,3050,3093,3389,3057,3494,3229,5207,3024,2615,2990,3064,3156,2728,2700,2712,3046,3182,3194,3212,3503,2720,3103,3610,2910,3725,3216,2977,2508,4381,3202,3393,3313,2994,3068,2805,3361,2857,2575,3526,2959,2292,3755,3321,3732,3590,2595,2330,3131,2694,3902,2784,3846,3575,3211,3086,3306,3119,4156,3206,2700,3720,4521,1925,3188,2755,4213,3148,3258,3425,3189,3630,3270,2893,2924,2443,3104,3572,3021,2852,4479,2832,2228,2735,3387,3447,2995,3336,3371,3202,2947,4311,2807,4786,3845,2850,3276,3709,3214,3552,2480,3936,3380,3921,3075,3701,2688,3594,3139,3289,3964,4121,4113,3660,3362,3377,3329,3696,3791,2955,3537,3225,2592,3304,4244,3105,3380,2967,5079,3449,2582,3712,2688,4295,3532,3062,2823,2860,3129,2692,2846,3028,2506,3225,3063,3438,3066,2878,3428,3508,2563,3036,3654,3034,3416,3177,4036,3292,3867,3192,2789,4029,3143,3088,3494,2722,3210,4739,3282,3494,2942,3317,2971,2219,2751,3463,2885,3776,3624,5517,3759,2511,2975,3660,3448,3824,2759,2625,3584,3131,2732,2733,2484,2949,2304,3088,3327,3122,3569,2919,3525,2966,3147,4349,3143,2995,4378,2936,3248,3612,3844,4136,3556,3087,3523,3295,2759,3918,3756,3097,3500,3307,4733,3722,3455,3348,3425,3218,3677,2681,3272,3095,3309,4533,3423,2264,4139,3239,3748,3338,4757,2809,3650,2662,2830,3839,2428,2975,2821,3609,2711,3263,3424,3513,3714,3468,3149,4214,2595,3391,2701,3053,4180,2882,3000,3117,2848,2946,4018,2440,2762,3326,3178,3222,2985,4912,3538,3071,3724,2905,3088,3264,3487,3134,3348,2900,3403,2363,3995,3021,2275,2926,3132,3204,3200,3141,2990,4179,3339,3420,2947,3175,3251,2968,2484,3769,3337,2970,3661,2202,3385,2476,2395,3125,3981,3178,3301,3379,3520,2218,2638,3648,2822,3126,3232,3331,2944,3362,3651,2895,3177,2626,2546,3943,3441,2979,3035,3085,2837,3177,3386,3710,3956,2667,3356,3743,4098,3390,2936,2811,3268,3269,3086,3112,2973,3264,2882,3062,3187,3410,2795,2984,3385,3148,3461,2485,2568,3846,2822,2770,3307,2885,4586,3450,3256,3385,2896,4560,3629,3583,3622,3525,3493,3153,3719,3941,3035,2515,3545,2764,3266,3259,3096,4060,3132,3035,3172,3708,2786,3492,2323,3211,2885,3899,3543,2656,3175,3947,2538,3786,4132,2963,3361,2892,3576,3209,2497,2384,2888,3065,2962,3085,2921,2839,3031,3002,3645,5176,3596,2932,3028,3103,2934,3099,3666,2714,3290,2877,2546,4555,2738,2785,3043,3295,2940,2873,3346,3557,2467,3139,2711,3465,2927,3644,2760,3457,3528,2742,4447,3388,2808,2966,2753,2573,3590,2784,3122,3471,2789,4187,3891,3778,2731,2898,2953,2699,3135,3214,3261,3385,3100,2912,3122,2635,3114,3668,2584,3462,3391,3097,2979,3044,3845,2577,4090,3340,2611,3368,3985,3701,3967,3154,2236,2743,2895,3286,3141,3084,3585,3402,3226,2207,2519,3494,2846,2909,2979,3623,3521,4106,2750,2767,2479,3347,2767,3579,2660,3621,2538,3349,3931,3833,3518,3575,2355,3759,2522,2460,3619,2874,3164,2881,2522,2564,2824,3327,4357,3713,3110,3874,2551,3376,3158,2936,3067,2808,2760,3469,3174,3068,3489,3764,2848,2732,3457,3113,3081,3192,3298,3034,3758,2988,3184,2712,3632,2694,3589,2770,5150,3594,2328,2789,2852,3399,2728,2834,2995,3270,3085,2716,5202,3211,2651,3739,3276,2835,3260,2911,2949,2741,3120,2404,2705,2858,3194,2820,2743,2737,3039,2614,3679,2755,3344,3042,3356,3319,2598,3140,3893,2543,3436,3462,3266,3456,2798,3458,3740,3520,2870,3178,5009,2832,3298,2463,3530,3019,3367,3755,2380,2739,3110,3426,4170,3924,3737,3234,2800,4166,3852,3289,2887,3236,3202,3029,3428,2356,4947,3920,3280,3137,3355,2803,3257,3122,3412,3529,3150,3189,3228,2659,3383,3006,2463,3498,3336,2803,3478,3164,3880,3636,4250,3199,3007,3127,4292,2627,3240,3142,3535,3384,2911,3195,3588,3642,3380,3078,4964,2695,3394,4048,3174,2743,2888,3639,3070,2630,2638,2814,3319,2266,3129,2590,3181,2732,2500,3832,2943,3442,3090,3035,2537,2970,3168,3304,3478,2155,3168,2992,3398,4725,3002,3904,2536,2849,3135,3636,3098,2789,3332,2700,3319,3078,4372,4358,2702,3647,2797,3546,2839,3304,3727,2975,2990,2682,2669,3214,3610,3915,2416,3771,2217,3479,3389,4324,2716,3061,2866,3137,2569,2919,3282,2824,3240,3765,2876,3218,3006,3763,3667,2691,3012,3265,2821,2901,2568,3889,3581,3423,3493,3711,3023,3121,4850,5381,3584,3414,3114,2809,2792,3211,2933,2930,2969,4129,2986,3154,3727,3088,3375,3060,5050,3073,3356,3010,4732,3662,3042,2807,3168,3121,4496,3143,2880,2993,3413,2947,2899,2450,3584,3148,2747,3191,2454,3288,3767,3358,3231,3749,2847,3107,2553,3402,3065,2982,3592,4194,2581,3205,3391,2360,4099,2899,3403,3218,3977,5309,3044,3786,4617,3394,3564,3891,3325,3771,2530,3587,3309
0.001,0.0,18029,24789,42180,23530,20650,39232,23609,31451,28671,36676,22022,28229,26851,25851,25642,23016,20700,27168,43951,24774,28773,23207,19418,19110,20818,31509,24812,22903,21963,21383,31003,23700,21716,22142,28911,27762,21185,20308,22302,38600,29752,26407,30035,24985,28442,26917,29575,26669,39377,30046,26907,20766,25252,37093,27522,24920,21982,26435,23667,21085,27131,23936,33600,26002,19010,24842,20961,29637,35670,33845,19549,28063,32661,23205,33140,20649,20268,25309,22660,26084,24293,28125,37260,31910,21369,29885,21319,21842,20466,26642,24746,23070,26758,22493,25650,22461,29078,31407,19095,25297,24068,25614,22944,26089,26496,23242,32710,25634,28571,22662,25648,36437,23713,35744,24148,33321,37670,21951,26975,39829,22791,39936,34811,26858,21108,28120,22688,22759,18841,27527,25383,24740,24192,25830,25380,25594,29051,34524,37650,32188,21164,25115,26432,19455,24091,47734,23254,22139,46696,29480,26227,23584,26708,29846,31148,24979,26572,18619,43605,22204,32744,22917,19763,22338,28442,23033,34494,31393,21398,27381,27785,20550,28202,26879,30008,37197,27831,31558,26990,26260,28871,26606,29825,31430,24550,25741,23249,27680,44537,23846,24376,20222,37053,27931,30210,23409,36731,22741,21011,19155,42560,26838,46066,29470,22346,21257,29642,23755,21031,33801,28808,34402,25614,19984,24482,25054,29866,39046,47419,28005,20161,29270,22626,21035,30375,24035,23769,26063,22347,21767,19423,33083,28775,21172,22432,28115,29430,27262,20728,35053,37886,31815,25432,29307,25349,28516,24771,22334,22225,25256,26503,19546,25903,32080,33949,32940,37832,25244,43363,21101,27610,30194,25038,24904,28886,22145,30143,25975,24563,24361,26505,26712,20201,20367,29383,22842,21930,28919,23294,25182,23078,29963,20870,23566,29750,26325,19530,55577,23606,25063,27489,21148,27436,27616,27656,22413,26272,24386,26649,26626,19603,22044,20812,36659,27126,36925,36160,28273,21987,20841,20724,32233,22489,34595,28037,24007,40992,22431,19478,19980,24380,25217,27639,21540,29478,35483,23159,22485,20152,37699,48981,30648,26668,21349,21093,26869,43283,32074,24726,20887,32333,26788,25767,30522,27126,27991,26439,32586,24982,17692,34972,26585,28905,22217,28258,32296,30567,23174,37551,27595,26460,31632,25979,34240,27602,27387,22275,24240,26113,26670,21080,25754,27467,28505,26369,25204,30934,36269,31165,21565,20851,24178,20850,26566,22327,24385,22175,25637,20561,26576,20569,21830,27856,48243,27236,25996,20295,21630,39141,31908,33771,36308,20959,31769,24564,38722,30305,27220,22893,20305,28161,29226,21164,22529,29404,25910,20466,30752,29733,30194,19651,19393,22733,31017,23784,36781,23157,19045,25315,23658,23329,27392,25258,34786,31139,21106,27513,36304,30946,26131,28590,23920,22418,23521,28848,32867,27248,28039,30586,37705,44817,22821,34618,22249,26016,25513,19159,22987,21970,20935,20641,24897,36993,25734,49975,23118,29865,19386,41068,20226,26982,24920,20601,23482,26990,19452,22207,29157,45717,24991,24702,27842,23560,28163,23031,21284,20186,35477,32696,25023,26894,26125,23370,23650,21178,20721,32017,22165,23500,26654,22691,30945,24567,33502,28466,46264,42879,25820,24929,33313,33747,41148,20675,25787,27372,32963,37143,25059,23344,25917,43488,21316,30468,25463,25322,23949,20047,25124,25630,26972,23886,29254,50796,25216,20941,32073,29133,26727,23634,30669,24181,27973,22169,26994,27157,29786,24132,49145,21600,26566,26283,27772,49433,34223,25554,25805,24404,24736,18928,20727,19047,31176,24232,23586,30013,22084,23247,25141,25771,23417,29747,23292,35964,19496,28402,26919,18667,31222,21029,25442,31773,24969,33534,22315,18594,40517,29255,22832,41315,26512,23189,44205,34454,21990,24286,32832,37395,20904,22677,33632,31037,22924,23503,25237,25902,30923,25993,25579,21035,23130,32675,35965,25084,34820,26665,23342,21742,21470,24852,18549,26347,23614,19456,34705,17445,25614,29119,26978,18455,27024,28171,23274,22633,34455,24209,26195,24572,22155,20692,24796,30621,25861,30321,49236,23887,28966,23335,23016,24082,25278,26249,19926,26010,25082,22496,26781,43140,20809,18243,36044,29951,18704,30338,27278,24946,21889,27928,23935,18843,28994,37369,26760,22075,24737,23522,32039,24986,24337,27569,22410,19946,26644,43114,20429,24572,29869,26721,26571,22242,19716,43643,22482,24101,39064,32924,22547,46762,23975,20335,32571,22614,32525,22967,28540,30297,23947,22679,24586,21447,30372,55967,30329,21665,25321,47456,33051,29667,25850,31870,27167,26477,30397,22232,24212,21088,25563,37253,26456,32278,22656,23758,31343,26823,24447,28471,27837,24165,26184,24015,23789,26683,19452,22151,44478,26396,28275,21970,22530,26521,29442,20908,24431,22370,42491,35008,23660,21918,18995,27757,30529,23405,27401,23171,19070,18703,22352,55420,21649,20982,30811,23547,28335,24691,25000,27654,24626,22031,23900,40212,21819,36689,26283,22320,38355,18166,21148,32982,24046,29966,20537,24864,33015,20990,35733,31862,22534,21081,28358,22948,22659,33132,31375,23018,29689,31262,32105,24021,38086,32200,23309,22380,43108,51117,19484,34964,21479,24710,23449,28130,19775,28775,23876,25897,26073,36328,26818,19809,50904,29814,25105,24825,39217,27413,44715,20337,26745,30665,30195,22679,20586,19373,29898,42051,33942,23187,22928,23087,23799,31142,24938,23746,19900,23074,24955,23573,21577,20931,22816,25804,30067,21935,36431,22651,20288,24954,29398,23388,26002,21016,26355,25923,24383,35475,28884,29768,37194,23929,26241,26127,23335,24212,26285,29709,34972,27101,24484,18684,18740,24748,22147,29694,24487,26129,33930,35383,22345,31156,31358,24414,32404,21233,25761,20963,20907,22041,26441,24567,18627,30648,22329,24178,28967,26193,31912,23400,30401,26847,26671,21286,24119,27462,21808,38939,28669,32651,24551,33860,25261,24084,26590,32418,20870,25037,36217,39975,27431,26583,20624,23010,22317,26170,24125,29801,18326,29797,25340,30973,23691,28649,27787,30740,41295,28389,33695,26945,26876,24769,33902,21968,24748,30397,27662,26227,29349,24687,33237,25354,22641,28070,20349,37725,28479,26174,28080,28497,29799,21603,52560,23608,20832,22843,22660,23185,20197,21819,23904,20785,34950,48169,26063,22511,27923,35449,23654,24802,31972,24923,25076,24514,22404
0.0001,0.0010000000000000009,273058,223374,206699,205782,237661,240959,247222,221818,237051,361055,205908,197571,201422,256662,273440,293553,257624,362322,355826,237470,236441,293377,233067,242574,221430,244669,275771,320174,186366,206151,243283,170889,211172,344327,332728,263280,177643,171990,198999,204959,340467,314543,233689,404525,212509,218640,154382,319346,227928,242747,307402,239445,240900,219984,221684,213877,203169,204949,274881,260659,240815,328016,230234,201746,282434,171564,298318,210219,393767,253725,276928,258889,213757,222559,252924,420906,220532,247208,234638,208445,237475,358380,211830,230028,232381,247158,221689,342063,191185,226866,191431,294625,187800,233816,229894,205082,219060,420941,252642,241105,246587,229207,229062,164468,197451,244229,272350,261213,234719,204118,155435,236089,314893,239271,191152,227760,193116,158717,362261,221778,183920,387241,264223,242643,210031,264865,360886,171515,226019,201974,296136,211320,213097,259788,397835,196551,250460,294729,325716,280986,358352,264722,349851,212497,210509,197543,238106,251776,202593,194731,290503,248602,396419,264106,345808,250650,327725,242091,218590,184626,210986,238600,212845,203328,254359,225003,242314,235501,336862,229484,174940,221136,247033,215718,236554,193631,243453,322117,176899,254016,186882,234302,268707,214946,217652,197128,266974,230863,372812,271104,276146,237337,184302,240686,231060,241527,202455,444759,329563,288385,294335,220863,218934,224840,160756,461111,165215,251243,204788,234306,405453,249917,312915,251371,432422,274447,209323,247668,225229,263880,208707,246843,306201,201885,163540,220626,382930,255234,196060,223590,227452,345172,222558,343469,256209,214266,230947,298264,207357,224488,290494,388249,242120,212956,340348,293001,299301,298271,248935,301926,178515,209665,231951,199616,161411,338884,206661,260761,391436,278966,208567,314658,245508,246751,190527,256599,164319,272210,205147,208653,210325,274582,212297,203206,188361,285431,449973,285925,166666,349470,220098,299724,227512,245545,261808,245360,240575,192644,197917,262816,192055,242516,230305,253643,234896,260148,200367,224419,222111,240935,168321,360297,256958,182699,210971,193860,270231,193808,232595,223772,199011,208512,218354,213001,192436,430558,205606,267826,379982,192380,250953,296480,271677,215260,174490,260283,223405,217701,204058,241511,374373,277464,164237,153437,234162,251333,248556,318481,349393,228699,303805,245981,210841,196837,200187,281425,304436,212055,455293,315089,277080,327796,290261,230523,266247,280310,175718,239083,166918,185745,304172,194968,367669,428891,272737,191638,317462,233644,249479,211747,210610,218880,224945,193423,210573,240498,262260,257221,250921,435720,319192,220238,189846,177845,164481,203692,317729,196765,271240,346088,194795,205706,332580,197817,217525,246395,179092,220055,368712,222230,264756,263329,191455,379398,207529,204895,234582,376491,186308,309910,340994,310439,204270,370349,206028,199477,216931,216167,220694,248805,303791,213073,155409,155336,239585,315314,193133,208530,238308,186070,209963,306805,167869,266861,274832,281185,256148,215248,251747,169921,274497,213537,192786,276008,332022,256470,237046,351428,216300,338616,177812,217013,357484,465261,257829,314617,219197,355241,205956,189339,229202,198125,186874,211992,202616,196062,196967,167003,224686,285147,175264,349249,200731,252632,230023,190605,211976,194009,220629,301520,366710,252534,369736,404229,400353,330343,181107,207690,216541,180735,192605,234739,207314,213805,365087,237742,257067,228759,282926,235085,198491,186753,388462,207734,396895,223451,254384,173786,229630,246262,200525,216536,284493,200468,286938,225381,241840,209419,298436,236656,215314,309657,189305,231486,242007,343839,258449,298410,167024,260132,264938,382900,213993,342148,211976,196529,251629,221792,270378,297050,217214,256722,211060,199491,237302,406651,227932,163090,199967,294404,333134,182413,371481,217249,273271,288691,240174,231348,248537,181309,298501,308476,187942,252769,207202,203802,232481,217561,254997,228636,210895,214234,232803,175798,209788,190674,398618,225413,218926,186771,325925,232175,207497,437184,155927,252503,203528,274129,206484,340420,190065,370703,233438,250315,541028,178355,338330,572581,250172,207904,213131,313499,187234,314871,223003,316726,403675,229589,178986,184114,269513,202056,326266,253183,247454,308096,339611,230542,183692,252117,226165,244833,185686,286955,299609,208072,273130,244973,227558,208858,183131,204774,254902,196554,207940,236330,233011,201093,280329,245190,206035,314430,197043,208168,200517,187695,204280,179402,187163,316587,218584,224592,210251,245922,218175,209105,241628,218742,370459,214118,218170,228682,267214,205165,339420,283987,280514,214000,244235,332651,243615,191332,229600,173841,193495,244357,213550,207809,318163,222734,315480,334252,237757,216137,295613,420024,187369,267659,210688,211481,164860,265904,304482,239466,192387,361486,178695,172920,265003,281096,235835,263398,168814,247816,240771,236231,313417,252288,297868,206062,209379,457603,209917,215854,205070,225873,283419,204285,243227,207956,264457,210548,300721,181071,262887,230917,213781,220201,273312,202187,197779,252428,198209,166585,201168,274040,218871,408554,246691,173980,216758,272454,217058,338291,286492,254165,394656,242201,227203,344883,268979,259520,182393,262820,224376,282201,335272,203400,325947,183940,200552,242259,219129,225723,261645,178206,228961,224614,213341,200166,208943,187556,194077,255234,209498,217317,267852,343686,242765,227892,199341,252340,216577,241730,224902,194859,218168,191866,219076,269658,189557,240585,295972,216492,173087,205436,316583,241210,372664,206135,232379,155389,304338,283533,294319,277190,220715,216464,225716,290668,371162,216989,234385,204550,244094,295095,219689,249585,193877,231343,223652,298774,186653,204482,405505,179627,214161,373715,264672,221897,240144,223170,349850,220117,303017,239944,248176,303228,271097,249370,265904,321509,256522,197227,259023,284275,332624,276191,172367,456260,224191,220639,289591,207151,295595,252464,180847,357476,337067,260238,222047,225845,227715,278590,250870,241206,319856,180964,185700,222536,241899,205854,360332,301931,274039,159137,233991,242924,294863,245739,250865,228108,229392,165121,255806,213849,201410,204711,157733,235655,213568,173024,352786,227369,340773,235518,186389,424247,242747,231216,248796,363327,223986,199070,242301,242133,247281,282468,215733,188010,239265,230218,217248,182154,247264,230516,193330,265132,217115,395198,243890,228573,224680,164348,286580,258538,246994,439287,280237,211718,279105,217915,237344,211943,277199,241423,231473,299078,233975,223428,348681,314674,251493,192985,167049,193438,302622,327531,201453,244608,238053,192185,272358,261084,218745,207677,200022,195098,224386,237992,287891,215968,232869,217090,208667,218396,189882,376610,240454,321614,168377,224908,239764,222528,287643,428149,226946,240307,244692,427212,255686,182060,339688,166347,219059,213188,213028,222110,248435,232595,216146,210407,368491,232346,369979,215304,270661,307326,228772,231107
1e-05,0.0020000000000000018,2106716,2420362,1946510,2747181,1937879,1664354,3531409,2251194,2058743,1620594,1540474,2113824,1857426,1863365,2087429,2054731,2269385,2448159,1976587,4488526,2588543,1968459,1846824,2071908,1985333,1824107,1943575,2080445,2537697,2058593,2320273,2176037,2226634,2162060,4293112,2069147,3094166,2082719,2082635,2014206,1909954,1835758,1978177,2432277,2186911,2246511,1813855,2067500,2845380,2048866,2361787,1787838,2403513,2405524,1949027,2434586,2866168,1985205,1773737,1986953,2004676,3194130,2216288,2227767,3483962,2586658,2411499,2146841,3449738,2067558,2894764,1765387,2167234,2533369,3161031,2372961,2310247,1995965,3191785,2627944,1802584,1920670,2313251,2712712,3340816,1877172,2420961,2278081,1772492,1968711,2392148,1776913,2162967,2252469,2507857,2372134,2862791,2096894,2252544,2726701,2303945,2437543,2430071,2700909,3113885,2372390,2596080,2986295,2232222,1974626,2845241,2562359,2002503,2608220,2168784,1723745,3531967,2074960,2320701,1928049,2408798,2932425,2051444,2127900,1762309,2266325,2228102,2034323,2760490,1964057,2146464,2704922,2763988,1718882,2164860,2359637,2450372,2389115,2475657,2065492,3132428,3052345,1776039,2135702,2020421,2141299,3330307,1830887,3674613,2065346,2066991,2216983,1939010,1600834,3368994,2689080,2900780,2227780,1866648,1549592,1911226,1869745,1774982,2011032,2281293,2510821,2299153,2113817,1982876,2591852,2120667,2759768,1753630,2109918,2779162,2202045,2603529,2212053,2404022,1858749,2237959,1874903,2061704,3008463,3609717,2357794,3360566,2538217,2102162,2554619,2569763,2372184,2576306,2272964,2226991,2027401,2340581,2100073,2370402,2567885,1607822,2211015,2641721,2149217,2097362,2121046,1864485,1865458,1983751,2000659,2108424,2207258,2092456,2569145,2965000,1785069,1952362,2453661,2683191,1958471,2445308,2091704,2211248,3227289,1949251,2391315,2202136,2578743,2019384,1999541,2625528,2495597,1900915,2733069,2002191,3973045,2275522,2213662,1804525,1838940,1980618,2084101,1778447,2402650,2609560,2600311,2440764,2379727,1916963,2568226,3350917,3797142,3023284,2597289,2201871,1868001,2140460,2366268,1841576,2367493,2491538,1687829,4314059,2925599,2205192,1951210,2337409,1885804,2069770,4326528,2259261,2223340,2094210,2374752,1790100,2250708,2041420,2504564,1632092,1918851,3678753,2386006,2131331,2149634,2138401,1599159,1941586,2424710,2040930,2076112,1863858,1968056,3636075,3114292,2240941,1917486,2356892,2338484,2489650,2627696,2529182,1789760,3135366,2598879,2018204,3014051,2145787,1940795,1754104,2164324,2200413,2037386,2058980,1695125,1916520,2035743,2714654,1574438,2288285,2238954,1768170,2179269,1734989,2335092,2893874,2799334,2806280,2182273,1787208,2536986,4023708,2006254,3761183,1921952,3132838,1876437,2736388,2563935,3999088,2128479,1872281,3654231,2346270,3509218,2023047,2978365,2327857,2589659,3184068,2203716,2096095,2225678,2049908,3069037,1845903,4573929,2752183,2184608,2172659,1850336,1563748,1848368,2125583,2196135,2186229,1568438,1676383,3749383,2122728,2763558,3452831,2201346,1980459,3158132,1672604,2260346,4190199,1628472,2437264,2246820,2300761,1760528,2223908,2298380,3384795,2962209,3037393,2251971,3511701,2846189,1557440,3361949,2006365,1988361,2464626,1685659,2163863,1513495,2679155,1528889,2339787,3429436,2014133,1791161,2222909,2250046,2538675,1807064,3428788,2756514,2159027,2119138,2244757,2853488,1798126,1779782,2470888,2253238,2220856,1747334,2053456,1514070,1703501,2138616,2059889,1978797,1906648,2184530,2535408,2979143,1992561,2878369,4177460,2093424,1883556,2196607,2275119,2838511,2103041,2503875,2361573,3092951,2620443,1993768,1908052,2131132,2317761,2149540,2385461,2193753,2750968,1550467,2067573,2550505,2487868,1791070,2972954,2166827,2021166,2616738,2463836,2811024,2240598,2381160,2675391,2150705,2094810,2595961,2551156,1691203,3202081,2390483,2678861,1963939,2509636,3472932,2931467,2071221,2550490,2662857,2796634,1516542,2835198,2039355,4080889,1880725,1978307,3146786,2559549,1907743,2005650,2880990,1998419,2593343,1921071,2002892,2182006,2191313,2311179,3084643,2310013,3443469,2792608,1634307,4327982,2690062,1580322,2750136,2725679,1988787,2517777,2290857,3146966,3561686,2858452,2301472,2753014,1954214,2758184,2257220,2620093,1617100,1953711,1852068,2027487,2522485,2005769,2038588,3419333,2450437,2448815,2033200,2017260,2105692,2664130,2320274,3919196,1991367,2335170,2901310,1943559,1877436,1942173,3729511,2066798,1797068,2112086,1918906,3313806,2219961,2642588,2273228,1713743,1640553,2567190,2042578,2070745,2319208,3577651,1970256,2151895,1684001,3674804,1866017,2270904,1885028,2227011,1676561,3162472,4354080,2720635,2420146,2116010,3001630,2120088,2399594,2150350,2749705,2005351,2304142,2461065,2262982,2540601,2050552,2605011,1856921,1739807,1871146,2287674,1964764,2294160,1865923,1828231,2181154,2097805,2215617,2900889,2526689,2063382,2581561,1514385,2146931,1777388,2351407,2003680,2128855,2241940,1808258,2335677,2158860,2482867,2840339,2111300,2734775,1897725,2237471,1936753,1979972,2970331,2463007,2214889,1932685,2581861,2492905,1594997,2090924,2093052,2432116,2500577,1902449,3024787,1876332,2536047,1985508,2372480,2956904,2643225,2254791,3095414,2164344,2540132,2570573,2257893,2120582,1654255,2237970,2006076,2083331,2049906,1759554,1469974,2802172,2095215,3572619,3442050,2013668,2272763,2189661,2036199,1876594,2361645,1763740,1932240,2009366,2497785,2687777,2181486,2344648,2690312,2545872,1518387,2246066,2449210,2211224,2287265,3727436,1921662,1626018,3410304,2068600,2385963,1734356,1714660,1896488,3548586,2154831,2536185,1928310,2768306,1942854,2475604,2521733,1798924,2685719,2201853,2741053,2786681,2189414,2157121,1903643,3715825,2059391,2908850,1999731,2176510,1978854,1957584,2782534,2189801,1875045,2189734,2241001,2364673,2522093,2048954,2695468,1887044,2456941,2551249,2576007,2534171,2246256,1735442,1776183,1941106,2083440,3658895,2298077,1646657,1915949,3690229,3262714,2187160,2268481,1853028,1891447,1903203,3125005,2246971,3326308,2124882,1545592,2172644,3187436,2256662,2893236,1903404,2343530,2731971,2823130,4282207,2493749,2348422,3269572,3531235,3620482,2188953,2095140,2243980,2030042,1926787,2177029,3335547,2114100,3206481,1942424,1852129,2478291,2260178,3437012,2794774,1744037,3101749,3232895,2320558,1427078,2388003,2129882,1716314,1772462,1707222,1938121,2462744,2268080,1898844,2886408,2772724,2572547,2487876,2385154,1682546,1976523,3138491,2869388,1581457,1891796,3082517,3751168,1848839,2965129,2499918,2126704,1925963,2362199,3141399,2246538,2176948,2351379,2375373,2014857,1875991,2435160,2252901,2016130,2607672,2978255,2461729,1979238,1717128,1804590,2191512,2013147,2933394,2346287,2108634,1868490,1986504,2043530,3008909,2001377,2121031,2438493,2381794,1813830,2497771,3025052,1987336,2662241,2223164,2005338,1611633,2189829,2051705,2932630,2254849,2330052,2112428,1976612,2783219,3153814,4017837,3847394,2357242,2914263,2127034,2858480,2748377,1710245,2154202,1786458,1964891,2227781,1759091,2021209,2301962,2258978,1686278,2667447,2135599,3566692,3610606,2303300,2120799,1785341,2375735,2069958,2739820,3611100,2688185,1493388,1711189,2137244,2440106,2357051,1888965,1949762,2298791,2241597,1983165,2065084,2083134,2013004,3790206,2830788,1945157,3794400,1728668,2214381,2687403,2236555,2175715,4349520,1911509,2020960,1753317,3935766,2475733,2862463,2448558,2097088,2409993,2830565,2171669,2008913,1521022,2061544,3136734,2027362,2878966,2068144,2460190,1552277,3076255,3676957,3149155,1809872,2725800,2259829,2001138,2639051,2023814,1952416,2039555,2061384,2244702,1971582,2694689,2036135,2466259,1735901,1626862,1975229,2264768,2719387,1633645,3312337,1835518,2340539,2685976,2045619,1877807,2695206,2982935,2966968,4236745,1976063,2432122,3832687,2572544,1729204,2344263,2165463,1800902,3656842,3734207,1852123,2326712,2495942,1928901,2471719,2020395,2930102,1720763,2897123,2557986,1892540,2353607,2219124,1793114,2015551,3020711,2270229,3275152,2732381,3001142,2431431,2185887,1786408,2988506,2090718,1931576,2799627,2216721,2049689,1762026,1569591,3024070,1751474,2322236,1877910
